,일시,초미세먼지농도
0,2015-01-01 00:00:00,11
1,2015-01-01 03:00:00,11
2,2015-01-01 06:00:00,15
3,2015-01-01 09:00:00,17
4,2015-01-01 12:00:00,16
5,2015-01-01 15:00:00,12
6,2015-01-01 18:00:00,13
7,2015-01-01 21:00:00,11
8,2015-01-02 00:00:00,11
9,2015-01-02 03:00:00,10
10,2015-01-02 06:00:00,11
11,2015-01-02 09:00:00,13
12,2015-01-02 12:00:00,12
13,2015-01-02 15:00:00,13
14,2015-01-02 18:00:00,14
15,2015-01-02 21:00:00,13
16,2015-01-03 00:00:00,16
17,2015-01-03 03:00:00,17
18,2015-01-03 06:00:00,18
19,2015-01-03 09:00:00,20
20,2015-01-03 12:00:00,24
21,2015-01-03 15:00:00,23
22,2015-01-03 18:00:00,19
23,2015-01-03 21:00:00,18
24,2015-01-04 00:00:00,20
25,2015-01-04 03:00:00,19
26,2015-01-04 06:00:00,19
27,2015-01-04 09:00:00,18
28,2015-01-04 12:00:00,18
29,2015-01-04 15:00:00,19
30,2015-01-04 18:00:00,25
31,2015-01-04 21:00:00,31
32,2015-01-05 00:00:00,36
33,2015-01-05 03:00:00,31
34,2015-01-05 06:00:00,30
35,2015-01-05 09:00:00,29
36,2015-01-05 12:00:00,34
37,2015-01-05 15:00:00,45
38,2015-01-05 18:00:00,49
39,2015-01-05 21:00:00,52
40,2015-01-06 00:00:00,52
41,2015-01-06 03:00:00,47
42,2015-01-06 06:00:00,34
43,2015-01-06 09:00:00,12
44,2015-01-06 12:00:00,7
45,2015-01-06 15:00:00,7
46,2015-01-06 18:00:00,8
47,2015-01-06 21:00:00,5
48,2015-01-07 00:00:00,6
49,2015-01-07 03:00:00,6
50,2015-01-07 06:00:00,8
51,2015-01-07 09:00:00,10
52,2015-01-07 12:00:00,12
53,2015-01-07 15:00:00,15
54,2015-01-07 18:00:00,16
55,2015-01-07 21:00:00,14
56,2015-01-08 00:00:00,17
57,2015-01-08 03:00:00,16
58,2015-01-08 06:00:00,16
59,2015-01-08 09:00:00,19
60,2015-01-08 12:00:00,22
61,2015-01-08 15:00:00,22
62,2015-01-08 18:00:00,23
63,2015-01-08 21:00:00,19
64,2015-01-09 00:00:00,23
65,2015-01-09 03:00:00,23
66,2015-01-09 06:00:00,21
67,2015-01-09 09:00:00,25
68,2015-01-09 12:00:00,32
69,2015-01-09 15:00:00,30
70,2015-01-09 18:00:00,27
71,2015-01-09 21:00:00,27
72,2015-01-10 00:00:00,28
73,2015-01-10 03:00:00,21
74,2015-01-10 06:00:00,21
75,2015-01-10 09:00:00,27
76,2015-01-10 12:00:00,30
77,2015-01-10 15:00:00,19
78,2015-01-10 18:00:00,11
79,2015-01-10 21:00:00,14
80,2015-01-11 00:00:00,15
81,2015-01-11 03:00:00,14
82,2015-01-11 06:00:00,16
83,2015-01-11 09:00:00,27
84,2015-01-11 12:00:00,23
85,2015-01-11 15:00:00,26
86,2015-01-11 18:00:00,22
87,2015-01-11 21:00:00,21
88,2015-01-12 00:00:00,25
89,2015-01-12 03:00:00,20
90,2015-01-12 06:00:00,17
91,2015-01-12 09:00:00,17
92,2015-01-12 12:00:00,22
93,2015-01-12 15:00:00,22
94,2015-01-12 18:00:00,28
95,2015-01-12 21:00:00,26
96,2015-01-13 00:00:00,31
97,2015-01-13 03:00:00,32
98,2015-01-13 06:00:00,31
99,2015-01-13 09:00:00,32
100,2015-01-13 12:00:00,34
101,2015-01-13 15:00:00,28
102,2015-01-13 18:00:00,24
103,2015-01-13 21:00:00,31
104,2015-01-14 00:00:00,39
105,2015-01-14 03:00:00,37
106,2015-01-14 06:00:00,35
107,2015-01-14 09:00:00,34
108,2015-01-14 12:00:00,35
109,2015-01-14 15:00:00,38
110,2015-01-14 18:00:00,42
111,2015-01-14 21:00:00,41
112,2015-01-15 00:00:00,43
113,2015-01-15 03:00:00,38
114,2015-01-15 06:00:00,34
115,2015-01-15 09:00:00,31
116,2015-01-15 12:00:00,31
117,2015-01-15 15:00:00,27
118,2015-01-15 18:00:00,26
119,2015-01-15 21:00:00,33
120,2015-01-16 00:00:00,46
121,2015-01-16 03:00:00,54
122,2015-01-16 06:00:00,57
123,2015-01-16 09:00:00,50
124,2015-01-16 12:00:00,43
125,2015-01-16 15:00:00,31
126,2015-01-16 18:00:00,39
127,2015-01-16 21:00:00,36
128,2015-01-17 00:00:00,48
129,2015-01-17 03:00:00,44
130,2015-01-17 06:00:00,19
131,2015-01-17 09:00:00,12
132,2015-01-17 12:00:00,11
133,2015-01-17 15:00:00,13
134,2015-01-17 18:00:00,16
135,2015-01-17 21:00:00,12
136,2015-01-18 00:00:00,12
137,2015-01-18 03:00:00,14
138,2015-01-18 06:00:00,14
139,2015-01-18 09:00:00,15
140,2015-01-18 12:00:00,17
141,2015-01-18 15:00:00,20
142,2015-01-18 18:00:00,18
143,2015-01-18 21:00:00,13
144,2015-01-19 00:00:00,24
145,2015-01-19 03:00:00,38
146,2015-01-19 06:00:00,39
147,2015-01-19 09:00:00,44
148,2015-01-19 12:00:00,40
149,2015-01-19 15:00:00,34
150,2015-01-19 18:00:00,25
151,2015-01-19 21:00:00,17
152,2015-01-20 00:00:00,17
153,2015-01-20 03:00:00,15
154,2015-01-20 06:00:00,19
155,2015-01-20 09:00:00,23
156,2015-01-20 12:00:00,27
157,2015-01-20 15:00:00,24
158,2015-01-20 18:00:00,22
159,2015-01-20 21:00:00,29
160,2015-01-21 00:00:00,37
161,2015-01-21 03:00:00,28
162,2015-01-21 06:00:00,27
163,2015-01-21 09:00:00,29
164,2015-01-21 12:00:00,32
165,2015-01-21 15:00:00,30
166,2015-01-21 18:00:00,27
167,2015-01-21 21:00:00,38
168,2015-01-22 00:00:00,44
169,2015-01-22 03:00:00,37
170,2015-01-22 06:00:00,30
171,2015-01-22 09:00:00,28
172,2015-01-22 12:00:00,29
173,2015-01-22 15:00:00,21
174,2015-01-22 18:00:00,16
175,2015-01-22 21:00:00,17
176,2015-01-23 00:00:00,24
177,2015-01-23 03:00:00,23
178,2015-01-23 06:00:00,20
179,2015-01-23 09:00:00,21
180,2015-01-23 12:00:00,33
181,2015-01-23 15:00:00,41
182,2015-01-23 18:00:00,28
183,2015-01-23 21:00:00,16
184,2015-01-24 00:00:00,18
185,2015-01-24 03:00:00,21
186,2015-01-24 06:00:00,23
187,2015-01-24 09:00:00,24
188,2015-01-24 12:00:00,28
189,2015-01-24 15:00:00,28
190,2015-01-24 18:00:00,32
191,2015-01-24 21:00:00,35
192,2015-01-25 00:00:00,45
193,2015-01-25 03:00:00,44
194,2015-01-25 06:00:00,41
195,2015-01-25 09:00:00,38
196,2015-01-25 12:00:00,38
197,2015-01-25 15:00:00,33
198,2015-01-25 18:00:00,26
199,2015-01-25 21:00:00,25
200,2015-01-26 00:00:00,25
201,2015-01-26 03:00:00,18
202,2015-01-26 06:00:00,13
203,2015-01-26 09:00:00,16
204,2015-01-26 12:00:00,22
205,2015-01-26 15:00:00,26
206,2015-01-26 18:00:00,23
207,2015-01-26 21:00:00,42
208,2015-01-27 00:00:00,43
209,2015-01-27 03:00:00,43
210,2015-01-27 06:00:00,43
211,2015-01-27 09:00:00,33
212,2015-01-27 12:00:00,24
213,2015-01-27 15:00:00,18
214,2015-01-27 18:00:00,14
215,2015-01-27 21:00:00,12
216,2015-01-28 00:00:00,13
217,2015-01-28 03:00:00,10
218,2015-01-28 06:00:00,10
219,2015-01-28 09:00:00,13
220,2015-01-28 12:00:00,19
221,2015-01-28 15:00:00,25
222,2015-01-28 18:00:00,25
223,2015-01-28 21:00:00,20
224,2015-01-29 00:00:00,22
225,2015-01-29 03:00:00,24
226,2015-01-29 06:00:00,25
227,2015-01-29 09:00:00,25
228,2015-01-29 12:00:00,28
229,2015-01-29 15:00:00,23
230,2015-01-29 18:00:00,28
231,2015-01-29 21:00:00,26
232,2015-01-30 00:00:00,29
233,2015-01-30 03:00:00,21
234,2015-01-30 06:00:00,17
235,2015-01-30 09:00:00,23
236,2015-01-30 12:00:00,31
237,2015-01-30 15:00:00,23
238,2015-01-30 18:00:00,15
239,2015-01-30 21:00:00,9
240,2015-01-31 00:00:00,13
241,2015-01-31 03:00:00,14
242,2015-01-31 06:00:00,13
243,2015-01-31 09:00:00,14
244,2015-01-31 12:00:00,18
245,2015-01-31 15:00:00,23
246,2015-01-31 18:00:00,25
247,2015-01-31 21:00:00,22
248,2015-02-01 00:00:00,20
249,2015-02-01 03:00:00,16
250,2015-02-01 06:00:00,18
251,2015-02-01 09:00:00,19
252,2015-02-01 12:00:00,20
253,2015-02-01 15:00:00,15
254,2015-02-01 18:00:00,15
255,2015-02-01 21:00:00,14
256,2015-02-02 00:00:00,18
257,2015-02-02 03:00:00,18
258,2015-02-02 06:00:00,20
259,2015-02-02 09:00:00,23
260,2015-02-02 12:00:00,27
261,2015-02-02 15:00:00,22
262,2015-02-02 18:00:00,21
263,2015-02-02 21:00:00,23
264,2015-02-03 00:00:00,28
265,2015-02-03 03:00:00,28
266,2015-02-03 06:00:00,27
267,2015-02-03 09:00:00,30
268,2015-02-03 12:00:00,33
269,2015-02-03 15:00:00,30
270,2015-02-03 18:00:00,37
271,2015-02-03 21:00:00,37
272,2015-02-04 00:00:00,40
273,2015-02-04 03:00:00,39
274,2015-02-04 06:00:00,36
275,2015-02-04 09:00:00,38
276,2015-02-04 12:00:00,47
277,2015-02-04 15:00:00,47
278,2015-02-04 18:00:00,43
279,2015-02-04 21:00:00,58
280,2015-02-05 00:00:00,67
281,2015-02-05 03:00:00,53
282,2015-02-05 06:00:00,56
283,2015-02-05 09:00:00,60
284,2015-02-05 12:00:00,63
285,2015-02-05 15:00:00,61
286,2015-02-05 18:00:00,46
287,2015-02-05 21:00:00,42
288,2015-02-06 00:00:00,40
289,2015-02-06 03:00:00,35
290,2015-02-06 06:00:00,34
291,2015-02-06 09:00:00,37
292,2015-02-06 12:00:00,38
293,2015-02-06 15:00:00,27
294,2015-02-06 18:00:00,21
295,2015-02-06 21:00:00,17
296,2015-02-07 00:00:00,22
297,2015-02-07 03:00:00,24
298,2015-02-07 06:00:00,23
299,2015-02-07 09:00:00,26
300,2015-02-07 12:00:00,27
301,2015-02-07 15:00:00,23
302,2015-02-07 18:00:00,24
303,2015-02-07 21:00:00,26
304,2015-02-08 00:00:00,30
305,2015-02-08 03:00:00,9
306,2015-02-08 06:00:00,13
307,2015-02-08 09:00:00,15
308,2015-02-08 12:00:00,19
309,2015-02-08 15:00:00,22
310,2015-02-08 18:00:00,19
311,2015-02-08 21:00:00,13
312,2015-02-09 00:00:00,12
313,2015-02-09 03:00:00,11
314,2015-02-09 06:00:00,11
315,2015-02-09 09:00:00,13
316,2015-02-09 12:00:00,15
317,2015-02-09 15:00:00,14
318,2015-02-09 18:00:00,14
319,2015-02-09 21:00:00,21
320,2015-02-10 00:00:00,35
321,2015-02-10 03:00:00,29
322,2015-02-10 06:00:00,29
323,2015-02-10 09:00:00,37
324,2015-02-10 12:00:00,48
325,2015-02-10 15:00:00,56
326,2015-02-10 18:00:00,59
327,2015-02-10 21:00:00,60
328,2015-02-11 00:00:00,62
329,2015-02-11 03:00:00,57
330,2015-02-11 06:00:00,50
331,2015-02-11 09:00:00,49
332,2015-02-11 12:00:00,61
333,2015-02-11 15:00:00,42
334,2015-02-11 18:00:00,30
335,2015-02-11 21:00:00,37
336,2015-02-12 00:00:00,30
337,2015-02-12 03:00:00,14
338,2015-02-12 06:00:00,14
339,2015-02-12 09:00:00,13
340,2015-02-12 12:00:00,16
341,2015-02-12 15:00:00,14
342,2015-02-12 18:00:00,13
343,2015-02-12 21:00:00,12
344,2015-02-13 00:00:00,12
345,2015-02-13 03:00:00,12
346,2015-02-13 06:00:00,13
347,2015-02-13 09:00:00,15
348,2015-02-13 12:00:00,18
349,2015-02-13 15:00:00,13
350,2015-02-13 18:00:00,17
351,2015-02-13 21:00:00,19
352,2015-02-14 00:00:00,21
353,2015-02-14 03:00:00,23
354,2015-02-14 06:00:00,22
355,2015-02-14 09:00:00,23
356,2015-02-14 12:00:00,27
357,2015-02-14 15:00:00,31
358,2015-02-14 18:00:00,36
359,2015-02-14 21:00:00,37
360,2015-02-15 00:00:00,41
361,2015-02-15 03:00:00,39
362,2015-02-15 06:00:00,42
363,2015-02-15 09:00:00,41
364,2015-02-15 12:00:00,41
365,2015-02-15 15:00:00,35
366,2015-02-15 18:00:00,32
367,2015-02-15 21:00:00,38
368,2015-02-16 00:00:00,44
369,2015-02-16 03:00:00,43
370,2015-02-16 06:00:00,37
371,2015-02-16 09:00:00,30
372,2015-02-16 12:00:00,25
373,2015-02-16 15:00:00,18
374,2015-02-16 18:00:00,13
375,2015-02-16 21:00:00,11
376,2015-02-17 00:00:00,11
377,2015-02-17 03:00:00,20
378,2015-02-17 06:00:00,24
379,2015-02-17 09:00:00,48
380,2015-02-17 12:00:00,50
381,2015-02-17 15:00:00,36
382,2015-02-17 18:00:00,34
383,2015-02-17 21:00:00,36
384,2015-02-18 00:00:00,44
385,2015-02-18 03:00:00,41
386,2015-02-18 06:00:00,37
387,2015-02-18 09:00:00,31
388,2015-02-18 12:00:00,36
389,2015-02-18 15:00:00,49
390,2015-02-18 18:00:00,44
391,2015-02-18 21:00:00,48
392,2015-02-19 00:00:00,48
393,2015-02-19 03:00:00,45
394,2015-02-19 06:00:00,38
395,2015-02-19 09:00:00,41
396,2015-02-19 12:00:00,46
397,2015-02-19 15:00:00,38
398,2015-02-19 18:00:00,35
399,2015-02-19 21:00:00,34
400,2015-02-20 00:00:00,34
401,2015-02-20 03:00:00,36
402,2015-02-20 06:00:00,35
403,2015-02-20 09:00:00,34
404,2015-02-20 12:00:00,37
405,2015-02-20 15:00:00,29
406,2015-02-20 18:00:00,28
407,2015-02-20 21:00:00,27
408,2015-02-21 00:00:00,36
409,2015-02-21 03:00:00,30
410,2015-02-21 06:00:00,28
411,2015-02-21 09:00:00,22
412,2015-02-21 12:00:00,14
413,2015-02-21 15:00:00,8
414,2015-02-21 18:00:00,7
415,2015-02-21 21:00:00,6
416,2015-02-22 00:00:00,7
417,2015-02-22 03:00:00,7
418,2015-02-22 06:00:00,6
419,2015-02-22 09:00:00,7
420,2015-02-22 12:00:00,30
421,2015-02-22 15:00:00,62
422,2015-02-22 18:00:00,34
423,2015-02-22 21:00:00,47
424,2015-02-23 00:00:00,65
425,2015-02-23 03:00:00,69
426,2015-02-23 06:00:00,69
427,2015-02-23 09:00:00,67
428,2015-02-23 12:00:00,81
429,2015-02-23 15:00:00,79
430,2015-02-23 18:00:00,82
431,2015-02-23 21:00:00,51
432,2015-02-24 00:00:00,36
433,2015-02-24 03:00:00,28
434,2015-02-24 06:00:00,26
435,2015-02-24 09:00:00,26
436,2015-02-24 12:00:00,25
437,2015-02-24 15:00:00,28
438,2015-02-24 18:00:00,30
439,2015-02-24 21:00:00,27
440,2015-02-25 00:00:00,29
441,2015-02-25 03:00:00,28
442,2015-02-25 06:00:00,27
443,2015-02-25 09:00:00,29
444,2015-02-25 12:00:00,33
445,2015-02-25 15:00:00,26
446,2015-02-25 18:00:00,24
447,2015-02-25 21:00:00,20
448,2015-02-26 00:00:00,18
449,2015-02-26 03:00:00,19
450,2015-02-26 06:00:00,30
451,2015-02-26 09:00:00,21
452,2015-02-26 12:00:00,27
453,2015-02-26 15:00:00,20
454,2015-02-26 18:00:00,9
455,2015-02-26 21:00:00,8
456,2015-02-27 00:00:00,10
457,2015-02-27 03:00:00,16
458,2015-02-27 06:00:00,15
459,2015-02-27 09:00:00,11
460,2015-02-27 12:00:00,13
461,2015-02-27 15:00:00,16
462,2015-02-27 18:00:00,19
