,일시,초미세먼지농도
0,2015-01-01 03:00:00,11
1,2015-01-01 06:00:00,15
2,2015-01-01 09:00:00,17
3,2015-01-01 12:00:00,16
4,2015-01-01 15:00:00,12
5,2015-01-01 18:00:00,13
6,2015-01-01 21:00:00,11
7,2015-01-02 00:00:00,11
8,2015-01-02 03:00:00,10
9,2015-01-02 06:00:00,11
10,2015-01-02 09:00:00,13
11,2015-01-02 12:00:00,12
12,2015-01-02 15:00:00,13
13,2015-01-02 18:00:00,14
14,2015-01-02 21:00:00,13
15,2015-01-03 00:00:00,16
16,2015-01-03 03:00:00,17
17,2015-01-03 06:00:00,18
18,2015-01-03 09:00:00,20
19,2015-01-03 12:00:00,24
20,2015-01-03 15:00:00,23
21,2015-01-03 18:00:00,19
22,2015-01-03 21:00:00,18
23,2015-01-04 00:00:00,20
24,2015-01-04 03:00:00,19
25,2015-01-04 06:00:00,19
26,2015-01-04 09:00:00,18
27,2015-01-04 12:00:00,18
28,2015-01-04 15:00:00,19
29,2015-01-04 18:00:00,25
30,2015-01-04 21:00:00,31
31,2015-01-05 00:00:00,36
32,2015-01-05 03:00:00,31
33,2015-01-05 06:00:00,30
34,2015-01-05 09:00:00,29
35,2015-01-05 12:00:00,34
36,2015-01-05 15:00:00,45
37,2015-01-05 18:00:00,49
38,2015-01-05 21:00:00,52
39,2015-01-06 00:00:00,52
40,2015-01-06 03:00:00,47
41,2015-01-06 06:00:00,34
42,2015-01-06 09:00:00,12
43,2015-01-06 12:00:00,7
44,2015-01-06 15:00:00,7
45,2015-01-06 18:00:00,8
46,2015-01-06 21:00:00,5
47,2015-01-07 00:00:00,6
48,2015-01-07 03:00:00,6
49,2015-01-07 06:00:00,8
50,2015-01-07 09:00:00,10
51,2015-01-07 12:00:00,12
52,2015-01-07 15:00:00,15
53,2015-01-07 18:00:00,16
54,2015-01-07 21:00:00,14
55,2015-01-08 00:00:00,17
56,2015-01-08 03:00:00,16
57,2015-01-08 06:00:00,16
58,2015-01-08 09:00:00,19
59,2015-01-08 12:00:00,22
60,2015-01-08 15:00:00,22
61,2015-01-08 18:00:00,23
62,2015-01-08 21:00:00,19
63,2015-01-09 00:00:00,23
64,2015-01-09 03:00:00,23
65,2015-01-09 06:00:00,21
66,2015-01-09 09:00:00,25
67,2015-01-09 12:00:00,32
68,2015-01-09 15:00:00,30
69,2015-01-09 18:00:00,27
70,2015-01-09 21:00:00,27
71,2015-01-10 00:00:00,28
72,2015-01-10 03:00:00,21
73,2015-01-10 06:00:00,21
74,2015-01-10 09:00:00,27
75,2015-01-10 12:00:00,30
76,2015-01-10 15:00:00,19
77,2015-01-10 18:00:00,11
78,2015-01-10 21:00:00,14
79,2015-01-11 00:00:00,15
