group,일시,pm2.5
0,2023-01-01 03:00:00,50.0
1,2023-01-01 06:00:00,56.0
2,2023-01-01 09:00:00,49.0
3,2023-01-01 12:00:00,52.0
4,2023-01-01 15:00:00,40.0
5,2023-01-01 18:00:00,21.0
6,2023-01-01 21:00:00,15.0
7,2023-01-02 00:00:00,10.0
8,2023-01-02 03:00:00,10.0
9,2023-01-02 06:00:00,10.0
10,2023-01-02 09:00:00,11.0
11,2023-01-02 12:00:00,12.0
12,2023-01-02 15:00:00,14.0
13,2023-01-02 18:00:00,11.0
14,2023-01-02 21:00:00,11.0
15,2023-01-03 00:00:00,13.0
16,2023-01-03 03:00:00,14.0
17,2023-01-03 06:00:00,15.0
18,2023-01-03 09:00:00,18.0
19,2023-01-03 12:00:00,23.0
20,2023-01-03 15:00:00,17.0
21,2023-01-03 18:00:00,15.0
22,2023-01-03 21:00:00,17.0
23,2023-01-04 00:00:00,17.0
24,2023-01-04 03:00:00,19.0
25,2023-01-04 06:00:00,20.0
26,2023-01-04 09:00:00,21.0
27,2023-01-04 12:00:00,28.0
28,2023-01-04 15:00:00,24.0
29,2023-01-04 18:00:00,23.0
30,2023-01-04 21:00:00,23.0
31,2023-01-05 00:00:00,26.0
32,2023-01-05 03:00:00,28.0
33,2023-01-05 06:00:00,28.0
34,2023-01-05 09:00:00,30.0
35,2023-01-05 12:00:00,38.0
36,2023-01-05 15:00:00,40.0
37,2023-01-05 18:00:00,36.0
38,2023-01-05 21:00:00,42.0
39,2023-01-06 00:00:00,45.0
40,2023-01-06 03:00:00,44.0
41,2023-01-06 06:00:00,41.0
42,2023-01-06 09:00:00,41.0
43,2023-01-06 12:00:00,50.0
44,2023-01-06 15:00:00,59.0
45,2023-01-06 18:00:00,76.0
46,2023-01-06 21:00:00,88.0
47,2023-01-07 00:00:00,91.0
48,2023-01-07 03:00:00,84.0
49,2023-01-07 06:00:00,99.0
50,2023-01-07 09:00:00,92.0
51,2023-01-07 12:00:00,87.0
52,2023-01-07 15:00:00,106.0
53,2023-01-07 18:00:00,97.0
54,2023-01-07 21:00:00,82.0
55,2023-01-08 00:00:00,70.0
56,2023-01-08 03:00:00,62.0
57,2023-01-08 06:00:00,59.0
58,2023-01-08 09:00:00,60.0
59,2023-01-08 12:00:00,72.0
60,2023-01-08 15:00:00,59.0
61,2023-01-08 18:00:00,48.0
62,2023-01-08 21:00:00,55.0
63,2023-01-09 00:00:00,54.0
64,2023-01-09 03:00:00,52.0
65,2023-01-09 06:00:00,50.0
66,2023-01-09 09:00:00,50.0
67,2023-01-09 12:00:00,50.0
68,2023-01-09 15:00:00,38.0
69,2023-01-09 18:00:00,31.0
70,2023-01-09 21:00:00,21.0
71,2023-01-10 00:00:00,24.0
72,2023-01-10 03:00:00,23.0
73,2023-01-10 06:00:00,24.0
74,2023-01-10 09:00:00,27.0
75,2023-01-10 12:00:00,32.0
76,2023-01-10 15:00:00,33.0
77,2023-01-10 18:00:00,37.0
78,2023-01-10 21:00:00,41.0
79,2023-01-11 00:00:00,43.0
80,2023-01-11 03:00:00,42.0
81,2023-01-11 06:00:00,41.0
82,2023-01-11 09:00:00,44.0
83,2023-01-11 12:00:00,54.0
84,2023-01-11 15:00:00,51.0
85,2023-01-11 18:00:00,47.0
86,2023-01-11 21:00:00,50.0
87,2023-01-12 00:00:00,50.0
88,2023-01-12 03:00:00,45.0
89,2023-01-12 06:00:00,44.0
90,2023-01-12 09:00:00,47.0
91,2023-01-12 12:00:00,53.0
92,2023-01-12 15:00:00,50.0
93,2023-01-12 18:00:00,37.0
94,2023-01-12 21:00:00,42.0
95,2023-01-13 00:00:00,30.0
96,2023-01-13 03:00:00,25.0
97,2023-01-13 06:00:00,17.0
98,2023-01-13 09:00:00,9.0
99,2023-01-13 12:00:00,5.0
100,2023-01-13 15:00:00,9.0
101,2023-01-13 18:00:00,11.0
102,2023-01-13 21:00:00,14.0
103,2023-01-14 00:00:00,14.0
104,2023-01-14 03:00:00,13.0
105,2023-01-14 06:00:00,12.0
106,2023-01-14 09:00:00,12.0
107,2023-01-14 12:00:00,11.0
108,2023-01-14 15:00:00,6.0
109,2023-01-14 18:00:00,3.0
110,2023-01-14 21:00:00,3.0
111,2023-01-15 00:00:00,2.0
112,2023-01-15 03:00:00,2.0
113,2023-01-15 06:00:00,2.0
114,2023-01-15 09:00:00,2.0
115,2023-01-15 12:00:00,6.0
116,2023-01-15 15:00:00,16.0
117,2023-01-15 18:00:00,18.0
118,2023-01-15 21:00:00,18.0
119,2023-01-16 00:00:00,15.0
120,2023-01-16 03:00:00,15.0
121,2023-01-16 06:00:00,13.0
122,2023-01-16 09:00:00,12.0
123,2023-01-16 12:00:00,12.0
124,2023-01-16 15:00:00,12.0
125,2023-01-16 18:00:00,11.0
126,2023-01-16 21:00:00,11.0
127,2023-01-17 00:00:00,12.0
128,2023-01-17 03:00:00,12.0
129,2023-01-17 06:00:00,12.0
130,2023-01-17 09:00:00,14.0
131,2023-01-17 12:00:00,15.0
132,2023-01-17 15:00:00,19.0
133,2023-01-17 18:00:00,20.0
134,2023-01-17 21:00:00,21.0
135,2023-01-18 00:00:00,22.0
136,2023-01-18 03:00:00,25.0
137,2023-01-18 06:00:00,27.0
138,2023-01-18 09:00:00,31.0
139,2023-01-18 12:00:00,29.0
140,2023-01-18 15:00:00,23.0
141,2023-01-18 18:00:00,15.0
142,2023-01-18 21:00:00,16.0
143,2023-01-19 00:00:00,22.0
144,2023-01-19 03:00:00,22.0
145,2023-01-19 06:00:00,22.0
146,2023-01-19 09:00:00,23.0
147,2023-01-19 12:00:00,27.0
148,2023-01-19 15:00:00,26.0
149,2023-01-19 18:00:00,27.0
150,2023-01-19 21:00:00,26.0
151,2023-01-20 00:00:00,21.0
152,2023-01-20 03:00:00,29.0
153,2023-01-20 06:00:00,43.0
154,2023-01-20 09:00:00,29.0
155,2023-01-20 12:00:00,8.0
156,2023-01-20 15:00:00,6.0
157,2023-01-20 18:00:00,5.0
158,2023-01-20 21:00:00,5.0
159,2023-01-21 00:00:00,7.0
160,2023-01-21 03:00:00,8.0
161,2023-01-21 06:00:00,9.0
162,2023-01-21 09:00:00,10.0
163,2023-01-21 12:00:00,11.0
164,2023-01-21 15:00:00,11.0
165,2023-01-21 18:00:00,10.0
166,2023-01-21 21:00:00,12.0
167,2023-01-22 00:00:00,13.0
168,2023-01-22 03:00:00,13.0
169,2023-01-22 06:00:00,12.0
170,2023-01-22 09:00:00,10.0
171,2023-01-22 12:00:00,10.0
172,2023-01-22 15:00:00,12.0
173,2023-01-22 18:00:00,13.0
174,2023-01-22 21:00:00,14.0
175,2023-01-23 00:00:00,15.0
176,2023-01-23 03:00:00,16.0
177,2023-01-23 06:00:00,16.0
178,2023-01-23 09:00:00,18.0
179,2023-01-23 12:00:00,25.0
180,2023-01-23 15:00:00,35.0
181,2023-01-23 18:00:00,39.0
182,2023-01-23 21:00:00,44.0
183,2023-01-24 00:00:00,38.0
184,2023-01-24 03:00:00,17.0
185,2023-01-24 06:00:00,14.0
186,2023-01-24 09:00:00,10.0
187,2023-01-24 12:00:00,5.0
188,2023-01-24 15:00:00,7.0
189,2023-01-24 18:00:00,8.0
190,2023-01-24 21:00:00,8.0
191,2023-01-25 00:00:00,8.0
192,2023-01-25 03:00:00,7.0
193,2023-01-25 06:00:00,6.0
194,2023-01-25 09:00:00,7.0
195,2023-01-25 12:00:00,11.0
196,2023-01-25 15:00:00,10.0
197,2023-01-25 18:00:00,7.0
198,2023-01-25 21:00:00,10.0
199,2023-01-26 00:00:00,11.0
200,2023-01-26 03:00:00,12.0
201,2023-01-26 06:00:00,12.0
202,2023-01-26 09:00:00,15.0
203,2023-01-26 12:00:00,18.0
204,2023-01-26 15:00:00,21.0
205,2023-01-26 18:00:00,23.0
206,2023-01-26 21:00:00,25.0
207,2023-01-27 00:00:00,26.0
208,2023-01-27 03:00:00,30.0
209,2023-01-27 06:00:00,32.0
210,2023-01-27 09:00:00,27.0
211,2023-01-27 12:00:00,14.0
212,2023-01-27 15:00:00,8.0
213,2023-01-27 18:00:00,7.0
214,2023-01-27 21:00:00,11.0
215,2023-01-28 00:00:00,15.0
216,2023-01-28 03:00:00,15.0
217,2023-01-28 06:00:00,13.0
218,2023-01-28 09:00:00,13.0
219,2023-01-28 12:00:00,16.0
220,2023-01-28 15:00:00,14.0
221,2023-01-28 18:00:00,9.0
222,2023-01-28 21:00:00,9.0
223,2023-01-29 00:00:00,9.0
224,2023-01-29 03:00:00,9.0
225,2023-01-29 06:00:00,10.0
226,2023-01-29 09:00:00,11.0
227,2023-01-29 12:00:00,12.0
228,2023-01-29 15:00:00,13.0
229,2023-01-29 18:00:00,15.0
230,2023-01-29 21:00:00,26.0
231,2023-01-30 00:00:00,20.0
232,2023-01-30 03:00:00,22.0
233,2023-01-30 06:00:00,22.0
234,2023-01-30 09:00:00,21.0
235,2023-01-30 12:00:00,16.0
236,2023-01-30 15:00:00,9.0
237,2023-01-30 18:00:00,9.0
238,2023-01-30 21:00:00,13.0
239,2023-01-31 00:00:00,13.0
240,2023-01-31 03:00:00,14.0
241,2023-01-31 06:00:00,13.0
242,2023-01-31 09:00:00,15.0
243,2023-01-31 12:00:00,18.0
244,2023-01-31 15:00:00,17.0
245,2023-01-31 18:00:00,15.0
246,2023-01-31 21:00:00,16.0
247,2023-02-01 00:00:00,18.0
248,2023-02-01 03:00:00,41.0
249,2023-02-01 06:00:00,52.0
250,2023-02-01 09:00:00,58.0
251,2023-02-01 12:00:00,52.0
252,2023-02-01 15:00:00,23.0
253,2023-02-01 18:00:00,15.0
254,2023-02-01 21:00:00,12.0
255,2023-02-02 00:00:00,11.0
256,2023-02-02 03:00:00,10.0
257,2023-02-02 06:00:00,11.0
258,2023-02-02 09:00:00,14.0
259,2023-02-02 12:00:00,18.0
260,2023-02-02 15:00:00,19.0
261,2023-02-02 18:00:00,17.0
262,2023-02-02 21:00:00,15.0
263,2023-02-03 00:00:00,15.0
264,2023-02-03 03:00:00,18.0
265,2023-02-03 06:00:00,18.0
266,2023-02-03 09:00:00,21.0
267,2023-02-03 12:00:00,22.0
268,2023-02-03 15:00:00,17.0
269,2023-02-03 18:00:00,15.0
270,2023-02-03 21:00:00,16.0
271,2023-02-04 00:00:00,20.0
272,2023-02-04 03:00:00,20.0
273,2023-02-04 06:00:00,15.0
274,2023-02-04 09:00:00,17.0
275,2023-02-04 12:00:00,23.0
276,2023-02-04 15:00:00,33.0
277,2023-02-04 18:00:00,25.0
278,2023-02-04 21:00:00,30.0
279,2023-02-05 00:00:00,40.0
280,2023-02-05 03:00:00,46.0
281,2023-02-05 06:00:00,45.0
282,2023-02-05 09:00:00,47.0
283,2023-02-05 12:00:00,55.0
284,2023-02-05 15:00:00,57.0
285,2023-02-05 18:00:00,46.0
286,2023-02-05 21:00:00,45.0
287,2023-02-06 00:00:00,50.0
288,2023-02-06 03:00:00,53.0
289,2023-02-06 06:00:00,54.0
290,2023-02-06 09:00:00,58.0
291,2023-02-06 12:00:00,63.0
292,2023-02-06 15:00:00,58.0
293,2023-02-06 18:00:00,59.0
294,2023-02-06 21:00:00,57.0
295,2023-02-07 00:00:00,59.0
296,2023-02-07 03:00:00,58.0
297,2023-02-07 06:00:00,54.0
298,2023-02-07 09:00:00,54.0
299,2023-02-07 12:00:00,59.0
300,2023-02-07 15:00:00,59.0
301,2023-02-07 18:00:00,59.0
302,2023-02-07 21:00:00,60.0
303,2023-02-08 00:00:00,67.0
304,2023-02-08 03:00:00,71.0
305,2023-02-08 06:00:00,73.0
306,2023-02-08 09:00:00,74.0
307,2023-02-08 12:00:00,55.0
308,2023-02-08 15:00:00,32.0
309,2023-02-08 18:00:00,27.0
310,2023-02-08 21:00:00,24.0
311,2023-02-09 00:00:00,18.0
312,2023-02-09 03:00:00,17.0
