,지점,일시,16 방위 풍향,풍속,강수량,기온,month,time
0,54511,2023-01-01 00:00:00,6.0,1.0,0.0,-5.9,01,00
1,54511,2023-01-01 03:00:00,4.0,3.0,0.0,1.2,01,03
2,54511,2023-01-01 06:00:00,6.0,3.0,0.0,3.4,01,06
3,54511,2023-01-01 09:00:00,22.0,1.0,0.0,1.2,01,09
4,54511,2023-01-01 12:00:00,36.0,0.0,0.0,-4.3,01,12
5,54511,2023-01-01 15:00:00,1.0,1.0,0.0,-5.3,01,15
6,54511,2023-01-01 18:00:00,3.0,2.0,0.0,-1.8,01,18
7,54511,2023-01-01 21:00:00,4.0,3.0,0.0,-3.3,01,21
8,54511,2023-01-02 00:00:00,4.0,2.0,0.0,-4.5,01,00
9,54511,2023-01-02 03:00:00,5.0,4.0,0.0,-0.6,01,03
10,54511,2023-01-02 06:00:00,7.0,2.0,0.0,2.2,01,06
11,54511,2023-01-02 09:00:00,18.0,1.0,0.0,1.2,01,09
12,54511,2023-01-02 12:00:00,22.0,1.0,0.0,-4.4,01,12
13,54511,2023-01-02 15:00:00,6.0,1.0,0.0,-6.9,01,15
14,54511,2023-01-02 18:00:00,5.0,1.0,0.0,-7.1,01,18
15,54511,2023-01-02 21:00:00,6.0,1.0,0.0,-7.8,01,21
16,54511,2023-01-03 00:00:00,5.0,1.0,0.0,-6.7,01,00
17,54511,2023-01-03 03:00:00,4.0,2.0,0.0,0.2,01,03
18,54511,2023-01-03 06:00:00,19.0,2.0,0.0,3.1,01,06
19,54511,2023-01-03 09:00:00,22.0,1.0,0.0,1.2,01,09
20,54511,2023-01-03 12:00:00,36.0,0.0,0.0,-4.2,01,12
21,54511,2023-01-03 15:00:00,5.0,1.0,0.0,-6.6,01,15
22,54511,2023-01-03 18:00:00,7.0,1.0,0.0,-7.0,01,18
23,54511,2023-01-03 21:00:00,6.0,1.0,0.0,-6.9,01,21
24,54511,2023-01-04 00:00:00,7.0,1.0,0.0,-7.7,01,00
25,54511,2023-01-04 03:00:00,34.0,1.0,0.0,1.7,01,03
26,54511,2023-01-04 06:00:00,28.0,1.0,0.0,5.2,01,06
27,54511,2023-01-04 09:00:00,23.0,2.0,0.0,2.5,01,09
28,54511,2023-01-04 12:00:00,22.0,1.0,0.0,-2.8,01,12
29,54511,2023-01-04 15:00:00,18.0,1.0,0.0,-4.3,01,15
30,54511,2023-01-04 18:00:00,26.0,0.0,0.0,-6.3,01,18
31,54511,2023-01-04 21:00:00,5.0,1.0,0.0,-7.6,01,21
32,54511,2023-01-05 00:00:00,6.0,1.0,0.0,-6.0,01,00
33,54511,2023-01-05 03:00:00,12.0,2.0,0.0,-1.7,01,03
34,54511,2023-01-05 06:00:00,18.0,2.0,0.0,4.6,01,06
35,54511,2023-01-05 09:00:00,22.0,2.0,0.0,2.2,01,09
36,54511,2023-01-05 12:00:00,17.0,0.0,0.0,-3.0,01,12
37,54511,2023-01-05 15:00:00,10.0,1.0,0.0,-3.2,01,15
38,54511,2023-01-05 18:00:00,5.0,1.0,0.0,-3.0,01,18
39,54511,2023-01-05 21:00:00,4.0,1.0,0.0,-3.8,01,21
40,54511,2023-01-06 00:00:00,25.0,2.0,0.0,-4.5,01,00
41,54511,2023-01-06 03:00:00,22.0,2.0,0.0,3.4,01,03
42,54511,2023-01-06 06:00:00,31.0,5.0,0.0,8.9,01,06
43,54511,2023-01-06 09:00:00,33.0,3.0,0.0,8.3,01,09
44,54511,2023-01-06 12:00:00,32.0,2.0,0.0,6.9,01,12
45,54511,2023-01-06 15:00:00,3.0,1.0,0.0,0.0,01,15
46,54511,2023-01-06 18:00:00,29.0,1.0,0.0,-3.6,01,18
47,54511,2023-01-06 21:00:00,1.0,1.0,0.0,-4.6,01,21
48,54511,2023-01-07 00:00:00,8.0,2.0,0.0,-3.4,01,00
49,54511,2023-01-07 03:00:00,5.0,1.0,0.0,2.9,01,03
50,54511,2023-01-07 06:00:00,8.0,2.0,0.0,6.2,01,06
51,54511,2023-01-07 09:00:00,11.0,1.0,0.0,5.2,01,09
52,54511,2023-01-07 12:00:00,6.0,1.0,0.0,-1.7,01,12
53,54511,2023-01-07 15:00:00,6.0,1.0,0.0,-3.5,01,15
54,54511,2023-01-07 18:00:00,4.0,2.0,0.0,-2.0,01,18
55,54511,2023-01-07 21:00:00,4.0,1.0,0.0,-5.2,01,21
56,54511,2023-01-08 00:00:00,4.0,1.0,0.0,-4.7,01,00
57,54511,2023-01-08 03:00:00,5.0,3.0,0.0,8.1,01,03
58,54511,2023-01-08 06:00:00,5.0,3.0,0.0,12.0,01,06
59,54511,2023-01-08 09:00:00,3.0,2.0,0.0,9.4,01,09
60,54511,2023-01-08 12:00:00,3.0,1.0,0.0,2.2,01,12
61,54511,2023-01-08 15:00:00,5.0,3.0,0.0,5.7,01,15
62,54511,2023-01-08 18:00:00,5.0,1.0,0.0,3.3,01,18
63,54511,2023-01-08 21:00:00,36.0,0.0,0.0,-3.5,01,21
64,54511,2023-01-09 00:00:00,30.0,0.0,0.0,-3.2,01,00
65,54511,2023-01-09 03:00:00,20.0,2.0,0.0,5.9,01,03
66,54511,2023-01-09 06:00:00,23.0,2.0,0.0,8.3,01,06
67,54511,2023-01-09 09:00:00,22.0,2.0,0.0,6.2,01,09
68,54511,2023-01-09 12:00:00,18.0,1.0,0.0,2.6,01,12
69,54511,2023-01-09 15:00:00,20.0,2.0,0.0,0.1,01,15
70,54511,2023-01-09 18:00:00,19.0,2.0,0.0,-1.6,01,18
71,54511,2023-01-09 21:00:00,20.0,2.0,0.0,-3.8,01,21
72,54511,2023-01-10 00:00:00,4.0,1.0,0.0,-5.9,01,00
73,54511,2023-01-10 03:00:00,12.0,1.0,0.0,3.0,01,03
74,54511,2023-01-10 06:00:00,22.0,3.0,0.0,7.1,01,06
75,54511,2023-01-10 09:00:00,18.0,1.0,0.0,5.5,01,09
76,54511,2023-01-10 12:00:00,36.0,0.0,0.0,-1.2,01,12
77,54511,2023-01-10 15:00:00,8.0,1.0,0.0,-2.5,01,15
78,54511,2023-01-10 18:00:00,35.0,1.0,0.0,-4.5,01,18
79,54511,2023-01-10 21:00:00,7.0,1.0,0.0,-4.5,01,21
80,54511,2023-01-11 00:00:00,6.0,1.0,0.0,-4.9,01,00
81,54511,2023-01-11 03:00:00,6.0,2.0,0.0,1.3,01,03
82,54511,2023-01-11 06:00:00,7.0,2.0,0.0,2.4,01,06
83,54511,2023-01-11 09:00:00,6.0,2.0,0.0,2.5,01,09
84,54511,2023-01-11 12:00:00,3.0,1.0,0.0,2.0,01,12
85,54511,2023-01-11 15:00:00,4.0,1.0,0.0,2.0,01,15
86,54511,2023-01-11 18:00:00,7.0,1.0,0.0,2.2,01,18
87,54511,2023-01-11 21:00:00,6.0,1.0,0.0,2.0,01,21
88,54511,2023-01-12 00:00:00,6.0,1.0,0.0,2.2,01,00
89,54511,2023-01-12 03:00:00,2.0,1.0,0.0,3.0,01,03
90,54511,2023-01-12 06:00:00,4.0,1.0,0.0,3.6,01,06
91,54511,2023-01-12 09:00:00,2.0,2.0,0.2,2.2,01,09
92,54511,2023-01-12 12:00:00,36.0,2.0,0.4,2.6,01,12
93,54511,2023-01-12 15:00:00,2.0,1.0,0.6,2.4,01,15
94,54511,2023-01-12 18:00:00,36.0,1.0,0.6,4.0,01,18
95,54511,2023-01-12 21:00:00,7.0,2.0,0.4,0.9,01,21
96,54511,2023-01-13 00:00:00,8.0,1.0,0.2,0.1,01,00
97,54511,2023-01-13 03:00:00,2.0,2.0,0.0,6.8,01,03
98,54511,2023-01-13 06:00:00,4.0,2.0,0.0,6.7,01,06
99,54511,2023-01-13 09:00:00,3.0,5.0,0.0,4.8,01,09
100,54511,2023-01-13 12:00:00,36.0,5.0,0.0,1.4,01,12
101,54511,2023-01-13 15:00:00,34.0,5.0,0.0,-1.5,01,15
102,54511,2023-01-13 18:00:00,36.0,5.0,0.0,-2.9,01,18
103,54511,2023-01-13 21:00:00,36.0,7.0,0.0,-4.3,01,21
104,54511,2023-01-14 00:00:00,34.0,4.0,0.0,-5.1,01,00
105,54511,2023-01-14 03:00:00,35.0,5.0,0.0,-4.3,01,03
106,54511,2023-01-14 06:00:00,34.0,5.0,0.0,-3.4,01,06
107,54511,2023-01-14 09:00:00,32.0,4.0,0.0,-3.6,01,09
108,54511,2023-01-14 12:00:00,34.0,5.0,0.0,-4.7,01,12
109,54511,2023-01-14 15:00:00,36.0,4.0,0.0,-6.1,01,15
110,54511,2023-01-14 18:00:00,5.0,2.0,0.0,-8.1,01,18
111,54511,2023-01-14 21:00:00,7.0,3.0,0.0,-8.9,01,21
112,54511,2023-01-15 00:00:00,17.0,1.0,0.0,-11.1,01,00
113,54511,2023-01-15 03:00:00,23.0,3.0,0.0,-4.3,01,03
114,54511,2023-01-15 06:00:00,29.0,5.0,0.0,-0.5,01,06
115,54511,2023-01-15 09:00:00,32.0,3.0,0.0,-1.2,01,09
116,54511,2023-01-15 12:00:00,33.0,2.0,0.0,-2.6,01,12
117,54511,2023-01-15 15:00:00,34.0,2.0,0.0,-3.1,01,15
118,54511,2023-01-15 18:00:00,1.0,2.0,0.0,-3.8,01,18
119,54511,2023-01-15 21:00:00,9.0,1.0,0.0,-10.0,01,21
120,54511,2023-01-16 00:00:00,25.0,1.0,0.0,-9.9,01,00
121,54511,2023-01-16 03:00:00,20.0,2.0,0.0,-1.3,01,03
122,54511,2023-01-16 06:00:00,23.0,4.0,0.0,1.0,01,06
123,54511,2023-01-16 09:00:00,23.0,3.0,0.0,-0.5,01,09
124,54511,2023-01-16 12:00:00,20.0,1.0,0.0,-2.8,01,12
125,54511,2023-01-16 15:00:00,18.0,1.0,0.0,-5.3,01,15
126,54511,2023-01-16 18:00:00,24.0,0.0,0.0,-7.9,01,18
127,54511,2023-01-16 21:00:00,34.0,4.0,0.0,-0.9,01,21
128,54511,2023-01-17 00:00:00,31.0,3.0,0.0,-1.3,01,00
129,54511,2023-01-17 03:00:00,30.0,3.0,0.0,1.4,01,03
130,54511,2023-01-17 06:00:00,32.0,5.0,0.0,2.9,01,06
131,54511,2023-01-17 09:00:00,29.0,3.0,0.0,1.8,01,09
132,54511,2023-01-17 12:00:00,32.0,2.0,0.0,0.5,01,12
133,54511,2023-01-17 15:00:00,35.0,2.0,0.0,-0.3,01,15
134,54511,2023-01-17 18:00:00,11.0,1.0,0.0,-3.6,01,18
135,54511,2023-01-17 21:00:00,36.0,0.0,0.0,-7.5,01,21
136,54511,2023-01-18 00:00:00,36.0,0.0,0.0,-8.9,01,00
137,54511,2023-01-18 03:00:00,29.0,2.0,0.0,0.1,01,03
138,54511,2023-01-18 06:00:00,26.0,2.0,0.0,-1.8,01,06
139,54511,2023-01-18 09:00:00,20.0,2.0,0.0,2.2,01,09
140,54511,2023-01-18 12:00:00,22.0,2.0,0.0,-0.6,01,12
141,54511,2023-01-18 15:00:00,4.0,1.0,0.0,-4.1,01,15
142,54511,2023-01-18 18:00:00,27.0,0.0,0.0,-6.5,01,18
143,54511,2023-01-18 21:00:00,5.0,1.0,0.0,-6.1,01,21
144,54511,2023-01-19 00:00:00,18.0,1.0,0.0,-5.0,01,00
145,54511,2023-01-19 03:00:00,30.0,5.0,0.0,3.6,01,03
146,54511,2023-01-19 06:00:00,34.0,8.0,0.0,2.6,01,06
147,54511,2023-01-19 09:00:00,31.0,5.0,0.0,0.5,01,09
148,54511,2023-01-19 12:00:00,31.0,3.0,0.0,-1.6,01,12
149,54511,2023-01-19 15:00:00,30.0,3.0,0.0,-3.3,01,15
150,54511,2023-01-19 18:00:00,34.0,3.0,0.0,-5.0,01,18
151,54511,2023-01-19 21:00:00,33.0,3.0,0.0,-6.3,01,21
152,54511,2023-01-20 00:00:00,6.0,2.0,0.0,-8.4,01,00
153,54511,2023-01-20 03:00:00,5.0,1.0,0.0,-3.2,01,03
154,54511,2023-01-20 06:00:00,24.0,3.0,0.0,-1.8,01,06
155,54511,2023-01-20 09:00:00,20.0,3.0,0.0,-2.6,01,09
156,54511,2023-01-20 12:00:00,23.0,1.0,0.0,-5.1,01,12
157,54511,2023-01-20 15:00:00,22.0,2.0,0.0,-6.8,01,15
158,54511,2023-01-20 18:00:00,23.0,1.0,0.0,-9.4,01,18
159,54511,2023-01-20 21:00:00,5.0,2.0,0.0,-10.1,01,21
160,54511,2023-01-21 00:00:00,6.0,1.0,0.0,-9.8,01,00
161,54511,2023-01-21 03:00:00,5.0,3.0,0.0,-3.3,01,03
162,54511,2023-01-21 06:00:00,6.0,1.0,0.0,0.4,01,06
163,54511,2023-01-21 09:00:00,28.0,1.0,0.0,-0.1,01,09
164,54511,2023-01-21 12:00:00,12.0,0.0,0.0,-4.5,01,12
165,54511,2023-01-21 15:00:00,0.0,0.0,0.0,-7.4,01,15
166,54511,2023-01-21 18:00:00,5.0,1.0,0.0,-8.8,01,18
167,54511,2023-01-21 21:00:00,5.0,2.0,0.0,-9.6,01,21
168,54511,2023-01-22 00:00:00,21.0,0.0,0.0,-9.4,01,00
169,54511,2023-01-22 03:00:00,1.0,2.0,0.0,1.2,01,03
170,54511,2023-01-22 06:00:00,6.0,2.0,0.0,3.3,01,06
171,54511,2023-01-22 09:00:00,18.0,1.0,0.0,3.0,01,09
172,54511,2023-01-22 12:00:00,22.0,1.0,0.0,-3.0,01,12
173,54511,2023-01-22 15:00:00,12.0,4.0,0.0,-1.9,01,15
174,54511,2023-01-22 18:00:00,6.0,2.0,0.0,-3.3,01,18
175,54511,2023-01-22 21:00:00,10.0,2.0,0.6,-6.6,01,21
176,54511,2023-01-23 00:00:00,36.0,5.0,0.6,-5.0,01,00
177,54511,2023-01-23 03:00:00,33.0,5.0,0.6,-5.4,01,03
178,54511,2023-01-23 06:00:00,36.0,4.0,0.6,-4.4,01,06
179,54511,2023-01-23 09:00:00,30.0,7.0,0.0,-6.9,01,09
180,54511,2023-01-23 12:00:00,31.0,7.0,0.0,-10.3,01,12
181,54511,2023-01-23 15:00:00,34.0,5.0,0.0,-13.6,01,15
182,54511,2023-01-23 18:00:00,29.0,3.0,0.0,-14.8,01,18
183,54511,2023-01-23 21:00:00,34.0,4.0,0.0,-14.3,01,21
184,54511,2023-01-24 00:00:00,7.0,1.0,0.0,-15.0,01,00
185,54511,2023-01-24 03:00:00,26.0,3.0,0.0,-10.3,01,03
186,54511,2023-01-24 06:00:00,29.0,3.0,0.0,-7.7,01,06
187,54511,2023-01-24 09:00:00,25.0,3.0,0.0,-6.9,01,09
188,54511,2023-01-24 12:00:00,19.0,1.0,0.0,-12.1,01,12
189,54511,2023-01-24 15:00:00,20.0,1.0,0.0,-11.5,01,15
190,54511,2023-01-24 18:00:00,22.0,2.0,0.0,-13.2,01,18
191,54511,2023-01-24 21:00:00,22.0,1.0,0.0,-15.5,01,21
192,54511,2023-01-25 00:00:00,27.0,1.0,0.0,-15.6,01,00
193,54511,2023-01-25 03:00:00,6.0,1.0,0.0,-7.9,01,03
194,54511,2023-01-25 06:00:00,25.0,2.0,0.0,-6.0,01,06
195,54511,2023-01-25 09:00:00,24.0,1.0,0.0,-5.3,01,09
196,54511,2023-01-25 12:00:00,6.0,1.0,0.0,-11.2,01,12
197,54511,2023-01-25 15:00:00,7.0,1.0,0.0,-10.3,01,15
198,54511,2023-01-25 18:00:00,6.0,1.0,0.0,-11.6,01,18
199,54511,2023-01-25 21:00:00,6.0,1.0,0.0,-9.8,01,21
200,54511,2023-01-26 00:00:00,1.0,1.0,0.0,-10.0,01,00
201,54511,2023-01-26 03:00:00,35.0,4.0,0.0,-2.8,01,03
202,54511,2023-01-26 06:00:00,35.0,4.0,0.0,0.0,01,06
203,54511,2023-01-26 09:00:00,33.0,3.0,0.0,0.4,01,09
204,54511,2023-01-26 12:00:00,1.0,2.0,0.0,-2.3,01,12
205,54511,2023-01-26 15:00:00,33.0,4.0,0.0,-3.3,01,15
206,54511,2023-01-26 18:00:00,30.0,1.0,0.0,-5.7,01,18
207,54511,2023-01-26 21:00:00,27.0,1.0,0.0,-5.6,01,21
208,54511,2023-01-27 00:00:00,35.0,3.0,0.0,-4.5,01,00
209,54511,2023-01-27 03:00:00,30.0,5.0,0.0,-1.1,01,03
210,54511,2023-01-27 06:00:00,28.0,6.0,0.0,1.3,01,06
211,54511,2023-01-27 09:00:00,31.0,4.0,0.0,1.4,01,09
212,54511,2023-01-27 12:00:00,21.0,1.0,0.0,-4.9,01,12
213,54511,2023-01-27 15:00:00,17.0,1.0,0.0,-5.4,01,15
214,54511,2023-01-27 18:00:00,26.0,1.0,0.0,-7.7,01,18
215,54511,2023-01-27 21:00:00,35.0,2.0,0.0,-1.3,01,21
216,54511,2023-01-28 00:00:00,35.0,2.0,0.0,-3.6,01,00
217,54511,2023-01-28 03:00:00,22.0,4.0,0.0,1.6,01,03
218,54511,2023-01-28 06:00:00,23.0,3.0,0.0,5.0,01,06
219,54511,2023-01-28 09:00:00,22.0,3.0,0.0,4.1,01,09
220,54511,2023-01-28 12:00:00,21.0,2.0,0.0,0.2,01,12
221,54511,2023-01-28 15:00:00,24.0,2.0,0.0,-2.0,01,15
222,54511,2023-01-28 18:00:00,23.0,1.0,0.0,-4.7,01,18
223,54511,2023-01-28 21:00:00,24.0,1.0,0.0,-0.7,01,21
224,54511,2023-01-29 00:00:00,35.0,2.0,0.0,3.2,01,00
225,54511,2023-01-29 03:00:00,1.0,3.0,0.0,6.3,01,03
226,54511,2023-01-29 06:00:00,31.0,4.0,0.0,9.0,01,06
227,54511,2023-01-29 09:00:00,22.0,2.0,0.0,8.3,01,09
228,54511,2023-01-29 12:00:00,34.0,0.0,0.0,-0.2,01,12
229,54511,2023-01-29 15:00:00,5.0,1.0,0.0,-3.2,01,15
230,54511,2023-01-29 18:00:00,13.0,1.0,0.0,-5.3,01,18
231,54511,2023-01-29 21:00:00,3.0,1.0,0.0,-5.7,01,21
232,54511,2023-01-30 00:00:00,4.0,2.0,0.0,-3.9,01,00
233,54511,2023-01-30 03:00:00,4.0,2.0,0.0,2.6,01,03
234,54511,2023-01-30 06:00:00,7.0,1.0,0.0,7.4,01,06
235,54511,2023-01-30 09:00:00,23.0,2.0,0.0,7.4,01,09
236,54511,2023-01-30 12:00:00,6.0,1.0,0.0,-1.5,01,12
237,54511,2023-01-30 15:00:00,36.0,0.0,0.0,-3.8,01,15
238,54511,2023-01-30 18:00:00,5.0,1.0,0.0,-5.3,01,18
239,54511,2023-01-30 21:00:00,10.0,1.0,0.0,-5.9,01,21
240,54511,2023-01-31 00:00:00,4.0,1.0,0.0,-4.7,01,00
241,54511,2023-01-31 03:00:00,28.0,2.0,0.0,6.3,01,03
242,54511,2023-01-31 06:00:00,24.0,3.0,0.0,12.6,01,06
243,54511,2023-01-31 09:00:00,28.0,2.0,0.0,12.3,01,09
244,54511,2023-01-31 12:00:00,32.0,5.0,0.0,8.7,01,12
245,54511,2023-01-31 15:00:00,32.0,5.0,0.0,5.3,01,15
246,54511,2023-01-31 18:00:00,35.0,6.0,0.0,1.0,01,18
247,54511,2023-01-31 21:00:00,34.0,6.0,0.0,-0.4,01,21
248,54511,2023-02-01 00:00:00,33.0,4.0,0.0,-1.1,02,00
249,54511,2023-02-01 03:00:00,35.0,3.0,0.0,0.5,02,03
250,54511,2023-02-01 06:00:00,30.0,4.0,0.0,2.9,02,06
251,54511,2023-02-01 09:00:00,32.0,3.0,0.0,3.7,02,09
252,54511,2023-02-01 12:00:00,27.0,1.0,0.0,-2.9,02,12
253,54511,2023-02-01 15:00:00,3.0,2.0,0.0,-2.4,02,15
254,54511,2023-02-01 18:00:00,4.0,2.0,0.0,-3.8,02,18
255,54511,2023-02-01 21:00:00,33.0,0.0,0.0,-7.3,02,21
256,54511,2023-02-02 00:00:00,7.0,1.0,0.0,-5.0,02,00
257,54511,2023-02-02 03:00:00,6.0,3.0,0.0,-0.7,02,03
258,54511,2023-02-02 06:00:00,24.0,2.0,0.0,1.0,02,06
259,54511,2023-02-02 09:00:00,21.0,2.0,0.0,1.2,02,09
260,54511,2023-02-02 12:00:00,0.0,0.0,0.0,-1.9,02,12
261,54511,2023-02-02 15:00:00,3.0,1.0,0.0,-5.4,02,15
262,54511,2023-02-02 18:00:00,4.0,1.0,0.0,-7.9,02,18
