,PM10,PM10,PM10,PM10,PM10
지역,강원 강릉시,광주 북구,대전 중구,부산 해운대구,서울 서대문구
일시,,,,,
2015-01-01 03:00:00,35.0,21.7,33.3,18.7,63.7
2015-01-01 06:00:00,45.3,21.0,61.3,19.0,113.3
2015-01-01 09:00:00,56.3,21.7,95.0,28.3,135.0
2015-01-01 12:00:00,68.7,41.0,124.0,53.5,85.0
2015-01-01 15:00:00,88.3,70.3,56.3,54.3,44.7
2015-01-01 18:00:00,87.3,28.3,35.7,41.3,47.7
2015-01-01 21:00:00,58.3,21.7,27.3,32.7,35.7
2015-01-02 00:00:00,43.7,18.3,20.3,23.3,25.3
2015-01-02 03:00:00,43.0,19.0,19.7,21.7,20.3
2015-01-02 06:00:00,33.3,21.0,23.7,14.0,22.0
2015-01-02 09:00:00,28.3,21.0,30.0,18.3,25.7
2015-01-02 12:00:00,28.3,25.0,34.0,23.7,27.3
2015-01-02 15:00:00,27.3,25.7,26.7,28.3,28.3
2015-01-02 18:00:00,25.7,31.0,28.7,41.7,35.0
2015-01-02 21:00:00,27.7,29.0,22.3,29.3,37.0
2015-01-03 00:00:00,29.7,32.3,33.7,19.7,31.3
2015-01-03 03:00:00,26.3,35.7,30.3,16.0,33.3
2015-01-03 06:00:00,25.3,27.0,27.7,9.7,33.0
2015-01-03 09:00:00,24.0,28.3,33.0,15.3,36.7
2015-01-03 12:00:00,26.0,34.3,41.7,18.7,42.7
2015-01-03 15:00:00,25.7,29.0,28.7,18.3,50.7
2015-01-03 18:00:00,19.7,25.7,32.7,20.3,39.3
2015-01-03 21:00:00,32.7,37.7,34.3,25.3,29.0
2015-01-04 00:00:00,39.0,44.3,39.3,28.7,25.0
2015-01-04 03:00:00,38.7,33.7,43.0,24.3,31.0
2015-01-04 06:00:00,31.3,31.7,33.3,21.0,33.0
2015-01-04 09:00:00,44.0,31.7,33.7,19.7,28.3
2015-01-04 12:00:00,56.0,36.3,38.7,35.7,26.0
2015-01-04 15:00:00,42.0,43.7,61.0,43.7,33.0
2015-01-04 18:00:00,57.0,83.7,58.7,49.0,52.7
2015-01-04 21:00:00,67.0,113.0,67.3,54.7,56.3
2015-01-05 00:00:00,69.0,103.7,89.0,58.7,52.3
2015-01-05 03:00:00,69.7,97.0,94.0,47.0,57.3
2015-01-05 06:00:00,70.7,74.3,81.7,45.3,53.7
2015-01-05 09:00:00,71.0,65.0,78.7,46.0,47.7
2015-01-05 12:00:00,74.3,81.7,86.3,69.0,66.0
2015-01-05 15:00:00,70.7,97.0,95.7,62.3,84.7
2015-01-05 18:00:00,65.7,85.7,89.3,61.7,100.7
2015-01-05 21:00:00,36.7,80.3,86.7,63.7,88.7
2015-01-06 00:00:00,39.7,57.7,71.0,63.0,86.3
2015-01-06 03:00:00,33.3,49.0,77.3,53.0,88.3
2015-01-06 06:00:00,30.0,41.0,68.3,23.7,50.3
2015-01-06 09:00:00,34.7,47.0,43.7,25.7,26.0
2015-01-06 12:00:00,49.7,47.7,34.0,29.0,47.0
2015-01-06 15:00:00,38.3,42.3,42.7,25.0,40.0
2015-01-06 18:00:00,26.0,29.7,25.3,18.3,32.0
2015-01-06 21:00:00,37.7,21.7,26.0,24.3,17.3
2015-01-07 00:00:00,28.7,18.3,19.0,21.3,17.0
2015-01-07 03:00:00,24.3,19.7,15.0,15.0,16.0
2015-01-07 06:00:00,21.3,15.7,19.0,11.0,21.0
2015-01-07 09:00:00,23.3,18.3,32.0,11.3,31.3
2015-01-07 12:00:00,28.0,31.7,34.7,15.3,41.3
2015-01-07 15:00:00,28.3,37.0,33.3,16.7,41.0
2015-01-07 18:00:00,37.3,25.7,50.7,27.7,46.3
2015-01-07 21:00:00,38.3,23.0,44.7,26.0,44.0
2015-01-08 00:00:00,33.7,21.7,47.7,31.3,44.7
2015-01-08 03:00:00,30.3,26.3,40.0,25.7,47.3
2015-01-08 06:00:00,30.3,27.0,38.7,24.3,39.7
2015-01-08 09:00:00,32.0,31.0,51.0,31.0,34.0
2015-01-08 12:00:00,37.0,48.3,53.0,43.3,40.3
2015-01-08 15:00:00,33.0,32.3,36.7,38.7,45.7
2015-01-08 18:00:00,43.3,30.3,43.3,28.3,53.7
2015-01-08 21:00:00,50.7,30.3,32.3,32.7,34.7
2015-01-09 00:00:00,51.0,27.7,32.3,37.3,36.7
2015-01-09 03:00:00,52.7,33.0,41.7,27.7,42.7
2015-01-09 06:00:00,42.3,31.0,30.7,22.7,30.0
2015-01-09 09:00:00,32.3,31.0,39.7,25.3,29.3
2015-01-09 12:00:00,32.3,46.3,65.3,25.3,44.0
2015-01-09 15:00:00,26.7,82.3,47.7,30.3,53.0
2015-01-09 18:00:00,24.7,102.3,49.0,44.0,53.0
2015-01-09 21:00:00,56.3,115.0,70.3,51.7,43.0
2015-01-10 00:00:00,60.0,125.0,92.0,55.0,43.7
2015-01-10 03:00:00,45.3,119.7,77.7,56.3,41.3
2015-01-10 06:00:00,38.0,90.3,56.3,54.7,36.7
2015-01-10 09:00:00,32.7,56.3,53.0,52.7,39.3
2015-01-10 12:00:00,25.0,64.3,42.7,43.7,47.3
2015-01-10 15:00:00,19.7,29.7,30.0,25.7,35.0
2015-01-10 18:00:00,33.7,27.7,34.7,18.0,30.7
2015-01-10 21:00:00,46.7,41.0,30.3,37.7,26.3
2015-01-11 00:00:00,52.0,53.0,35.0,59.3,25.3
2015-01-11 03:00:00,41.7,47.7,28.7,37.3,20.3
2015-01-11 06:00:00,42.0,47.0,36.0,31.7,32.3
2015-01-11 09:00:00,59.7,45.0,44.0,33.3,50.7
2015-01-11 12:00:00,54.7,69.0,64.0,45.0,45.0
2015-01-11 15:00:00,48.3,39.0,15.7,65.3,54.0
2015-01-11 18:00:00,35.7,21.7,20.3,47.3,48.3
2015-01-11 21:00:00,48.3,25.0,33.0,26.3,49.0
2015-01-12 00:00:00,53.3,27.7,32.7,18.7,50.3
2015-01-12 03:00:00,52.0,35.7,43.0,17.7,39.7
2015-01-12 06:00:00,53.3,34.3,41.7,24.7,31.3
2015-01-12 09:00:00,49.3,35.7,52.0,32.3,33.3
2015-01-12 12:00:00,49.7,35.0,63.3,42.7,40.0
2015-01-12 15:00:00,38.3,28.3,50.7,34.7,41.7
2015-01-12 18:00:00,39.3,27.0,53.3,39.3,57.3
2015-01-12 21:00:00,46.0,49.7,87.3,37.0,41.0
2015-01-13 00:00:00,39.7,61.7,77.7,25.0,45.7
2015-01-13 03:00:00,38.0,46.3,65.0,21.7,55.3
2015-01-13 06:00:00,37.0,44.3,57.0,19.0,47.0
2015-01-13 09:00:00,26.7,49.0,68.3,25.7,48.3
2015-01-13 12:00:00,36.0,59.0,67.3,29.0,43.7
2015-01-13 15:00:00,29.3,37.7,57.3,24.0,47.7
2015-01-13 18:00:00,36.7,29.0,65.5,19.3,39.0
2015-01-13 21:00:00,67.0,61.7,97.7,27.7,58.3
2015-01-14 00:00:00,66.0,55.7,69.7,36.3,61.3
2015-01-14 03:00:00,48.0,42.3,53.7,23.3,57.7
2015-01-14 06:00:00,28.3,38.3,48.7,21.0,50.7
2015-01-14 09:00:00,32.7,37.7,54.0,24.0,52.7
2015-01-14 12:00:00,49.0,49.0,72.7,32.3,62.0
2015-01-14 15:00:00,32.3,59.0,93.7,31.0,67.0
2015-01-14 18:00:00,38.7,62.3,100.7,26.3,84.0
2015-01-14 21:00:00,42.3,75.7,102.7,32.0,69.3
2015-01-15 00:00:00,48.0,55.7,94.0,31.3,69.0
2015-01-15 03:00:00,36.7,54.3,82.3,19.0,72.3
2015-01-15 06:00:00,38.7,47.7,72.7,18.0,57.7
2015-01-15 09:00:00,40.3,51.0,71.7,30.3,53.0
2015-01-15 12:00:00,72.3,78.3,91.7,29.0,72.7
2015-01-15 15:00:00,57.7,91.7,68.0,26.0,52.0
2015-01-15 18:00:00,58.3,79.0,76.7,33.0,55.7
2015-01-15 21:00:00,72.0,83.7,102.7,35.0,65.3
2015-01-16 00:00:00,68.7,89.0,87.7,52.3,76.0
2015-01-16 03:00:00,48.3,87.7,85.7,46.7,114.7
2015-01-16 06:00:00,62.3,89.0,90.3,41.7,104.3
2015-01-16 09:00:00,96.7,89.0,101.0,46.3,93.3
2015-01-16 12:00:00,78.3,104.3,89.3,56.3,78.0
2015-01-16 15:00:00,67.0,119.0,103.0,57.3,65.7
2015-01-16 18:00:00,74.7,114.3,79.0,59.0,65.3
2015-01-16 21:00:00,62.0,107.7,105.0,83.7,66.0
2015-01-17 00:00:00,68.0,75.7,97.3,84.3,81.0
2015-01-17 03:00:00,57.7,61.7,55.0,64.7,82.3
2015-01-17 06:00:00,70.7,43.7,54.3,52.7,35.0
2015-01-17 09:00:00,68.3,35.0,44.7,42.3,25.0
2015-01-17 12:00:00,59.3,23.0,22.3,35.7,22.0
2015-01-17 15:00:00,32.0,15.7,12.7,18.7,24.3
2015-01-17 18:00:00,23.0,15.0,23.0,16.7,40.0
2015-01-17 21:00:00,28.3,21.7,33.3,15.7,26.3
2015-01-18 00:00:00,26.7,25.0,41.7,14.3,28.7
2015-01-18 03:00:00,21.7,27.0,31.7,18.3,28.7
2015-01-18 06:00:00,24.7,30.3,28.0,16.3,22.7
