지점,일시,기온,강수량,풍속,풍향,습도,증기압,이슬점 온도,현지기압,해면기압,지면온도
90,2024-06-06 00:00:00,18.1,0.0,1.5,160.0,92.0,19.0,16.7,1015.2,1017.3,18.8
90,2024-06-06 03:00:00,18.1,0.0,2.2,310.0,91.0,18.9,16.6,1015.4,1017.5,18.2
90,2024-06-06 06:00:00,17.1,0.0,0.8,220.0,94.0,18.3,16.1,1015.6,1017.7,17.5
90,2024-06-06 09:00:00,19.7,0.0,2.1,90.0,84.0,19.1,16.8,1015.9,1017.9,23.5
90,2024-06-06 12:00:00,22.1,0.0,2.5,110.0,75.0,19.8,17.3,1015.5,1017.5,33.1
90,2024-06-06 15:00:00,22.2,0.0,2.9,110.0,74.0,19.7,17.3,1014.4,1016.4,36.7
90,2024-06-06 18:00:00,22.0,0.0,3.4,130.0,75.0,19.7,17.3,1012.9,1014.9,31.0
90,2024-06-06 21:00:00,19.4,0.0,2.2,170.0,83.0,18.6,16.4,1012.5,1014.5,21.2
90,2024-06-07 00:00:00,18.2,0.0,0.9,220.0,91.0,18.8,16.6,1012.8,1014.9,18.6
90,2024-06-07 03:00:00,18.1,0.0,2.0,320.0,89.0,18.4,16.2,1012.3,1014.4,17.0
90,2024-06-07 06:00:00,17.9,0.0,1.3,30.0,91.0,18.7,16.5,1012.6,1014.7,18.0
90,2024-06-07 09:00:00,20.7,0.0,1.2,120.0,78.0,18.7,16.5,1012.6,1014.6,24.5
90,2024-06-07 12:00:00,23.0,0.0,1.8,90.0,70.0,19.5,17.1,1011.9,1013.9,34.0
90,2024-06-07 15:00:00,22.6,0.0,3.9,130.0,70.0,19.1,16.7,1010.5,1012.5,32.9
90,2024-06-07 18:00:00,22.3,0.0,3.0,140.0,67.0,17.9,15.6,1009.2,1011.2,28.3
90,2024-06-07 21:00:00,20.2,0.0,2.3,160.0,82.0,19.3,16.9,1008.9,1010.9,21.6
90,2024-06-08 00:00:00,19.2,0.0,1.0,240.0,87.0,19.3,17.0,1008.6,1010.6,19.5
90,2024-06-08 03:00:00,19.5,0.0,0.7,230.0,82.0,18.6,16.3,1007.4,1009.4,19.3
90,2024-06-08 06:00:00,19.9,0.0,1.3,340.0,79.0,18.4,16.2,1006.9,1008.9,19.2
90,2024-06-08 09:00:00,18.9,0.4,2.8,360.0,87.0,18.9,16.6,1007.8,1009.8,19.7
90,2024-06-08 12:00:00,17.8,8.6,2.4,360.0,92.0,18.8,16.5,1007.5,1009.6,19.5
90,2024-06-08 15:00:00,18.9,1.9,2.3,100.0,89.0,19.3,17.0,1006.7,1008.7,23.3
90,2024-06-08 18:00:00,18.9,0.0,3.3,130.0,89.0,19.4,17.0,1005.4,1007.4,22.2
90,2024-06-08 21:00:00,18.4,0.0,1.2,140.0,92.0,19.5,17.1,1005.3,1007.3,19.4
90,2024-06-09 00:00:00,17.6,0.0,1.4,210.0,95.0,19.0,16.7,1005.2,1007.2,17.5
90,2024-06-09 03:00:00,17.3,0.0,1.4,220.0,95.0,18.7,16.4,1005.0,1007.0,16.2
90,2024-06-09 06:00:00,16.6,0.0,1.2,280.0,94.0,17.8,15.6,1005.1,1007.2,15.6
90,2024-06-09 09:00:00,22.5,0.0,0.9,150.0,71.0,19.2,16.9,1005.5,1007.5,23.9
90,2024-06-09 12:00:00,25.4,0.0,2.4,90.0,56.0,18.2,16.0,1004.7,1006.7,32.2
90,2024-06-09 15:00:00,25.0,0.0,5.1,140.0,61.0,19.3,16.9,1004.0,1006.0,32.2
90,2024-06-09 18:00:00,25.1,0.0,4.5,150.0,54.0,17.1,15.1,1003.0,1005.0,28.8
90,2024-06-09 21:00:00,21.2,0.0,2.1,120.0,78.0,19.5,17.1,1003.4,1005.4,21.0
90,2024-06-10 00:00:00,22.7,0.0,2.2,330.0,69.0,18.6,16.4,1004.0,1006.0,19.3
90,2024-06-10 03:00:00,22.8,0.0,1.4,290.0,65.0,18.0,15.8,1003.8,1005.8,19.0
90,2024-06-10 06:00:00,21.8,0.0,1.4,100.0,69.0,17.9,15.7,1004.6,1006.6,18.3
90,2024-06-10 09:00:00,24.6,0.0,1.9,140.0,60.0,18.5,16.3,1005.1,1007.1,25.3
90,2024-06-10 12:00:00,25.7,0.0,2.1,100.0,58.0,19.2,16.8,1004.0,1006.0,34.1
90,2024-06-10 15:00:00,25.9,0.0,3.8,120.0,58.0,19.2,16.9,1002.8,1004.8,35.2
90,2024-06-10 18:00:00,24.3,0.0,1.6,70.0,65.0,19.5,17.1,1002.5,1004.5,30.9
90,2024-06-10 21:00:00,21.5,0.0,1.8,330.0,80.0,20.4,17.8,1003.0,1005.0,22.4
90,2024-06-11 00:00:00,19.9,0.0,1.2,260.0,87.0,20.1,17.6,1003.5,1005.5,19.6
90,2024-06-11 03:00:00,19.6,0.0,1.2,30.0,88.0,20.0,17.5,1003.4,1005.4,18.5
90,2024-06-11 06:00:00,19.3,0.0,0.8,290.0,90.0,20.0,17.5,1003.9,1005.9,18.2
90,2024-06-11 09:00:00,24.1,0.0,1.0,90.0,72.0,21.3,18.5,1004.2,1006.2,26.2
90,2024-06-11 12:00:00,26.4,0.0,2.5,120.0,63.0,21.5,18.7,1002.8,1004.8,36.0
90,2024-06-11 15:00:00,29.2,0.0,4.5,140.0,49.0,19.6,17.2,1001.5,1003.5,39.9
90,2024-06-11 18:00:00,26.2,0.0,3.0,130.0,61.0,20.7,18.0,1000.8,1002.8,34.0
90,2024-06-11 21:00:00,27.2,0.0,1.8,180.0,57.0,20.2,17.6,1001.0,1003.0,25.3
90,2024-06-12 00:00:00,25.3,0.0,1.3,300.0,62.0,19.8,17.3,1001.3,1003.3,22.0
90,2024-06-12 03:00:00,23.3,0.0,1.1,270.0,67.0,19.1,16.8,1000.9,1002.9,20.0
90,2024-06-12 06:00:00,24.2,0.0,1.7,350.0,53.0,15.8,13.8,1001.6,1003.6,19.0
90,2024-06-12 09:00:00,28.4,0.0,1.9,360.0,34.0,13.0,10.8,1002.8,1004.8,27.3
