지점,지점명,일시,습도,풍속,풍향,강수량,현지기압,해면기압,변화량 기압,이슬점 온도,기온
44292,울란바토르,2024-06-06 00:00:00,70.9,2.0,350.0,0.0,868.6,1017.4,0.8,4.0,9.0
44292,울란바토르,2024-06-06 03:00:00,53.9,3.0,240.0,0.0,867.8,1013.5,0.8,5.1,14.3
44292,울란바토르,2024-06-06 06:00:00,36.1,4.0,240.0,0.0,866.0,1009.2,1.8,3.2,18.5
44292,울란바토르,2024-06-06 09:00:00,55.2,4.0,10.0,0.0,866.0,1011.9,0.0,4.7,13.5
44292,울란바토르,2024-06-06 12:00:00,61.9,0.0,0.0,1.0,866.2,1013.6,0.2,3.8,10.8
44292,울란바토르,2024-06-06 15:00:00,73.8,2.0,340.0,0.0,867.1,1015.8,0.9,4.3,8.7
44292,울란바토르,2024-06-06 18:00:00,88.8,0.0,0.0,0.0,866.3,1016.5,0.8,4.2,5.9
44292,울란바토르,2024-06-06 21:00:00,95.9,1.0,350.0,0.0,865.6,1016.2,0.7,4.4,5.0
44292,울란바토르,2024-06-07 00:00:00,76.0,2.0,280.0,0.0,865.5,1013.9,0.1,4.8,8.8
44292,울란바토르,2024-06-07 03:00:00,49.2,2.0,250.0,0.0,864.7,1010.0,0.8,3.7,14.2
44292,울란바토르,2024-06-07 06:00:00,33.1,5.0,230.0,0.0,863.1,1004.6,1.6,3.9,20.7
44292,울란바토르,2024-06-07 09:00:00,33.0,5.0,330.0,0.0,863.0,1004.7,0.1,3.5,20.3
44292,울란바토르,2024-06-07 12:00:00,40.1,3.0,340.0,0.0,863.8,1006.7,0.8,4.5,18.3
44292,울란바토르,2024-06-07 15:00:00,54.1,2.0,350.0,0.0,864.7,1009.6,0.9,5.7,14.9
44292,울란바토르,2024-06-07 18:00:00,66.9,1.0,100.0,0.0,865.5,1012.7,0.8,5.1,11.0
44292,울란바토르,2024-06-07 21:00:00,70.9,2.0,80.0,0.0,866.3,1014.7,0.8,4.1,9.1
44292,울란바토르,2024-06-08 00:00:00,51.9,2.0,120.0,0.0,866.7,1012.5,0.4,4.1,13.8
44292,울란바토르,2024-06-08 03:00:00,32.0,1.0,280.0,0.0,865.9,1007.7,0.8,3.8,21.1
44292,울란바토르,2024-06-08 06:00:00,25.0,4.0,10.0,0.0,864.4,1004.1,1.5,3.3,24.6
44292,울란바토르,2024-06-08 09:00:00,20.1,3.0,300.0,0.0,863.0,1001.9,1.4,1.2,25.8
44292,울란바토르,2024-06-08 12:00:00,29.0,2.0,10.0,0.0,862.7,1002.9,0.3,4.1,23.1
44292,울란바토르,2024-06-08 15:00:00,46.0,2.0,60.0,0.0,863.6,1007.1,0.9,5.4,17.1
44292,울란바토르,2024-06-08 18:00:00,54.9,3.0,70.0,0.0,863.3,1008.5,0.3,4.9,13.8
44292,울란바토르,2024-06-08 21:00:00,62.1,3.0,80.0,0.0,862.9,1009.3,0.4,4.6,11.6
44292,울란바토르,2024-06-09 00:00:00,47.1,3.0,100.0,0.0,862.2,1005.8,0.7,5.2,16.5
44292,울란바토르,2024-06-09 03:00:00,38.8,4.7,183.3,0.0,861.0,1002.7,0.8,4.4,19.7
44292,울란바토르,2024-06-09 06:00:00,30.4,6.3,266.7,0.0,859.7,999.6,0.9,3.6,22.9
44292,울란바토르,2024-06-09 09:00:00,22.1,8.0,350.0,0.0,858.5,996.5,1.0,2.8,26.1
44292,울란바토르,2024-06-09 12:00:00,28.4,5.3,233.3,0.0,859.0,998.7,0.9,3.1,23.1
44292,울란바토르,2024-06-09 15:00:00,34.8,2.7,116.7,0.0,859.5,1000.8,0.8,3.4,20.0
44292,울란바토르,2024-06-09 18:00:00,41.1,0.0,0.0,0.0,860.0,1003.0,0.7,3.7,17.0
44292,울란바토르,2024-06-09 21:00:00,56.1,2.0,30.0,0.0,860.6,1005.4,0.6,5.2,13.8
44292,울란바토르,2024-06-10 00:00:00,48.1,1.0,120.0,0.0,860.8,1004.3,0.2,5.3,16.3
44292,울란바토르,2024-06-10 03:00:00,32.0,3.0,300.0,0.0,860.4,1000.1,0.4,5.8,23.4
44292,울란바토르,2024-06-10 06:00:00,31.0,6.0,330.0,0.0,860.0,999.1,0.4,6.2,24.4
44292,울란바토르,2024-06-10 09:00:00,35.1,5.0,320.0,0.0,860.0,999.5,0.0,7.4,23.7
44292,울란바토르,2024-06-10 12:00:00,50.1,4.0,330.0,0.0,861.7,1003.3,1.7,9.4,20.1
44292,울란바토르,2024-06-10 15:00:00,58.1,3.0,330.0,0.0,862.5,1005.8,0.8,8.9,17.2
44292,울란바토르,2024-06-10 18:00:00,65.9,1.0,100.0,0.0,862.5,1007.0,0.0,8.6,14.9
44292,울란바토르,2024-06-10 21:00:00,74.2,2.0,190.0,0.0,863.2,1008.5,0.7,9.1,13.6
44292,울란바토르,2024-06-11 00:00:00,71.0,1.0,120.0,0.4,862.8,1007.5,0.4,9.5,14.7
44292,울란바토르,2024-06-11 03:00:00,44.1,3.0,190.0,0.0,861.5,1002.5,1.3,8.5,21.2
44292,울란바토르,2024-06-11 06:00:00,40.2,6.0,350.0,0.0,860.3,1000.9,1.2,7.5,21.6
44292,울란바토르,2024-06-11 09:00:00,40.1,3.0,340.0,0.0,860.1,1000.3,0.2,8.1,22.3
44292,울란바토르,2024-06-11 12:00:00,41.0,3.0,10.0,0.0,860.7,1001.9,0.6,6.9,20.6
44292,울란바토르,2024-06-11 15:00:00,52.1,2.0,50.0,0.0,860.3,1003.1,0.4,7.4,17.3
44292,울란바토르,2024-06-11 18:00:00,77.3,5.0,340.0,0.0,862.5,1007.7,2.2,9.7,13.6
44292,울란바토르,2024-06-11 21:00:00,94.8,0.0,0.0,0.0,862.5,1008.9,0.0,10.6,11.4
44292,울란바토르,2024-06-12 00:00:00,67.3,3.0,320.0,6.0,863.4,1009.3,0.9,6.7,12.6
44292,울란바토르,2024-06-12 03:00:00,47.2,3.0,10.0,0.0,863.7,1008.0,0.3,4.4,15.6
