지점,일시,풍속,풍향,GUST풍속,현지기압,습도,기온
21229,2024-06-06 00:00:00,5.6,150.0,7.0,1019.8,83.0,18.0
21229,2024-06-06 03:00:00,5.6,170.0,7.0,1019.5,87.0,17.9
21229,2024-06-06 06:00:00,4.6,160.0,5.9,1019.0,86.0,17.8
21229,2024-06-06 09:00:00,6.0,160.0,7.6,1019.2,87.0,18.0
21229,2024-06-06 12:00:00,4.3,160.0,5.6,1018.7,88.0,18.2
21229,2024-06-06 15:00:00,3.3,170.0,4.4,1017.8,89.0,18.3
21229,2024-06-06 18:00:00,3.1,170.0,4.0,1017.2,89.0,18.6
21229,2024-06-06 21:00:00,3.0,140.0,3.7,1016.8,94.0,18.4
21229,2024-06-07 00:00:00,5.3,140.0,6.9,1016.8,95.0,18.5
21229,2024-06-07 03:00:00,4.5,180.0,6.0,1016.2,94.0,18.3
21229,2024-06-07 06:00:00,4.6,180.0,5.9,1015.7,93.0,18.2
21229,2024-06-07 09:00:00,4.5,180.0,5.7,1016.0,90.0,18.2
21229,2024-06-07 12:00:00,3.6,180.0,4.4,1015.2,92.0,18.7
21229,2024-06-07 15:00:00,2.9,190.0,3.7,1014.6,93.0,19.2
21229,2024-06-07 18:00:00,3.8,170.0,4.7,1013.4,92.0,19.2
21229,2024-06-07 21:00:00,3.8,160.0,4.7,1013.2,95.0,19.2
21229,2024-06-08 00:00:00,4.6,180.0,5.6,1013.4,96.0,19.2
21229,2024-06-08 03:00:00,4.3,190.0,5.4,1012.4,94.0,19.4
21229,2024-06-08 06:00:00,3.4,190.0,4.3,1011.7,92.0,19.5
21229,2024-06-08 09:00:00,5.8,190.0,7.2,1010.9,88.0,19.5
21229,2024-06-08 12:00:00,7.4,180.0,9.5,1010.4,88.0,19.6
21229,2024-06-08 15:00:00,6.8,210.0,8.7,1010.0,90.0,19.7
21229,2024-06-08 18:00:00,6.8,240.0,9.0,1009.7,94.0,19.0
21229,2024-06-08 21:00:00,8.5,210.0,10.5,1009.3,91.0,19.1
21229,2024-06-09 00:00:00,8.5,200.0,10.7,1008.8,94.0,19.0
21229,2024-06-09 03:00:00,8.0,200.0,9.8,1008.3,92.0,19.1
21229,2024-06-09 06:00:00,6.1,200.0,7.6,1008.4,93.0,19.0
21229,2024-06-09 09:00:00,5.5,190.0,7.1,1008.5,94.0,19.0
21229,2024-06-09 12:00:00,4.6,200.0,6.1,1008.7,95.0,19.1
21229,2024-06-09 15:00:00,3.6,220.0,4.7,1007.9,94.0,19.3
21229,2024-06-09 18:00:00,3.7,200.0,4.7,1007.2,94.0,19.4
21229,2024-06-09 21:00:00,4.1,200.0,5.2,1007.4,95.0,19.2
21229,2024-06-10 00:00:00,7.0,200.0,9.4,1007.7,97.0,18.7
21229,2024-06-10 03:00:00,5.5,210.0,6.8,1007.8,95.0,19.0
21229,2024-06-10 06:00:00,6.8,220.0,8.5,1008.0,94.0,19.0
21229,2024-06-10 09:00:00,5.7,230.0,7.1,1007.9,95.0,18.9
21229,2024-06-10 12:00:00,4.3,190.0,5.6,1007.2,97.0,19.2
21229,2024-06-10 15:00:00,2.9,190.0,3.9,1006.4,96.0,19.9
21229,2024-06-10 18:00:00,3.0,180.0,3.8,1005.5,94.0,20.5
21229,2024-06-10 21:00:00,5.0,200.0,6.5,1006.0,96.0,20.0
21229,2024-06-11 00:00:00,2.9,190.0,3.7,1006.5,99.0,19.7
21229,2024-06-11 03:00:00,2.7,200.0,3.7,1005.9,97.0,19.8
21229,2024-06-11 06:00:00,2.3,190.0,2.9,1006.3,96.0,20.0
21229,2024-06-11 09:00:00,1.8,220.0,2.4,1006.6,92.0,20.5
21229,2024-06-11 12:00:00,1.9,190.0,2.7,1006.0,90.0,21.4
21229,2024-06-11 15:00:00,3.2,210.0,4.2,1005.2,90.0,21.5
21229,2024-06-11 18:00:00,4.1,210.0,5.0,1004.9,91.0,21.4
21229,2024-06-11 21:00:00,4.7,200.0,5.9,1005.2,94.0,20.8
21229,2024-06-12 00:00:00,4.4,210.0,5.6,1005.1,93.0,20.5
21229,2024-06-12 03:00:00,5.1,200.0,6.5,1003.7,92.0,20.5
21229,2024-06-12 06:00:00,4.7,210.0,5.9,1003.9,92.0,20.4
21229,2024-06-12 09:00:00,3.9,220.0,4.9,1004.7,93.0,20.5
21229,2024-06-12 12:00:00,2.8,230.0,3.8,1005.3,92.0,21.0
21229,2024-06-12 15:00:00,3.4,190.0,4.4,1004.0,90.0,21.8
21229,2024-06-12 18:00:00,3.8,220.0,4.9,1003.2,90.0,21.6
21229,2024-06-12 21:00:00,3.1,240.0,3.8,1003.7,89.0,21.5
22101,2024-06-06 00:00:00,1.2,180.0,1.6,1018.8,94.0,16.7
22101,2024-06-06 03:00:00,2.9,230.0,3.6,1017.9,95.0,15.3
22101,2024-06-06 06:00:00,1.7,220.0,2.6,1017.5,95.0,14.6
22101,2024-06-06 09:00:00,1.1,160.0,2.0,1018.4,96.0,15.0
22101,2024-06-06 12:00:00,2.4,270.0,3.4,1018.7,95.0,15.4
22101,2024-06-06 15:00:00,2.6,260.0,3.3,1016.4,94.0,15.8
22101,2024-06-06 18:00:00,2.8,260.0,3.4,1015.3,93.0,16.5
22101,2024-06-06 21:00:00,2.6,250.0,3.1,1015.8,94.0,16.4
22101,2024-06-07 00:00:00,1.5,220.0,2.3,1016.7,92.0,16.4
22101,2024-06-07 03:00:00,3.5,190.0,4.4,1015.9,95.0,15.2
