,pm10,pm10,pm10,pm10,pm10
지점명,서울,속초,천안,광주,울산
일시,,,,,
2015-01-01 00:00:00,57.0,25.0,47.0,11.0,11.0
2015-01-01 03:00:00,70.0,27.0,49.0,15.0,13.0
2015-01-01 06:00:00,134.0,29.0,98.0,19.0,27.0
2015-01-01 09:00:00,161.0,35.0,138.0,22.0,55.0
2015-01-01 12:00:00,96.0,42.0,103.0,58.0,61.0
2015-01-01 15:00:00,49.0,51.0,49.0,54.0,43.0
2015-01-01 18:00:00,45.0,43.0,60.0,24.0,40.0
2015-01-01 21:00:00,44.0,32.0,26.0,16.0,18.0
2015-01-02 00:00:00,31.0,30.0,26.0,16.0,21.0
2015-01-02 03:00:00,26.0,26.0,22.0,17.0,17.0
2015-01-02 06:00:00,24.0,21.0,26.0,18.0,14.0
2015-01-02 09:00:00,35.0,56.0,29.0,18.0,18.0
2015-01-02 12:00:00,45.0,18.0,51.0,18.0,19.0
2015-01-02 15:00:00,47.0,16.0,34.0,24.0,36.0
2015-01-02 18:00:00,64.0,17.0,26.0,30.0,29.0
2015-01-02 21:00:00,38.0,20.0,26.0,22.0,19.0
2015-01-03 00:00:00,34.0,22.0,28.0,22.0,16.0
2015-01-03 03:00:00,42.0,25.0,34.0,26.0,16.0
2015-01-03 06:00:00,37.0,20.0,41.0,29.0,15.0
2015-01-03 09:00:00,39.0,17.0,41.0,29.0,18.0
2015-01-03 12:00:00,52.0,22.0,58.0,29.0,18.0
2015-01-03 15:00:00,47.0,17.0,39.0,19.0,12.0
2015-01-03 18:00:00,45.0,18.0,39.0,30.0,17.0
2015-01-03 21:00:00,28.0,26.0,52.0,34.0,33.0
2015-01-04 00:00:00,23.0,27.0,39.0,33.0,33.0
2015-01-04 03:00:00,39.0,29.0,34.0,29.0,30.0
2015-01-04 06:00:00,41.0,23.0,41.0,29.0,24.0
2015-01-04 09:00:00,37.0,20.0,38.0,29.0,28.0
2015-01-04 12:00:00,37.0,28.0,30.0,48.0,36.0
2015-01-04 15:00:00,37.0,43.0,42.0,51.0,36.0
2015-01-04 18:00:00,50.0,59.0,72.0,71.0,45.0
2015-01-04 21:00:00,60.0,60.0,80.0,98.0,49.0
2015-01-05 00:00:00,56.0,58.0,84.0,96.0,50.0
2015-01-05 03:00:00,67.0,,97.0,104.0,60.0
2015-01-05 06:00:00,65.0,,85.0,77.0,57.0
2015-01-05 09:00:00,57.0,64.0,75.0,70.0,66.0
2015-01-05 12:00:00,59.0,64.0,81.0,87.0,82.0
2015-01-05 15:00:00,87.0,48.0,77.0,85.0,70.0
2015-01-05 18:00:00,96.0,44.0,76.0,57.0,45.0
2015-01-05 21:00:00,90.0,24.0,90.0,59.0,48.0
2015-01-06 00:00:00,83.0,44.0,81.0,49.0,41.0
2015-01-06 03:00:00,99.0,39.0,90.0,45.0,52.0
2015-01-06 06:00:00,57.0,25.0,75.0,34.0,35.0
2015-01-06 09:00:00,35.0,36.0,38.0,42.0,17.0
2015-01-06 12:00:00,64.0,32.0,62.0,38.0,29.0
2015-01-06 15:00:00,52.0,21.0,48.0,28.0,22.0
2015-01-06 18:00:00,41.0,21.0,32.0,25.0,20.0
2015-01-06 21:00:00,21.0,19.0,24.0,16.0,22.0
2015-01-07 00:00:00,21.0,20.0,20.0,14.0,19.0
2015-01-07 03:00:00,16.0,15.0,18.0,15.0,16.0
2015-01-07 06:00:00,23.0,12.0,25.0,16.0,13.0
2015-01-07 09:00:00,40.0,13.0,32.0,17.0,14.0
2015-01-07 12:00:00,55.0,17.0,44.0,27.0,13.0
2015-01-07 15:00:00,61.0,33.0,47.0,29.0,20.0
2015-01-07 18:00:00,57.0,27.0,51.0,22.0,24.0
2015-01-07 21:00:00,47.0,20.0,58.0,22.0,24.0
2015-01-08 00:00:00,50.0,20.0,59.0,22.0,28.0
2015-01-08 03:00:00,49.0,25.0,60.0,29.0,32.0
