,서울,서울,서울,서울,강원도,강원도,강원도,강원도,충청도,충청도,충청도,충청도,전라도,전라도,전라도,전라도,경상도,경상도,경상도,경상도
,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수
index,,,,,,,,,,,,,,,,,,,,
201501,69.784,132.306,91.575,96.561,102.87,110.74,90.726,95.704,101.896,143.507,88.842,89.462,98.204,126.479,108.963,109.892,155.754,124.265,117.375,117.204
201502,54.985,110.379,82.312,85.762,90.241,94.675,84.073,86.713,73.492,119.975,78.646,79.218,84.658,107.787,94.634,94.899,145.679,106.41,103.844,103.256
201503,100.0,110.36,98.909,99.327,117.222,100.632,102.319,103.197,126.728,115.714,92.259,91.006,103.324,109.045,114.222,113.283,169.883,112.075,124.38,122.682
201504,116.752,88.029,96.417,93.739,117.222,86.101,105.242,102.398,98.303,81.356,91.167,90.708,255.811,83.434,112.404,110.654,165.676,99.317,122.411,120.103
201505,127.544,77.187,91.717,88.347,111.481,82.31,99.798,97.303,176.858,66.096,87.999,86.658,295.693,78.774,111.366,109.173,157.631,89.566,114.359,112.307
201506,122.713,75.087,97.019,92.388,126.521,80.415,110.685,105.994,203.073,60.026,94.749,91.913,346.03,79.112,116.455,114.152,136.626,87.64,118.925,116.598
201507,104.625,76.184,94.411,90.346,121.47,87.455,105.948,103.596,168.781,62.729,97.203,94.032,199.086,83.848,113.545,111.904,131.964,93.445,116.15,114.578
201508,88.9,82.012,90.367,88.083,111.022,94.224,98.387,98.701,216.474,62.131,88.751,86.084,173.822,78.789,102.852,101.445,112.169,88.589,108.059,106.794
201509,101.028,76.812,102.321,97.267,116.992,86.462,103.327,101.099,168.958,58.769,93.629,90.489,176.847,76.362,105.897,104.047,134.993,85.077,110.582,108.754
201510,123.227,74.239,109.082,102.27,122.847,78.52,104.032,100.599,155.478,67.281,95.424,94.016,144.66,82.544,113.803,111.681,140.446,89.517,121.511,119.017
201511,115.108,88.976,105.362,101.378,117.91,84.025,103.327,100.699,147.928,89.092,92.757,92.366,167.976,95.366,111.81,110.697,147.743,96.884,116.771,115.089
201512,108.633,112.525,106.533,105.865,121.699,97.292,101.815,102.597,180.751,126.13,96.042,94.367,170.028,118.25,112.242,112.234,153.162,111.894,120.049,118.913
