,일자,소비자물가,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가,소비자물가2,농축수산물2,공업제품2,집세2,공공서비스2,개인서비스2,근원물가2,생활물가2
0,201501,1.0,1.7,0.2,2.7,0.5,1.9,2.6,-0.3,101.0,101.7,100.2,102.7,100.5,101.9,102.6,99.7
1,201502,0.6,1.8,-0.8,2.6,0.4,1.9,2.4,-0.6,102.8,100.9,102.8,103.1,102.4,104.3,102.0,202.5
2,201503,0.5,-0.1,-0.4,2.5,0.6,1.9,2.2,-0.6,102.7,100.5,105.3,103.7,104.3,106.5,101.4,305.2
3,201504,0.4,0.2,-0.5,2.4,0.7,1.9,2.1,-0.7,102.9,100.0,107.7,104.4,106.2,108.6,100.7,408.1
4,201505,0.6,2.7,-0.3,2.5,0.7,1.8,2.1,-0.5,105.6,99.7,110.2,105.1,108.0,110.7,100.2,513.7
5,201506,0.7,3.6,0.0,2.5,0.7,1.8,2.0,-0.1,109.2,99.7,112.7,105.8,109.8,112.7,100.1,622.9
6,201507,0.7,3.0,-0.1,2.6,1.7,1.9,2.1,-0.1,112.2,99.6,115.3,107.5,111.7,114.8,100.0,735.1
7,201508,0.7,2.7,-0.1,2.6,2.0,1.8,2.1,-0.1,114.9,99.5,117.9,109.5,113.5,116.9,99.9,850.0
8,201509,0.5,1.3,-0.5,2.6,1.8,1.8,2.0,-0.3,116.2,99.0,120.5,111.3,115.3,118.9,99.6,966.2
9,201510,0.8,3.0,-0.4,2.5,1.8,2.0,2.2,0.1,119.2,98.6,123.0,113.1,117.3,121.1,99.7,1085.4
10,201511,0.8,1.3,-0.1,2.5,1.8,2.0,2.2,0.1,120.5,98.5,125.5,114.9,119.3,123.3,99.8,1205.9
11,201512,1.1,2.7,0.3,2.5,1.9,2.2,2.3,0.5,123.2,98.8,128.0,116.8,121.5,125.6,100.3,1329.1
12,201601,0.6,1.5,-1.1,2.0,2.0,2.5,1.6,0.4,124.7,97.7,130.0,118.8,124.0,127.2,100.7,1453.8
13,201602,1.1,5.0,-0.7,2.0,2.1,2.7,1.7,1.0,129.7,97.0,132.0,120.9,126.7,128.9,101.7,1583.5
14,201603,0.8,4.6,-1.4,2.0,1.9,2.7,1.7,0.5,134.3,95.6,134.0,122.8,129.4,130.6,102.2,1717.8
15,201604,1.0,4.3,-0.7,1.9,1.9,2.5,1.9,0.6,138.6,94.9,135.9,124.7,131.9,132.5,102.8,1856.4
16,201605,0.8,0.6,-0.9,1.9,1.9,2.8,0.4,1.8,139.2,94.0,137.8,126.6,134.7,132.9,104.6,1995.6
17,201606,0.7,-1.4,-0.6,1.9,1.9,2.8,1.8,0.3,137.8,93.4,139.7,128.5,137.5,134.7,104.9,2133.4
18,201607,0.4,-0.3,-0.8,1.8,1.0,2.8,1.3,0.3,137.5,92.6,141.5,129.5,140.3,136.0,105.2,2270.9
