,일자,총지수,광업 및 제조업,광업,제조업,전기업 및 가스업
0,201501,93.797,91.910,93.341,91.917,115.854
1,201502,83.459,82.408,79.905,82.331,96.623
2,201503,97.086,96.707,114.388,96.617,102.251
3,201504,95.301,95.861,126.516,95.771,89.681
4,201505,91.447,92.192,131.748,92.011,84.428
5,201506,95.395,96.331,141.260,96.147,85.460
6,201507,94.361,94.638,126.278,94.549,91.370
7,201508,89.004,88.899,115.458,88.816,91.745
8,201509,93.891,94.732,122.592,94.643,85.835
9,201510,98.778,100.000,127.705,99.906,85.084
10,201511,96.523,96.990,120.571,96.898,92.214
11,201512,98.778,98.213,127.229,98.120,105.347
12,201601,93.045,91.345,96.552,91.259,114.165
13,201602,85.244,83.819,88.823,83.835,102.251
14,201603,99.342,99.247,121.165,99.154,101.126
15,201604,93.703,94.356,130.202,94.173,87.242
16,201605,96.429,97.460,136.147,97.368,85.084
17,201606,98.402,99.718,139.834,99.624,83.959
18,201607,96.241,96.707,125.327,96.617,90.901
19,201608,92.105,91.816,126.635,91.729,95.591
20,201609,92.763,93.227,119.857,93.139,87.523
21,201610,98.120,99.341,128.300,99.248,84.615
22,201611,102.350,103.198,135.434,103.102,93.433
23,201612,104.699,104.421,126.992,104.323,108.443
24,201701,94.737,93.133,95.600,93.139,114.165
25,201702,92.857,91.722,95.006,91.635,107.317
26,201703,104.323,104.327,123.781,104.229,105.722
27,201704,97.838,98.495,127.467,98.402,91.463
28,201705,98.496,99.436,139.952,99.248,89.212
29,201706,99.154,100.188,147.681,100.000,88.086
30,201707,98.590,98.401,118.193,98.402,101.313
31,201708,95.207,95.014,112.961,94.925,98.311
32,201709,102.820,103.951,122.235,103.947,89.962
33,201710,93.797,94.356,106.540,94.361,87.992
34,201711,102.820,102.916,123.662,102.914,101.970
35,201712,100.940,99.247,116.766,99.248,121.482
36,201801,99.812,97.930,91.558,97.932,128.705
37,201802,87.782,86.171,78.835,86.184,113.039
38,201803,101.880,101.599,108.918,101.598,107.598
39,201804,100.000,100.470,115.220,100.376,94.278
40,201805,100.940,101.693,121.998,101.598,90.619
41,201806,101.222,101.881,121.641,101.880,92.214
42,201807,101.880,101.787,111.534,101.692,104.972
43,201808,99.154,98.871,102.140,98.778,105.253
44,201809,96.147,96.802,97.503,96.805,86.867
45,201810,105.733,106.491,111.296,106.485,94.747
46,201811,103.102,103.198,113.912,103.195,102.064
47,201812,101.598,100.376,102.140,100.376,121.013
48,201901,99.342,98.024,91.439,98.026,128.049
49,201902,84.305,83.067,73.365,83.083,110.694
50,201903,99.812,99.436,102.140,99.342,107.880
51,201904,100.752,100.847,113.436,100.846,97.561
52,201905,102.068,102.540,118.430,102.444,92.402
53,201906,99.342,99.812,112.961,99.812,89.118
54,201907,103.947,104.233,104.637,104.229,98.874
55,201908,97.086,96.896,97.622,96.898,101.126
56,201909,98.214,98.683,84.780,98.684,88.837
57,201910,105.357,106.115,101.308,106.109,90.244
58,201911,104.793,104.986,108.561,104.981,100.000
59,201912,108.177,107.714,109.156,107.707,118.011
60,202001,94.9,93.5,80.2,93.5,118.0
61,202002,92.5,91.4,81.8,91.4,110.0
62,202003,105.8,105.9,101.9,105.9,105.3
63,202004,95.4,95.6,113.4,95.5,93.2
64,202005,91.5,91.7,104.9,91.7,87.3
65,202006,98.7,99.3,107.6,99.3,89.0
66,202007,100.5,100.9,93.1,100.9,94.2
67,202008,94.2,93.8,82.7,93.8,101.2
68,202009,106.2,107.2,100.9,107.2,89.9
69,202010,102.5,103.2,109.5,103.2,91.0
70,202011,105.9,106.3,113.1,106.2,99.4
71,202012,111.9,111.3,110.8,111.3,121.4
72,202101,104.5,103.0,75.1,103.0,129.8
73,202102,96.0,95.2,75.1,95.3,108.4
74,202103,112.1,112.4,105.0,112.5,107.3
75,202104,106.8,107.5,117.2,107.5,94.9
76,202105,104.5,105.2,112.6,105.2,93.4
77,202106,110.7,111.7,113.3,111.7,94.0
78,202107,110.6,110.8,108.2,110.8,108.0
79,202108,105.2,105.3,96.2,105.3,103.4
80,202109,106.3,107.2,94.2,107.3,91.9
81,202110,109.3,110.1,103.3,110.1,96.0
82,202111,113.7,114.3,108.0,114.3,103.9
83,202112,122.3,122.2,103.3,122.2,124.7
84,202201,110.8,109.8,80.3,109.9,134.2
85,202202,103.0,102.3,66.4,102.4,120.5
86,202203,118.2,118.5,89.9,118.5,114.9
87,202204,112.5,113.2,100.7,113.2,98.5
88,202205,113.7,114.6,103.0,114.6,95.4
89,202206,113.8,114.6,100.7,114.7,95.7
90,202207,111.2,111.3,99.6,111.4,108.8
91,202208,104.5,104.6,92.2,104.6,105.0
92,202209,104.6,105.2,91.9,105.3,92.3
93,202210,105.8,106.4,95.5,106.4,94.2
94,202211,107.5,107.9,104.8,107.9,100.7
95,202212,109.2,108.2,93.2,108.3,132.3
96,202301,96.9,95.1,71.6,95.2,135.5
97,202302,96.4,95.5,79.0,95.5,116.0
98,202303,111.2,111.4,94.4,111.5,108.0
99,202304,103.0,103.5,97.0,103.5,94.0
100,202305,107.5,108.3,102.6,108.3,92.3
101,202306,108.7,109.6,101.3,109.6,91.8
102,202307,103.7,103.9,88.0,103.9,101.0
103,202308,105.9,106.1,90.2,106.2,103.2
104,202309,109.6,110.4,90.2,110.5,92.5
105,202310,107.9,108.8,101.2,108.8,90.5
106,202311,114.1,114.6,108.7,114.6,105.5
107,202312,116.1,115.6,106.4,115.7,127.6
108,202401,109.4,108.2,86.3,108.3,136.8
109,202402,100.8,100.1,73.8,100.2,116.5
110,202403,112.3,112.3,90.0,112.3,115.6
111,202404,109.3,110.2,92.3,110.2,92.8
