,연도,월,그룹,계약구분,사용량(kWh),전기요금(원),평균판매단가(원/kWh)
0,2015,1,강원도,"가구내고용,미분류자가소비생산",12724.0,1986737.0,156.1
1,2015,1,강원도,건설업 ,22917077.0,2937872782.0,128.2
2,2015,1,강원도,"공공행정, 국방 및 사회보장 행정",57919547.0,7191602079.0,124.2
3,2015,1,강원도,광업 ,32273124.0,4433525583.0,137.4
4,2015,1,강원도,교육 서비스업,41898306.0,4550828221.0,108.6
5,2015,1,강원도,금융 및 보험업 ,6620087.0,872352167.0,131.8
6,2015,1,강원도,"농업, 임업 및 어업 ",45243558.0,2304986590.0,50.9
7,2015,1,강원도,도매 및 소매업,62282031.0,8035077380.0,129.0
8,2015,1,강원도,보건업 및 사회복지 서비스업,25403089.0,2732706391.0,107.6
9,2015,1,강원도,부동산업 및 임대업 ,45208282.0,5958308162.0,131.8
10,2015,1,강원도,"사업시설관리,사업지원서비스업",4826861.0,646679298.0,134.0
11,2015,1,강원도,숙박 및 음식점업 ,112064784.0,13763796780.0,122.8
12,2015,1,강원도,"예술,스포츠및여가관련서비스업",35087583.0,4519064627.0,128.8
13,2015,1,강원도,운수업,18600521.0,2527098738.0,135.9
14,2015,1,강원도,"전기, 가스, 증기 및 수도사업 ",35173169.0,4215811729.0,119.9
15,2015,1,강원도,"전문, 과학 및 기술 서비스업 ",3997921.0,543543629.0,136.0
16,2015,1,강원도,제조업 ,486818150.0,54324420272.0,111.6
17,2015,1,강원도,"출판영상,방송통신정보서비스업",25469621.0,3079882192.0,120.9
18,2015,1,강원도,하수폐기처리원료재생환경복원,22639984.0,2754153970.0,121.6
19,2015,1,강원도,"협회단체,수리기타개인서비스업",26592423.0,3444770682.0,129.5
20,2015,1,경상도,"가구내고용,미분류자가소비생산",253824.0,42427225.0,172.75
21,2015,1,경상도,건설업 ,66471046.0,8987749956.0,135.98
22,2015,1,경상도,"공공행정, 국방 및 사회보장 행정",113498341.0,14704593914.0,129.94
23,2015,1,경상도,광업 ,31431240.0,4440452411.0,144.82
24,2015,1,경상도,교육 서비스업,214654246.0,24444724771.0,114.54
25,2015,1,경상도,국제 및 외국기관,10011085.0,1099707906.0,109.15
26,2015,1,경상도,금융 및 보험업 ,44218737.0,6092643498.0,138.16
27,2015,1,경상도,"농업, 임업 및 어업 ",471744271.0,22377265701.0,48.760000000000005
28,2015,1,경상도,도매 및 소매업,449202358.0,59573791638.0,132.78
29,2015,1,경상도,보건업 및 사회복지 서비스업,170027670.0,19980108278.0,119.12
