구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2015년01월01일,1963.95,1587.31,1399.99,1105.58
2015년01월02일,1960.73,1583.94,1397.50,1102.38
2015년01월03일,1956.82,1580.04,1393.97,1097.43
2015년01월04일,1956.43,1576.80,1391.01,1094.75
2015년01월05일,1958.08,1574.43,1389.08,1093.74
2015년01월06일,1950.98,1569.70,1384.87,1090.16
2015년01월07일,1945.18,1564.04,1380.06,1086.39
2015년01월08일,1939.51,1558.90,1375.62,1082.79
2015년01월09일,1934.03,1553.50,1371.00,1078.53
2015년01월10일,1932.51,1547.42,1365.63,1073.63
2015년01월11일,1927.99,1544.35,1362.95,1069.16
2015년01월12일,1926.31,1540.37,1359.51,1065.47
2015년01월13일,1914.07,1532.39,1352.35,1058.78
2015년01월14일,1905.75,1524.05,1345.01,1053.16
2015년01월15일,1896.81,1514.91,1337.26,1046.88
2015년01월16일,1890.56,1504.89,1328.80,1040.20
2015년01월17일,1884.80,1496.70,1321.81,1034.28
2015년01월18일,1886.05,1493.03,1318.59,1030.58
2015년01월19일,1881.37,1487.27,1314.39,1026.34
2015년01월20일,1870.59,1477.80,1306.49,1019.13
2015년01월21일,1865.64,1468.93,1299.88,1012.16
2015년01월22일,1857.40,1461.23,1293.85,1007.13
2015년01월23일,1853.73,1453.69,1288.20,1001.84
2015년01월24일,1849.48,1447.97,1283.59,997.01
2015년01월25일,1848.04,1444.92,1281.01,994.27
2015년01월26일,1845.45,1440.86,1278.11,989.91
2015년01월27일,1841.86,1434.80,1273.63,985.64
2015년01월28일,1839.27,1430.24,1269.86,981.34
2015년01월29일,1836.61,1425.61,1266.38,977.97
2015년01월30일,1834.98,1422.01,1263.61,975.34
2015년01월31일,1833.83,1419.11,1261.36,972.37
2015년02월01일,1832.01,1416.41,1259.09,969.41
2015년02월02일,1830.12,1413.88,1257.22,966.99
2015년02월03일,1826.18,1411.25,1255.15,964.93
2015년02월04일,1828.49,1410.11,1254.47,962.42
2015년02월05일,1829.95,1409.74,1254.21,960.69
2015년02월06일,1824.56,1409.82,1254.27,959.06
2015년02월07일,1824.04,1410.59,1254.68,958.85
2015년02월08일,1822.67,1410.96,1254.67,958.29
2015년02월09일,1822.52,1411.86,1255.70,958.54
2015년02월10일,1828.91,1415.54,1258.47,959.98
2015년02월11일,1838.84,1420.67,1263.00,961.09
2015년02월12일,1843.24,1424.82,1266.29,963.02
2015년02월13일,1844.67,1428.39,1269.31,963.78
2015년02월14일,1846.10,1433.49,1273.23,965.61
2015년02월15일,1848.33,1436.24,1275.21,965.82
2015년02월16일,1847.93,1440.21,1278.58,966.61
2015년02월17일,1856.44,1448.15,1285.13,968.97
2015년02월18일,1859.32,1455.67,1290.35,970.01
2015년02월19일,1861.13,1458.18,1292.03,970.04
2015년02월20일,1859.73,1460.06,1293.38,968.95
2015년02월21일,1856.47,1462.04,1294.96,966.85
2015년02월22일,1857.40,1463.26,1295.60,966.11
2015년02월23일,1860.15,1465.55,1297.69,970.58
2015년02월24일,1868.24,1470.24,1301.40,974.26
2015년02월25일,1871.63,1473.61,1304.12,976.39
2015년02월26일,1872.42,1476.36,1306.49,978.34
2015년02월27일,1873.45,1479.16,1308.39,979.23
2015년02월28일,1873.78,1481.31,1309.89,980.50
2015년03월01일,1872.04,1484.13,1311.53,980.97
2015년03월02일,1872.63,1486.66,1313.88,982.21
2015년03월03일,1876.33,1489.48,1315.72,981.97
2015년03월04일,1881.31,1492.65,1318.11,983.30
2015년03월05일,1880.84,1495.40,1320.05,983.46
2015년03월06일,1879.65,1497.20,1321.14,984.30
2015년03월07일,1878.31,1499.25,1322.60,984.08
2015년03월08일,1876.87,1500.31,1322.97,982.86
2015년03월09일,1874.26,1503.27,1325.33,984.64
2015년03월10일,1877.65,1506.29,1327.36,987.64
2015년03월11일,1880.06,1509.65,1329.39,987.84
2015년03월12일,1884.36,1511.76,1330.81,988.37
2015년03월13일,1886.02,1513.36,1331.88,988.37
2015년03월14일,1887.16,1514.60,1332.41,988.48
2015년03월15일,1887.83,1515.06,1332.54,987.93
2015년03월16일,1886.53,1515.93,1333.40,986.68
2015년03월17일,1884.84,1516.46,1333.56,985.52
2015년03월18일,1884.73,1516.49,1333.26,985.23
2015년03월19일,1881.41,1516.22,1332.80,985.41
2015년03월20일,1884.09,1515.78,1332.35,983.80
2015년03월21일,1883.09,1515.35,1331.55,983.19
2015년03월22일,1882.53,1515.11,1330.85,980.12
2015년03월23일,1880.62,1514.70,1330.94,979.34
2015년03월24일,1878.47,1513.74,1329.71,979.50
2015년03월25일,1876.41,1512.95,1328.76,979.60
2015년03월26일,1874.66,1512.06,1327.78,981.49
2015년03월27일,1876.52,1511.57,1327.12,980.49
2015년03월28일,1876.17,1511.21,1326.49,979.24
2015년03월29일,1877.39,1511.02,1325.99,977.76
2015년03월30일,1880.65,1510.70,1325.85,975.91
2015년03월31일,1881.42,1510.53,1325.48,975.24
2015년04월01일,1880.26,1510.64,1325.32,974.52
2015년04월02일,1882.29,1510.14,1324.72,974.82
2015년04월03일,1880.77,1509.80,1324.22,974.57
2015년04월04일,1880.23,1509.23,1323.55,972.96
2015년04월05일,1879.97,1508.95,1322.84,972.72
2015년04월06일,1875.90,1508.84,1322.78,973.59
2015년04월07일,1875.15,1508.26,1322.00,973.63
2015년04월08일,1871.76,1507.73,1321.39,975.32
2015년04월09일,1873.23,1507.46,1320.94,975.60
2015년04월10일,1873.76,1507.05,1320.50,975.25
2015년04월11일,1872.40,1506.57,1319.76,974.36
2015년04월12일,1872.22,1506.45,1319.41,972.53
2015년04월13일,1871.82,1506.32,1319.39,971.55
2015년04월14일,1870.66,1505.82,1318.75,971.89
2015년04월15일,1865.30,1505.40,1318.36,972.85
2015년04월16일,1868.73,1505.08,1317.87,973.42
2015년04월17일,1869.18,1504.86,1317.63,972.69
2015년04월18일,1870.05,1504.72,1317.57,970.83
2015년04월19일,1869.00,1504.61,1317.00,969.38
2015년04월20일,1866.53,1504.77,1317.33,968.45
2015년04월21일,1875.70,1506.01,1318.27,968.36
2015년04월22일,1877.47,1506.59,1318.64,967.89
2015년04월23일,1879.03,1506.86,1318.71,968.27
2015년04월24일,1878.17,1507.29,1319.00,965.99
2015년04월25일,1877.48,1507.56,1319.09,966.00
2015년04월26일,1876.97,1507.82,1318.86,964.49
2015년04월27일,1876.18,1508.22,1319.53,963.61
2015년04월28일,1880.35,1509.45,1320.26,962.84
2015년04월29일,1883.88,1510.16,1320.68,961.66
2015년04월30일,1883.77,1510.71,1321.04,963.19
2015년05월01일,1883.10,1512.19,1321.68,963.01
2015년05월02일,1883.36,1513.22,1322.41,962.98
2015년05월03일,1882.82,1513.62,1322.22,961.00
2015년05월04일,1884.43,1514.40,1323.13,959.10
2015년05월05일,1889.50,1516.14,1323.87,960.49
2015년05월06일,1890.33,1517.43,1324.85,959.82
2015년05월07일,1893.95,1519.81,1326.34,962.67
2015년05월08일,1896.02,1522.99,1328.56,964.06
2015년05월09일,1897.15,1525.62,1330.33,965.36
2015년05월10일,1896.91,1526.80,1330.98,965.19
2015년05월11일,1897.27,1528.95,1332.71,965.53
2015년05월12일,1899.99,1532.20,1335.70,965.55
2015년05월13일,1905.35,1535.00,1338.00,968.05
2015년05월14일,1906.34,1537.90,1340.17,970.76
2015년05월15일,1908.72,1540.82,1342.59,970.88
2015년05월16일,1911.48,1543.96,1344.96,970.94
2015년05월17일,1911.95,1545.39,1345.73,970.17
2015년05월18일,1908.99,1548.11,1348.86,969.44
2015년05월19일,1913.88,1551.36,1350.74,971.01
2015년05월20일,1913.17,1553.77,1352.68,970.98
2015년05월21일,1914.46,1555.96,1354.32,973.22
2015년05월22일,1917.42,1558.21,1356.11,973.31
2015년05월23일,1919.31,1560.62,1357.69,972.64
2015년05월24일,1919.14,1561.72,1358.32,972.34
2015년05월25일,1919.04,1563.01,1359.43,969.17
2015년05월26일,1921.10,1564.95,1360.77,967.38
2015년05월27일,1924.05,1566.68,1361.86,969.49
2015년05월28일,1922.85,1567.87,1362.64,970.92
2015년05월29일,1924.12,1568.81,1363.36,972.24
2015년05월30일,1922.99,1569.63,1363.74,971.97
2015년05월31일,1921.86,1570.18,1364.00,969.54
2015년06월01일,1923.48,1571.55,1365.32,968.27
2015년06월02일,1923.65,1572.40,1365.77,969.17
2015년06월03일,1924.70,1573.51,1366.49,970.19
2015년06월04일,1924.17,1574.42,1367.04,971.82
2015년06월05일,1925.96,1575.14,1367.48,971.24
2015년06월06일,1925.93,1575.56,1367.59,972.40
2015년06월07일,1925.92,1575.86,1367.53,970.69
2015년06월08일,1925.63,1576.18,1367.98,969.32
2015년06월09일,1925.54,1576.80,1368.17,970.44
2015년06월10일,1924.76,1577.23,1368.45,970.61
2015년06월11일,1925.85,1577.63,1368.53,972.74
2015년06월12일,1926.22,1578.28,1368.78,971.75
2015년06월13일,1926.72,1578.92,1368.89,971.35
2015년06월14일,1925.22,1579.21,1368.72,970.59
2015년06월15일,1927.60,1579.67,1369.28,969.38
