일자,종가,시가,고가,저가,거래량,변동
2015-01-02,553.73,546.01,553.78,546.01,364060.0,198.0
2015-01-05,561.25,556.45,561.25,554.07,427450.0,136.0
2015-01-06,558.9,557.31,562.1,556.39,487560.0,-42.0
2015-01-07,561.32,559.91,561.95,557.56,494450.0,43.0
2015-01-08,566.43,565.19,567.21,563.63,468820.0,91.0
2015-01-09,572.99,570.79,573.36,569.62,438640.0,115.99999999999999
2015-01-12,574.76,574.43,575.57,572.27,453310.0,31.0
2015-01-13,571.0,576.05,577.85,570.3,553180.0,-65.0
2015-01-14,574.17,573.3,574.7,571.66,433170.0,56.00000000000001
2015-01-15,581.39,575.25,581.39,575.06,447940.0,126.0
2015-01-16,577.41,582.31,582.49,575.7,429670.0,-68.0
2015-01-19,577.94,583.59,583.59,577.94,441090.0,9.0
2015-01-20,582.27,580.14,582.28,576.2,486160.0,75.0
2015-01-21,584.34,584.34,586.04,583.64,538200.0,36.0
2015-01-22,578.42,587.17,587.42,572.68,647450.0,-101.0
2015-01-23,589.31,582.77,589.31,580.78,506740.0,188.0
2015-01-26,590.34,591.2,591.82,589.0,534750.0,17.0
2015-01-27,587.84,593.19,593.23,587.7,530980.0,-42.0
2015-01-28,594.39,587.77,594.4,587.0,470180.0,111.00000000000001
2015-01-29,593.12,594.74,595.42,592.66,467500.0,-21.0
2015-01-30,591.58,596.94,597.28,588.97,452070.0,-26.0
2015-02-02,590.27,591.75,591.75,586.87,422470.0,-22.0
2015-02-03,593.31,592.35,593.56,587.34,501510.0,52.0
2015-02-04,598.23,596.53,598.53,595.9,505360.0,83.0
2015-02-05,600.81,600.87,600.88,598.14,554180.0,43.0
2015-02-06,604.13,605.86,606.13,603.93,515659.99999999994,55.00000000000001
2015-02-09,593.75,605.88,605.88,592.69,519770.0,-172.0
2015-02-10,592.95,593.91,595.14,585.35,553760.0,-13.0
2015-02-11,601.41,595.97,602.25,595.97,499700.0,143.0
2015-02-12,602.24,604.69,604.69,600.02,516789.99999999994,14.000000000000002
2015-02-13,608.07,604.76,608.45,603.94,507030.0,97.0
2015-02-16,610.16,610.59,613.72,609.29,451940.0,34.0
2015-02-17,609.1,611.92,611.92,606.46,440240.0,-17.0
2015-02-23,615.52,613.37,616.35,611.98,426300.0,105.0
2015-02-24,621.31,616.66,621.73,616.27,472890.0,94.0
2015-02-25,616.57,625.12,625.26,616.57,479930.0,-76.0
2015-02-26,617.08,618.06,618.37,615.02,487150.0,8.0
2015-02-27,624.56,620.65,625.2,620.06,503340.0,121.0
2015-03-02,621.81,627.61,628.03,621.75,507110.0,-44.0
2015-03-03,625.64,625.53,626.24,624.29,502380.0,62.0
2015-03-04,630.35,627.27,631.32,627.09,528480.0,75.0
2015-03-05,631.43,633.07,633.58,629.41,485600.0,17.0
2015-03-06,635.84,634.52,635.87,632.5,551630.0,70.0
2015-03-09,629.26,636.83,636.83,628.83,503300.0,-103.0
2015-03-10,621.99,632.54,633.52,617.89,571070.0,-115.99999999999999
2015-03-11,619.61,617.52,623.24,616.43,470060.0,-38.0
2015-03-12,628.15,622.55,628.29,621.47,490440.0,138.0
2015-03-13,634.25,631.74,634.97,631.5,530720.0,97.0
