일자,종가,시가,고가,저가,거래량,변동
2015-01-02,1926.44,1914.24,1929.15,1909.67,258779999.99999997,56.99999999999999
2015-01-05,1915.75,1921.96,1921.96,1903.37,313440000.0,-55.00000000000001
2015-01-06,1882.45,1895.48,1900.02,1877.38,303690000.0,-174.0
2015-01-07,1883.83,1878.9,1887.6,1876.27,280510000.0,7.000000000000001
2015-01-08,1904.65,1895.85,1907.23,1891.77,262209999.99999997,111.00000000000001
2015-01-09,1924.7,1919.8,1929.1,1915.85,308780000.0,105.0
2015-01-12,1920.95,1918.18,1924.66,1917.88,311920000.0,-19.0
2015-01-13,1917.14,1915.03,1920.77,1910.27,338990000.0,-20.0
2015-01-14,1913.66,1919.31,1925.68,1913.51,297520000.0,-18.0
2015-01-15,1914.14,1914.06,1919.69,1908.6,266540000.00000003,3.0
2015-01-16,1888.13,1907.07,1907.07,1885.62,298730000.0,-136.0
2015-01-19,1902.62,1902.81,1912.42,1900.26,281120000.0,77.0
2015-01-20,1918.31,1908.62,1918.85,1907.97,280900000.0,82.0
2015-01-21,1921.23,1917.33,1921.88,1909.86,300840000.0,15.0
2015-01-22,1920.82,1926.01,1932.5,1916.56,343130000.0,-2.0
2015-01-23,1936.09,1945.36,1945.36,1930.65,367700000.0,79.0
2015-01-26,1935.68,1928.26,1936.4,1924.14,330610000.0,-2.0
2015-01-27,1952.4,1941.9,1952.41,1940.72,466960000.0,86.0
2015-01-28,1961.58,1946.71,1963.53,1943.59,400930000.0,47.0
2015-01-29,1951.02,1950.83,1960.12,1946.2,391030000.0,-54.0
2015-01-30,1949.26,1964.13,1964.13,1948.6,441480000.0,-9.0
2015-02-02,1952.68,1947.91,1956.1,1944.58,364830000.0,18.0
2015-02-03,1951.96,1960.11,1960.35,1940.74,369980000.0,-4.0
2015-02-04,1962.79,1963.37,1970.27,1961.57,348030000.0,55.00000000000001
2015-02-05,1952.84,1961.15,1962.15,1945.42,395650000.0,-51.0
2015-02-06,1955.52,1955.13,1955.52,1945.82,309820000.0,14.000000000000002
2015-02-09,1947.0,1949.5,1952.86,1944.79,310180000.0,-44.0
2015-02-10,1935.86,1949.3,1954.2,1935.86,329200000.0,-56.99999999999999
2015-02-11,1945.7,1942.34,1948.89,1937.95,307450000.0,51.0
2015-02-12,1941.63,1947.21,1947.47,1932.75,334820000.0,-21.0
2015-02-13,1957.5,1949.32,1957.5,1946.94,351080000.0,82.0
2015-02-16,1958.23,1960.03,1963.44,1955.39,350940000.0,4.0
2015-02-17,1961.45,1955.77,1962.97,1952.33,304530000.0,16.0
2015-02-23,1968.39,1974.44,1976.96,1966.77,347580000.0,35.0
