일시,습도,16 방위 풍향,풍속,강수량,현지기압,해면기압,변화량 기압,이슬점 온도,기온
2015-01-01 00:00:00,77.2,0.0,0.0,0.0,872.5,1042.5,0.9,-25.4,-22.5
2015-01-01 03:00:00,68.7,0.0,0.0,0.0,874.6,1042.7,2.1,-23.6,-19.3
2015-01-01 06:00:00,47.9,0.0,0.0,0.0,873.5,1035.4,1.1,-19.7,-10.8
2015-01-01 09:00:00,53.8,0.0,0.0,0.0,874.7,1037.3,1.2,-18.9,-11.4
2015-01-01 12:00:00,57.1,300.0,1.0,0.0,874.5,1038.3,0.2,-19.9,-13.2
2015-01-01 15:00:00,76.3,0.0,0.0,0.0,873.5,1039.2,1.0,-19.4,-16.2
2015-01-01 18:00:00,76.0,0.0,0.0,0.0,872.0,1038.4,1.5,-20.9,-17.7
2015-01-01 21:00:00,71.8,90.0,2.0,0.0,868.8,1033.8,3.2,-20.5,-16.6
2015-01-02 00:00:00,72.3,90.0,3.0,0.0,866.0,1030.9,2.8,-20.9,-17.1
2015-01-02 03:00:00,59.0,0.0,0.0,0.0,863.9,1025.8,2.1,-19.7,-13.4
2015-01-02 06:00:00,55.1,0.0,0.0,0.0,860.6,1019.8,3.3,-17.5,-10.2
2015-01-02 09:00:00,56.9,0.0,0.0,0.0,859.5,1018.5,1.1,-17.2,-10.3
2015-01-02 12:00:00,71.0,0.0,0.0,0.0,859.1,1020.1,0.4,-18.3,-14.2
2015-01-02 15:00:00,71.8,0.0,0.0,0.0,858.7,1021.8,0.4,-20.5,-16.6
2015-01-02 18:00:00,74.8,0.0,0.0,0.0,858.5,1022.1,0.2,-20.8,-17.4
2015-01-02 21:00:00,77.8,0.0,0.0,0.0,859.2,1024.2,0.7,-22.1,-19.2
2015-01-03 00:00:00,79.2,0.0,0.0,0.0,860.3,1025.5,1.1,-21.8,-19.1
2015-01-03 03:00:00,62.1,0.0,0.0,0.0,861.9,1023.6,1.6,-19.3,-13.6
2015-01-03 06:00:00,49.0,0.0,0.0,0.0,861.0,1019.1,0.9,-17.2,-8.4
2015-01-03 09:00:00,58.1,0.0,0.0,0.0,861.5,1020.3,0.5,-16.1,-9.4
2015-01-03 12:00:00,68.8,100.0,1.0,0.0,861.3,1021.1,0.2,-15.6,-11.0
2015-01-03 15:00:00,71.0,70.0,1.0,0.0,860.5,1020.4,0.8,-15.6,-11.4
2015-01-03 18:00:00,66.2,100.0,1.0,0.0,857.6,1016.1,2.9,-15.1,-10.0
2015-01-03 21:00:00,69.1,0.0,0.0,0.0,855.9,1013.7,1.7,-14.1,-9.5
2015-01-04 00:00:00,70.1,0.0,0.0,0.0,856.8,1015.3,0.9,-14.7,-10.3
2015-01-04 03:00:00,77.9,320.0,4.0,0.0,858.9,1015.8,2.1,-10.4,-7.2
2015-01-04 06:00:00,73.3,300.0,4.0,0.0,860.7,1019.2,1.8,-13.1,-9.2
2015-01-04 09:00:00,69.8,320.0,3.0,0.0,864.6,1025.4,3.9,-16.0,-11.6
2015-01-04 12:00:00,77.2,290.0,2.0,0.0,868.7,1032.3,4.1,-17.7,-14.6
2015-01-04 15:00:00,71.1,310.0,2.0,0.0,871.2,1036.9,2.5,-20.9,-16.9
2015-01-04 18:00:00,75.1,0.0,0.0,0.0,873.6,1041.3,2.4,-22.3,-19.0
2015-01-04 21:00:00,76.9,0.0,0.0,0.0,874.4,1043.3,0.8,-23.5,-20.5
2015-01-05 00:00:00,81.8,0.0,0.0,0.2,875.2,1044.0,0.8,-22.4,-20.1
2015-01-05 03:00:00,84.1,260.0,1.0,0.0,874.9,1043.1,0.3,-21.4,-19.4
2015-01-05 06:00:00,73.8,240.0,3.0,0.0,872.8,1038.2,2.1,-19.6,-16.0
2015-01-05 09:00:00,61.2,0.0,0.0,0.0,872.5,1037.1,0.3,-20.8,-15.0
2015-01-05 12:00:00,67.2,0.0,0.0,0.0,873.1,1039.8,0.6,-22.4,-17.8
2015-01-05 15:00:00,73.7,0.0,0.0,0.0,873.3,1041.2,0.2,-22.9,-19.4
2015-01-05 18:00:00,74.9,0.0,0.0,0.0,873.7,1042.2,0.4,-23.4,-20.1
2015-01-05 21:00:00,67.0,60.0,1.0,0.0,873.5,1041.1,0.2,-23.5,-18.9
2015-01-06 00:00:00,71.0,0.0,0.0,0.0,873.2,1041.6,0.3,-24.0,-20.1
2015-01-06 03:00:00,55.0,80.0,4.0,0.0,872.8,1037.8,0.4,-22.4,-15.4
