지점,지점명,일시,습도,16 방위 풍향,풍속,강수량,현지기압,해면기압,변화량 기압,이슬점 온도,기온,최고 기온,최저 기온
44292,울란바토르,2022-01-01 00:00,76.7,0,0,,875.8,1045.4,.5,-24.1,-21.1,,-21.9
44292,울란바토르,2022-01-01 03:00,79,0,0,,875.6,1044.4,.2,-22.8,-20.1,,
44292,울란바토르,2022-01-01 06:00,66.7,28,3,,873.9,1040.6,1.7,-22.2,-17.5,,
44292,울란바토르,2022-01-01 09:00,53.8,27,3,,873.4,1040.2,.5,-25,-17.9,,
44292,울란바토르,2022-01-01 12:00,64,11,1,0,873.3,1042.5,.1,-26.2,-21.2,-16.8,
44292,울란바토르,2022-01-01 15:00,67.8,6,2,,872.3,1042.6,1,-27.3,-23,,
44292,울란바토르,2022-01-01 18:00,67.1,0,0,-99.8,870.9,1041.2,1.4,-27.7,-23.3,-99.8,-99.8
44292,울란바토르,2022-01-01 21:00,65.1,0,0,-99.8,869.4,1039.9,1.5,-28.7,-24,-99.8,-99.8
44292,울란바토르,2022-01-02 00:00,62.9,9,2,,868.8,1038.8,.6,-28.5,-23.4,,-24.6
44292,울란바토르,2022-01-02 03:00,54.8,0,0,,869.5,1038,.7,-28,-21.3,,
44292,울란바토르,2022-01-02 06:00,47.1,0,0,,868.8,1033.4,.7,-24.6,-15.9,,
44292,울란바토르,2022-01-02 09:00,46.1,0,0,,869.8,1035.9,1,-26.6,-17.8,,
44292,울란바토르,2022-01-02 12:00,60.1,0,0,,870.8,1039.4,1,-26.7,-21,-15.2,
44292,울란바토르,2022-01-02 15:00,66,0,0,,871.6,1041.7,.8,-27.4,-22.8,,
44292,울란바토르,2022-01-02 18:00,67,0,0,,871.5,1042.3,.1,-28.2,-23.8,,
44292,울란바토르,2022-01-02 21:00,67.2,0,0,,871.3,1042.3,.2,-27.5,-23.1,,
44292,울란바토르,2022-01-03 00:00,67.2,0,0,,871.5,1041.8,.2,-27.6,-23.2,,-24.7
44292,울란바토르,2022-01-03 21:00,68.1,9,3,-99.8,870.6,1039.7,.4,-26.1,-21.8,-99.8,-99.8
44292,울란바토르,2022-01-04 00:00,69,14,1,,871,1041.3,.4,-27.4,-23.3,,-23.4
44292,울란바토르,2022-01-04 03:00,57.8,11,3,,871.8,1039.6,.8,-25.9,-19.7,,
44292,울란바토르,2022-01-04 06:00,47.1,0,0,,871,1034.2,.8,-22.2,-13.3,,
44292,울란바토르,2022-01-04 09:00,50,17,1,,871.9,1035.4,.9,-21.7,-13.5,,
44292,울란바토르,2022-01-04 12:00,63.9,6,1,,872.8,1039,.9,-22.4,-17.2,-10.9,
44292,울란바토르,2022-01-04 15:00,67,11,2,,873.1,1040.5,.3,-23.3,-18.7,,
44292,울란바토르,2022-01-04 18:00,67,14,2,,873.1,1040.6,0,-23.5,-18.9,,
44292,울란바토르,2022-01-04 21:00,68.1,14,1,,873.2,1040.9,.1,-23.6,-19.2,,
44292,울란바토르,2022-01-05 00:00,69.9,9,3,,873.8,1041.9,.6,-23.7,-19.6,,-21.4
44292,울란바토르,2022-01-05 03:00,54.8,0,0,,874.2,1038.9,.4,-21.7,-14.6,,
44292,울란바토르,2022-01-05 06:00,43.9,10,3,,873.5,1034.8,.7,-19.8,-9.8,,
44292,울란바토르,2022-01-05 09:00,48.8,0,0,,874.2,1036.1,.7,-19.3,-10.6,,
44292,울란바토르,2022-01-05 12:00,60.9,0,0,,875,1039.5,.8,-20.1,-14.2,-9.1,
44292,울란바토르,2022-01-05 15:00,67.1,0,0,,874.8,1040.4,.2,-20.4,-15.7,,
44292,울란바토르,2022-01-05 18:00,69.2,0,0,,874.5,1040.9,.3,-21.3,-17,,
44292,울란바토르,2022-01-05 21:00,69,0,0,,874.4,1041.5,.1,-22.3,-18,,
44292,울란바토르,2022-01-06 00:00,71.9,0,0,,874.4,1042.1,0,-22.7,-18.9,,-20.2
44292,울란바토르,2022-01-06 03:00,57.1,13,2,,874.5,1039.5,.1,-21.6,-15,,
44292,울란바토르,2022-01-06 06:00,45.9,16,2,,872.8,1033.6,1.7,-18.8,-9.3,,
44292,울란바토르,2022-01-06 09:00,46,9,1,,872.7,1033.4,.1,-18.7,-9.2,,
44292,울란바토르,2022-01-06 12:00,63.2,6,1,,873.5,1037.3,.8,-19,-13.5,-7.4,
44292,울란바토르,2022-01-06 15:00,67.7,0,0,-99.8,873.3,1038.6,.2,-20.3,-15.7,-99.8,-99.8
44292,울란바토르,2022-01-06 18:00,72.1,0,0,,873.3,1040.1,0,-21.6,-17.8,,
44292,울란바토르,2022-01-06 21:00,73.7,0,0,-99.8,874.1,1042.3,.8,-23.1,-19.6,-99.8,-99.8
44292,울란바토르,2022-01-07 00:00,74.8,0,0,,875,1044,.9,-23.7,-20.4,,-20.5
44292,울란바토르,2022-01-07 03:00,61,17,1,,875.6,1041.4,.6,-21.6,-15.8,,
44292,울란바토르,2022-01-07 06:00,52.7,28,2,,874.7,1036.9,.9,-18.5,-10.7,,
44292,울란바토르,2022-01-07 09:00,57.1,28,3,,875.7,1038.5,1,-18.2,-11.4,,
44292,울란바토르,2022-01-07 12:00,63.9,0,0,-99.8,876.5,1041.8,.8,-20.2,-14.9,-9.1,-99.8
44292,울란바토르,2022-01-07 15:00,70.3,10,1,-99.8,876.8,1042.2,.3,-19.2,-15,-99.8,-99.8
44292,울란바토르,2022-01-07 18:00,72.8,0,0,,876.3,1043.6,.5,-21.5,-17.8,,
44292,울란바토르,2022-01-07 21:00,75.1,0,0,,875.6,1043.7,.7,-22.4,-19.1,,
44292,울란바토르,2022-01-08 00:00,74,0,0,,875.7,1043.2,.1,-21.7,-18.2,,-20
44292,울란바토르,2022-01-08 03:00,62.8,12,2,,876.4,1041.8,.7,-20.5,-15,,
44292,울란바토르,2022-01-08 06:00,57.6,26,2,,875.3,1037.9,1.1,-18,-11.3,,
44292,울란바토르,2022-01-08 09:00,63.1,27,2,,875.6,1038.7,.3,-17.5,-11.9,,
44292,울란바토르,2022-01-08 12:00,75.2,30,2,,876.7,1042.2,1.1,-18.5,-15.1,-10.4,
44292,울란바토르,2022-01-08 15:00,80,26,2,-99.8,876.8,1044.3,.1,-20.5,-17.9,-99.8,-99.8
