지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
21229,2022-09-01 00:00,7.9,1,9.5,1009.3,87,22.6,24.1,2.6,1.6,1.2,8,50
21229,2022-09-01 01:00,7.9,11,9.6,1009.2,82,21.6,24.2,2.7,1.5,1.1,8,58
21229,2022-09-01 02:00,7.9,7,10.1,1009.8,82,23.4,24.2,2,1.5,1.1,7.1,52
21229,2022-09-01 03:00,8.8,2,10.9,1009.6,85,23.2,24.3,2.2,1.4,1,8,64
21229,2022-09-01 04:00,9,5,11.4,1009.9,80,21.8,24.2,2.4,1.5,1.1,8,53
21229,2022-09-01 05:00,8.4,10,10.2,1010.5,80,21.6,24.3,2.8,1.4,1,7.1,56
21229,2022-09-01 06:00,7.5,17,9.3,1011.1,83,23.2,24.3,2.1,1.4,1,7.1,53
21229,2022-09-01 07:00,8,7,9.8,1011.5,81,23.1,24.3,2.2,1.3,1,7.1,54
21229,2022-09-01 08:00,6.8,17,8.4,1012.3,79,23.3,24.3,2.1,1.3,.9,7.1,40
21229,2022-09-01 09:00,6.2,17,7.5,1012.6,82,23.2,24.3,2.6,1.4,1,7.1,40
21229,2022-09-01 10:00,5.5,27,6.6,1013.5,78,23.5,24.4,2.1,1.3,.9,7.1,46
21229,2022-09-01 11:00,4.5,34,5.7,1014,81,23.3,24.4,1.8,1.2,.9,7.1,42
21229,2022-09-01 12:00,4.6,25,6,1013.9,82,23.4,24.4,1.9,1.3,.9,7.1,47
21229,2022-09-01 13:00,4.8,19,5.8,1014.1,80,23.4,24.5,1.8,1.3,.9,7.1,47
21229,2022-09-01 14:00,4,31,5.8,1014.2,80,23.2,24.4,2.2,1.5,1,7.1,52
21229,2022-09-01 15:00,3.9,26,5.3,1013.9,80,23.3,24.4,1.9,1.2,.8,7.1,62
21229,2022-09-01 16:00,3.5,34,4.5,1013.5,78,23.2,24.4,1.9,1.1,.8,6.4,57
21229,2022-09-01 17:00,3.8,46,5.1,1013.5,78,23.4,24.5,1.9,1.1,.8,7.1,51
21229,2022-09-01 18:00,3,42,4.6,1014.1,78,23.5,24.5,1.8,1.1,.8,7.1,48
21229,2022-09-01 20:00,3.4,59,4.8,1015,77,23.7,24.6,1.3,.9,.6,6.4,49
21229,2022-09-01 21:00,3.9,62,5,1015.4,79,24,24.7,1.6,.9,.6,7.1,56
21229,2022-09-01 22:00,4.2,60,5.3,1015.7,80,24.2,24.7,1.5,.9,.6,6.4,56
21229,2022-09-01 23:00,4.5,53,5.7,1016.1,78,24.2,24.5,1.2,.7,.5,6.4,45
21229,2022-09-02 00:00,5.4,47,6.6,1016.6,85,23.8,24.5,1.2,.8,.5,6.4,56
21229,2022-09-02 01:00,5.4,59,6.7,1016.8,83,23.9,24.5,1.2,.7,.5,6.4,63
21229,2022-09-02 02:00,6,62,7.4,1016.8,81,24.1,24.5,1.3,.8,.6,6.4,48
21229,2022-09-02 03:00,6,60,7.8,1016.9,84,24,24.5,1.2,.8,.5,5.8,58
21229,2022-09-02 04:00,6.8,70,8.4,1016.9,75,24.8,24.6,1.1,.8,.6,5.8,64
21229,2022-09-02 05:00,7.1,80,8.8,1017.2,74,24.8,24.6,1.5,.9,.6,5.8,65
21229,2022-09-02 06:00,7.4,80,8.8,1017.4,71,23.3,24.6,1.3,.8,.6,3.8,70
21229,2022-09-02 07:00,7.4,77,9.2,1017.5,75,24.7,24.7,1.3,.9,.6,3.6,70
21229,2022-09-02 08:00,7.5,82,9.8,1017.8,73,24.8,24.8,1.4,.8,.6,3.4,66
21229,2022-09-02 09:00,7.7,77,9.1,1018,72,24.9,24.8,1.5,.9,.6,3.6,65
21229,2022-09-02 11:00,8.7,75,10.4,1018.2,74,25,24.9,1.6,1.1,.8,3.8,66
21229,2022-09-02 13:00,8.3,74,10.7,1017.9,72,25,24.8,1.7,1.1,.8,4.3,68
