,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,4893,3660,4582,91053,169346,7992,1586,59190,
비산업 연소,2398,1269,2062,40245,87935,2953,1477,79152,
제조업 연소,133310,39700,77833,96617,172761,3373,803,19141,
생산공정,13954,6032,7600,117191,59002,166668,38006,20648,
에너지수송 및 저장,,,,,,26985,,,
유기용제 사용,,,,,,565495,,,
도로이동오염원,12969,11932,12969,211,345666,67776,9641,442672,
비도로이동오염원,14336,13186,14332,65188,225561,20274,214,72950,
폐기물처리,456,265,330,7140,14782,49257,24,3300,
농업,,,,,,,238975,,
기타 면오염원,428,244,272,,154,549,12737,6533,
합계,182744,76287,119980,417645,1075207,911322,303463,703586,
