,연도별 배출량 (톤/yr)
연도/오염물질,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
2021,396089,57317,146383,160993,884454,1002810,262008,694817,10975
2020,392351,58558,146733,180157,929227,990629,261207,711399,11945
2019,484527,87618,207866,272859,1086862,1020216,316299,757848,14211
2018,617481,98388,232993,300979,1153265,1035636,315975,808801,15562
2017,592582,91731,218476,315530,1189800,1047585,308298,817420,15555
2016,611539,100247,233085,358951,1248309,1024029,301301,795044,16401
2015,604243,98806,233177,352292,1157728,1010771,297167,792776,15934
2014,147194,63286,97918,343161,1135743,905803,292501,594454,13426
2013,185986,76802,121563,404660,1090614,913573,292973,696682,
2012,182744,76287,119980,417645,1075207,911322,303463,703586,
2011,201810,81793,131176,433959,1040214,873108,276415,718345,
2010,177601,,116808,401741,1061210,866358,289766,766269,
2009,155497,,103735,387727,1014318,851162,278201,817979,
2008,171603,,110797,417980,1045104,857856,265720,703661,
2007,144510,,98143,402525,1187923,874699,308707,808862,
2006,88260,,64795,446488,1274969,794158,235703,829938,
2005,88909,,67343,408462,1306724,756421,247149,788917,
2004,80084,,62491,446804,1377526,797240,243661,816954,
2003,85941,,66357,469145,1362141,758455,235301,805414,
2002,84365,,65100,474084,1242265,741647,222581,822767,
2001,88075,,67368,487734,1219020,734814,231453,845076,
2000,82101,,61719,490761,1122844,706915,48484,900569,
1999,84835,,63251,484716,1072323,665043,49544,885179,
