Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Administrative Expenses of Industrial Enterprises Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45771.40,40341.70,36705.90,32946.70,28947.10,25161.60,21454.60,17396.30,13786.50,10309.10,6576.60,,43897.40,38264.80,34201.40,30477.40,26674.00,23199.40,19766.20,16097.50,12846.70,9566.00,6121.00,,41135.40,36095.80,32329.80,28834.20,25274.40,21997.60,18737.30,15238.10,12086.20,8996.70,5810.90,
Administrative Expenses of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42281.10,37345.30,33848.60,30377.90,26679.60,23197.00,19752.50,16094.20,12794.40,9523.00,6086.70,,41255.80,36121.50,32300.00,28803.10,25231.30,21954.50,18697.00,15197.00,12161.00,9054.30,5818.90,,39108.40,34176.60,30626.80,27281.00,23877.40,20765.80,17645.20,14373.10,11387.60,8444.50,5452.30,
Administrative Expenses of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.0,8.4,8.5,8.5,8.5,8.6,8.1,7.8,8.3,8.0,,6.4,5.9,5.9,5.8,5.7,5.7,5.7,5.9,5.6,5.7,5.2,,5.2,5.6,5.6,5.7,5.9,5.9,6.2,6.0,6.1,6.5,6.6,
Administrative Expensess of Mining and Washing of Coal Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716.80,1505.00,1336.10,1222.60,1065.00,922.70,791.90,655.40,516.80,381.60,239.30,,1591.00,1408.40,1230.20,1077.70,935.80,807.70,689.40,564.20,451.80,339.00,224.00,,1627.30,1456.70,1319.50,1188.90,1054.90,923.20,786.80,652.00,529.10,407.10,262.30,
Administrative Expensess of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491.60,1317.90,1155.10,1041.90,913.50,788.30,673.30,550.50,439.30,330.70,218.70,,1609.80,1441.30,1304.50,1175.30,1042.20,912.40,778.10,645.20,528.40,404.60,258.20,,1921.70,1729.00,1553.70,1386.00,1232.80,1080.80,924.60,761.60,612.70,458.20,299.40,
Administrative Expensess of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,14.2,15.7,17.3,16.6,17.0,17.6,19.1,17.6,15.4,9.4,,-1.2,-2.3,-5.7,-8.3,-10.2,-11.5,-11.4,-12.6,-14.5,-16.2,-13.2,,-15.3,-15.7,-15.1,-14.2,-14.4,-14.6,-14.9,-14.4,-13.6,-11.2,-12.4,
Administrative Expensess of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.50,520.40,468.00,419.70,369.00,323.20,276.20,227.70,181.60,137.80,91.80,,659.60,550.90,501.30,447.60,397.40,354.30,308.40,254.30,214.80,160.80,99.60,,624.40,548.00,487.90,428.70,375.60,324.90,281.80,237.00,186.60,141.40,88.90,
Administrative Expensess of Extraction of Petroleum and Natural Gas Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.20,546.10,500.30,447.20,397.60,354.40,308.70,254.40,214.80,160.80,99.60,,624.40,547.90,487.90,428.70,375.60,325.00,281.90,237.00,186.70,141.50,89.30,,768.40,672.90,610.20,543.70,474.30,418.10,362.10,300.90,236.40,178.40,113.80,
Administrative Expensess of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,-4.7,-6.5,-6.1,-7.2,-8.8,-10.5,-10.5,-15.5,-14.3,-7.8,,5.6,0.5,2.7,4.4,5.8,9.0,9.4,7.3,15.1,13.6,11.5,,-18.7,-18.6,-20.0,-21.2,-20.8,-22.3,-22.2,-21.2,-21.1,-20.7,-21.9,
Administrative Expensess of Mining and Processing of Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.40,208.20,190.50,173.30,153.00,133.30,115.30,93.10,74.00,53.60,34.10,,240.20,206.60,196.70,176.90,155.40,136.40,116.00,95.00,75.20,54.30,32.70,,280.20,251.90,227.20,204.10,181.20,158.40,134.60,109.90,86.40,64.10,41.00,
