Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Cost of Principal Business of Industrial Enterprises Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988959.20,921091.70,855170.10,773901.60,688005.50,598356.60,509904.20,410996.90,322348.40,236929.00,145576.90,,984902.90,884404.30,790465.10,702905.60,615908.30,533680.70,453300.90,365458.00,287473.10,210552.80,130101.10,,945359.20,855448.70,769374.20,686411.20,602670.70,523689.40,445653.00,360454.90,282801.00,207617.00,129992.60,
Cost of Principal Business of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892965.00,829420.50,763475.70,689694.80,611451.90,529236.10,449010.70,362310.70,284156.30,208174.10,128463.90,,939855.90,848352.90,761965.70,679220.80,595783.60,517405.90,440210.20,355734.30,281646.80,206487.40,129164.40,,937391.60,846521.40,761248.70,677905.10,594232.00,516420.50,439013.70,355493.50,278149.20,203049.80,125814.80,
Cost of Principal Business of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,11.1,12.0,12.2,12.5,13.1,13.6,13.4,13.4,13.8,13.3,,4.8,4.2,3.7,3.5,3.4,3.1,3.0,2.7,2.1,2.0,0.7,,0.8,1.1,1.1,1.3,1.4,1.4,1.5,1.4,1.7,2.2,3.3,
Cost of Principal Business of Mining and Washing of Coal Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18392.80,17140.30,15848.40,14780.60,13194.60,11502.30,9833.60,8080.40,6416.30,4765.40,2884.20,,18595.60,16724.20,14914.10,13289.20,11659.40,10153.90,8653.40,7018.70,5549.70,4086.30,2706.10,,21082.00,19250.80,17454.60,15687.50,14013.40,12366.70,10638.50,8643.60,6844.10,5128.10,3315.40,
Cost of Principal Business of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16151.90,14751.80,13323.10,12409.30,11056.20,9614.30,8186.90,6629.50,5215.20,3834.00,2403.10,,19760.90,18037.80,16335.80,14651.60,13029.20,11477.30,9859.40,7990.50,6371.50,4755.90,3199.80,,24349.90,22203.60,20132.90,18047.60,15975.00,13989.90,11996.50,9829.00,7733.30,5613.80,3490.90,
Cost of Principal Business of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,16.2,19.0,19.1,19.3,19.6,20.1,21.9,23.0,24.3,20.0,,-5.9,-7.3,-8.7,-9.3,-10.5,-11.5,-12.2,-12.2,-12.9,-14.1,-15.4,,-13.4,-13.3,-13.3,-13.1,-12.3,-11.6,-11.3,-12.1,-11.5,-8.7,-5.0,
Cost of Principal Business of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5695.10,5130.70,4668.50,4227.50,3754.00,3295.30,2840.10,2350.20,1857.70,1345.80,869.40,,5524.60,4943.10,4436.80,3986.30,3536.60,3100.00,2665.90,2187.20,1729.40,1278.80,853.10,,5486.90,4977.70,4485.90,4008.00,3530.30,3086.10,2632.40,2144.90,1729.90,1285.50,873.40,
Cost of Principal Business of Extraction of Petroleum and Natural Gas Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5395.90,4848.80,4396.10,3982.70,3538.60,3101.70,2667.70,2189.00,1731.70,1281.10,853.70,,5484.10,4973.90,4481.20,4002.30,3524.60,3088.40,2633.30,2146.30,1733.50,1287.50,874.90,,5726.50,5173.40,4625.20,4155.90,3668.30,3188.00,2715.40,2249.60,1796.80,1329.20,917.20,
Cost of Principal Business of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,5.8,6.2,6.1,6.1,6.2,6.5,7.4,7.3,5.1,1.8,,0.7,-0.6,-1.0,-0.4,0.3,0.4,1.2,1.9,-0.2,-0.7,-2.5,,-4.2,-3.8,-3.0,-3.6,-3.8,-3.2,-3.1,-4.7,-3.7,-3.3,-4.8,
Cost of Principal Business of Mining and Processing of Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840.20,4526.50,4242.40,4143.50,3667.50,3172.00,2703.20,2160.20,1685.30,1229.00,730.10,,5730.80,5124.20,4605.90,4092.30,3630.10,3146.30,2645.90,2112.60,1630.40,1175.10,635.80,,6337.50,5814.60,5312.30,4758.90,4196.60,3612.50,3018.20,2386.70,1836.80,1322.60,818.80,
