Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Financial Costs of Industrial Enterprises Accumulated (100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12970.90,11819.00,10848.40,9787.90,8641.40,7492.50,6409.20,5192.10,4121.40,3080.70,1981.70,,12532.60,11385.30,10375.30,9367.20,8256.40,7212.30,6193.20,5088.20,4085.50,3088.60,2019.80,,13371.20,12156.90,11090.60,10036.90,8863.40,7505.80,6449.70,5272.40,4236.50,3179.80,2084.60,
Financial Costs of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12175.00,11180.80,10280.40,9331.80,8251.90,7207.40,6189.30,5084.60,4067.10,3071.20,2006.20,,13310.50,12082.10,11017.60,9970.50,8804.10,7445.90,6392.20,5236.70,4245.60,3191.10,2079.10,,13221.90,12045.40,10953.60,9846.10,8703.80,7614.40,6531.20,5355.60,4283.20,3217.20,2057.20,
Financial Costs of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,5.7,5.5,4.9,4.7,4.0,3.6,2.1,1.3,0.3,-1.2,,-5.8,-5.8,-5.8,-6.1,-6.2,-3.1,-3.1,-2.8,-3.8,-3.2,-2.9,,1.1,0.9,1.3,1.9,1.8,-1.4,-1.2,-1.6,-1.1,-1.2,1.3,
Financial Costs of Mining and Washing of Coal Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967.60,879.40,806.30,720.10,624.50,545.30,474.90,393.10,313.10,229.50,145.10,,851.50,757.00,669.40,590.80,512.60,450.50,386.10,315.30,248.90,182.20,118.00,,841.80,768.80,701.60,640.10,567.50,497.80,432.80,349.50,287.00,211.80,135.10,
Financial Costs of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.40,762.80,672.50,587.50,506.80,445.20,382.30,311.70,245.60,181.10,116.80,,838.40,765.40,698.80,637.30,563.40,496.30,431.00,349.40,288.10,211.80,133.70,,857.00,782.00,718.30,649.20,571.80,499.20,426.70,342.10,276.20,200.40,123.10,
Financial Costs of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,15.3,19.9,22.6,23.2,22.5,24.2,26.1,27.5,26.7,24.2,,1.6,-1.1,-4.2,-7.3,-9.0,-9.2,-10.4,-9.8,-13.6,-14.0,-11.7,,-1.8,-1.7,-2.3,-1.4,-0.8,-0.3,1.4,2.2,3.9,5.7,9.7,
Financial Costs of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.20,136.30,121.90,107.90,102.30,88.70,74.10,68.90,54.10,38.30,31.80,,164.30,158.30,141.70,127.20,118.80,103.20,88.90,80.10,62.70,44.80,34.60,,180.90,174.00,155.90,138.20,132.30,112.80,95.70,89.20,68.80,47.90,40.90,
Financial Costs of Extraction of Petroleum and Natural Gas Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.90,158.00,141.70,127.30,119.00,103.40,89.00,80.20,62.70,44.90,34.60,,181.10,174.20,156.10,138.30,132.30,112.90,95.80,89.30,68.90,48.00,41.00,,159.30,154.10,137.70,119.90,115.90,98.90,82.50,76.00,59.00,40.80,35.20,
Financial Costs of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.1,-13.7,-14.0,-15.2,-14.0,-14.2,-16.7,-14.1,-13.7,-14.7,-8.1,,-9.3,-9.1,-9.2,-8.0,-10.2,-8.6,-7.2,-10.3,-9.0,-6.7,-15.6,,13.6,12.9,13.2,15.3,14.2,14.1,16.0,17.4,16.6,17.4,16.2,
Financial Costs of Mining and Processing of Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.80,100.00,93.00,84.80,75.20,66.00,56.80,45.50,36.50,26.90,16.70,,108.40,97.00,88.80,79.90,70.00,60.70,52.30,41.50,33.60,25.30,15.80,,130.90,122.40,112.70,102.90,91.90,82.40,71.30,57.00,45.70,34.70,21.70,
Financial Costs of Mining and Processing of Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.20,94.00,86.10,77.60,68.20,59.00,50.70,40.20,32.10,24.20,15.30,,129.70,121.30,111.80,102.50,91.40,81.70,70.60,56.20,46.00,34.90,20.90,,155.40,140.40,129.50,116.50,102.90,91.30,78.90,61.20,48.50,36.60,21.60,
Financial Costs of Mining and Processing of Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.4,8.0,9.3,10.3,11.9,12.0,13.2,13.7,11.2,9.2,,-16.4,-20.0,-20.6,-22.0,-23.4,-25.7,-25.9,-26.2,-27.0,-27.5,-24.4,,-15.8,-12.8,-13.0,-11.7,-10.7,-9.7,-9.6,-6.9,-5.8,-5.2,0.5,
Financial Costs of Mining and Processing of Non-Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.20,70.70,66.30,59.00,52.00,44.60,39.70,32.30,25.80,18.80,10.60,,78.50,71.10,64.10,57.10,48.30,41.70,35.80,30.60,24.40,18.00,10.80,,78.10,70.30,64.10,58.20,51.30,45.30,38.90,31.50,24.90,18.60,10.80,
Financial Costs of Mining and Processing of Non-Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.20,72.70,66.40,59.00,50.30,43.60,37.30,29.50,22.60,16.60,10.30,,79.50,70.90,64.60,58.90,52.10,46.60,39.10,31.40,25.20,18.80,10.70,,72.20,65.00,58.90,53.10,45.70,40.10,34.00,27.50,21.90,15.80,9.70,
Financial Costs of Mining and Processing of Non-Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,-2.8,-0.2,0.0,3.4,2.3,6.4,9.5,14.2,13.3,2.9,,-1.3,0.3,-0.8,-3.1,-7.3,-10.5,-8.4,-2.5,-3.2,-4.3,0.9,,8.2,8.2,8.8,9.6,12.3,13.0,14.4,14.5,13.7,17.7,11.3,
Financial Costs of Mining and Processing of Nonmetal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.10,48.20,43.60,39.80,35.30,30.70,27.10,21.70,17.20,13.00,8.40,,55.40,49.70,44.80,40.40,36.00,31.70,27.10,22.00,17.60,13.50,8.70,,58.80,53.50,48.40,44.10,39.00,34.20,29.00,23.20,18.50,14.10,8.90,
Financial Costs of Mining and Processing of Nonmetal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.30,46.70,42.90,38.90,34.80,30.60,26.40,21.30,17.10,13.00,8.50,,58.00,52.60,47.00,42.80,38.00,33.40,28.40,22.80,18.40,14.00,8.80,,58.00,52.50,48.10,42.70,37.80,33.20,28.40,23.10,18.10,13.70,8.30,
