Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Finished Goods of Industrial Enterprises month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41886.10,42388.50,41908.20,40996.60,41024.90,40732.20,40060.80,40270.60,39888.80,38832.90,37424.70,,39752.10,39682.60,38800.20,38226.20,38114.90,37805.10,36981.70,36954.70,36591.00,36329.70,35711.10,,38700.10,39734.60,39309.50,38932.30,39135.80,38892.90,38114.90,37812.00,37160.50,36327.70,35632.30,
Finished Goods of Industrial Enterprises The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38615.60,38902.10,38447.80,38043.30,38022.60,37701.80,36873.80,36847.20,36142.10,35878.20,35258.20,,38517.10,39491.80,38903.60,38553.30,38728.90,38483.30,37706.50,37365.10,37052.30,36346.70,35469.90,,37461.40,37982.60,37626.00,37113.50,37012.40,36416.80,35498.00,35315.30,34739.10,33719.20,32839.40,
Finished Goods of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,9.0,9.0,7.8,7.9,8.0,8.6,9.3,10.4,8.2,6.1,,3.2,0.5,-0.3,-0.8,-1.6,-1.8,-1.9,-1.1,-1.2,0.0,0.7,,3.3,4.6,4.5,4.9,5.7,6.8,7.4,7.1,7.0,7.7,8.5,
Finished Goods of Mining and Washing of Coal month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.00,850.10,827.90,822.50,832.30,840.80,866.40,857.40,850.30,831.50,851.30,,872.60,918.50,907.60,916.40,934.20,928.30,930.10,909.70,930.20,921.80,915.10,,992.70,1045.80,1044.00,1043.50,1047.30,1053.60,1050.70,1022.80,1031.20,990.90,947.50,
Finished Goods of Mining and Washing of Coal The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.30,875.30,866.60,893.10,908.80,904.00,905.60,887.90,876.60,869.80,881.80,,960.20,1010.80,1015.20,1016.00,1022.60,1031.60,1029.60,1002.50,1022.30,981.90,927.80,,953.30,970.10,1008.60,1007.80,1023.50,978.70,960.40,932.90,950.40,908.20,853.10,
Finished Goods of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-2.9,-4.5,-7.9,-8.4,-7.0,-4.3,-3.4,-3.0,-4.4,-3.5,,-9.1,-9.1,-10.6,-9.8,-8.6,-10.0,-9.7,-9.3,-9.0,-6.1,-1.4,,4.1,7.8,3.5,3.5,2.3,7.7,9.4,9.6,8.5,9.1,11.1,
Finished Goods of Extraction of Petroleum and Natural Gas month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.00,111.80,105.70,108.40,111.60,116.60,116.30,119.70,130.70,115.80,117.80,,95.40,107.70,108.70,109.20,102.50,98.90,111.80,114.90,102.90,105.10,103.70,,95.40,96.60,103.10,108.60,109.80,105.40,97.40,98.60,99.10,93.20,99.80,
Finished Goods of Extraction of Petroleum and Natural Gas The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.40,108.40,108.60,109.20,102.40,98.80,111.70,114.90,103.10,105.50,103.90,,95.40,96.60,103.00,108.60,109.70,105.40,97.10,98.50,99.10,93.20,99.60,,113.50,122.30,119.10,123.60,120.10,116.00,101.60,107.70,100.70,93.50,99.90,
Finished Goods of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,3.1,-2.7,-0.7,9.0,18.0,4.1,4.2,26.8,9.8,13.4,,0.0,11.5,5.5,0.6,-6.6,-6.2,15.1,16.6,3.8,12.8,4.1,,-15.9,-21.0,-13.4,-12.1,-8.6,-9.1,-4.1,-8.4,-1.6,-0.3,-0.1,
Finished Goods of Mining and Processing of Ferrous Metal Ores month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.20,187.00,189.20,193.40,191.70,191.70,190.40,193.50,193.00,186.00,178.80,,220.00,224.60,219.00,215.90,216.80,220.70,218.60,215.50,222.50,218.90,218.20,,282.10,286.80,282.90,288.70,282.90,283.60,283.50,277.20,280.00,279.80,278.70,
