Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Interest Expenses of Industrial Enterprises Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11698.60,10574.80,9647.50,8747.10,7701.60,6779.30,5799.30,4692.30,3769.50,2831.80,1701.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10679.00,9636.00,8782.40,7937.20,6985.70,6126.80,5261.30,4284.70,3417.60,2553.90,1607.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.7,9.9,10.2,10.2,10.6,10.2,9.5,10.3,10.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341.50,1257.90,1135.10,1038.20,906.70,822.00,712.40,566.00,454.10,345.00,200.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268.80,1187.00,1070.70,984.00,863.10,762.30,660.50,536.40,415.30,312.60,198.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,6.0,6.0,5.5,5.1,7.8,7.9,5.5,9.3,10.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Washing of Coal Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.20,893.10,814.60,745.70,648.10,588.00,511.70,408.80,325.00,247.30,139.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.00,869.90,789.50,720.70,626.20,549.90,481.60,397.70,302.20,227.90,145.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.7,3.2,3.5,3.5,6.9,6.3,2.8,7.5,8.5,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.50,119.90,105.80,101.00,87.20,81.50,71.60,60.40,47.00,37.10,25.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Extraction of Petroleum and Natural Gas Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.30,135.70,115.60,111.10,100.90,90.40,77.40,65.30,51.80,39.20,26.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,-11.6,-8.5,-9.1,-13.6,-9.8,-7.5,-7.5,-9.3,-5.4,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Processing of Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.80,138.10,125.30,111.10,100.20,88.10,75.70,54.50,44.10,34.20,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Processing of Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.40,92.00,85.30,78.20,70.80,64.90,52.00,34.60,27.60,20.70,12.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Processing of Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,50.1,46.9,42.1,41.5,35.7,45.6,57.5,59.8,65.2,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Processing of Non-Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.40,63.90,51.60,46.80,42.30,38.10,30.10,23.80,18.80,15.30,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Processing of Non-Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.00,50.50,46.50,42.70,38.00,32.40,28.20,21.90,17.60,14.40,8.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Processing of Non-Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,26.5,11.0,9.6,11.3,17.6,6.7,8.7,6.8,6.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Processing of Nonmetal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.30,33.10,29.70,26.30,22.90,20.70,18.70,14.70,11.70,8.50,5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Processing of Nonmetal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.70,28.50,25.00,22.70,19.70,18.10,15.30,12.70,9.90,7.70,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and Processing of Nonmetal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,16.1,18.8,15.9,16.2,14.4,22.2,15.7,18.2,10.4,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and  Support Activities Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.30,9.70,7.90,7.30,5.90,5.60,4.60,3.70,7.40,2.50,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and  Support Activities Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.40,10.40,8.70,8.60,7.50,6.60,5.90,4.10,6.20,2.60,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining and  Support Activities Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.4,-6.7,-9.2,-15.1,-21.3,-15.2,-22.0,-9.8,19.4,-3.8,-7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expenses of Mining of Other Ores Accumulated (100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
