Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Inventories of Industrial Enterprises month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112551.80,115059.50,113787.40,111925.50,111312.00,110233.40,108929.20,109141.20,108113.50,106122.90,104041.20,,105241.80,105382.90,103463.00,102203.90,101840.60,100774.10,99308.30,99563.10,98764.40,97776.10,97169.30,,100107.20,102649.50,102542.30,101977.10,102233.10,101977.70,100887.20,100640.50,99569.70,98365.40,98177.70,
Inventories of Industrial Enterprises The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102923.70,103763.30,102477.80,101541.80,101387.80,100389.20,98868.00,98975.00,97663.40,96703.50,96100.60,,99771.60,102210.70,102020.00,101482.50,101741.30,101448.20,100334.70,100063.00,99746.80,98419.10,97728.80,,100170.40,101851.90,101582.60,100528.60,100121.40,99078.60,97790.70,97571.60,96278.20,94712.50,94218.20,
Inventories of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,10.9,11.0,10.2,9.8,9.8,10.2,10.3,10.7,9.7,8.3,,5.5,3.1,1.4,0.7,0.1,-0.7,-1.0,-0.5,-1.0,-0.7,-0.6,,-0.1,0.8,0.9,1.4,2.1,2.9,3.2,3.1,3.4,3.9,4.2,
Inventories of Mining and Washing of Coal month-end (100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1819.10,1969.90,1931.70,1896.90,1895.00,1907.10,1935.10,1926.60,1896.90,1892.60,1923.20,,2217.20,2264.10,2224.60,2232.10,2241.60,2240.60,2237.90,2212.90,2237.20,2219.10,2391.70,,2444.70,2538.20,2524.30,2548.20,2559.40,2555.60,2522.10,2472.20,2481.10,2365.10,2328.30,
Inventories of Mining and Washing of Coal The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.40,2047.60,2012.90,2025.70,2032.10,2028.70,2027.70,2001.40,1991.70,1978.20,1998.30,,2273.00,2363.20,2361.20,2383.60,2396.00,2398.50,2375.90,2331.40,2348.40,2232.40,2295.80,,2380.40,2427.60,2464.60,2443.30,2406.90,2360.40,2339.10,2273.90,2279.50,2222.10,2195.10,
Inventories of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8,-3.8,-4.0,-6.4,-6.7,-6.0,-4.6,-3.7,-4.8,-4.3,-3.8,,-2.5,-4.2,-5.8,-6.4,-6.4,-6.6,-5.8,-5.1,-4.7,-0.6,4.2,,2.7,4.6,2.4,4.3,6.3,8.3,7.8,8.7,8.8,6.4,6.1,
Inventories of Extraction of Petroleum and Natural Gas month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.30,249.20,257.10,263.90,269.60,269.60,268.60,268.50,274.90,254.60,253.10,,229.70,266.30,269.30,272.30,259.20,266.50,270.10,273.20,264.10,267.50,263.90,,264.00,291.60,295.00,303.80,305.70,301.50,290.50,289.60,284.60,282.50,295.60,
Inventories of Extraction of Petroleum and Natural Gas The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.80,266.90,269.90,272.90,259.80,267.00,270.60,273.90,264.50,267.70,264.20,,264.10,292.40,295.00,303.80,305.80,301.60,290.40,289.10,284.30,282.10,295.10,,290.20,325.40,326.30,328.50,322.00,314.40,289.70,299.60,288.70,287.70,289.10,
Inventories of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.5,-6.6,-4.7,-3.3,3.8,1.0,-0.7,-2.0,3.9,-4.9,-4.2,,-13.0,-8.9,-8.7,-10.4,-15.2,-11.6,-7.0,-5.5,-7.1,-5.2,-10.6,,-9.0,-10.4,-9.6,-7.5,-5.1,-4.1,0.3,-3.3,-1.4,-1.8,2.2,
Inventories of Mining and Processing of Ferrous Metal Ores month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.70,366.90,362.30,375.60,369.20,369.50,364.90,368.80,359.40,345.10,345.50,,454.10,446.00,433.60,418.50,431.20,429.80,426.30,423.20,435.90,438.90,403.20,,498.10,512.60,512.70,512.40,515.50,514.00,519.40,509.80,517.50,519.80,530.20,
