Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Number of Industrial Enterprises month-end(unit),501228,500954,500739,,482192,482932,480172,478954,477844,477076,476369,475532,475226,475037,474812,,451362,451364,449422,448218,446980,446200,445452,444885,444392,444035,443733,,408732,408731,406300,405059,403762,402857,401815,400926,400529,400150,399927,,383077,383077,380605,379220,377989,377160,376224,375153,374657,374408,374405,,372822,371517,369794,368666,367678,366962,366187,365599,365232,365083,364977,,378440,378440,376236,375296,374552,373939,373244,372698,372355,372197,372341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Industrial Enterprises Mining month-end(unit),12484,12480,12473,,12280,12310,12247,12215,12171,12153,12130,12103,12097,12090,12084,,11620,11616,11561,11516,11475,11457,11423,11404,11389,11375,11360,,10791,10786,10731,10704,10667,10642,10602,10574,10557,10551,10547,,10330,10333,10245,10226,10187,10159,10126,10115,10083,10083,10091,,10260,10217,10160,10115,10092,10014,9981,9951,9921,9914,9908,,11214,11218,11172,11146,11124,11087,11078,11061,11028,11078,11034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Industrial Enterprises Mining and Washing of Coal month-end(unit),5058,5058,5052,,4934,4942,4927,4914,4894,4889,4890,4881,4880,4876,4870,,4618,4617,4601,4588,4573,4569,4564,4553,4549,4546,4539,,4343,4343,4334,4322,4312,4298,4284,4276,4273,4267,4264,,4245,4245,4226,4216,4207,4206,4205,4209,4201,4203,4203,,4239,4230,4222,4206,4198,4173,4165,4157,4142,4137,4139,,4505,4505,4492,4482,4473,4470,4467,4462,4445,4466,4437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Industrial Enterprises Extraction of Petroleum and Natural Gas month-end(unit),167,167,167,,161,161,160,159,155,154,153,151,151,151,149,,146,145,143,142,142,141,141,142,142,143,141,,145,144,145,143,141,141,140,137,135,134,132,,125,126,123,121,119,119,121,121,121,120,119,,115,115,113,113,113,109,109,109,109,109,109,,123,122,122,122,123,125,125,124,118,129,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Industrial Enterprises Mining and Processing of Ferrous Metal Ores month-end(unit),1517,1513,1513,,1521,1526,1524,1523,1521,1518,1515,1513,1512,1512,1511,,1479,1482,1477,1472,1466,1474,1469,1467,1463,1462,1459,,1320,1320,1315,1314,1311,1309,1304,1293,1291,1290,1290,,1211,1213,1205,1202,1199,1194,1187,1181,1177,1177,1176,,1239,1236,1230,1226,1226,1216,1213,1211,1212,1209,1207,,1528,1528,1523,1522,1522,1521,1521,1517,1518,1527,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Industrial Enterprises Mining and Processing of Non-Ferrous Metal Ores month-end(unit),1312,1309,1308,,1276,1278,1263,1261,1262,1258,1259,1255,1252,1251,1247,,1204,1202,1195,1188,1184,1171,1173,1173,1174,1176,1176,,1204,1202,1199,1196,1195,1193,1197,1195,1191,1191,1189,,1218,1216,1215,1214,1208,1206,1206,1206,1204,1203,1208,,1272,1268,1262,1261,1257,1255,1253,1250,1241,1243,1243,,1456,1462,1458,1456,1454,1447,1447,1447,1439,1461,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Industrial Enterprises Mining and Processing of Nonmetal Ores month-end(unit),4028,4032,4031,,4022,4036,4008,3993,3973,3969,3949,3940,3938,3937,3945,,3845,3842,3818,3800,3785,3778,3755,3749,3742,3732,3728,,3487,3484,3447,3439,3420,3413,3388,3384,3379,3380,3383,,3263,3265,3211,3207,3186,3167,3140,3132,3113,3113,3118,,3174,3150,3118,3094,3083,3043,3023,3007,3001,2999,2993,,3395,3394,3372,3357,3346,3316,3310,3304,3298,3296,3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Industrial Enterprises Mining and  Support Activities month-end(unit),393,392,393,,358,359,357,357,357,356,354,354,353,352,351,,322,322,321,320,319,318,316,315,314,309,309,,286,287,285,285,283,283,282,282,281,282,282,,259,259,256,256,256,256,258,258,258,258,259,,210,208,205,205,205,204,204,203,202,202,201,,186,186,185,185,184,185,185,184,187,180,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Industrial Enterprises Mining of Other Ores month-end(unit),9,9,9,,8,8,8,8,9,9,10,9,11,11,11,,6,6,6,6,6,6,5,5,5,7,8,,6,6,6,5,5,5,7,7,7,7,7,,9,9,9,10,12,11,9,8,9,9,8,,11,10,10,10,10,14,14,14,14,15,16,,21,21,20,22,22,23,23,23,23,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Industrial Enterprises Manufacturing month-end(unit),467669,467431,467233,,450194,450886,448330,447217,446226,445537,444899,444152,443866,443694,443509,,421942,421947,420135,419040,417899,417173,416480,415986,415540,415218,414960,,382061,382067,379807,378666,377497,376684,375751,374976,374627,374272,374070,,358616,358619,356320,355018,353871,353104,352235,351200,350759,350529,350518,,350166,348947,347331,346289,345362,344725,344005,343447,343122,342987,342875,,355852,355847,353767,352820,352125,351596,350936,350427,350141,349929,350117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
