Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Number of Loss-making Industrial Enterprises month-end(unit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45454,49398,50417,51038,51706,53154,54891,56658,59894,65330,69822,,45008,50415,53444,55632,56162,57993,59931,61605,68769,74763,78538,,49264,54459,57068,58477,59049,60318,62084,63670,67081,72291,77058,
Number of Loss-making Industrial Enterprises The Same Period of Previous Year(unit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44043,48992,51242,52842,53448,55681,57895,59706,63805,70129,74203,,44925,50317,53066,54821,55576,57159,59256,60975,68338,73963,75894,,40847,46375,49097,50833,51988,53593,55400,57403,61386,67932,76564,
Number of Loss-making Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,0.8,-1.6,-3.4,-3.3,-4.5,-5.2,-5.1,-6.1,-6.8,-5.9,,0.2,0.2,0.7,1.5,1.1,1.5,1.1,1.0,0.6,1.1,3.5,,20.6,17.4,16.2,15.0,13.6,12.5,12.1,10.9,9.3,6.4,0.6,
Number of Loss-making Enterprises Mining and Washing of Coal month-end(unit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054,1063,1041,1050,1053,1062,1097,1074,1135,1200,1127,,1490,1600,1717,1809,1847,1889,1906,1920,2070,2106,1995,,2027,2036,2062,2066,2021,2030,2023,2016,2021,2030,2099,
Number of Loss-making Enterprises Mining and Washing of Coal The Same Period of Previous Year(unit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,1520,1617,1700,1724,1766,1790,1807,1836,1869,1783,,1807,1808,1833,1844,1806,1825,1825,1822,2004,2025,1943,,1667,1735,1815,1818,1822,1810,1774,1728,1786,1840,2048,
Number of Loss-making Enterprises Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.4,-30.1,-35.6,-38.2,-38.9,-39.9,-38.7,-40.6,-38.2,-35.8,-36.8,,-17.5,-11.5,-6.3,-1.9,2.3,3.5,4.4,5.4,3.3,4.0,2.7,,21.6,17.3,13.6,13.6,10.9,12.2,14.0,16.7,13.2,10.3,2.5,
Number of Loss-making Enterprises Extraction of Petroleum and Natural Gas month-end(unit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,61,62,61,60,59,58,55,56,59,57,,70,74,76,76,75,76,77,74,77,82,80,,66,68,67,66,64,64,66,67,70,73,66,
Number of Loss-making Enterprises Extraction of Petroleum and Natural Gas The Same Period of Previous Year(unit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,74,75,74,74,75,75,73,73,77,75,,60,62,62,60,59,60,64,64,72,75,66,,30,29,28,28,26,29,29,29,30,31,26,
Number of Loss-making Enterprises Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.1,-17.6,-17.3,-17.6,-18.9,-21.3,-22.7,-24.7,-23.3,-23.4,-24.0,,16.7,19.4,22.6,26.7,27.1,26.7,20.3,15.6,6.9,9.3,21.2,,120.0,134.5,139.3,135.7,146.2,120.7,127.6,131.0,133.3,135.5,153.8,
Number of Loss-making Enterprises Mining and Processing of Ferrous Metal Ores month-end(unit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,394,405,389,392,402,404,407,413,440,463,,604,615,629,644,630,631,626,630,738,758,779,,857,862,871,888,879,879,883,886,892,917,935,
