Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Operating cost of Industrial Enterprises Accumulated(100 million yuan),357708.10,263754.50,165176.00,,1130986.00,1019321.00,916324.00,819583.40,718255.00,623998.20,533717.10,438330.00,349824.50,265156.30,163767.20,,1168426.40,1051213.20,948403.70,849934.30,745646.70,648547.40,552871.10,448771.80,352783.30,262902.90,162767.40,,1071247.10,957000.40,855648.70,763321.00,669491.00,581062.00,495357.80,401976.00,315411.80,229126.70,139909.00,,890435.00,792225.20,705235.40,625313.80,541536.40,464904.50,391601.20,312607.40,240373.20,168307.00,97661.30,,889442.10,799947.60,721883.30,655087.20,577137.10,502709.60,429233.40,351034.70,277075.40,206085.90,124507.60,,881200.20,815667.90,740618.00,666972.70,594953.30,523347.40,450323.00,371364.60,295030.10,217000.20,136645.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),348007.90,257244.60,157862.40,,1118002.70,1007831.70,911058.10,817106.50,716829.10,622792.80,530977.10,433091.40,344403.50,263652.40,164164.50,,1090932.80,973244.40,870498.50,775921.70,679425.40,589599.10,501731.80,407294.50,319030.60,231704.00,141510.20,,899814.80,799748.10,711375.00,629167.10,544481.60,467016.00,391886.70,312565.30,240067.00,167832.50,97471.90,,884818.80,791588.40,709455.80,634261.90,555309.90,482103.10,410916.00,335305.20,264498.60,197050.00,118762.80,,854686.40,764807.30,690980.20,624891.80,549598.10,477862.80,408835.20,333162.50,263020.80,191297.30,119795.70,,813190.30,748738.10,678815.80,610922.60,543410.70,477720.10,411111.70,338078.10,267486.60,198272.70,124575.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Industrial Enterprises Accumulated Growth Rate(%),2.8,2.5,4.6,,1.2,1.1,0.6,0.3,0.2,0.2,0.5,1.2,1.6,0.6,-0.2,,7.1,8.0,8.9,9.5,9.7,10.0,10.2,10.2,10.6,13.5,15.0,,19.1,19.7,20.3,21.3,23.0,24.4,26.4,28.6,31.4,36.5,43.5,,0.6,0.1,-0.6,-1.4,-2.5,-3.6,-4.7,-6.8,-9.1,-14.6,-17.8,,4.1,4.6,4.5,4.8,5.0,5.2,5.0,5.4,5.3,7.7,3.9,,8.4,8.9,9.1,9.2,9.5,9.6,9.5,9.8,10.3,9.4,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining Accumulated(100 million yuan),12564.10,9378.20,5883.50,,39603.60,35438.30,32076.00,28700.10,25355.30,22188.60,19117.70,15953.40,12905.80,9837.60,6181.20,,42238.30,37342.10,34044.90,30635.80,27041.00,23762.30,20401.20,16643.70,13145.20,9578.40,5923.10,,37334.00,32947.40,29259.20,25489.70,22137.00,18616.40,15737.90,12695.40,9986.50,7365.00,4559.60,,28752.90,25469.10,22871.30,20423.80,17865.50,15530.30,13237.40,10757.50,8434.70,6105.80,3653.90,,33624.60,30201.70,27249.30,24505.00,21487.70,18602.10,15854.00,12887.20,10062.90,7402.50,4578.20,,32865.40,30749.10,27814.50,25076.90,22343.40,19620.70,16840.60,13706.90,10862.60,7931.00,4968.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining Accumulated The Same Period of Previous Year(100 million yuan),12849.80,9649.20,6092.80,,41199.60,36544.60,33540.70,30208.90,26624.30,23350.20,20089.50,16425.80,13089.20,9731.00,6029.20,,38387.60,33834.90,30023.20,26300.30,22809.90,19630.80,16592.60,13363.70,10471.00,7670.70,4742.90,,29838.30,26425.90,23691.10,20979.10,18335.20,15790.60,13365.90,10843.30,8488.00,6153.70,3667.60,,30110.50,26875.30,24209.20,21702.30,18891.30,16390.70,14002.90,11379.30,8881.40,6571.10,4064.10,,32144.20,28365.60,25604.70,23046.70,20239.00,17477.20,14937.40,12010.00,9488.30,6801.00,4277.60,,31924.80,29772.20,27144.20,24612.20,22043.50,19355.50,16662.30,13776.60,10870.80,8086.70,5095.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining Accumulated Growth Rate(%),-2.2,-2.8,-3.4,,-3.9,-3.0,-4.4,-5.0,-4.8,-5.0,-4.8,-2.9,-1.4,1.1,2.5,,10.0,10.4,13.4,16.5,18.5,21.0,23.0,24.5,25.5,24.9,24.9,,25.1,24.7,23.5,21.5,20.7,17.9,17.7,17.1,17.7,19.7,24.3,,-4.5,-5.2,-5.5,-5.9,-5.4,-5.2,-5.5,-5.5,-5.0,-7.1,-10.1,,4.6,6.5,6.4,6.3,6.2,6.4,6.1,7.3,6.1,8.8,7.0,,2.9,3.3,2.5,1.9,1.4,1.4,1.1,-0.5,-0.1,-1.9,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Washing of Coal Accumulated(100 million yuan),6816.00,5137.10,3306.00,,22386.40,20202.90,18336.80,16472.30,14653.70,12908.90,11185.10,9410.60,7658.00,5837.90,3668.80,,24117.40,21481.30,19758.90,17865.90,15789.30,13910.70,11986.10,9828.00,7832.00,5691.50,3513.20,,20300.10,17835.40,15710.70,13504.30,11615.90,9443.90,8011.50,6462.80,5106.20,3787.90,2354.10,,14086.30,12581.50,11307.10,10076.20,8851.80,7692.20,6546.60,5372.60,4231.30,3062.40,1826.10,,17961.00,16217.00,14661.10,13181.80,11389.60,9745.50,8333.80,6813.60,5319.40,3927.20,2435.40,,17545.20,17169.90,15560.10,13917.60,12217.20,10659.60,9111.40,7396.00,5863.90,4231.80,2620.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),7705.60,5833.00,3697.10,,24129.10,21534.20,19906.10,17980.20,15849.90,13923.50,12014.40,9836.40,7872.80,5806.00,3586.50,,20933.00,18371.00,16154.00,13916.50,11946.20,10193.20,8618.00,6917.70,5427.80,4013.30,2494.10,,14731.00,13162.50,11822.90,10488.50,9210.70,7861.10,6675.10,5470.80,4313.70,3105.70,1848.60,,15284.60,13688.30,12361.60,11138.40,9626.50,8363.80,7161.90,5857.50,4567.50,3432.30,2097.70,,17008.80,15206.90,13831.80,12395.90,10854.80,9199.10,7840.50,6289.40,5004.20,3540.80,2264.50,,16845.70,16340.10,15003.40,13481.00,11911.90,10412.80,8945.30,7404.10,5724.40,4303.60,2677.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Washing of Coal Accumulated Growth Rate(%),-11.5,-11.9,-10.6,,-7.2,-6.2,-7.9,-8.4,-7.5,-7.3,-6.9,-4.3,-2.7,0.5,2.3,,15.2,16.9,22.3,28.4,32.2,36.5,39.1,42.1,44.3,41.8,40.9,,37.8,35.5,32.9,28.8,26.1,20.1,20.0,18.1,18.4,22.0,27.3,,-7.8,-8.1,-8.5,-9.5,-8.0,-8.0,-8.6,-8.3,-7.4,-10.8,-12.9,,5.6,6.6,6.0,6.3,4.9,5.9,6.3,8.3,6.3,10.9,7.5,,4.2,5.1,3.7,3.2,2.6,2.4,1.9,-0.1,2.4,-1.7,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),2066.70,1521.30,1003.80,,6316.00,5527.30,4963.30,4400.40,3863.60,3362.10,2858.20,2401.90,1921.60,1441.20,944.50,,6244.60,5422.30,4872.60,4350.20,3859.80,3373.70,2850.20,2353.10,1860.10,1378.40,884.20,,5649.40,4962.00,4428.70,3915.90,3436.00,3000.30,2547.30,2102.80,1669.80,1244.60,810.70,,5115.20,4447.10,3988.50,3563.90,3149.80,2769.10,2392.60,1976.80,1595.90,1203.60,789.50,,5396.00,4763.90,4295.90,3843.20,3398.00,2767.60,2364.50,1945.20,1547.60,1143.60,746.50,,5296.10,4627.00,4156.90,3711.50,3261.30,2866.80,2468.70,2033.10,1608.20,1208.40,800.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Extraction of Petroleum and Natural Gas Accumulated The Same Period of Previous Year(100 million yuan),1929.40,1447.50,948.80,,6246.10,5424.20,4875.30,4353.20,3861.00,3375.60,2842.80,2346.10,1861.90,1379.80,886.30,,5654.80,4982.80,4433.20,3932.00,3456.80,3018.70,2560.60,2115.90,1678.70,1249.40,812.40,,5150.50,4469.60,4016.30,3581.60,3160.80,2775.00,2398.10,1978.60,1585.50,1214.00,784.30,,5193.20,4581.60,4132.20,3694.80,3265.60,2847.30,2426.70,1993.60,1587.80,1173.80,767.70,,5325.70,4649.30,4173.50,3725.90,3272.60,2713.80,2333.80,1919.30,1516.50,1124.20,737.10,,5275.40,4712.40,4237.10,3811.70,3396.40,2991.50,2589.00,2150.50,1829.90,1329.40,864.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),7.1,5.1,5.8,,1.1,1.9,1.8,1.1,0.1,-0.4,0.5,2.4,3.2,4.4,6.6,,10.4,8.8,9.9,10.6,11.7,11.8,11.3,11.2,10.8,10.3,8.8,,9.7,11.0,10.3,9.3,8.7,8.1,6.2,6.3,5.3,2.5,3.4,,-1.5,-2.9,-3.5,-3.5,-3.5,-2.7,-1.4,-0.8,0.5,2.5,2.8,,1.3,2.5,2.9,3.1,3.8,2.0,1.3,1.3,2.1,1.7,1.3,,0.4,-1.8,-1.9,-2.6,-4.0,-4.2,-4.6,-5.5,-12.1,-9.1,-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Processing of Ferrous Metal Ores Accumulated(100 million yuan),1437.60,1137.50,609.40,,3681.00,3314.20,3031.70,2696.40,2369.10,2047.10,1736.50,1446.90,1160.40,900.40,560.40,,3944.00,3528.80,3271.60,2964.00,2625.80,2329.50,2006.50,1621.20,1247.00,917.70,575.80,,4343.70,3986.80,3647.90,3190.90,2829.50,2431.80,1998.60,1602.40,1248.60,929.10,580.10,,3110.10,2785.20,2484.90,2212.50,1902.80,1634.00,1372.80,1091.90,846.20,613.20,363.00,,2756.70,2513.40,2288.60,2093.40,1869.50,1576.80,1331.00,1085.70,863.30,637.20,389.30,,2792.20,2544.90,2322.20,2091.80,1843.30,1604.00,1398.50,1178.40,938.20,688.60,449.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Processing of Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),1144.90,851.40,528.70,,3675.30,3304.40,3061.00,2776.20,2469.30,2177.70,1922.10,1563.30,1215.20,926.90,583.20,,4442.10,4078.00,3750.90,3391.00,2998.20,2591.40,2168.20,1752.50,1364.10,981.00,609.80,,3400.20,3034.50,2708.90,2348.40,2027.40,1738.20,1406.20,1117.90,862.60,634.40,377.70,,2823.20,2563.00,2301.70,2057.30,1804.40,1565.40,1333.10,1077.00,844.00,622.80,383.30,,2587.90,2344.60,2122.90,1946.20,1707.70,1429.80,1238.90,1020.80,809.00,580.20,358.30,,2936.70,2654.20,2438.00,2172.60,1914.60,1668.30,1446.50,1219.50,957.80,713.80,468.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Processing of Ferrous Metal Ores Accumulated Growth Rate(%),25.6,33.6,15.3,,0.2,0.3,-1.0,-2.9,-4.1,-6.0,-9.7,-7.4,-4.5,-2.9,-3.9,,-11.2,-13.5,-12.8,-12.6,-12.4,-10.1,-7.5,-7.5,-8.6,-6.5,-5.6,,27.7,31.4,34.7,35.9,39.6,39.9,42.1,43.3,44.7,46.5,53.6,,10.2,8.7,8.0,7.5,5.5,4.4,3.0,1.4,0.3,-1.5,-5.3,,6.5,7.2,7.8,7.6,9.5,10.3,7.4,6.4,6.7,9.8,8.7,,-4.9,-4.1,-4.7,-3.7,-3.7,-3.9,-3.3,-3.4,-2.0,-3.5,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Processing of Non-Ferrous Metal Ores Accumulated(100 million yuan),746.10,528.90,332.80,,2234.90,2004.30,1791.20,1593.80,1394.30,1198.90,1067.20,862.90,703.80,530.70,324.30,,2426.30,2153.90,1903.30,1688.00,1473.60,1279.00,1115.80,898.90,700.00,513.50,309.50,,2122.40,1888.90,1678.70,1486.70,1307.50,1142.50,976.80,776.70,606.70,439.80,261.10,,1900.00,1683.10,1500.50,1375.30,1189.20,1031.70,860.60,669.30,509.00,363.90,207.70,,2594.30,2342.10,2106.70,1916.20,1791.10,1541.80,1311.00,1018.40,800.10,594.70,350.00,,2843.40,2453.70,2205.60,2137.70,2152.60,1966.40,1712.70,1376.40,1090.80,830.70,500.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Processing of Non-Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),646.50,472.70,289.80,,2211.00,1983.80,1819.60,1632.50,1430.10,1244.40,1087.00,882.30,711.10,537.50,320.20,,2155.00,1912.60,1684.20,1491.60,1303.30,1123.80,952.10,755.60,591.00,428.10,254.30,,1924.50,1704.00,1514.80,1355.70,1173.90,1016.30,859.60,667.90,507.10,363.30,208.40,,2012.40,1821.20,1617.00,1440.80,1264.00,1088.50,922.60,726.00,568.90,422.00,251.00,,2634.10,2212.60,1973.50,1909.50,1711.00,1490.30,1284.40,996.20,791.30,579.70,337.90,,2793.00,2404.20,2154.60,2104.70,2102.50,1883.90,1641.30,1338.60,1053.70,799.90,495.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Processing of Non-Ferrous Metal Ores Accumulated Growth Rate(%),15.4,11.9,14.8,,1.1,1.0,-1.6,-2.4,-2.5,-3.7,-1.8,-2.2,-1.0,-1.3,1.3,,12.6,12.6,13.0,13.2,13.1,13.8,17.2,19.0,18.4,19.9,21.7,,10.3,10.9,10.8,9.7,11.4,12.4,13.6,16.3,19.6,21.1,25.3,,-5.6,-7.6,-7.2,-4.5,-5.9,-5.2,-6.7,-7.8,-10.5,-13.8,-17.3,,-1.5,5.9,6.7,0.4,4.7,3.5,2.1,2.2,1.1,2.6,3.6,,1.8,2.1,2.4,1.6,2.4,4.4,4.4,2.8,3.5,3.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Processing of Nonmetal Ores Accumulated(100 million yuan),765.70,587.70,358.80,,2550.00,2315.60,2098.10,1866.00,1612.00,1403.80,1201.70,988.20,815.30,676.40,419.20,,3235.20,2890.80,2581.40,2294.00,2002.20,1750.70,1496.90,1209.80,958.00,698.90,418.00,,2986.80,2652.50,2358.40,2105.00,1834.70,1623.00,1381.20,1105.90,865.70,621.10,368.40,,2646.50,2361.30,2098.10,1859.20,1600.10,1368.20,1146.10,905.50,677.50,456.60,253.00,,2650.00,2403.40,2142.10,1901.30,1672.10,1465.60,1243.60,1011.20,787.60,579.50,357.70,,2672.40,2522.10,2307.90,2106.20,1915.30,1695.50,1452.90,1181.20,937.90,698.30,438.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Processing of Nonmetal Ores Accumulated The Same Period of Previous Year(100 million yuan),773.20,593.40,363.20,,2638.80,2412.60,2204.80,1974.90,1709.00,1499.50,1272.30,1054.90,871.40,697.50,427.20,,3175.50,2806.40,2495.90,2219.40,1936.40,1688.10,1438.10,1150.80,900.30,642.60,378.30,,2762.90,2463.70,2197.60,1923.70,1641.20,1402.40,1162.40,914.90,683.60,460.90,253.50,,2707.80,2421.40,2150.50,1900.60,1654.20,1427.30,1203.20,972.10,752.40,547.80,338.70,,2613.80,2324.60,2067.20,1812.90,1609.70,1409.90,1197.30,964.70,755.10,544.30,333.60,,2557.80,2397.50,2196.50,1991.70,1805.00,1605.60,1369.90,1125.10,874.00,647.90,413.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating cost of Mining and Processing of Nonmetal Ores Accumulated Growth Rate(%),-1.0,-1.0,-1.2,,-3.4,-4.0,-4.8,-5.5,-5.7,-6.4,-5.5,-6.3,-6.4,-3.0,-1.9,,1.9,3.0,3.4,3.4,3.4,3.7,4.1,5.1,6.4,8.8,10.5,,8.1,7.7,7.3,9.4,11.8,15.7,18.8,20.9,26.6,34.8,45.3,,-2.3,-2.5,-2.4,-2.2,-3.3,-4.1,-4.7,-6.9,-10.0,-16.6,-25.3,,1.4,3.4,3.6,4.9,3.9,4.0,3.9,4.8,4.3,6.5,7.2,,4.5,5.2,5.1,5.7,6.1,5.6,6.1,5.0,7.3,7.8,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
