Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Operating revenue of Industrial Enterprises Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188446.00,1101059.90,1019145.10,921038.20,817385.70,710640.10,605789.50,488577.50,383696.90,282783.60,174407.90,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069480.20,987903.60,906696.70,818094.00,724881.90,627570.60,532656.50,429988.90,337541.30,247694.10,153166.80,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,11.5,12.4,12.6,12.8,13.2,13.7,13.6,13.7,14.2,13.9,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Washing of Coal Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27704.60,25555.40,23496.30,21784.40,19358.00,16837.70,14463.50,11898.10,9308.60,6785.70,4143.10,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22092.70,19911.30,17681.70,16163.60,14191.60,12213.90,10295.10,8263.10,6471.50,4782.10,2985.10,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,28.3,32.9,34.8,36.4,37.9,40.5,44.0,43.8,41.9,38.8,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7821.70,7005.70,6338.30,5673.50,5020.00,4397.40,3799.30,3170.80,2519.50,1895.00,1237.10,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Extraction of Petroleum and Natural Gas Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6508.50,5734.20,5169.60,4622.20,4059.60,3513.50,2954.70,2382.80,1843.20,1341.70,867.90,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,22.2,22.6,22.7,23.7,25.2,28.6,33.1,36.7,41.2,42.5,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Processing of Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5831.00,5424.20,5084.40,4903.40,4341.70,3762.20,3214.80,2587.80,2024.30,1474.00,882.20,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Processing of Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5237.50,4839.20,4442.60,4183.70,3667.30,3133.50,2624.10,2091.90,1610.40,1151.70,708.30,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Processing of Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,12.1,14.4,17.2,18.4,20.1,22.5,23.7,25.7,28.0,24.6,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Processing of Non-Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5363.50,5401.00,5419.10,4974.90,4471.60,3911.60,3336.40,2667.60,2091.90,1538.50,940.90,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Processing of Non-Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5460.90,5400.00,4937.80,4525.30,4114.40,3554.00,2970.70,2345.70,1823.60,1320.40,800.80,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Processing of Non-Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,0.0,9.7,9.9,8.7,10.1,12.3,13.7,14.7,16.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Processing of Nonmetal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4763.20,4471.20,4241.30,4022.70,3599.30,3140.60,2680.40,2115.10,1648.00,1212.90,746.50,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Processing of Nonmetal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4858.40,4492.20,4179.50,3854.10,3415.00,2945.80,2479.90,1978.30,1540.60,1126.50,705.20,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining and Processing of Nonmetal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,-0.5,1.5,4.4,5.4,6.6,8.1,6.9,7.0,7.7,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Support Activities of Mining Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630.90,1318.50,1241.50,1162.90,1013.00,876.80,745.20,497.30,383.80,268.00,152.80,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Support Activities of Mining Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531.10,1264.50,1166.90,1051.40,920.90,805.80,694.70,478.10,376.40,271.30,151.70,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Support Activities of Mining Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,4.3,6.4,10.6,10.0,8.8,7.3,4.0,2.0,-1.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining of Other Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.60,36.60,35.60,31.00,26.30,21.90,17.90,13.50,10.00,6.90,4.10,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining of Other Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.70,23.50,22.50,18.10,15.80,13.10,10.90,9.10,7.10,5.60,3.60,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Mining of Other Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,55.7,58.2,71.3,66.5,67.2,64.2,48.4,40.8,23.2,13.9,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Processing of Food from Agricultural Products Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64828.40,60330.70,56766.90,51315.30,45291.30,39332.70,33564.90,27079.40,21360.50,15932.30,10087.20,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Processing of Food from Agricultural Products Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61346.00,56987.60,53284.10,47941.00,42093.60,36272.20,30694.20,24793.10,19534.80,14541.30,9236.80,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Processing of Food from Agricultural Products Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.9,6.5,7.0,7.6,8.4,9.4,9.2,9.3,9.6,9.2,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Foods Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23414.80,21517.00,19832.70,17814.50,16453.60,14229.90,12148.50,9865.20,7817.70,5833.80,3750.40,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Foods Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21617.50,19870.50,18216.80,16368.30,15131.20,13038.90,11104.50,9049.10,7176.40,5372.60,3450.00,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Foods Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.3,8.9,8.8,8.7,9.1,9.4,9.0,8.9,8.6,8.7,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Wine Beverages and Refined Tea Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17853.80,16573.20,15608.50,14758.00,12988.00,11295.20,9708.10,7800.60,6189.70,4691.80,3003.80,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Wine Beverages and Refined Tea Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16562.80,15317.70,14239.60,13444.60,11872.20,10283.40,8796.50,7115.60,5666.10,4297.30,2752.10,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Wine Beverages and Refined Tea Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.2,9.6,9.8,9.4,9.8,10.4,9.6,9.2,9.2,9.1,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Tobacco Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9904.90,9053.30,8232.50,7500.20,6563.70,5764.60,4939.80,4162.80,3365.70,2669.70,1937.80,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Tobacco Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9772.70,8925.40,8095.80,7380.20,6546.50,5823.10,5056.70,4177.30,3514.20,2767.30,2062.70,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Tobacco Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.7,1.6,0.3,-1.0,-2.3,-0.3,-4.2,-3.5,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Textile Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38640.00,36543.30,34742.50,31286.60,27852.70,24308.00,20642.50,16668.10,12957.40,9456.90,5896.90,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Textile Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37163.10,34902.00,32601.30,29153.30,25801.90,22317.30,18845.30,15220.40,11852.70,8647.90,5397.20,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Textile Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.7,6.6,7.3,7.9,8.9,9.5,9.5,9.3,9.4,9.3,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Textile Wearing Apparel and Clothing Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22172.40,20836.60,19832.40,17859.30,15822.30,13710.70,11611.70,9320.50,7314.00,5380.90,3395.60,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Textile Wearing Apparel and Clothing Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21952.00,20455.50,18887.70,16887.10,14816.70,12764.20,10760.00,8663.20,6812.30,5012.00,3185.60,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Textile Wearing Apparel and Clothing Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.9,5.0,5.8,6.8,7.4,7.9,7.6,7.4,7.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Leather Fur Feather and Related Products Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14735.80,13763.20,12895.80,11572.40,10187.20,8865.50,7475.90,5966.80,4648.40,3390.90,2079.70,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Leather Fur Feather and Related Products Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14222.50,13247.10,12197.90,10960.60,9563.80,8280.30,6987.40,5589.80,4354.30,3188.50,1965.10,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Leather Fur Feather and Related Products Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.9,5.7,5.6,6.5,7.1,7.0,6.7,6.8,6.3,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14009.00,12988.50,11929.50,11087.40,9768.30,8453.00,7160.50,5687.70,4397.70,3182.00,1967.50,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13674.80,12664.70,11472.50,10350.00,9069.20,7782.60,6521.10,5228.10,4041.30,2938.70,1814.60,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.6,4.0,7.1,7.7,8.6,9.8,8.8,8.8,8.3,8.4,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Furniture Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9112.60,8328.10,7567.90,6785.20,6006.70,5210.10,4436.60,3536.20,2755.00,2008.50,1233.80,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Furniture Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8272.40,7549.10,6814.70,6101.20,5349.20,4611.80,3895.00,3120.40,2441.80,1784.20,1105.70,,,,,,,,,,,,,,,,,,,,,,,,,
Operating revenue of Manufacture of Furniture Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,10.3,11.1,11.2,12.3,13.0,13.9,13.3,12.8,12.6,11.6,,,,,,,,,,,,,,,,,,,,,,,,,
