Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Revenue from Principal Business of Industrial Enterprises Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022241.10,944218.10,856830.70,771478.80,687763.00,604771.20,520710.40,429176.70,340888.90,251523.10,158933.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942076.60,865318.00,783922.50,704925.90,626176.30,550242.60,473630.40,389517.80,308580.90,229480.10,144522.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,9.1,9.3,9.4,9.8,9.9,9.9,10.2,10.5,9.6,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43211.90,40413.20,36537.10,32866.40,29296.10,25693.00,22022.20,17999.20,14331.90,10597.90,6680.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40067.40,37171.20,33768.20,30487.90,27219.10,23873.70,20537.60,17023.20,13603.90,10231.10,6436.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.7,8.2,7.8,7.6,7.6,7.2,5.7,5.4,3.6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Washing of Coal Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22660.30,21983.80,19923.00,17857.50,15735.80,13763.60,11783.40,9635.00,7702.00,5685.10,3532.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21481.40,20588.70,18845.80,16870.70,14874.30,12997.40,11132.50,9222.10,7294.60,5535.90,3435.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,6.8,5.7,5.8,5.8,5.9,5.8,4.5,5.6,2.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8436.60,7655.20,6879.80,6074.50,5338.70,4639.70,3948.40,3240.30,2546.20,1915.30,1279.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Extraction of Petroleum and Natural Gas Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6868.60,6173.80,5529.00,4945.10,4390.80,3860.20,3357.00,2821.70,2389.00,1807.60,1177.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,24.0,24.4,22.8,21.6,20.2,17.6,14.8,6.6,6.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Processing of Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3276.30,2986.40,2720.10,2450.00,2162.40,1870.30,1620.00,1362.50,1087.70,806.70,530.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Processing of Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3393.40,3083.30,2807.90,2502.70,2204.00,1922.70,1671.30,1417.00,1114.90,825.60,539.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Processing of Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5,-3.1,-3.1,-2.1,-1.9,-2.7,-3.1,-3.8,-2.4,-2.3,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Processing of Non-Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3682.70,3163.50,2850.90,2730.70,2705.50,2466.10,2149.20,1730.70,1376.60,1046.90,633.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Processing of Non-Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3580.80,3073.10,2748.50,2646.60,2604.90,2331.90,2024.90,1647.90,1300.20,985.00,611.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Processing of Non-Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.9,3.7,3.2,3.9,5.8,6.1,5.0,5.9,6.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Processing of Nonmetal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3383.20,3147.10,2861.80,2605.40,2368.90,2096.50,1798.80,1466.40,1162.80,862.30,548.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Processing of Nonmetal Ores Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3194.60,2965.40,2702.90,2453.10,2220.90,1962.50,1674.60,1375.80,1069.70,794.40,510.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and Processing of Nonmetal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,6.1,5.9,6.2,6.7,6.8,7.4,6.6,8.7,8.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and  Support Activities Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1741.90,1449.60,1276.10,1124.60,964.20,836.30,703.60,549.50,444.60,274.60,152.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and  Support Activities Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517.50,1258.30,1108.30,1046.40,904.30,779.50,659.70,525.10,425.60,276.80,159.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining and  Support Activities Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,15.2,15.1,7.5,6.6,7.3,6.7,4.6,4.5,-0.8,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Principal Business of Mining of Other Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.80,27.70,25.40,23.70,20.60,20.50,18.80,14.80,12.00,7.00,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
