Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Selling Expenses of Industrial Enterprises Accumulated(100 million yuan),9776.60,7314.60,4609.70,,31408.00,27858.80,25087.90,22590.70,19793.40,17313.40,14863.40,12100.70,9725.20,7417.10,4589.20,,31997.90,28435.20,25673.40,23173.10,20249.60,17654.00,15174.00,12247.10,9801.30,7421.20,4706.60,,32525.30,28981.50,26147.70,23608.90,20822.70,18225.90,15727.00,12703.60,10133.70,7537.80,4714.40,,30480.20,26784.70,23946.80,21350.50,18390.40,15892.90,13470.50,10652.60,8283.80,5942.30,3621.10,,31177.60,27719.40,25080.00,22844.20,20071.90,17538.80,15053.50,12372.50,9821.40,7281.20,4520.70,,30924.40,27806.80,25130.30,22595.80,20004.60,17507.40,15028.30,12323.70,9761.30,7306.10,4672.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling Expenses of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),9575.00,7151.80,4397.50,,30489.30,27130.40,24552.20,22196.40,19384.60,16886.20,14529.20,11809.60,9575.70,7421.10,4731.40,,33040.80,29405.50,26531.20,23943.10,21039.90,18377.40,15807.80,12770.60,10169.50,7562.70,4724.80,,30586.70,26831.80,23966.80,21348.20,18458.30,15930.90,13466.70,10630.70,8255.50,5912.60,3588.20,,31113.40,27498.10,24741.40,22252.70,19441.60,16947.70,14515.70,11855.90,9401.30,6971.40,4312.40,,30015.40,26529.20,24021.50,21749.20,19110.40,16610.60,14257.50,11590.20,9132.00,6784.70,4308.70,,28045.00,25123.30,22643.90,20354.10,17952.90,15735.40,13536.00,11074.80,8800.90,6568.20,4173.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling Expenses of Industrial Enterprises Accumulated Growth Rate(%),2.1,2.3,4.8,,3.0,2.7,2.2,1.8,2.1,2.5,2.3,2.5,1.6,-0.1,-3.0,,-3.2,-3.3,-3.2,-3.2,-3.8,-3.9,-4.0,-4.1,-3.6,-1.9,-0.4,,6.3,8.0,9.1,10.6,12.8,14.4,16.8,19.5,22.8,27.5,31.4,,-2.0,-2.6,-3.2,-4.1,-5.4,-6.2,-7.2,-10.1,-11.9,-14.8,-16.0,,3.9,4.5,4.4,5.0,5.0,5.6,5.6,6.7,7.5,7.3,4.9,,10.3,10.7,11.0,11.0,11.4,11.3,11.0,11.3,10.9,11.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling Expenses of Mining Accumulated(100 million yuan),201.80,152.90,97.00,,698.70,631.40,570.40,510.70,445.00,388.30,332.80,279.90,225.50,174.40,105.40,,787.40,696.50,631.10,587.20,518.60,459.60,394.60,320.30,255.30,192.00,116.90,,943.20,853.80,771.10,692.50,595.90,525.50,451.30,361.70,288.90,215.90,142.40,,875.90,785.30,703.90,628.40,548.60,473.20,399.40,314.90,246.60,181.20,106.00,,919.00,827.70,745.60,674.80,594.90,517.50,442.10,361.20,289.80,223.30,135.20,,897.70,812.00,729.60,661.40,588.50,516.50,443.50,363.40,294.00,217.70,135.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling Expenses of Mining Accumulated The Same Period of Previous Year(100 million yuan),225.70,170.10,102.00,,761.70,677.60,621.30,579.00,510.10,450.60,388.90,315.00,253.40,195.40,119.70,,976.30,880.60,795.80,714.40,614.90,537.60,459.10,368.40,294.10,219.20,145.80,,925.60,828.40,741.40,659.00,574.30,482.70,406.10,321.50,251.10,184.80,107.30,,893.50,801.40,724.50,650.50,571.40,497.20,422.90,348.20,274.40,210.90,127.30,,903.90,798.30,715.50,642.60,568.00,492.40,420.90,343.00,275.10,201.30,124.50,,879.90,804.90,726.40,668.50,589.60,524.70,455.00,375.50,291.60,212.80,140.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling Expenses of Mining Accumulated Growth Rate(%),-10.6,-10.1,-4.9,,-8.3,-6.8,-8.2,-11.8,-12.8,-13.8,-14.4,-11.1,-11.0,-10.7,-11.9,,-19.3,-20.9,-20.7,-17.8,-15.7,-14.5,-14.0,-13.1,-13.2,-12.4,-19.8,,1.9,3.1,4.0,5.1,3.8,8.9,11.1,12.5,15.1,16.8,32.7,,-2.0,-2.0,-2.8,-3.4,-4.0,-4.8,-5.6,-9.6,-10.1,-14.1,-16.7,,1.7,3.7,4.2,5.0,4.7,5.1,5.0,5.3,5.3,10.9,8.6,,2.0,0.9,0.4,-1.1,-0.2,-1.6,-2.5,-3.2,0.8,2.3,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling Expenses of Mining and Washing of Coal Accumulated(100 million yuan),124.60,95.40,60.60,,432.40,394.10,355.80,319.20,277.50,243.10,208.80,177.90,143.60,110.30,65.90,,472.60,418.60,380.80,362.90,322.60,286.40,245.70,199.30,159.30,120.70,74.00,,609.20,553.10,502.00,450.20,386.60,337.00,291.50,234.10,187.70,141.00,96.50,,563.70,508.90,459.00,408.90,358.80,310.50,262.10,205.60,162.10,120.00,70.10,,592.40,537.00,486.10,440.90,388.50,335.60,288.20,234.50,189.60,147.10,88.40,,575.80,530.50,476.80,431.10,381.70,333.20,285.30,234.00,189.10,138.70,84.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling Expenses of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),145.60,110.60,66.10,,477.70,423.50,388.20,369.10,327.20,289.50,250.30,201.50,161.90,123.60,76.00,,628.50,568.70,515.80,462.80,397.30,346.90,298.10,239.40,191.20,143.70,99.60,,599.70,540.10,487.00,433.80,380.40,316.50,266.30,210.30,165.80,123.20,71.20,,564.10,510.00,464.40,419.60,369.00,321.50,274.80,227.00,178.10,137.70,83.10,,583.10,520.80,467.00,420.70,372.00,320.90,274.80,224.80,181.50,132.20,80.80,,567.00,528.50,478.50,442.60,385.60,343.40,297.70,245.70,187.50,137.30,91.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling Expenses of Mining and Washing of Coal Accumulated Growth Rate(%),-14.4,-13.7,-8.3,,-9.5,-6.9,-8.3,-13.5,-15.2,-16.0,-16.6,-11.7,-11.3,-10.8,-13.3,,-24.8,-26.4,-26.2,-21.6,-18.8,-17.4,-17.6,-16.8,-16.7,-16.0,-25.7,,1.6,2.4,3.1,3.8,1.6,6.5,9.5,11.3,13.2,14.4,35.5,,-0.1,-0.2,-1.2,-2.6,-2.8,-3.4,-4.6,-9.4,-9.0,-12.9,-15.6,,1.6,3.1,4.1,4.8,4.4,4.6,4.9,4.3,4.5,11.3,9.4,,1.6,0.4,-0.4,-2.6,-1.0,-3.0,-4.2,-4.8,0.9,1.0,-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling Expenses of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),11.10,8.20,5.40,,37.00,30.50,27.70,24.80,22.00,19.00,16.00,13.30,10.60,8.10,5.20,,39.40,33.20,29.90,27.10,24.30,21.60,18.60,15.10,12.00,8.90,5.70,,39.20,33.80,31.40,27.50,24.00,21.30,18.30,15.10,12.20,9.10,6.10,,34.90,30.10,26.60,24.00,21.40,18.40,15.80,13.30,11.10,8.30,6.10,,37.50,30.70,27.60,23.90,21.30,18.40,15.60,13.10,10.70,8.20,5.60,,35.60,29.10,26.40,23.50,21.10,18.70,16.10,13.10,10.20,7.90,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
