Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Total Assets of Industrial Enterprises month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122881.50,1123586.30,1114875.90,1104710.20,1092301.00,1081201.90,1072033.20,1062934.20,1054211.90,1041788.20,1026624.40,,1068296.70,1057707.50,1040316.50,1025475.00,1013659.90,1001935.20,994460.90,985658.70,981308.20,969840.40,957375.90,,999741.10,994900.50,982408.70,971290.70,961553.60,950391.30,943835.50,934130.30,923307.70,911949.80,904394.50,
Total Assets of Industrial Enterprises The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050111.60,1046945.10,1034982.30,1024047.10,1014170.90,1002733.00,995080.90,986902.00,977167.10,965654.80,952782.60,,997081.00,991673.50,978409.20,968480.80,958316.00,947924.70,941070.00,931526.50,928390.50,917448.70,905191.60,,934837.10,928745.90,915896.80,905185.80,894116.10,883637.10,876963.90,866753.70,855460.90,843126.10,834204.80,
Total Assets of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,7.3,7.7,7.9,7.7,7.8,7.7,7.7,7.9,7.9,7.8,,7.1,6.7,6.3,5.9,5.8,5.7,5.7,5.8,5.7,5.7,5.8,,6.9,7.1,7.3,7.3,7.5,7.6,7.6,7.8,7.9,8.2,8.4,
Total Assets of Mining and Washing of Coal month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55260.30,55245.50,54832.40,55041.20,54607.10,54435.80,54056.90,53741.90,53467.70,52455.10,52336.00,,54039.40,53990.90,53457.20,52906.90,52702.80,52309.00,52006.70,51946.90,52420.30,51836.70,52479.10,,54214.10,54209.80,53830.40,53448.60,53095.40,52947.40,52613.70,51980.70,51220.10,50416.90,49942.40,
Total Assets of Mining and Washing of Coal The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52737.60,52532.00,51834.90,51873.30,51648.50,51233.20,50979.20,50937.70,50978.40,50484.60,50741.60,,53033.10,53154.70,52797.00,52486.50,52155.00,52026.40,51726.40,51165.90,50963.60,50108.70,49331.40,,50746.90,50733.00,50420.20,49987.50,49507.70,49040.50,48705.50,48545.10,48219.90,47507.40,47144.70,
Total Assets of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,5.2,5.8,6.1,5.7,6.3,6.0,5.5,4.9,3.9,3.1,,1.9,1.6,1.3,0.8,1.1,0.5,0.5,1.5,2.9,3.4,6.4,,6.8,6.9,6.8,6.9,7.2,8.0,8.0,7.1,6.2,6.1,5.9,
Total Assets of Extraction of Petroleum and Natural Gas month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19100.50,19395.00,19446.10,19403.00,19441.90,19395.50,19493.90,19613.90,19586.30,19612.10,19676.60,,20036.30,20220.10,20189.20,20123.00,20063.40,20082.90,20117.60,20213.90,20267.20,20300.60,20354.40,,20675.40,20823.20,20743.10,20719.70,20587.90,20484.00,20373.80,20409.60,20297.30,20264.40,20031.80,
Total Assets of Extraction of Petroleum and Natural Gas The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19792.60,20090.40,20097.90,20124.40,20092.50,20110.70,20162.00,20262.60,20309.20,20340.90,20390.70,,20704.60,20850.70,20769.20,20745.90,20614.40,20563.50,20449.50,20467.60,20398.30,20355.50,20125.00,,20350.30,20212.30,20058.10,19770.20,19506.30,19314.20,19299.50,19160.80,19051.40,18721.60,18744.50,
Total Assets of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5,-3.5,-3.2,-3.6,-3.2,-3.6,-3.3,-3.2,-3.6,-3.6,-3.5,,-3.2,-3.0,-2.8,-3.0,-2.7,-2.3,-1.6,-1.2,-0.6,-0.3,1.1,,1.6,3.0,3.4,4.8,5.5,6.1,5.6,6.5,6.5,8.2,6.9,
Total Assets of Mining and Processing of Ferrous Metal Ores month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10372.70,10054.40,9909.90,9877.90,9697.30,9588.50,9479.00,9396.60,9240.90,9083.20,9025.20,,10326.40,10377.80,10218.10,10017.00,9916.40,10008.30,9843.10,9770.30,10020.10,9631.50,9138.30,,10419.80,10399.10,10317.70,10112.30,9984.80,9902.40,9835.80,9703.00,9606.90,9388.20,9404.00,
Total Assets of Mining and Processing of Ferrous Metal Ores The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500.80,9530.70,9389.60,9246.80,9145.60,9246.90,9086.10,9029.80,9103.50,8740.70,8649.40,,10322.30,10276.70,10171.90,9939.90,9818.10,9728.10,9673.40,9536.50,9734.60,9520.30,9127.50,,10097.00,10068.50,9942.70,9811.30,9817.20,9749.90,9563.40,9415.20,9251.20,9082.90,9053.80,
Total Assets of Mining and Processing of Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,5.5,5.5,6.8,6.0,3.7,4.3,4.1,1.5,3.9,4.3,,0.0,1.0,0.5,0.8,1.0,2.9,1.8,2.5,2.9,1.2,0.1,,3.2,3.3,3.8,3.1,1.7,1.6,2.8,3.1,3.8,3.4,3.9,
Total Assets of Mining and Processing of Non-Ferrous Metal Ores month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6311.40,6186.60,6145.80,6094.70,6039.00,5973.10,5920.90,5834.50,5791.30,5661.70,5517.30,,5902.20,5967.90,5892.30,5796.80,5675.60,5640.10,5634.40,5507.70,5536.00,5474.20,5259.90,,5552.80,5514.80,5457.70,5445.10,5410.20,5357.00,5292.60,5205.10,5136.40,5051.40,5065.70,
Total Assets of Mining and Processing of Non-Ferrous Metal Ores The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6029.30,6036.30,5983.80,5911.80,5867.00,5809.00,5778.90,5654.00,5603.80,5472.90,5359.70,,5686.80,5653.50,5601.20,5590.70,5511.40,5462.70,5554.20,5224.10,5258.90,5180.00,5014.40,,5189.40,5148.90,5064.10,5027.90,5003.20,4933.30,4844.70,4795.30,4713.40,4635.10,4591.30,
Total Assets of Mining and Processing of Non-Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,2.5,2.7,3.1,2.9,2.8,2.5,3.2,3.3,3.4,2.9,,3.8,5.6,5.2,3.7,3.0,3.2,1.4,5.4,5.3,5.7,4.9,,7.0,7.1,7.8,8.3,8.1,8.6,9.2,8.5,9.0,9.0,10.3,
Total Assets of Mining and Processing of Nonmetal Ores month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3768.10,3916.20,3900.50,3905.70,3797.80,3784.80,3733.80,3662.40,3627.90,3588.30,3505.00,,3954.30,3900.80,3807.40,3743.10,3688.80,3657.80,3598.10,3565.50,3664.90,3596.30,3519.40,,3902.20,3826.70,3782.10,3700.10,3626.10,3549.40,3482.20,3423.10,3403.80,3341.30,3321.90,
Total Assets of Mining and Processing of Nonmetal Ores The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3876.50,3872.30,3804.40,3745.80,3652.80,3615.90,3579.40,3527.60,3489.70,3412.10,3340.90,,3778.30,3703.40,3637.50,3559.90,3500.90,3444.80,3370.50,3330.70,3422.10,3367.80,3337.60,,3649.80,3556.10,3508.50,3443.40,3395.20,3295.10,3257.80,3204.00,3140.90,3050.90,3050.10,
Total Assets of Mining and Processing of Nonmetal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8,1.1,2.5,4.3,4.0,4.7,4.3,3.8,4.0,5.2,4.9,,4.7,5.3,4.7,5.1,5.4,6.2,6.8,7.0,7.1,6.8,5.4,,6.9,7.6,7.8,7.5,6.8,7.7,6.9,6.8,8.4,9.5,8.9,
Total Assets of Support Activities of Mining month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2685.40,2688.80,2716.40,2832.10,2818.00,2830.70,2787.10,2479.60,2461.00,2433.20,2433.80,,2595.10,2634.20,2649.80,2625.60,2622.10,2640.20,2619.20,2574.30,2577.90,2566.90,2582.40,,2756.50,2725.00,2658.50,2639.70,2614.70,2579.80,2559.30,2553.40,2559.60,2580.60,2728.60,
