Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Total Current Assets of Industrial Enterprises month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534323.30,539812.20,532272.00,524557.60,516599.00,508994.70,503949.70,500632.20,495645.20,488568.50,478505.10,,496173.70,495881.50,486140.70,477924.50,471023.10,463263.50,460535.60,456936.90,454637.90,449522.00,441465.40,,460717.50,466777.60,460224.30,455813.60,451540.60,446688.30,444416.40,439687.20,433387.70,427557.50,423321.20,
Total Current Assets of Industrial Enterprises The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487387.60,490213.40,482432.30,475917.30,469692.70,461944.00,458989.60,455346.80,450461.30,445199.50,437076.60,,458617.20,464293.10,457427.80,453241.80,448758.00,443955.90,441542.30,436737.10,433893.40,427883.50,421308.20,,437644.60,443790.50,437888.60,432608.80,426593.60,420875.40,419211.80,415006.10,408515.90,401088.60,395417.90,
Total Current Assets of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,10.1,10.3,10.2,10.0,10.2,9.8,9.9,10.0,9.7,9.5,,8.2,6.8,6.3,5.4,5.0,4.3,4.3,4.6,4.8,5.1,4.8,,5.3,5.2,5.1,5.4,5.8,6.1,6.0,5.9,6.1,6.6,7.1,
Total Current Assets of Mining and Washing of Coal month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21069.80,21443.90,21031.70,20995.20,20808.00,20614.10,20222.30,19904.50,19703.00,19047.90,18840.00,,19674.50,19725.30,19496.00,18876.60,18835.00,18504.60,18451.50,18717.80,19055.50,18903.00,19669.00,,20332.20,20823.00,20665.00,20563.70,20457.00,20431.50,20254.60,20098.50,19566.00,19352.10,18433.20,
Total Current Assets of Mining and Washing of Coal The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18540.00,18545.20,18234.00,17976.90,17913.70,17594.50,17547.70,17808.80,18000.30,17885.40,18085.10,,19407.30,19847.30,19755.60,19659.10,19555.40,19529.20,19372.90,19206.30,18904.90,18708.40,18078.50,,19381.00,19807.70,19874.30,19568.40,19306.30,19028.60,19125.50,18878.80,18706.30,18341.40,17786.70,
Total Current Assets of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,15.6,15.3,16.8,16.2,17.2,15.2,11.8,9.5,6.5,4.2,,1.4,-0.6,-1.3,-4.0,-3.7,-5.2,-4.8,-2.5,0.8,1.0,8.8,,4.9,5.1,4.0,5.1,6.0,7.4,5.9,6.5,4.6,5.5,3.6,
Total Current Assets of Extraction of Petroleum and Natural Gas month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621.30,3283.30,3276.70,3179.60,3191.60,3089.30,3078.60,3240.00,3139.20,2991.20,3025.10,,2894.30,3289.30,3265.10,3151.30,3089.40,3053.20,3003.40,3076.10,3069.30,3013.70,3004.30,,2563.90,3291.80,3271.40,3222.60,3165.50,3071.20,2946.40,3034.10,2958.30,2938.40,2857.60,
Total Current Assets of Extraction of Petroleum and Natural Gas The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2822.80,3220.80,3204.00,3151.60,3100.40,3062.90,3025.70,3098.30,3089.90,3025.60,3014.60,,2584.10,3310.80,3288.80,3240.30,3183.50,3081.60,2954.30,3033.70,2962.50,2939.90,2872.10,,2591.00,3238.80,3202.50,2980.10,2799.90,2723.20,2743.80,2826.50,2775.90,2698.50,2776.50,
Total Current Assets of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.1,1.9,2.3,0.9,2.9,0.9,1.7,4.6,1.6,-1.1,0.3,,12.0,-0.6,-0.7,-2.7,-3.0,-0.9,1.7,1.4,3.6,2.5,4.6,,-1.0,1.6,2.2,8.1,13.1,12.8,7.4,7.3,6.6,8.9,2.9,
Total Current Assets of Mining and Processing of Ferrous Metal Ores month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3168.10,3565.80,3698.00,3524.60,3580.70,3534.10,3463.70,3501.70,3428.30,3381.10,3348.70,,4005.20,4152.90,4103.70,4009.50,3964.80,3956.40,3840.40,3824.80,4012.70,3902.90,3467.10,,3885.80,3945.80,3952.10,3859.70,3807.20,3858.20,3858.10,3760.40,3732.10,3648.50,3672.50,
