Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Total Losses of Loss-making Industrial Enterprises Accumulated(100 million yuan),7086.10,5715.70,4349.20,,15570.30,13896.50,13161.10,12239.00,11448.10,10493.30,9274.30,8329.10,7093.50,5683.50,4505.80,,15568.10,13586.30,12458.70,11378.50,10132.60,8827.60,7426.90,6418.80,5444.80,4259.20,3404.20,,11814.40,9602.10,8514.30,7536.10,6654.30,5677.50,4913.90,4305.80,3702.10,3089.50,2408.00,,9855.10,8533.00,8246.30,7826.30,7402.80,6975.10,6326.20,6016.90,5338.80,4451.30,3241.80,,9414.60,7972.80,7495.40,6527.70,5974.40,5316.70,4667.70,4218.00,3692.00,3050.30,2561.20,,7940.80,6749.50,6368.90,5800.80,5283.70,4772.20,4164.60,3586.30,3111.90,2541.40,2011.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Losses of Loss-making Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),7333.10,5905.70,4661.10,,16519.70,14306.40,13089.70,11916.80,10613.20,9245.50,7817.00,6785.00,5729.10,4442.80,3520.60,,12130.00,9802.80,8716.30,7717.80,6828.00,5944.90,5125.60,4526.70,3897.20,3237.00,2510.60,,9928.60,8586.00,8301.40,7866.50,7405.70,6983.10,6420.50,6114.00,5433.50,4593.70,3371.10,,9591.10,8056.20,7581.20,6628.10,6084.10,5419.60,4756.90,4328.00,3777.00,3114.80,2607.20,,8112.90,6926.10,6525.80,5862.10,5355.30,4834.70,4229.90,3669.60,3193.00,2613.40,2067.50,,7318.50,6281.10,5928.50,5484.50,5012.50,4523.70,4019.20,3521.70,2927.80,2283.80,1854.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Losses of Loss-making Industrial Enterprises Accumulated Growth Rate(%),-3.4,-3.2,-6.7,,-5.7,-2.9,0.5,2.7,7.9,13.5,18.6,22.8,23.8,27.9,28.0,,28.3,38.6,42.9,47.4,48.4,48.5,44.9,41.8,39.7,31.6,35.6,,19.0,11.8,2.6,-4.2,-10.1,-18.7,-23.5,-29.6,-31.9,-32.7,-28.6,,2.8,5.9,8.8,18.1,21.7,28.7,33.0,39.0,41.4,42.9,24.3,,16.0,15.1,14.9,11.4,11.6,10.0,10.4,14.9,15.6,16.7,23.9,,8.5,7.5,7.4,5.8,5.4,5.5,3.6,1.8,6.3,11.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Losses of Loss-making Enterprises Mining Accumulated(100 million yuan),450.80,355.20,230.60,,1041.60,749.70,703.20,677.10,611.30,545.60,464.70,406.80,342.70,283.90,194.20,,870.30,602.40,546.20,505.50,457.10,402.60,362.90,325.00,307.90,263.70,185.50,,1069.10,799.80,698.20,660.40,600.50,553.10,499.40,431.80,374.50,300.00,216.20,,1546.00,1172.80,1055.30,956.80,854.00,774.30,689.70,593.20,417.30,322.50,251.10,,851.20,642.90,587.50,545.50,480.00,412.90,367.00,295.90,270.10,224.00,178.00,,924.10,650.20,614.80,557.00,482.50,458.10,421.00,339.50,280.60,210.50,147.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Losses of Loss-making Enterprises Mining Accumulated The Same Period of Previous Year(100 million yuan),360.30,301.50,205.00,,927.20,637.80,586.00,542.30,493.30,433.80,390.10,349.40,324.50,278.20,195.20,,1106.70,830.10,728.20,690.10,631.10,588.30,525.50,451.90,394.30,315.30,225.50,,1598.00,1223.40,1106.30,1001.70,876.10,792.60,705.50,610.60,432.00,333.50,258.10,,978.90,738.20,674.80,615.60,538.70,461.60,411.10,348.30,310.00,250.50,196.20,,985.00,712.40,683.50,578.10,499.90,459.30,412.60,347.50,292.70,230.60,166.80,,1444.40,1136.60,1043.00,957.00,857.20,771.40,646.50,531.70,429.90,300.70,202.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Losses of Loss-making Enterprises Mining Accumulated Growth Rate(%),25.1,17.8,12.5,,12.3,17.5,20.0,24.9,23.9,25.8,19.1,16.4,5.6,2.0,-0.5,,-21.4,-27.4,-25.0,-26.7,-27.6,-31.6,-30.9,-28.1,-21.9,-16.4,-17.7,,-33.1,-34.6,-36.9,-34.1,-31.5,-30.2,-29.2,-29.3,-13.3,-10.0,-16.2,,57.9,58.9,56.4,55.4,58.5,67.7,67.8,70.3,34.6,28.7,28.0,,-13.6,-9.8,-14.0,-5.6,-4.0,-10.1,-11.1,-14.8,-7.7,-2.9,6.7,,-36.0,-42.8,-41.1,-41.8,-43.7,-40.6,-34.9,-36.1,-34.7,-30.0,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Losses of Loss-making Enterprises Mining and Washing of Coal Accumulated(100 million yuan),319.60,247.20,155.40,,615.70,504.30,472.00,461.00,405.80,359.80,306.20,259.40,213.80,179.30,126.10,,480.20,363.60,323.60,298.20,276.10,242.60,224.10,210.00,204.40,180.10,116.90,,560.90,440.10,382.80,383.10,358.10,323.60,262.10,232.50,208.00,165.50,110.20,,617.10,528.60,499.30,459.10,406.90,359.20,311.40,282.70,223.60,179.50,155.10,,401.20,348.20,324.10,304.10,270.40,231.30,207.90,178.90,156.40,123.20,90.80,,327.50,263.20,246.10,219.60,194.60,181.80,159.70,135.90,112.80,88.40,60.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Losses of Loss-making Enterprises Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),219.00,185.10,128.60,,499.10,374.80,342.50,317.20,294.90,260.50,240.30,223.90,213.40,186.50,122.00,,585.10,457.40,399.30,399.30,368.90,340.50,277.00,241.10,216.80,170.60,112.70,,611.60,560.50,530.80,489.40,421.90,370.10,321.30,289.10,229.20,183.20,157.40,,527.10,445.20,413.50,375.70,331.70,280.70,251.50,229.10,193.00,148.40,106.00,,332.20,278.20,256.50,230.30,202.80,188.00,164.70,139.70,116.30,91.70,68.50,,314.10,272.60,249.60,231.50,190.10,170.80,148.90,129.00,109.20,90.10,61.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Losses of Loss-making Enterprises Mining and Washing of Coal Accumulated Growth Rate(%),45.9,33.5,20.8,,23.4,34.6,37.8,45.3,37.6,38.1,27.4,15.9,0.2,-3.9,3.4,,-17.9,-20.5,-19.0,-25.3,-25.2,-28.8,-19.1,-12.9,-5.7,5.6,3.7,,-8.3,-21.5,-27.9,-21.7,-15.1,-12.6,-18.4,-19.6,-9.2,-9.7,-30.0,,17.1,18.7,20.7,22.2,22.7,28.0,23.8,23.4,15.9,21.0,46.3,,20.8,25.2,26.4,32.0,33.3,23.0,26.2,28.1,34.5,34.4,32.6,,4.3,-3.4,-1.4,-5.1,2.4,6.4,7.3,5.3,3.3,-1.9,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Losses of Loss-making Enterprises Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),20.30,16.60,11.20,,206.20,49.80,39.10,34.60,30.80,26.90,22.10,21.50,16.00,12.50,8.80,,142.80,48.10,42.50,40.90,35.80,32.80,28.80,23.60,20.90,16.30,12.70,,205.60,112.60,99.80,87.60,66.30,62.10,62.10,57.50,53.60,47.30,41.80,,767.50,489.80,414.90,364.60,322.40,297.00,266.80,223.70,117.80,46.30,14.80,,222.90,116.20,98.50,83.80,63.60,51.70,41.40,26.50,29.20,35.20,34.40,,284.40,197.20,199.10,182.40,154.60,140.90,137.30,105.10,78.50,59.00,36.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Losses of Loss-making Enterprises Extraction of Petroleum and Natural Gas Accumulated The Same Period of Previous Year(100 million yuan),15.80,12.30,8.70,,163.60,52.20,46.40,44.00,38.00,32.90,28.90,23.80,21.10,16.40,12.80,,204.30,122.40,98.50,86.40,73.70,70.80,67.50,63.40,58.00,49.60,43.20,,790.20,500.20,431.70,376.80,327.70,301.50,269.10,226.80,120.00,48.00,15.40,,223.50,116.60,98.50,83.80,63.80,51.80,41.70,26.60,29.50,35.30,34.50,,340.40,246.10,246.50,186.40,158.10,143.20,131.60,106.40,85.30,63.00,38.70,,836.90,659.60,603.80,556.20,515.30,466.80,377.20,313.60,245.60,141.80,87.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
