Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Total Profits of Industrial Enterprises Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75187.10,68750.10,62450.80,55846.00,49213.50,42481.20,36337.50,29047.60,22780.30,17043.00,10156.80,,68803.20,60334.10,52567.70,46380.60,40583.60,35235.90,29998.20,23816.40,18442.20,13421.50,7807.10,,63554.00,55386.80,48666.00,43032.40,37662.70,33173.10,28441.80,22547.60,17341.30,12543.20,7452.40,
Total Profits of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62116.60,56420.70,50668.40,45477.10,40460.30,35040.20,29782.60,23673.20,18307.30,13284.20,7721.10,,63427.20,55170.60,48404.90,42794.70,37434.50,32959.10,28246.70,22380.80,17312.90,12496.50,7451.70,,65027.20,56453.70,49634.30,43767.50,38408.30,33494.90,28640.70,22739.90,17566.20,12889.90,7781.50,
Total Profits of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.9,23.3,22.8,21.6,21.2,22.0,22.7,24.4,28.3,31.5,,8.5,9.4,8.6,8.4,8.4,6.9,6.2,6.4,6.5,7.4,4.8,,-2.3,-1.9,-2.0,-1.7,-1.9,-1.0,-0.7,-0.8,-1.3,-2.7,-4.2,
Total Profits of Mining and Washing of Coal Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2959.30,2717.60,2506.30,2261.60,2001.10,1714.00,1474.70,1233.40,988.20,708.70,438.00,,1090.90,850.00,573.10,351.80,224.80,145.50,97.90,35.00,9.60,7.50,-9.30,,440.80,425.50,356.20,287.20,256.30,230.60,200.40,168.50,154.10,122.00,82.70,
Total Profits of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.80,585.70,343.90,274.60,189.60,116.40,71.30,13.90,-6.20,-6.50,-20.90,,337.10,330.90,269.20,213.10,195.50,179.60,159.10,131.40,123.20,101.10,83.80,,1259.10,1097.80,940.50,807.50,730.80,677.50,607.40,507.10,401.20,320.00,221.20,
Total Profits of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.5,364.0,628.8,723.6,955.4,1372.5,1968.3,8773.4,,,,,223.6,156.9,112.9,65.1,15.0,-19.0,-38.5,-73.4,-92.2,-92.6,-111.1,,-65.0,-61.2,-62.1,-64.4,-64.9,-66.0,-67.0,-66.8,-61.6,-61.9,-62.6,
Total Profits of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.90,482.70,406.50,327.90,274.40,232.90,239.50,212.90,173.30,188.40,116.80,,-476.30,-376.00,-377.70,-392.60,-394.70,-386.30,-389.90,-376.80,-355.80,-285.90,-203.40,,804.80,913.40,906.20,889.90,859.70,770.20,628.90,496.20,370.70,281.30,151.80,
Total Profits of Extraction of Petroleum and Natural Gas Accumulated The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-477.90,-374.10,-372.40,-391.70,-391.20,-383.30,-387.00,-374.30,-353.60,-284.00,-202.50,,808.10,916.50,908.90,892.20,861.70,773.40,631.50,497.10,370.50,280.30,151.70,,3159.20,3090.40,2888.70,2627.00,2626.60,2308.10,1990.10,1627.50,1307.90,995.00,605.10,
Total Profits of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-158.9,-141.0,-141.6,-144.0,-145.8,-149.9,-161.7,-175.8,-196.0,-202.0,-234.1,,-74.5,-70.4,-68.6,-66.1,-67.3,-66.6,-68.4,-69.5,-71.7,-71.7,-74.9,
Total Profits of Mining and Processing of Ferrous Metal Ores Accumulated(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.00,399.50,372.40,342.40,303.70,267.40,228.80,198.20,156.10,112.90,70.40,,403.70,376.10,317.50,258.50,223.50,195.80,162.40,134.70,101.70,73.40,41.80,,446.40,407.00,359.90,316.80,270.90,228.60,186.40,148.70,110.30,83.50,53.50,
