Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Total Profits of Industrial Enterprises Accumulated(100 million yuan),20946.90,15055.30,9140.60,,76858.30,69822.80,61154.20,54119.90,46558.20,39439.80,33884.60,26688.90,20328.80,15167.40,8872.10,,84038.50,77179.60,69768.20,62441.80,55254.00,48929.50,42702.20,34410.00,26582.30,19555.70,11575.60,,87092.10,79750.10,71649.90,63440.80,56051.40,49239.50,42183.30,34247.40,25943.50,18253.80,11140.10,,64516.10,57445.00,50124.20,43665.00,37166.50,31022.90,25114.90,18434.90,12597.90,7814.50,4107.00,,61995.50,56100.70,50151.00,45933.50,40163.50,34977.00,29840.00,23790.20,18129.40,12972.00,7080.10,,66351.40,61168.80,55211.80,49713.40,44248.70,39038.10,33882.10,27298.30,21271.70,15533.20,9689.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),20085.10,14429.50,8297.20,,78649.80,73009.50,66320.10,59492.00,52734.00,46690.20,40730.40,32879.30,25604.40,19297.20,11512.70,,87558.70,80061.30,71961.90,63894.50,56440.50,49452.20,42265.50,34054.90,25695.30,18019.70,11024.00,,64833.40,57789.80,50401.10,43828.40,37490.00,31312.80,25268.90,18670.90,12586.20,7690.70,3993.90,,61967.30,56079.90,49775.50,44760.10,38891.60,33746.00,28818.00,22845.00,17349.10,12352.60,6656.00,,64104.40,57309.20,51668.00,46926.50,40849.60,35567.80,30569.80,24355.70,18760.80,13411.60,8234.40,,60138.60,54689.90,48622.10,43326.80,38091.10,33329.50,28898.30,23427.00,18499.80,13922.60,8343.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Industrial Enterprises Accumulated Growth Rate(%),4.3,4.3,10.2,,-2.3,-4.4,-7.8,-9.0,-11.7,-15.5,-16.8,-18.8,-20.6,-21.4,-22.9,,-4.0,-3.6,-3.0,-2.3,-2.1,-1.1,1.0,1.0,3.5,8.5,5.0,,34.3,38.0,42.2,44.7,49.5,57.3,66.9,83.4,106.1,137.3,178.9,,4.1,2.4,0.7,-2.4,-4.4,-8.1,-12.8,-19.3,-27.4,-36.7,-38.3,,-3.3,-2.1,-2.9,-2.1,-1.7,-1.7,-2.4,-2.3,-3.4,-3.3,-14.0,,10.3,11.8,13.6,14.7,16.2,17.1,17.2,16.5,15.0,11.6,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining Accumulated(100 million yuan),3923.90,2961.70,1881.00,,12392.40,12277.20,11142.50,9928.10,8906.30,7827.40,6816.80,5919.30,4752.40,3604.50,2343.70,,15573.60,15132.30,13943.00,12469.60,11246.80,9961.10,8528.20,7082.70,5435.70,3835.00,2335.70,,10390.80,9920.70,8639.00,7006.90,5913.00,4811.10,3821.10,3008.70,2171.30,1519.50,988.40,,3553.20,3440.50,3072.30,2674.30,2336.00,1953.80,1647.00,1291.60,1110.10,881.40,553.10,,5275.30,5174.00,4721.30,4279.40,3807.40,3354.40,2838.60,2311.20,1732.60,1228.80,701.50,,5246.40,5270.40,4793.80,4295.60,3880.50,3366.70,2853.90,2333.60,1848.40,1375.40,877.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining Accumulated The Same Period of Previous Year(100 million yuan),4822.40,3633.40,2383.30,,15429.90,15032.60,13870.90,12395.40,11200.40,9910.30,8513.10,7061.30,5421.40,3826.50,2347.00,,10479.30,9997.90,8693.80,7083.10,5979.40,4851.00,3879.60,3067.20,2210.60,1547.90,1006.80,,3574.70,3472.90,3105.40,2676.20,2355.10,1967.20,1640.30,1277.40,1070.30,858.00,540.10,,5190.30,5118.60,4690.20,4255.30,3776.70,3343.50,2827.40,2290.50,1713.40,1214.90,701.00,,5186.50,5121.30,4608.60,4151.80,3728.80,3220.20,2722.90,2206.90,1744.30,1272.10,802.50,,3744.40,3631.60,3259.70,2864.40,2533.40,2195.20,1930.00,1648.50,1330.20,1010.60,617.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining Accumulated Growth Rate(%),-18.6,-18.5,-21.1,,-19.7,-18.3,-19.7,-19.9,-20.5,-21.0,-19.9,-16.2,-12.3,-5.8,-0.1,,48.6,51.4,60.4,76.0,88.1,105.3,119.8,130.9,145.9,147.8,132.0,,190.7,185.7,178.2,161.8,151.1,144.6,133.0,135.5,102.9,77.1,83.0,,-31.5,-32.8,-34.5,-37.2,-38.1,-41.6,-41.7,-43.6,-35.2,-27.5,-21.1,,1.7,1.0,2.4,3.1,2.1,4.2,4.2,4.7,-0.7,-3.4,-12.6,,40.1,45.1,47.1,50.0,53.2,53.4,47.9,41.6,39.0,36.1,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Washing of Coal Accumulated(100 million yuan),1998.90,1526.90,954.80,,7628.90,7118.10,6520.60,5783.00,5236.90,4660.70,4127.60,3658.00,2954.20,2250.70,1457.70,,10202.00,9594.50,8858.20,7845.50,7090.30,6300.00,5369.10,4489.40,3442.80,2357.00,1484.80,,7023.10,6473.60,5435.70,4094.00,3290.30,2584.40,2068.80,1614.40,1140.30,808.80,574.70,,2222.70,2022.20,1772.00,1544.00,1362.70,1152.00,984.70,782.80,614.40,421.10,192.00,,2830.30,2662.70,2418.50,2165.00,1918.30,1669.00,1391.10,1110.60,828.60,589.50,336.20,,2888.20,2774.90,2561.70,2327.50,2081.70,1807.70,1564.00,1278.80,1019.00,744.10,462.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),3038.10,2295.60,1509.80,,10206.30,9611.60,8885.60,7866.30,7107.40,6312.60,5380.70,4496.70,3460.50,2367.20,1492.10,,7071.80,6525.10,5469.50,4154.40,3343.70,2618.40,2088.70,1634.00,1150.30,815.50,581.60,,2246.00,2006.90,1752.50,1504.00,1341.30,1133.80,967.80,771.10,595.60,416.30,188.80,,2818.30,2678.90,2449.50,2209.10,1947.40,1715.50,1431.90,1137.70,841.20,600.80,352.70,,2900.60,2708.10,2471.00,2237.30,2005.40,1734.50,1497.10,1226.10,992.20,719.20,437.70,,2746.00,2541.30,2314.80,2033.50,1786.00,1532.10,1320.70,1113.60,882.20,629.90,386.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Washing of Coal Accumulated Growth Rate(%),-34.2,-33.5,-36.8,,-25.3,-25.9,-26.6,-26.5,-26.3,-26.2,-23.3,-18.7,-14.6,-4.9,-2.3,,44.3,47.0,62.0,88.8,112.0,140.6,157.1,174.7,199.3,189.0,155.3,,212.7,222.6,210.2,172.2,145.3,127.9,113.8,109.4,91.5,94.3,204.4,,-21.1,-24.5,-27.7,-30.1,-30.0,-32.8,-31.2,-31.2,-27.0,-29.9,-45.6,,-2.4,-1.7,-2.1,-3.2,-4.3,-3.8,-7.1,-9.4,-16.5,-18.0,-23.2,,5.2,9.2,10.7,14.5,16.6,18.0,18.4,14.8,15.5,18.1,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),1358.90,1028.20,652.20,,2984.70,3546.40,3249.30,2931.00,2592.70,2255.80,1903.60,1618.20,1295.20,985.10,636.70,,3545.00,3867.80,3563.20,3231.00,2900.10,2540.70,2165.60,1794.50,1376.60,1033.10,584.80,,1687.70,1824.10,1697.40,1519.80,1379.70,1168.30,962.50,767.50,581.60,411.20,227.20,,257.10,473.20,474.30,418.80,376.10,318.00,273.80,203.80,280.10,358.80,324.60,,1606.10,1695.00,1567.90,1461.10,1306.80,1150.90,999.00,841.40,626.30,436.00,255.30,,1627.50,1744.30,1560.10,1353.70,1218.60,1049.00,864.20,696.10,545.30,416.40,286.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
