,Passenger Traffic Current Period(10000 persons),Passenger Traffic of Railways Current Period(10000 persons),Passenger Traffic of Highways Current Period(10000 persons),Passenger Traffic of Waterways Current Period(10000 persons),Freight Traffic Current Period(10000 tons),Freight Traffic of Railways Current Period(10000 tons),Freight Traffic of Highways Current Period(10000 tons),Freight Traffic of Waterways Current Period(10000 tons),Manufacturing Purchasing Managers'' Index(%)
Apr 2024,143344.0,36015.0,99490.0,2244.0,482366.0,40759.0,359659.0,81880.0,50.4
Mar 2024,136031.0,32120.0,96397.0,1771.0,479003.0,43502.0,355260.0,80171.0,50.8
Feb 2024,135901.0,34657.0,93323.5,1930.5,383025.0,40293.5,272713.5,69953.0,49.1
Jan 2024,135901.0,34657.0,93323.5,1930.5,383025.0,40293.5,272713.5,69953.0,49.2
Dec 2023,73965.0,28986.0,38640.0,1280.0,472714.0,43558.0,343358.0,85723.0,49.0
Nov 2023,74495.0,27974.0,39967.0,1655.0,488139.0,42765.0,360756.0,84546.0,49.4
Oct 2023,85182.0,35169.0,41888.0,2520.0,482679.0,43656.0,355208.0,83748.0,49.5
Sep 2023,79730.0,32499.0,39980.0,1902.0,484533.0,41308.0,362392.0,80763.0,50.2
Aug 2023,94474.0,42860.0,41625.0,3593.0,479772.0,41067.0,357491.0,81151.0,49.7
Jul 2023,90993.0,40919.0,40798.0,3034.0,474193.0,41489.0,353681.0,78964.0,49.3
Jun 2023,79073.0,32682.0,39041.0,2039.0,467802.0,39790.0,347236.0,80711.0,49.0
May 2023,79323.0,32560.0,39141.0,2453.0,470779.0,41719.0,349773.0,79229.0,48.8
Apr 2023,78400.0,32900.0,38300.0,2200.0,465700.0,41000.0,346600.0,78000.0,49.2
Mar 2023,70595.0,28038.0,36127.0,1861.0,472330.0,44154.0,351208.0,76913.0,51.9
Feb 2023,65872.0,27297.0,32551.0,1704.0,389418.0,39218.0,285101.0,65054.0,52.6
Jan 2023,58327.0,23609.0,29187.0,1554.0,323763.0,40888.0,220906.0,61920.0,50.1
Dec 2022,36123.0,9913.0,23771.0,568.0,436496.0,42019.0,319549.0,74880.0,47.0
Nov 2022,33481.0,7374.0,24146.0,704.0,429645.0,41196.0,312400.0,76002.0,48.0
Oct 2022,42794.0,11896.0,28147.0,1159.0,432031.0,41533.0,315093.0,75356.0,49.2
Sep 2022,48413.0,14752.0,30700.0,950.0,450511.0,41243.0,337499.0,71717.0,50.1
Aug 2022,59623.0,21732.0,32890.0,1770.0,442878.0,40680.0,328980.0,73169.0,49.4
Jul 2022,61900.0,22615.0,34184.0,1701.0,442348.0,41005.0,327390.0,73899.0,49.0
Jun 2022,51605.0,16736.0,31637.0,1032.0,449581.0,40757.0,334151.0,74619.0,50.2
May 2022,37782.0,9225.0,26686.0,664.0,441383.0,42637.0,325787.0,72911.0,49.6
Apr 2022,32506.0,5691.0,25595.0,432.0,407047.0,41743.0,295860.0,69401.0,47.4
Mar 2022,42108.0,10145.0,29759.0,667.0,424751.0,42526.0,313855.0,68317.0,49.5
Feb 2022,56582.0,19052.0,33328.0,1073.0,302494.0,36706.0,208620.0,57124.0,50.2
Jan 2022,55534.0,17874.0,33801.0,908.0,402042.0,41276.0,292743.0,67958.0,50.1
Dec 2021,57633.0,16498.0,37587.0,839.0,460497.0,42422.0,342618.0,75392.0,50.3
Nov 2021,54039.0,14396.0,36521.0,969.0,466152.0,41886.0,347725.0,76480.0,50.1
Oct 2021,72751.0,24767.0,42429.0,1669.0,453520.0,40210.0,341984.0,71266.0,49.2
Sep 2021,67930.0,22711.0,40505.0,1102.0,457104.0,37807.0,349806.0,69431.0,49.6
Aug 2021,54904.0,15409.0,36243.0,1012.0,453428.0,39499.0,344244.0,69633.0,50.1
Jul 2021,83398.0,30847.0,45695.0,1944.0,444772.0,36518.0,339261.0,68934.0,50.4
Jun 2021,75138.0,24607.0,44895.0,1507.0,456678.0,37985.0,347912.0,70717.0,50.9
May 2021,84868.0,29415.0,48202.0,2146.0,458113.0,40206.0,347983.0,69858.0,51.0
Apr 2021,80639.0,28110.0,45605.0,1814.0,450224.0,38126.0,343643.0,68389.0,51.1
Mar 2021,74544.0,24376.0,44087.0,1299.0,432862.0,39336.0,328132.0,65329.0,51.9
Feb 2021,57293.0,14318.0,39397.0,1184.0,261863.0,37252.0,171436.0,53129.0,50.6
Jan 2021,67112.0,15715.0,47527.0,852.0,415421.0,40796.0,309144.0,65414.0,51.3
Dec 2020,86756.0,20743.0,60632.0,1149.0,449504.0,40697.0,337251.0,71487.0,51.9
Nov 2020,91786.0,21504.0,64378.0,1462.0,465249.0,39504.0,352365.0,73313.0,52.1
