,air_conditioners_1,air_conditioners_2,alternating_current_motors,aluminum_alloy,aluminum_oxide,aluminum_products,beer,bullet_trains,cars,caustic_soda,cement,cement_equipment,chemical_fertilizers_manufactured,chemical_fiber,chemical_medicine,chemical_pesticides,cloth,cold_rolled_steel_plate,color_television_sets,copper_products,corrugated_steel_bar,crude_iron_ore,crude_steel,electrical_instrument,electrolyzed_aluminum,electronic_computers,elevators_escalators_and_lifts,engines,equipment_for_feed_production,equipment_for_mobile_communication_base_stations,equipment_for_packaging,equipment_for_prevention_and_control_of_atmospheric_pollution,ethylene,excavators,feed,ferroalloy,fresh_and_frozen_meat,home_refrigerators,home_washing_machines,industrial_boilers,insulating_glass,integrated_circuits,laminated_glass,large_tractors,lead,liquior,lithium_ion_batteries,machine_made_paper_and_paperboards,medium_tractors,medium_wide_steel_belt,metal_containers,metal_cutting_tools,metal_forming_machine_tools,metal_smelting_equipment,micro_computer_equipment,milk_products,mobile_telephones,motor_vehicles,optic_cable,optoelectronic_devices,phosphate_ore,photovoltaic_cells,pig_iron,plain_glass,plastic_products,portable_electric_devices,power_generation_equipment,primary_plastic,railway_locomotives,refined_copper,refined_edible_vegetable_oil,refined_sugar,rolled_steel,salt,silk_and_woven_fabric,small_tractors,soda_ash,soft_drinks,steel_ships_for_civil_use,sulfuric_acid,suv,synthetic_detergents,synthetic_fiber,synthetic_rubber,ten_kinds_of_nonferrous_metals,tires,tobaccos,toughened_glass,traditional_chinese_medicine,trucks,welded_steel_pipe,wine,wire_rod,xerox_and_hectograph_printing_equipment,yarn,zinc
Apr 2024,241.0,3033.1,2869.5,140.1,686.3,584.0,276.4,25.0,86.1,351.9,17395.1,23651.1,508.3,660.9,30.2,31.3,28.6,397.9,1731.6,181.3,1634.3,8790.4,8594.3,2651.2,358.2,2815.3,13.0,19632.3,6740.0,71.8,63761.0,36440.0,248.9,23032.0,2497.4,264.2,304.8,933.6,944.3,17947.3,986.8,376.2,1142.7,12552.0,65.7,35.8,236909.5,1318.9,24112.0,1820.4,1950.9,6.0,1.5,63505.4,2603.8,225.4,12586.4,234.6,2068.8,1573.1,959.6,4620.4,7163.0,8143.0,646.0,1714.7,1373.6,1014.0,18.0,113.6,375.3,61.4,11652.4,448.2,2182.3,1.2,317.4,1602.2,342.2,835.4,89.5,91.0,609.8,70.0,649.5,8944.9,1979.7,4736.2,17.5,30.1,542.1,0.8,1075.3,19.4,187.1,58.6
Mar 2024,301.7,3083.3,3007.0,144.9,677.6,603.0,306.9,48.0,92.2,368.4,15440.0,33621.1,542.2,692.2,32.2,33.4,29.4,431.2,1792.2,200.0,1778.7,9814.6,8826.9,3029.9,358.5,3133.4,13.1,24415.7,9878.0,44.1,68746.0,38458.0,277.3,29746.0,2634.4,295.4,339.6,993.4,932.4,19786.4,1053.2,361.7,1297.0,15045.0,71.5,43.2,246299.0,1384.9,33240.0,1851.9,1667.8,6.0,1.4,153591.9,2986.7,239.0,14000.6,279.4,2241.5,1541.4,944.6,5511.4,7265.7,8652.4,678.6,1769.5,1668.8,1076.0,97.0,114.7,435.4,231.6,12336.6,403.1,2201.6,1.7,322.9,1786.5,330.1,890.0,114.6,104.8,638.2,73.6,667.2,9691.3,2021.6,5065.9,19.1,36.9,567.3,1.2,1136.0,21.3,198.9,65.1
Feb 2024,213.8,1881.8,2236.0,111.0,669.8,488.2,283.3,100.0,64.0,343.4,9140.2,27460.9,469.7,583.9,27.3,24.2,24.0,326.0,1266.6,143.6,1605.0,8793.0,8398.1,1731.5,354.8,2272.3,7.8,17136.2,3441.0,30.9,70622.5,29102.0,257.7,20319.0,2251.2,283.5,301.8,687.2,811.2,19476.6,893.8,352.1,1110.6,10371.5,58.8,41.2,184284.8,1120.8,24991.0,1696.6,1166.0,4.6,1.1,92969.8,2190.4,243.8,11703.1,191.8,1771.8,1246.4,636.4,3496.3,7036.7,8096.9,594.4,1311.6,1227.6,965.8,19.0,110.8,393.4,270.0,10671.4,335.4,1728.7,1.4,308.8,1343.6,296.5,844.4,80.4,78.6,534.6,71.0,638.4,7662.2,3190.2,4402.3,15.8,24.1,326.3,1.0,1057.2,18.0,168.2,62.0
Jan 2024,213.8,1881.8,2236.0,111.0,669.8,488.2,283.3,100.0,64.0,343.4,9140.2,27460.9,469.7,583.9,27.3,24.2,24.0,326.0,1266.6,143.6,1605.0,8793.0,8398.1,1731.5,354.8,2272.3,7.8,17136.2,3441.0,30.9,70622.5,29102.0,257.7,20319.0,2251.2,283.5,301.8,687.2,811.2,19476.6,893.8,352.1,1110.6,10371.5,58.8,41.2,184284.8,1120.8,24991.0,1696.6,1166.0,4.6,1.1,92969.8,2190.4,243.8,11703.1,191.8,1771.8,1246.4,636.4,3496.3,7036.7,8096.9,594.4,1311.6,1227.6,965.8,19.0,110.8,393.4,270.0,10671.4,335.4,1728.7,1.4,308.8,1343.6,296.5,844.4,80.4,78.6,534.6,71.0,638.4,7662.2,3190.2,4402.3,15.8,24.1,326.3,1.0,1057.2,18.0,168.2,62.0
Dec 2023,269.0,2152.9,3229.6,139.0,684.4,594.6,214.8,144.0,111.3,368.9,15792.9,35131.5,493.3,647.2,40.1,26.4,27.7,379.0,1688.7,195.0,1764.4,8603.3,6744.4,3124.2,358.7,3256.4,14.0,21260.9,2620.0,76.7,69965.0,34495.0,271.5,21867.0,2701.7,295.8,380.1,817.3,923.4,22557.8,1357.2,361.5,1454.6,8649.0,62.5,54.9,246001.9,1358.8,26419.0,1561.8,1420.6,5.9,1.5,69537.7,3088.9,254.7,16934.6,304.0,2658.7,1454.6,1022.3,5083.1,6087.1,8499.9,698.4,1578.7,3249.9,1079.7,240.0,116.9,497.3,270.8,10849.5,401.7,2239.1,1.3,300.4,1313.4,248.0,906.6,116.9,104.8,589.1,80.3,658.8,8687.0,813.0,5257.1,21.4,29.1,537.4,2.2,1083.3,19.9,201.9,66.1
Nov 2023,242.4,1595.7,3036.4,133.5,698.7,573.7,159.7,145.0,102.1,349.8,18978.6,30658.7,498.0,654.1,29.6,23.6,28.0,365.8,1582.6,201.2,1801.0,8556.8,7609.9,2449.4,354.4,3137.8,13.4,23454.5,1899.0,60.9,62003.0,48666.0,269.4,18744.0,2784.9,305.1,342.1,828.6,1025.3,18561.9,1366.8,334.6,1370.7,7447.0,65.3,46.9,225528.4,1317.9,21141.0,1581.9,1128.1,5.7,1.3,64634.4,2994.6,256.2,16101.2,295.3,2615.4,1337.0,996.5,5310.3,6483.9,8185.9,670.0,1468.0,3015.9,1037.1,137.0,114.0,439.7,95.6,11043.5,466.5,2474.8,1.2,291.8,1029.7,237.7,817.4,116.0,99.2,596.1,80.3,650.4,8641.7,1803.3,5124.6,19.1,32.4,565.7,1.5,1110.8,18.0,197.5,65.8
Oct 2023,205.2,1373.0,2812.9,126.0,705.3,550.1,184.7,1.0,96.4,353.2,19121.1,30310.4,506.6,645.3,26.6,24.0,26.6,359.0,1629.5,196.9,1825.1,8644.5,7909.2,2364.3,361.6,2963.3,11.6,22173.9,2740.0,49.8,78328.0,43911.0,282.2,17186.0,2801.7,313.5,335.2,827.2,1005.7,17318.1,1257.9,312.8,1185.5,7651.0,67.4,41.1,213396.5,1315.1,15915.0,1714.5,847.0,5.3,1.1,67382.3,2836.9,268.1,15002.1,277.9,2440.0,1316.0,866.4,5224.1,6918.7,8255.6,655.5,1284.4,2122.2,1050.1,140.0,113.1,409.4,63.9,11370.6,618.8,2279.9,1.2,309.5,1060.4,270.1,822.1,106.1,101.8,585.3,84.7,654.7,8485.7,1710.4,4992.9,17.6,32.3,552.9,1.1,1104.1,15.3,195.5,62.6
Sep 2023,218.3,1611.4,3196.1,126.1,707.2,555.0,286.6,209.0,101.1,345.5,18886.6,26359.4,487.4,631.4,24.7,22.3,27.3,367.5,1801.1,201.4,1862.4,8436.8,8210.8,2364.7,357.7,3396.7,13.6,22685.0,2238.0,38.8,72306.0,50042.0,263.9,14886.0,2836.2,300.8,325.3,885.1,1035.0,20510.4,1247.3,305.3,1323.8,10761.0,68.7,42.0,219333.7,1286.7,17756.0,1777.0,982.2,5.4,1.3,71391.9,3255.9,271.8,15941.4,283.3,2589.8,1256.7,1024.2,5139.6,7154.2,8106.6,681.8,1402.8,2756.8,1022.4,173.0,113.6,445.7,26.2,11781.5,485.2,2392.2,1.3,272.3,1614.9,266.2,807.7,107.4,104.1,573.6,84.6,641.6,8702.8,2386.3,4616.6,17.5,29.5,576.9,1.5,1231.4,16.6,193.6,56.9
Aug 2023,220.9,1643.4,3129.4,124.9,708.0,548.3,374.4,84.0,92.5,339.5,17924.7,33029.3,478.0,634.6,22.2,22.0,26.2,351.3,1706.7,186.6,1877.9,8633.3,8641.3,2602.4,360.2,3214.0,14.1,19247.6,2162.0,37.4,58465.0,44405.0,264.3,13354.0,2750.9,296.5,307.6,838.3,917.1,18881.4,1177.8,312.3,1251.6,8071.0,61.9,26.8,208011.4,1224.7,17022.0,1801.2,893.7,4.9,1.1,62804.5,3092.4,257.1,12764.9,251.3,2743.1,1324.2,855.1,4881.0,7462.3,8227.6,635.5,1411.1,1615.9,1008.1,61.0,111.7,446.6,20.9,11652.4,392.9,2267.1,1.4,249.3,1834.2,292.1,791.7,95.4,94.3,577.1,79.4,629.3,8529.9,2141.7,4485.6,14.4,24.3,548.3,1.0,1190.6,16.4,187.2,54.5
Jul 2023,215.5,2305.8,2905.6,121.8,693.3,528.4,402.4,56.0,82.5,329.3,17618.3,30493.9,457.4,631.5,24.4,18.9,25.7,346.2,1597.7,187.6,2015.1,8570.9,9079.7,2357.0,348.1,2755.7,13.2,18346.7,1913.0,44.9,55189.0,41623.0,240.8,13237.0,2662.1,285.3,323.5,849.5,727.4,17691.4,1208.8,291.5,1197.6,5244.0,60.4,28.7,204002.8,1181.1,13382.0,1741.7,727.8,4.7,1.1,70846.5,2641.9,245.0,12100.9,232.4,2670.9,1319.6,844.7,4449.5,7759.6,8220.7,651.0,1405.9,1128.3,974.5,25.0,103.4,396.2,20.5,11653.4,385.6,2351.7,1.3,251.3,1890.7,229.5,764.5,92.5,86.7,575.2,74.4,603.2,8478.9,2106.8,4482.1,15.4,21.9,521.1,1.0,1223.0,30.1,185.1,53.2
