,Output of Asphalt Current Period(10000 tons),Output of Coal Current Period(10000 tons),Output of Coalbed Gas Current Period(100 million cu.m),Output of Coke Current Period(10000 tons),Output of Crude oil Current Period(10000 tons),Output of Diesel Oil Current Period(10000 tons),Output of Electricity Current Period(100 million kwh),Output of Fuel Oil Current Period(10000 tons),Output of Gasoline Current Period(10000 tons),Output of Kerosene Current Period(10000 tons),Output of LNG Current Period(10000 tons),Output of LPG Current Period(10000 tons),Output of Naphtha Current Period(10000 tons),Output of Natural Gas Current Period(100 million cu.m),Output of Petroleum Coke Current Period(10000 tons),Output of Processing Volume of Crude oil Current Period(10000 tons),Output of Thermal Power Current Period(100 million kwh)
Apr 2024,273.8,37166.5,13.2,3849.0,1746.7,1727.0,6900.8,346.4,1332.3,469.2,190.2,408.2,652.8,198.4,269.6,5878.8,4578.7
Mar 2024,283.1,39933.3,12.8,3937.2,1837.1,1868.9,7476.9,402.0,1429.1,509.4,195.1,466.7,680.2,215.9,284.6,6377.6,5200.7
Feb 2024,257.9,35263.35,12.6,4019.75,1755.45,1665.7,7435.15,409.05,1374.8,473.95,166.4,456.35,669.2,208.35,282.75,5937.75,5400.95
Jan 2024,257.9,35263.35,12.6,4019.75,1755.45,1665.7,7435.15,409.05,1374.8,473.95,166.4,456.35,669.2,208.35,282.75,5937.75,5400.95
Dec 2023,289.3,41430.7,13.8,4128.1,1764.7,1840.0,8289.8,398.6,1296.2,395.6,174.4,442.5,734.7,208.6,314.2,6011.5,6109.1
Nov 2023,350.0,41400.0,12.7,4037.0,1720.1,1765.4,7309.7,434.0,1269.0,408.5,186.6,415.4,707.4,199.4,288.7,5953.5,5076.7
Oct 2023,335.7,38875.3,12.0,4153.7,1732.5,1943.8,7043.5,448.6,1408.4,455.0,190.7,445.5,702.1,190.2,292.3,6392.7,4654.1
Sep 2023,344.6,39297.9,11.6,4144.1,1687.2,1874.1,7456.1,487.1,1422.8,473.7,178.3,439.1,649.6,179.4,276.6,6362.1,4973.0
Aug 2023,353.3,38217.4,11.0,4157.9,1747.1,1835.3,8449.9,455.2,1468.6,510.1,173.2,442.9,638.2,181.0,274.9,6469.4,5890.5
Jul 2023,336.3,37754.2,10.8,4043.3,1731.3,1784.9,8461.7,440.6,1435.2,494.6,161.7,432.2,645.0,183.8,276.9,6313.3,5997.4
Jun 2023,324.0,39009.3,10.8,4068.9,1752.5,1792.3,7399.0,447.3,1326.3,399.2,159.6,419.2,698.1,182.7,270.1,6095.5,5228.5
May 2023,333.5,38545.6,10.9,4150.1,1807.4,1850.8,6885.8,437.8,1340.5,393.5,162.4,452.1,580.4,189.7,273.4,6200.2,4712.5
Apr 2023,324.3,38145.0,10.6,4129.0,1727.7,1834.5,6583.5,496.4,1315.4,353.3,163.1,442.6,537.2,189.4,266.0,6113.6,4494.4
Mar 2023,324.3,41722.5,10.5,4178.2,1818.3,1853.5,7172.9,514.8,1333.2,378.4,171.8,434.3,586.4,204.6,273.9,6329.1,5145.9
Feb 2023,253.55,36711.6,10.35,3881.7,1708.7,1695.95,6748.65,414.25,1238.35,347.25,132.35,401.9,520.75,199.0,268.95,5803.35,4878.3
Jan 2023,253.55,36711.6,10.35,3881.7,1708.7,1695.95,6748.65,414.25,1238.35,347.25,132.35,401.9,520.75,199.0,268.95,5803.35,4878.3
Dec 2022,301.2,40269.3,11.1,3900.4,1686.9,1935.4,7578.5,416.8,1151.4,267.6,140.5,369.0,533.9,203.6,280.4,5987.9,5549.5
Nov 2022,315.9,39130.6,10.2,3738.7,1678.3,1901.4,6666.7,390.2,1173.7,299.8,161.4,386.1,508.8,188.9,257.0,5961.2,4754.1
Oct 2022,322.1,37009.5,9.5,3883.4,1722.2,1882.9,6610.0,392.0,1236.2,243.5,162.5,412.0,507.0,184.8,261.9,5861.6,4453.1
Sep 2022,331.4,38671.8,9.8,3964.8,1680.9,1714.7,6830.0,457.5,1199.7,246.6,154.5,398.9,498.0,164.1,241.6,5680.7,4838.7
Aug 2022,339.9,37044.0,9.5,3910.6,1694.1,1403.7,8248.0,477.1,1203.7,286.5,138.3,386.7,431.6,169.8,247.7,5365.9,5989.3
Jul 2022,314.6,37266.3,9.5,3879.7,1712.6,1386.4,8059.2,469.9,1185.2,255.3,137.7,438.2,417.2,170.6,258.6,5321.0,5559.6
Jun 2022,305.8,37931.3,9.1,4145.8,1719.5,1438.8,7090.3,465.1,1166.2,211.7,140.2,410.6,435.3,173.0,248.9,5493.9,4552.6
May 2022,332.3,36783.3,9.5,4176.0,1756.7,1467.8,6410.2,409.1,1160.5,152.2,147.2,425.1,404.8,177.0,242.5,5391.7,4045.1
Apr 2022,324.4,36279.6,9.3,4001.0,1699.6,1426.6,6085.7,368.1,1105.5,175.0,156.0,383.1,403.5,177.0,230.0,5181.0,4007.7
