날짜,종가,시가,고가,저가,변동 %
2024-05-17,12793.29,12629.94,12793.29,12626.83,129.0
2024-05-16,12629.94,12532.82,12675.55,12526.58,77.0
2024-05-15,12532.82,12603.21,12635.08,12524.33,-56.00000000000001
2024-05-14,12603.21,12644.3,12672.37,12569.84,-32.0
2024-05-13,12644.3,12697.15,12697.15,12561.24,-42.0
2024-05-10,12697.15,12692.17,12757.33,12625.9,4.0
2024-05-09,12692.17,12654.47,12717.15,12642.22,30.0
2024-05-08,12654.47,12732.47,12732.47,12647.58,-61.0
2024-05-07,12732.47,12701.34,12755.16,12660.55,25.0
2024-05-06,12701.34,12513.37,12753.5,12513.37,150.0
2024-04-30,12513.37,12535.58,12638.92,12513.37,-18.0
2024-04-29,12535.58,12455.36,12660.99,12408.75,64.0
2024-04-26,12455.36,12301.5,12481.06,12299.05,125.0
2024-04-25,12301.5,12238.22,12316.99,12184.77,52.0
2024-04-24,12238.22,12195.94,12258.64,12163.29,35.0
2024-04-23,12195.94,12198.92,12246.37,12125.7,-2.0
2024-04-22,12198.92,12209.99,12320.93,12189.86,-9.0
2024-04-19,12209.99,12301.39,12301.39,12160.13,-74.0
2024-04-18,12301.39,12259.62,12416.01,12198.19,34.0
2024-04-17,12259.62,12163.52,12266.31,12078.18,79.0
2024-04-16,12163.52,12212.75,12240.46,12083.2,-40.0
2024-04-15,12212.75,11916.07,12224.0,11894.02,249.00000000000003
2024-04-12,11916.07,12019.64,12059.91,11893.53,-86.0
2024-04-11,12019.64,12039.34,12046.22,11934.15,-16.0
2024-04-10,12039.34,12090.67,12111.07,11994.67,-42.0
2024-04-09,12090.67,12137.03,12170.11,12061.15,-38.0
2024-04-08,12137.03,12232.62,12235.07,12102.29,-78.0
2024-04-03,12232.62,12270.25,12301.11,12191.5,-31.0
2024-04-02,12270.25,12295.59,12336.04,12232.32,-21.0
2024-04-01,12295.59,12136.6,12356.04,12136.6,131.0
2024-03-29,12136.6,12091.98,12171.39,12080.11,37.0
2024-03-28,12091.98,12108.52,12208.53,12006.55,-14.000000000000002
2024-03-27,12108.52,12201.36,12222.35,12108.52,-76.0
2024-03-26,12201.36,12083.87,12217.09,12083.87,97.0
2024-03-25,12083.87,12117.21,12164.2,12044.46,-28.000000000000004
2024-03-22,12117.21,12209.3,12209.3,12026.58,-75.0
2024-03-21,12209.3,12194.13,12275.22,12194.13,12.0
2024-03-20,12194.13,12147.1,12220.91,12114.76,39.0
2024-03-19,12147.1,12189.21,12234.0,12135.01,-35.0
2024-03-18,12189.21,12119.73,12219.62,12114.94,56.99999999999999
2024-03-15,12119.73,12108.75,12159.36,12042.87,9.0
2024-03-14,12108.75,12137.22,12229.75,12071.09,-23.0
2024-03-13,12137.22,12246.64,12246.64,12120.19,-89.0
2024-03-12,12246.64,12138.94,12279.07,12104.73,89.0
2024-03-11,12138.94,11926.77,12140.69,11912.24,178.0
2024-03-08,11926.77,11943.98,11984.03,11858.0,-14.000000000000002
2024-03-07,11943.98,11971.14,12039.61,11908.97,-23.0
2024-03-06,11971.14,12062.9,12069.81,11963.46,-76.0
2024-03-05,12062.9,11906.9,12084.14,11836.96,131.0
2024-03-04,11906.9,11922.67,11931.28,11862.79,-13.0
2024-03-01,11922.67,11907.53,11950.66,11827.24,13.0
2024-02-29,11907.53,11774.88,11907.53,11736.62,112.99999999999999
2024-02-28,11774.88,11862.35,11920.2,11774.88,-74.0
2024-02-27,11862.35,11803.36,11862.35,11752.49,50.0
2024-02-26,11803.36,12000.76,12000.76,11777.36,-164.0
2024-02-23,12000.76,11990.48,12063.13,11930.86,5.0
2024-02-22,11994.35,11930.44,12037.08,11864.6,54.0
2024-02-21,11930.44,11678.13,12061.98,11609.18,216.0
2024-02-20,11678.13,11674.7,11700.5,11591.39,3.0
2024-02-19,11674.7,11579.2,11690.3,11572.8,82.0
2024-02-08,11579.2,11573.58,11619.47,11475.97,5.0
2024-02-07,11573.58,11481.24,11577.57,11400.81,80.0
2024-02-06,11481.24,11158.95,11514.1,11110.84,289.0
2024-02-05,11158.95,10943.83,11239.46,10878.76,197.0
2024-02-02,10943.83,11040.45,11121.06,10763.8,-88.0
2024-02-01,11040.45,11051.42,11127.21,10979.11,-10.0
2024-01-31,11051.42,11060.31,11131.06,10988.97,-8.0
2024-01-30,11060.31,11255.68,11255.68,11060.24,-174.0
2024-01-29,11255.68,11295.73,11369.64,11255.68,-35.0
2024-01-26,11295.73,11305.05,11329.94,11203.52,-8.0
2024-01-25,11305.05,11110.15,11312.25,11098.92,175.0
2024-01-24,11110.15,10970.06,11126.43,10866.7,128.0
2024-01-23,10970.06,10993.37,11035.94,10874.73,-21.0
2024-01-22,10993.37,11055.93,11140.0,10889.03,-56.99999999999999
2024-01-19,11055.93,11017.67,11090.59,10931.46,35.0
2024-01-18,11017.67,10845.51,11037.38,10675.21,159.0
2024-01-17,10845.51,11105.09,11105.09,10845.51,-234.0
2024-01-16,11105.09,11036.23,11106.33,10985.62,62.0
2024-01-15,11036.23,11044.82,11118.55,10964.72,-8.0
2024-01-12,11044.82,11067.97,11110.02,11002.49,-21.0
