날짜,종가,시가,고가,저가,거래량,변동 %
2024-05-17,9709.42,9590.39,9709.42,9563.47,1527000000.0,110.00000000000001
2024-05-16,9604.13,9614.73,9668.85,9582.22,1421000000.0,21.0
2024-05-15,9583.54,9648.43,9659.04,9577.21,1267000000.0,-88.0
2024-05-14,9668.73,9689.55,9736.29,9633.8,1341000000.0,-5.0
2024-05-13,9673.32,9659.64,9720.48,9605.18,1379000000.0,-60.0
2024-05-10,9731.24,9788.83,9805.92,9670.89,1401000000.0,-57.99999999999999
2024-05-09,9788.07,9648.22,9805.12,9648.22,1446000000.0,155.0
2024-05-08,9638.82,9743.87,9743.87,9633.7,1391000000.0,-135.0
2024-05-07,9770.94,9778.16,9804.76,9743.19,1567000000.0,-8.0
2024-05-06,9779.21,9735.88,9804.2,9732.69,1901000000.0000002,200.0
2024-04-30,9587.12,9647.06,9662.56,9587.08,1817000000.0000002,-90.0
2024-04-29,9673.76,9479.6,9718.36,9479.6,2057000000.0,222.00000000000003
2024-04-26,9463.91,9258.49,9471.29,9258.49,1873000000.0,215.0
2024-04-25,9264.48,9204.79,9329.41,9198.32,1265000000.0,14.000000000000002
2024-04-24,9251.13,9186.19,9254.65,9135.58,1262000000.0,74.0
2024-04-23,9183.14,9231.9,9269.71,9147.95,1306000000.0,-61.0
2024-04-22,9239.14,9228.18,9327.59,9212.29,1366000000.0,-43.0
2024-04-19,9279.46,9316.98,9351.96,9220.64,1426000000.0,-104.0
2024-04-18,9376.81,9336.73,9477.13,9299.33,1594000000.0,-5.0
2024-04-17,9381.77,9180.51,9381.77,9180.51,1532000000.0,248.0
2024-04-16,9155.07,9312.49,9341.97,9148.82,1626000000.0000002,-229.0
2024-04-15,9369.7,9228.13,9407.07,9189.96,1594000000.0,153.0
2024-04-12,9228.23,9301.08,9343.18,9212.6,1275000000.0,-78.0
2024-04-11,9300.77,9234.92,9378.43,9233.27,1305000000.0,3.0
2024-04-10,9297.96,9425.8,9425.8,9243.8,1273000000.0,-160.0
2024-04-09,9448.98,9386.8,9449.65,9352.35,1257000000.0,57.99999999999999
2024-04-08,9394.61,9512.6,9525.95,9393.61,1536000000.0,-157.0
2024-04-03,9544.77,9564.65,9575.56,9508.65,1509000000.0,-44.0
2024-04-02,9586.95,9633.97,9633.97,9546.47,1550000000.0,-62.0
2024-04-01,9647.07,9451.73,9647.07,9451.73,1657000000.0,262.0
2024-03-29,9400.85,9335.11,9400.85,9304.76,1232000000.0,62.0
2024-03-28,9342.92,9221.53,9440.31,9221.53,1370000000.0,131.0
2024-03-27,9222.47,9437.56,9437.67,9222.47,1321000000.0,-240.0
2024-03-26,9449.43,9413.26,9490.75,9366.0,1365000000.0,28.000000000000004
2024-03-25,9422.61,9538.35,9601.84,9421.08,1502000000.0,-149.0
2024-03-22,9565.56,9659.88,9680.21,9505.99,1578000000.0,-121.0
2024-03-21,9682.51,9736.23,9758.33,9663.49,1560000000.0,-36.0
2024-03-20,9717.37,9669.7,9725.31,9654.53,1475000000.0,21.0
2024-03-19,9696.69,9723.4,9785.1,9696.69,1611000000.0,-57.99999999999999
2024-03-18,9752.83,9665.07,9752.83,9646.21,1763000000.0,146.0
2024-03-15,9612.75,9532.42,9616.5,9455.51,1496000000.0,60.0
2024-03-14,9555.42,9598.42,9675.47,9489.02,1526000000.0,-52.0
2024-03-13,9604.99,9640.09,9674.14,9568.88,1593000000.0,-27.0
2024-03-12,9630.54,9603.46,9649.74,9535.21,1736000000.0,51.0
2024-03-11,9581.53,9369.65,9581.66,9363.41,1601000000.0000002,227.0
2024-03-08,9369.05,9281.61,9386.75,9230.06,1321000000.0,110.00000000000001
2024-03-07,9267.12,9398.05,9454.54,9267.12,1528000000.0,-137.0
2024-03-06,9395.65,9366.71,9487.19,9309.84,1398000000.0,-22.0
2024-03-05,9416.8,9371.94,9448.73,9344.45,1650000000.0,-23.0
2024-03-04,9438.24,9456.37,9486.7,9359.84,1667000000.0000002,4.0
2024-03-01,9434.75,9345.74,9452.63,9298.16,1751000000.0000002,112.00000000000001
2024-02-29,9330.44,9001.28,9334.94,9001.28,1739999999.9999998,313.0
2024-02-28,9047.09,9293.15,9391.52,9047.09,2178000000.0,-240.0
2024-02-27,9269.57,9032.26,9269.57,9016.61,1567000000.0,224.00000000000003
2024-02-26,9066.09,9070.22,9154.6,9023.33,1505000000.0,-4.0
2024-02-23,9069.42,9074.61,9077.56,8971.34,1464000000.0,28.000000000000004
2024-02-22,9043.75,8971.44,9050.27,8946.24,1275000000.0,76.0
2024-02-21,8975.97,8829.7,9130.03,8798.37,1639999999.9999998,79.0
2024-02-20,8905.96,8857.5,8919.81,8798.43,1293000000.0,4.0
2024-02-19,8902.33,8957.28,8957.28,8797.46,1717000000.0000002,93.0
2024-02-08,8820.6,8750.54,8975.05,8742.95,1973999999.9999998,129.0
2024-02-07,8708.24,8464.87,8724.17,8445.71,2101000000.0000002,293.0
2024-02-06,8460.38,7886.32,8471.28,7880.4,1854000000.0,622.0
2024-02-05,7964.71,7987.34,8171.77,7683.63,1723000000.0,-112.99999999999999
2024-02-02,8055.77,8239.5,8300.75,7840.62,1448000000.0,-224.00000000000003
2024-02-01,8240.48,8172.81,8371.38,8134.81,1233000000.0,34.0
2024-01-31,8212.84,8340.72,8408.67,8208.45,1298000000.0,-195.0
2024-01-30,8375.98,8523.74,8579.59,8370.06,1064000000.0,-240.0
2024-01-29,8581.76,8775.38,8800.64,8581.76,1214000000.0,-206.0
2024-01-26,8762.33,8809.76,8859.63,8746.1,1270000000.0,-106.0
2024-01-25,8856.22,8661.45,8858.21,8621.18,1404000000.0,200.0
2024-01-24,8682.19,8633.17,8693.08,8404.07,1248000000.0,100.0
2024-01-23,8596.28,8465.0,8638.9,8402.06,1158000000.0,138.0
2024-01-22,8479.55,8769.39,8769.39,8430.61,1247000000.0,-350.0
2024-01-19,8787.02,8821.76,8890.12,8771.58,972000000.0000001,-68.0
2024-01-18,8847.0,8706.14,8858.4,8585.2,1339000000.0,100.0
2024-01-17,8759.76,8968.53,8968.53,8759.76,919000000.0,-258.0
2024-01-16,8992.07,8946.93,9002.34,8871.19,981000000.0,31.0
2024-01-15,8963.93,8957.72,9045.55,8912.45,819000000.0,-36.0
2024-01-12,8996.26,9026.74,9095.61,8995.41,902000000.0,-64.0
2024-01-11,9053.88,8918.23,9099.22,8898.2,996000000.0000001,147.0
2024-01-10,8922.79,8938.45,9035.19,8857.97,871000000.0000001,-55.00000000000001
2024-01-09,8971.72,8960.97,9042.45,8912.03,946000000.0000001,27.0
2024-01-08,8947.72,9095.71,9119.12,8947.72,998000000.0,-185.0
2024-01-05,9116.44,9205.39,9275.23,9074.93,996000000.0000001,-107.0
2024-01-04,9215.25,9317.4,9317.4,9171.13,893000000.0,-124.0
2024-01-03,9330.86,9378.69,9405.09,9280.82,1001000000.0,-75.0
2024-01-02,9401.35,9527.11,9527.11,9401.35,1067000000.0,-129.0
2023-12-29,9524.69,9434.58,9534.68,9427.92,1149000000.0,89.0
2023-12-28,9441.05,9182.85,9476.8,9166.58,1261000000.0,271.0
2023-12-27,9191.74,9170.25,9211.42,9121.17,881000000.0,38.0
