날짜,종가,시가,고가,저가,거래량,변동 %
2024-05-17,3154.03,3121.71,3154.03,3116.9,383920.0,101.0
2024-05-16,3122.4,3127.18,3137.88,3116.16,3674000000.0,8.0
2024-05-15,3119.92,3141.25,3142.52,3117.93,317120.0,-84.0
2024-05-14,3146.29,3148.85,3155.64,3137.66,340510.0,-6.0
2024-05-13,3148.17,3139.48,3157.37,3126.17,393140.0,-20.0
2024-05-10,3154.55,3158.59,3163.14,3137.15,3843000000.0,-3.0
2024-05-09,3155.43,3128.16,3158.29,3128.16,356140.0,86.0
2024-05-08,3128.48,3141.49,3144.99,3126.17,3340000000.0,-61.0
2024-05-07,3147.74,3139.66,3151.22,3133.69,3790999999.9999995,22.0
2024-05-06,3140.72,3132.51,3142.38,3126.77,4507000000.0,115.99999999999999
2024-04-30,3104.82,3110.16,3123.29,3104.29,4402000000.0,-26.0
2024-04-29,3113.04,3086.68,3119.69,3080.59,5069000000.0,79.0
2024-04-26,3088.64,3054.98,3092.43,3054.98,4394000000.0,117.0
2024-04-25,3052.9,3037.93,3060.26,3034.65,2923000000.0,27.0
2024-04-24,3044.82,3029.4,3045.64,3019.12,3053000000.0,76.0
2024-04-23,3021.98,3038.61,3044.94,3016.52,3256000000.0,-74.0
2024-04-22,3044.6,3059.06,3078.42,3042.54,3572000000.0,-67.0
2024-04-19,3065.26,3060.3,3080.32,3055.06,3754999999.9999995,-28.999999999999996
2024-04-18,3074.22,3060.03,3102.55,3057.76,4163000000.0000005,9.0
2024-04-17,3071.38,3008.06,3071.38,3002.06,4134000000.0000005,214.0
2024-04-16,3007.07,3043.55,3052.43,3005.34,4481000000.0,-165.0
2024-04-15,3057.38,3013.67,3066.94,2995.54,4612000000.0,126.0
2024-04-12,3019.47,3035.58,3043.56,3014.83,3342000000.0,-49.0
2024-04-11,3034.25,3013.57,3050.34,3009.9,3409000000.0000005,23.0
2024-04-10,3027.33,3045.96,3049.61,3013.59,3490000000.0,-70.0
2024-04-09,3048.54,3044.61,3051.59,3033.21,3335000000.0,5.0
2024-04-08,3047.05,3057.33,3077.35,3045.47,4029000000.0,-72.0
2024-04-03,3069.3,3074.89,3079.02,3057.4,3632000000.0,-18.0
2024-04-02,3074.96,3076.88,3085.54,3063.98,3672999999.9999995,-8.0
2024-04-01,3077.38,3049.02,3078.49,3049.02,3754000000.0,119.0
2024-03-29,3041.17,3008.38,3041.3,3008.17,3347999999.9999995,101.0
2024-03-28,3010.66,2988.59,3033.37,2984.12,3532000000.0,59.0
2024-03-27,2993.14,3026.81,3030.45,2993.14,3432000000.0,-126.0
2024-03-26,3031.48,3026.92,3036.49,3006.26,3459000000.0000005,17.0
2024-03-25,3026.31,3040.5,3065.26,3026.31,3875000000.0,-71.0
2024-03-22,3048.03,3070.55,3073.21,3027.76,3947000000.0,-95.0
2024-03-21,3077.11,3084.41,3090.05,3069.27,3669000000.0,-8.0
2024-03-20,3079.69,3058.65,3081.75,3056.65,3492000000.0,55.00000000000001
2024-03-19,3062.76,3077.98,3090.05,3062.63,3840999999.9999995,-72.0
2024-03-18,3084.93,3057.21,3085.31,3055.92,4067000000.0,99.0
2024-03-15,3054.64,3031.52,3056.45,3023.22,3603000000.0,54.0
2024-03-14,3038.23,3042.41,3060.0,3020.64,3640999999.9999995,-18.0
2024-03-13,3043.83,3053.34,3061.95,3031.9,3650000000.0,-40.0
2024-03-12,3055.94,3068.18,3075.13,3044.86,4157000000.0,-41.0
2024-03-11,3068.46,3042.62,3068.46,3035.45,3615999999.9999995,74.0
2024-03-08,3046.02,3026.17,3049.19,3016.9,3192000000.0,61.0
2024-03-07,3027.4,3040.21,3063.69,3023.12,3772000000.0,-41.0
2024-03-06,3039.93,3041.75,3060.56,3034.35,3410000000.0,-26.0
2024-03-05,3047.79,3027.1,3052.54,3022.18,3835000000.0,28.000000000000004
2024-03-04,3039.31,3026.61,3040.34,3007.68,3878000000.0,41.0
2024-03-01,3027.02,3013.82,3032.23,3003.76,3790999999.9999995,39.0
2024-02-29,3015.17,2943.62,3015.17,2943.62,4097000000.0,194.0
2024-02-28,2957.85,3016.26,3031.49,2957.85,5441000000.0,-191.0
2024-02-27,3015.48,2966.42,3015.48,2961.15,3729999999.9999995,129.0
2024-02-26,2977.02,3002.12,3009.48,2967.06,4090000000.0,-93.0
2024-02-23,3004.88,2992.91,3009.14,2979.97,3801000000.0,55.00000000000001
2024-02-22,2988.36,2945.45,2988.36,2944.5,3540999999.9999995,127.0
2024-02-21,2950.96,2906.02,2994.61,2898.05,4442000000.0,97.0
2024-02-20,2922.73,2902.88,2927.31,2887.47,3501000000.0,42.0
2024-02-19,2910.54,2886.59,2910.54,2867.71,4590000000.0,156.0
2024-02-08,2865.9,2832.49,2867.47,2827.9,5311000000.0,128.0
2024-02-07,2829.7,2791.51,2829.7,2770.53,5471000000.0,144.0
2024-02-06,2789.49,2680.48,2802.93,2669.67,5028000000.0,323.0
2024-02-05,2702.19,2716.08,2739.74,2635.09,4790000000.0,-102.0
2024-02-02,2730.15,2773.29,2791.68,2666.33,4261999999.9999995,-146.0
2024-02-01,2770.74,2773.42,2805.01,2752.78,3529000000.0,-64.0
2024-01-31,2788.55,2815.5,2834.01,2782.59,3771000000.0,-148.0
2024-01-30,2830.53,2866.28,2881.35,2829.25,3357000000.0,-183.0
2024-01-29,2883.36,2910.61,2923.9,2883.33,4106000000.0,-92.0
2024-01-26,2910.22,2897.91,2924.31,2890.48,4211000000.0,14.000000000000002
2024-01-25,2906.11,2823.83,2906.79,2821.71,4420000000.0,303.0
2024-01-24,2820.77,2782.14,2823.7,2743.4,3690999999.9999995,180.0
2024-01-23,2770.98,2746.89,2784.84,2724.16,3087000000.0,53.0
2024-01-22,2756.34,2826.5,2828.32,2735.37,3502000000.0000005,-268.0
2024-01-19,2832.28,2836.97,2849.88,2822.84,2667000000.0,-47.0
2024-01-18,2845.78,2822.67,2849.26,2760.98,3904000000.0,43.0
2024-01-17,2833.62,2887.29,2887.49,2833.62,2613000000.0,-209.0
2024-01-16,2893.99,2881.56,2896.68,2861.13,2863000000.0,27.0
2024-01-15,2886.29,2872.56,2904.46,2869.22,2446000000.0,15.0
2024-01-12,2881.98,2880.04,2904.17,2878.88,2616000000.0,-16.0
2024-01-11,2886.65,2873.8,2896.18,2867.72,2671000000.0,31.0
2024-01-10,2877.7,2886.98,2903.16,2870.42,2440000000.0,-54.0
2024-01-09,2893.25,2887.11,2900.73,2878.41,2630000000.0,20.0
2024-01-08,2887.54,2923.46,2924.46,2887.54,2703000000.0,-142.0
2024-01-05,2929.18,2949.82,2967.97,2916.72,3010000000.0,-85.0
2024-01-04,2954.35,2965.51,2966.68,2936.63,2650000000.0,-43.0
2024-01-03,2967.25,2957.11,2971.28,2953.29,2855000000.0,17.0
2024-01-02,2962.28,2972.77,2976.27,2962.28,3041000000.0,-43.0
2023-12-29,2974.93,2950.84,2975.03,2950.02,2907000000.0,68.0
2023-12-28,2954.7,2913.11,2961.65,2909.39,3392000000.0,138.0
2023-12-27,2914.61,2900.15,2917.96,2890.17,2479000000.0,54.0
2023-12-26,2898.88,2917.97,2917.97,2892.84,2281000000.0,-68.0
2023-12-25,2918.81,2909.88,2920.63,2903.99,2298000000.0,14.000000000000002
2023-12-22,2914.78,2919.29,2935.7,2906.51,2966000000.0,-13.0
2023-12-21,2918.71,2892.02,2924.26,2882.02,2825000000.0,56.99999999999999
2023-12-20,2902.11,2932.12,2937.1,2902.04,2656000000.0,-103.0
2023-12-19,2932.39,2928.76,2940.5,2914.13,2659000000.0,5.0
2023-12-18,2930.8,2936.58,2951.15,2924.33,2931000000.0,-40.0
2023-12-15,2942.56,2966.3,2976.31,2940.03,2893000000.0,-56.00000000000001
2023-12-14,2958.99,2979.7,2986.18,2958.07,2715000000.0,-33.0
2023-12-13,2968.76,2997.34,2997.34,2968.76,2828000000.0,-114.99999999999999
2023-12-12,3003.44,2986.33,3003.75,2980.45,2876000000.0,40.0
2023-12-11,2991.44,2956.29,2995.67,2930.42,3602000000.0000005,74.0
2023-12-08,2969.56,2965.39,2980.83,2962.33,3690999999.9999995,11.0
2023-12-07,2966.21,2965.65,2976.01,2949.14,2962000000.0,-9.0
2023-12-06,2968.93,2966.95,2985.31,2959.6,2941000000.0,-11.0
2023-12-05,2972.3,3017.01,3017.01,2972.3,2939000000.0,-167.0
2023-12-04,3022.91,3033.3,3038.98,3022.35,2882000000.0,-28.999999999999996
