날짜,cn_a50,cn_szse,cn_sha
2015-01-01,11860.36,11520.59,3350.52
2015-01-02,11860.36,11520.59,3350.52
2015-01-03,11860.36,11520.59,3350.52
2015-01-04,11860.36,11520.59,3350.52
2015-01-05,11860.36,11520.59,3350.52
2015-01-06,11769.39,11667.97,3351.45
2015-01-07,11760.97,11613.36,3373.95
2015-01-08,11391.75,11465.14,3293.46
2015-01-09,11431.36,11324.76,3285.41
2015-01-10,11431.36,11324.76,3285.41
2015-01-11,11431.36,11324.76,3285.41
2015-01-12,11308.53,11285.18,3229.32
2015-01-13,11242.34,11355.81,3235.3
2015-01-14,11255.96,11237.78,3222.44
2015-01-15,11696.5,11483.68,3336.45
2015-01-16,11756.48,11532.8,3376.49
2015-01-17,11756.48,11532.8,3376.49
2015-01-18,11756.48,11532.8,3376.49
2015-01-19,10665.01,10770.93,3116.35
2015-01-20,10656.59,10996.48,3173.05
2015-01-21,11254.32,11372.18,3323.61
2015-01-22,11237.48,11471.21,3343.34
2015-01-23,11334.26,11436.29,3351.76
2015-01-24,11334.26,11436.29,3351.76
2015-01-25,11334.26,11436.29,3351.76
2015-01-26,11289.83,11686.97,3383.18
2015-01-27,11110.88,11551.87,3352.96
2015-01-28,10955.17,11354.2,3305.74
2015-01-29,10775.6,11249.04,3262.3
2015-01-30,10622.76,11150.69,3210.36
2015-01-31,10622.76,11150.69,3210.36
2015-02-01,10622.76,11150.69,3210.36
2015-02-02,10289.89,10963.14,3128.3
2015-02-03,10607.59,11209.19,3204.91
2015-02-04,10473.16,11116.55,3174.13
2015-02-05,10369.92,11065.58,3136.53
2015-02-06,10257.36,10791.1,3075.91
2015-02-07,10257.36,10791.1,3075.91
2015-02-08,10257.36,10791.1,3075.91
2015-02-09,10429.87,10868.14,3095.12
2015-02-10,10593.0,11136.62,3141.59
2015-02-11,10629.44,11265.63,3157.7
2015-02-12,10639.19,11302.73,3173.42
2015-02-13,10684.78,11443.05,3203.83
2015-02-14,10684.78,11443.05,3203.83
2015-02-15,10684.78,11443.05,3203.83
2015-02-16,10680.78,11595.25,3222.36
2015-02-17,10768.42,11718.56,3246.91
2015-02-18,10768.42,11718.56,3246.91
2015-02-19,10768.42,11718.56,3246.91
2015-02-20,10768.42,11718.56,3246.91
2015-02-21,10768.42,11718.56,3246.91
2015-02-22,10768.42,11718.56,3246.91
2015-02-23,10768.42,11718.56,3246.91
2015-02-24,10768.42,11718.56,3246.91
2015-02-25,10609.69,11539.7,3228.84
2015-02-26,10901.77,11750.78,3298.36
2015-02-27,10875.82,11757.68,3310.3
2015-02-28,10875.82,11757.68,3310.3
2015-03-01,10875.82,11757.68,3310.3
2015-03-02,10883.07,11884.02,3336.28
2015-03-03,10510.57,11526.22,3263.05
2015-03-04,10504.63,11655.08,3279.53
2015-03-05,10324.83,11566.39,3248.48
2015-03-06,10321.95,11392.4,3241.19
2015-03-07,10321.95,11392.4,3241.19
2015-03-08,10321.95,11392.4,3241.19
2015-03-09,10608.2,11533.23,3302.41
2015-03-10,10434.44,11556.65,3286.07
2015-03-11,10491.74,11525.09,3290.9
2015-03-12,10838.27,11635.59,3349.32
2015-03-13,10876.81,11713.61,3372.91
2015-03-14,10876.81,11713.61,3372.91
2015-03-15,10876.81,11713.61,3372.91
2015-03-16,11115.44,12017.77,3449.3
2015-03-17,11261.53,12169.52,3502.85
2015-03-18,11527.66,12496.24,3577.3
2015-03-19,11458.94,12429.11,3582.27
2015-03-20,11646.16,12544.45,3617.32
2015-03-21,11646.16,12544.45,3617.32
2015-03-22,11646.16,12544.45,3617.32
2015-03-23,11838.85,12780.32,3687.73
2015-03-24,11731.52,12801.2,3691.41
2015-03-25,11536.61,12757.09,3660.73
2015-03-26,11672.46,12712.98,3682.1
2015-03-27,11679.44,12874.42,3691.1
2015-03-28,11679.44,12874.42,3691.1
2015-03-29,11679.44,12874.42,3691.1
2015-03-30,12112.35,13193.32,3786.57
2015-03-31,11980.06,13160.66,3747.9
2015-04-01,12160.67,13394.73,3810.29
2015-04-02,12063.92,13426.1,3825.78
2015-04-03,12184.44,13494.64,3863.93
2015-04-04,12184.44,13494.64,3863.93
2015-04-05,12184.44,13494.64,3863.93
2015-04-06,12184.44,13494.64,3863.93
2015-04-07,12491.81,13768.73,3961.38
2015-04-08,12766.88,13841.72,3994.81
2015-04-09,12666.19,13796.73,3957.53
2015-04-10,12901.09,14013.33,4034.31
2015-04-11,12901.09,14013.33,4034.31
2015-04-12,12901.09,14013.33,4034.31
2015-04-13,13182.21,14149.5,4121.71
2015-04-14,13220.83,14042.46,4135.57
2015-04-15,13286.45,13646.61,4084.16
2015-04-16,13810.55,13967.8,4194.82
2015-04-17,14074.23,14149.34,4287.3
2015-04-18,14074.23,14149.34,4287.3
2015-04-19,14074.23,14149.34,4287.3
2015-04-20,13756.79,13871.6,4217.08
2015-04-21,13920.1,14439.0,4293.62
2015-04-22,14268.84,14749.13,4398.49
2015-04-23,14128.69,14743.22,4414.51
2015-04-24,13888.64,14598.69,4393.69
2015-04-25,13888.64,14598.69,4393.69
