지점,지점명,일시,습도,16 방위 풍향,풍속,강수량,현지기압,해면기압,변화량 기압,이슬점 온도,기온,최고 기온,최저 기온
50527,HAILAR,2022-12-01 00:00,70.2,18,6,,941.8,1031.7,.9,-36.2,-32.6,-24.4,-34
50527,HAILAR,2022-12-01 03:00,65.8,24,10,,940.8,1029.1,1,-28.4,-23.8,-23.8,-34
50527,HAILAR,2022-12-01 06:00,63.2,24,8,,939.3,1027.6,1.5,-27.3,-22.2,-22.2,-34
50527,HAILAR,2022-12-01 09:00,68.8,20,6,,938.3,1027.1,1,-28.5,-24.4,-22.2,-34
50527,HAILAR,2022-12-01 12:00,67.1,21,6,,937.5,1025.5,.8,-25.2,-20.7,-20.7,-34
50527,HAILAR,2022-12-01 15:00,67.2,22,8,,935.8,1021.9,1.7,-24.8,-20.3,-20,-34
50527,HAILAR,2022-12-01 18:00,70.1,22,9,,934,1019.9,1.8,-25.4,-21.4,-19.7,-34
50527,HAILAR,2022-12-01 21:00,72.3,17,5,,932.6,1019,1.4,-26.6,-23,-19.7,-34
50527,HAILAR,2022-12-02 00:00,74.3,18,6,,932.1,1017.9,.5,-26.7,-23.4,-19.7,-32.5
50527,HAILAR,2022-12-02 03:00,72.1,18,7,,932.2,1017.5,.1,-24.9,-21.2,-19.7,-24.4
50527,HAILAR,2022-12-02 06:00,70.1,23,5,.2,931.8,1016.8,.4,-22.7,-18.6,-18.5,-24.4
50527,HAILAR,2022-12-02 09:00,67.8,26,9,.2,932.5,1018.2,.7,-24.7,-20.3,-18.5,-24.4
50527,HAILAR,2022-12-02 12:00,74,32,6,.2,935,1021.2,2.5,-24.8,-21.4,-18.5,-23.5
50527,HAILAR,2022-12-02 15:00,66,29,3,.2,936.8,1023.5,1.8,-29.9,-25.4,-18.5,-26
50527,HAILAR,2022-12-02 18:00,67,33,2,,938.1,1024.6,1.3,-30.7,-26.4,-18.5,-28.5
50527,HAILAR,2022-12-02 21:00,71,25,6,,938.1,1024.9,0,-29.9,-26.2,-18.5,-28.5
50527,HAILAR,2022-12-03 00:00,65.8,25,7,,939,1026,.9,-30.6,-26.1,-18.5,-28.5
50527,HAILAR,2022-12-03 03:00,66.3,27,7,,939.8,1027.3,.8,-28.8,-24.3,-18.5,-28.5
50527,HAILAR,2022-12-03 06:00,63.3,28,5,,940.2,1027.5,.4,-27.1,-22,-18.6,-28.5
50527,HAILAR,2022-12-03 09:00,67.8,25,6,,941.8,1029.4,1.6,-27.4,-23.1,-20.3,-28.5
50527,HAILAR,2022-12-03 12:00,68.8,26,8,,943,1030.9,1.2,-28.3,-24.2,-21.5,-28.5
50527,HAILAR,2022-12-03 15:00,70.1,26,8,,943.4,1031,.4,-27.9,-24,-22,-28.5
50527,HAILAR,2022-12-03 18:00,70.7,25,7,,943.9,1031.1,.5,-28,-24.2,-22,-27.6
50527,HAILAR,2022-12-03 21:00,71.3,22,4,,943.7,1031.3,.2,-28.6,-24.9,-22,-26.9
50527,HAILAR,2022-12-04 00:00,70.7,25,8,,944.2,1031.9,.5,-28,-24.2,-22,-26.2
50527,HAILAR,2022-12-04 03:00,65.8,25,7,,944.9,1032,.7,-25.8,-21.1,-21,-26.2
50527,HAILAR,2022-12-04 06:00,66.8,25,7,,944.8,1031.7,.1,-24.4,-19.8,-19.8,-26.2
50527,HAILAR,2022-12-04 09:00,72.2,22,5,,945,1032.2,.2,-24.2,-20.5,-19.8,-26.2
50527,HAILAR,2022-12-04 12:00,68.1,25,8,,944.9,1031.8,.1,-23.8,-19.4,-19.3,-26.2
50527,HAILAR,2022-12-04 15:00,69.8,26,9,,944.1,1030.4,.8,-23.8,-19.7,-19.3,-26.2
50527,HAILAR,2022-12-04 18:00,73.3,25,7,,943.6,1030,.5,-25.1,-21.6,-19.3,-26.2
50527,HAILAR,2022-12-04 21:00,73.8,25,6,,942.5,1029,1.1,-25.9,-22.5,-19.3,-26.2
50527,HAILAR,2022-12-05 00:00,73.2,23,7,,941.2,1027.3,1.3,-25.3,-21.8,-19.3,-24.1
50527,HAILAR,2022-12-05 03:00,69.9,24,11,,939.7,1025.3,1.5,-23.3,-19.2,-19.2,-22.6
50527,HAILAR,2022-12-05 06:00,69.2,24,10,,937.2,1022.5,2.5,-21.4,-17.1,-16.7,-22.6
50527,HAILAR,2022-12-05 09:00,71,23,9,,936,1021.4,1.2,-21.3,-17.3,-16.7,-22.6
50527,HAILAR,2022-12-05 12:00,71,24,12,,933.7,1018.8,2.3,-21.4,-17.4,-16.5,-22.6
50527,HAILAR,2022-12-05 15:00,66.8,25,11,,931.3,1015.7,2.4,-21.9,-17.2,-16.4,-22.6
50527,HAILAR,2022-12-05 18:00,70.2,25,10,,929.8,1013.8,1.5,-22.3,-18.2,-16.4,-22.6
50527,HAILAR,2022-12-05 21:00,71.8,25,11,,928.1,1011.8,1.7,-20.5,-16.6,-16.4,-22.5
50527,HAILAR,2022-12-06 00:00,71.9,25,11,,927.8,1011.3,.3,-19.8,-15.9,-15.9,-21.9
50527,HAILAR,2022-12-06 03:00,70,25,11,,926.9,1009.9,.9,-17.7,-13.4,-13.3,-19.1
50527,HAILAR,2022-12-06 06:00,71,26,10,,925.6,1008.3,1.3,-15.7,-11.5,-11.4,-18.4
50527,HAILAR,2022-12-06 09:00,73.8,24,6,,926.9,1009.6,1.3,-16.2,-12.5,-11,-18.4
50527,HAILAR,2022-12-06 12:00,73,27,8,,927.9,1010.8,1,-17.2,-13.4,-11,-18.4
50527,HAILAR,2022-12-06 15:00,74.9,29,3,,929,1011.5,1.1,-16.9,-13.4,-11,-18.4
50527,HAILAR,2022-12-06 18:00,77.8,25,3,,930.3,1013,1.3,-18.3,-15.3,-11,-18.3
50527,HAILAR,2022-12-06 21:00,75.8,26,6,,931.3,1014.2,1,-18.4,-15.1,-11,-16.7
