date, pm25, pm10, o3, no2, so2, co
2022/4/1, 64, 32, 42, 11, 1, 3
2022/4/2, 71, 27, 45, 10, 1, 3
2022/4/3, 66, , , , , 
2022/4/24, 36, 36, 47, 10, 2, 4
2022/4/25, 69, 41, 55, 12, 2, 5
2022/4/26, 81, 35, 37, 12, 2, 5
2022/4/27, 79, 14, 39, 5, 1, 3
2022/4/28, 31, 19, 39, 9, 1, 4
2022/4/29, 37, 21, 32, 5, 2, 3
2022/4/30, 37, 20, 46, 6, 2, 2
2022/5/1, 35, , , , , 
2022/1/3, 164, 90, 2, 15, 3, 13
2022/1/4, 181, 81, 5, 15, 2, 12
2022/1/5, 174, 64, 5, 14, 1, 11
2022/1/6, 150, 25, 9, 13, 1, 9
2022/1/7, 70, 41, 11, 12, 1, 10
2022/1/8, 96, 60, 5, 15, 1, 10
2022/1/9, 138, 57, 35, 16, 1, 9
2022/1/10, 132, 63, 28, 20, 1, 8
2022/1/11, 134, 67, 26, 20, 1, 8
2022/1/12, 146, 57, 22, 16, 2, 6
2022/1/13, 126, 52, 19, 12, 2, 6
2022/1/14, 128, 51, 23, 13, 2, 8
2022/1/15, 125, 61, 19, 15, 2, 8
2022/1/16, 144, 65, 24, 17, 2, 9
2022/1/17, 151, 66, 23, 18, 2, 8
2022/1/18, 151, 68, 24, 17, 2, 8
2022/1/19, 171, 93, 13, 20, 2, 8
2022/1/20, 250, 23, 11, 15, 2, 8
2022/1/21, 63, 30, 1, 12, 2, 8
2022/1/22, 80, , , , , 
2022/1/27, 61, 20, 25, 9, 2, 9
2022/1/28, 60, 37, 31, 10, 1, 9
2022/1/29, 93, 43, 24, 13, 2, 9
2022/1/30, 111, 54, 26, 11, 2, 9
2022/1/31, 131, 69, 25, 8, 2, 8
2022/2/1, 155, 37, 31, 5, 1, 5
2022/2/2, 97, 41, 26, 7, 1, 6
2022/2/3, 102, 45, 25, 7, 1, 6
2022/2/4, 114, 39, 24, 7, 2, 6
2022/2/5, 103, 20, 25, 5, 2, 5
2022/2/6, 63, 20, 24, 7, 2, 6
2022/2/7, 62, 27, 25, 8, 2, 6
2022/2/8, 77, 32, 27, 10, 1, 6
2022/2/9, 86, 36, 18, 13, 2, 7
2022/2/10, 91, 42, 23, 12, 2, 7
2022/2/11, 100, 44, 25, 13, 1, 7
2022/2/12, 108, 48, 25, 15, 2, 7
2022/2/13, 117, 51, 28, 14, 2, 7
2022/2/14, 127, 54, 30, 16, 2, 7
2022/2/15, 124, 56, 20, 15, 2, 7
2022/2/16, 133, 16, 20, 7, 1, 5
2022/2/17, 52, 17, 28, 7, 1, 6
2022/2/18, 55, 25, 31, 9, 1, 5
2022/2/19, 68, 35, 28, 12, 1, 6
2022/2/20, 90, 19, 20, 9, 1, 6
2022/2/21, 61, 26, 27, 11, 1, 5
2022/2/22, 64, 31, 27, 11, 1, 4
2022/2/23, 72, 31, 31, 14, 1, 4
2022/2/24, 77, 43, 34, 15, 2, 5
2022/2/25, 107, 48, 37, 17, 2, 6
2022/2/26, 107, 59, 33, 23, 2, 7
2022/2/27, 127, 71, 6, 23, 2, 9
2022/2/28, 155, 57, 38, 17, 2, 5
2022/3/1, 114, 58, 33, 22, 1, 5
2022/3/2, 104, 60, 23, 21, 1, 6
2022/3/3, 114, 53, 37, 19, 1, 6
2022/3/4, 99, 66, 24, 20, 2, 7
2022/3/5, 127, 35, 34, 13, 1, 5
2022/3/6, 76, 35, 45, 17, 1, 5
2022/3/7, 76, 47, 47, 19, 2, 6
2022/3/8, 95, 62, 41, 22, 2, 8
2022/3/9, 115, 66, 52, 21, 2, 7
2022/3/10, 123, 70, 49, 21, 2, 8
2022/3/11, 144, 63, 54, 21, 2, 8
2022/3/12, 131, 59, 55, 21, 2, 8
2022/3/13, 129, 60, 32, 16, 2, 7
2022/3/14, 142, , , , , 
2022/3/23, 43, 27, 31, 12, 2, 5
2022/3/24, 63, 51, 32, 15, 1, 6
2022/3/25, 85, 57, 35, 13, 2, 4
2022/3/26, 86, 55, 43, 11, 2, 4
2022/3/27, 89, 43, 38, 15, 2, 5
2022/3/28, 74, 51, 36, 17, 2, 5
2022/3/29, 89, 56, 25, 17, 2, 5
2022/3/30, 104, 20, 37, 9, 1, 2
2022/3/31, 46, 26, 36, 11, 1, 3
2021/10/1, 69, 36, 32, 10, 1, 6
2021/10/2, 84, 44, 35, 12, 1, 7
2021/10/3, 97, 32, 15, 11, 1, 6
2021/10/4, 70, 12, 14, 7, 1, 4
2021/10/5, 38, 8, 14, 7, 1, 4
2021/10/6, 20, 5, 13, 8, 1, 5
2021/10/7, 14, 1, 12, 4, 1, 5
2021/10/8, 10, , , , , 
2021/10/12, 25, 35, 18, 13, 3, 6
2021/10/13, 83, 47, 16, 18, 3, 7
2021/10/14, 100, 33, 24, 13, 3, 5
2021/10/15, 62, 31, 24, 9, 3, 5
2021/10/16, 68, 15, 20, 5, , 5
2021/10/17, 55, , , , , 
2021/10/28, 73, 33, 22, 10, 1, 5
2021/10/29, 73, 40, 22, 10, 1, 6
2021/10/30, 89, 34, 22, 8, 2, 5
2021/10/31, 75, 21, 24, 7, 2, 4
