date, pm25, pm10, o3, no2, so2, co
2024/5/1, 84, 26, , 7, 1, 3
2024/5/2, 61, 21, , 5, , 3
2024/5/3, 44, 44, , 12, 2, 4
2024/5/4, 80, 52, , 13, 4, 4
2024/5/5, 100, 65, , 13, 4, 6
2024/5/6, 128, 71, , 22, 5, 7
2024/5/7, 141, 66, , 19, 2, 6
2024/5/8, 119, 54, , 10, 2, 4
2024/5/9, 103, 58, , 11, 1, 6
2024/5/10, 132, 67, , 15, 2, 5
2024/5/11, 118, 63, , 14, 2, 4
2024/5/12, 82, 59, , 12, 2, 4
2024/5/13, 92, 61, , 12, 4, 4
2024/5/14, 110, 55, , 11, 4, 4
2024/5/15, 120, , , , , 
2024/4/1, 103, 50, , 11, 1, 4
2024/4/2, 85, 74, , 13, 2, 4
2024/4/3, 126, 59, , 11, 1, 3
2024/4/4, 95, 32, , 6, , 3
2024/4/5, 66, 36, , 9, 2, 3
2024/4/6, 66, 36, , 13, , 3
2024/4/7, 69, 44, , 14, 1, 3
2024/4/8, 91, 47, , 13, 1, 4
2024/4/9, 91, 27, , 9, 2, 3
2024/4/10, 59, 29, , 11, 1, 4
2024/4/11, 61, 50, , 17, 2, 5
2024/4/12, 105, 55, , 17, 2, 5
2024/4/13, 108, 65, , 18, 4, 6
2024/4/14, 134, 65, , 16, 5, 6
2024/4/15, 124, 52, , 6, 2, 4
2024/4/16, 87, 46, , 8, 1, 4
2024/4/17, 79, 36, , 13, 1, 5
2024/4/18, 74, 29, , 10, 1, 4
2024/4/19, 61, 57, , 13, 5, 4
2024/4/20, 100, 92, , 10, 2, 3
2024/4/21, 125, 51, , 5, 1, 3
2024/4/22, 87, 41, , 16, 1, 3
2024/4/23, 65, 37, , 10, 1, 3
2024/4/24, 67, 35, , 8, 1, 3
2024/4/25, 70, 54, , 13, 2, 5
2024/4/26, 109, 61, , 15, 5, 5
2024/4/27, 126, 65, , 11, 3, 6
2024/4/28, 142, 38, , 6, 2, 4
2024/4/29, 79, 25, , 7, 1, 1
2024/4/30, 45, 35, , 6, 1, 3
2024/1/1, 223, 82, , 20, , 9
2024/1/2, 175, 72, , 17, 1, 8
2024/1/3, 163, 58, , 14, , 7
2024/1/4, 154, 87, , 27, 1, 10
2024/1/5, 177, 75, , 28, 1, 10
2024/1/6, 165, 85, , 29, 1, 9
2024/1/7, 171, 82, , 16, , 8
2024/1/8, 178, 90, , 26, 1, 9
2024/1/9, 181, 89, , 23, 2, 9
2024/1/10, 178, 87, , 19, 1, 9
2024/1/11, 180, 98, , 25, 1, 10
2024/1/12, 191, 109, , 25, , 9
2024/1/13, 210, 98, , 26, 1, 9
2024/1/14, 191, 71, , 18, 1, 7
2024/1/15, 157, 38, , 10, , 6
2024/1/16, 87, 46, , 14, , 6
2024/1/17, 103, 54, , 16, , 7
2024/1/18, 127, 40, , 11, , 6
2024/1/19, 92, 41, , 12, 1, 5
2024/1/20, 85, 33, , 5, 1, 4
2024/1/21, 74, 35, , 5, 1, 2
2024/1/22, 69, 33, , 6, , 3
2024/1/23, 86, 24, , 6, , 3
2024/1/24, 71, 40, , 13, , 5
2024/1/25, 96, 48, , 13, 1, 5
2024/1/26, 116, 52, , 15, 1, 6
2024/1/27, 126, 60, , 19, 1, 7
2024/1/28, 141, 72, , 19, 1, 9
2024/1/29, 164, 74, , 21, , 9
2024/1/30, 166, 88, , 24, 2, 9
2024/1/31, 175, 69, , 16, 1, 7
2024/2/1, 150, 43, , 9, , 6
2024/2/2, 114, 26, , 10, , 7
2024/2/3, 68, 27, , 8, , 6
2024/2/4, 74, 32, , 7, , 5
2024/2/5, 87, 49, , 11, 1, 6
2024/2/6, 124, 42, , 9, , 6
2024/2/7, 109, 67, , 16, 1, 8
2024/2/8, 163, 67, , 14, 1, 7
2024/2/9, 159, 99, , 14, 2, 8
2024/2/10, 233, 84, , 14, 3, 8
2024/2/11, 186, 74, , 17, 3, 8
2024/2/12, 170, 70, , 17, 2, 7
2024/2/13, 165, 69, , 14, 3, 5
2024/2/14, 144, 46, , 8, 2, 3
2024/2/15, 86, 33, , 7, , 2
2024/2/16, 74, 52, , 12, 1, 3
2024/2/17, 128, 54, , 14, 1, 4
2024/2/18, 136, 190, , 7, , 2
2024/2/19, 169, 289, , 7, 1, 3
2024/2/20, 186, 44, , 4, , 3
2024/2/21, 59, 49, , 4, 1, 3
2024/2/22, 85, 23, , 4, , 3
2024/2/23, 62, 45, , 8, , 4
2024/2/24, 103, 60, , 14, , 6
2024/2/25, 133, 59, , 12, 1, 5
2024/2/26, 136, 58, , 13, , 5
2024/2/27, 142, 54, , 12, , 6
2024/2/28, 141, 46, , 12, 1, 6
2024/2/29, 115, 49, , 11, , 6
2024/3/1, 133, 58, , 16, 1, 6
2024/3/2, 150, 65, , 18, 2, 7
2024/3/3, 157, 65, , 20, 1, 8
2024/3/4, 155, 73, , 23, 2, 8
2024/3/5, 152, 64, , 20, 1, 5
2024/3/6, 117, 72, , 21, 1, 5
2024/3/7, 131, 74, , 19, 3, 6
2024/3/8, 148, 63, , 13, , 6
2024/3/9, 148, 57, , 16, 1, 6
2024/3/10, 146, 58, , 18, 1, 7
2024/3/11, 148, 57, , 20, 3, 6
2024/3/12, 133, 26, , 9, , 3
2024/3/13, 62, 52, , 16, 2, 5
2024/3/14, 127, 51, , 12, 1, 5
2024/3/15, 137, 73, , 15, 4, 5
2024/3/16, 148, 71, , 6, 1, 2
2024/3/17, 108, 47, , 10, 1, 3
2024/3/18, 89, 57, , 12, 1, 3
2024/3/19, 100, 67, , 17, 1, 5
2024/3/20, 125, 70, , 20, 1, 5
2024/3/21, 143, 77, , 23, 3, 6
2024/3/22, 145, 73, , 24, 3, 7
2024/3/23, 143, 37, , 7, 1, 4
2024/3/24, 75, 27, , 11, , 3
2024/3/25, 66, 32, , 12, 2, 3
2024/3/26, 69, 34, , 16, 2, 5
2024/3/27, 81, 48, , 18, 1, 5
2024/3/28, 104, 59, , 21, 4, 6
2024/3/29, 117, 41, , 15, 2, 4
2024/3/30, 86, 43, , 16, 2, 4
2024/3/31, 84, 47, , 12, 2, 4
2023/10/1, 103, 47, 25, 10, 1, 5
2023/10/2, 73, 47, 31, 9, 1, 6
2023/10/3, 85, 48, 21, 11, 2, 5
2023/10/4, 80, 33, 25, 6, 1, 4
2023/10/5, 57, 26, 27, 8, 1, 3
2023/10/6, 42, 36, 38, 10, , 5
2023/10/7, 62, 51, 14, 13, 1, 5
2023/10/8, 84, 56, 14, 17, 1, 5
2023/10/9, 81, 38, 37, 7, , 3
2023/10/10, 70, 37, 28, 7, 1, 4
2023/10/11, 67, 24, 25, 5, 1, 3
2023/10/12, 43, 44, 36, 15, 2, 5
2023/10/13, 73, 54, 45, 14, 1, 5
2023/10/14, 93, 64, 44, 15, , 6
2023/10/15, 121, 71, 28, 19, 2, 6
2023/10/16, 131, 50, 30, 11, 1, 5
2023/10/17, 92, 33, 26, 6, , 3
2023/10/18, 59, 34, 25, 10, , 3
2023/10/19, 52, 49, 25, 15, 1, 4
2023/10/20, 73, 65, 47, 13, 5, 5
2023/10/21, 133, 70, 52, 16, 2, 5
2023/10/22, 141, 83, 41, 18, 3, 6
2023/10/23, 154, 105, 46, 23, 6, 8
2023/10/24, 172, 97, 20, 22, 1, 8
2023/10/25, 154, 76, 11, 21, 1, 7
2023/10/26, 141, 39, 35, 12, , 4
2023/10/27, 65, 50, 28, 11, , 4
2023/10/28, 91, 59, 24, 15, , 5
2023/10/29, 110, 72, 21, 16, , 6
2023/10/30, 141, 73, 32, 15, 12, 6
2023/10/31, 149, 85, 34, 19, 1, 8
2023/11/1, 159, 88, 30, 17, 2, 7
2023/11/2, 159, 67, 29, 19, 1, 6
2023/11/3, 114, 58, 32, 11, 1, 4
2023/11/4, 106, 59, 41, 12, 1, 4
2023/11/5, 96, 57, 40, 10, 1, 3
2023/11/6, 73, 62, 41, 13, 1, 4
2023/11/7, 109, 67, 23, 15, 1, 6
2023/11/8, 117, 83, 48, 23, 1, 8
2023/11/9, 155, , , , , 
2023/11/13, 60, 33, , 8, , 5
2023/11/14, 71, 51, , 12, , 4
2023/11/15, 82, 75, , 19, 1, 4
2023/11/16, 104, 84, , 22, 1, 5
2023/11/17, 140, 91, , 24, 2, 6
2023/11/18, 160, 95, , 21, 1, 7
2023/11/19, 168, 95, , 24, 1, 7
2023/11/20, 172, 102, , 23, 2, 7
2023/11/21, 178, 85, , 22, 1, 7
2023/11/22, 166, 85, , 22, 2, 8
2023/11/23, 166, 94, , 23, , 7
2023/11/24, 168, 76, , 17, 1, 7
2023/11/25, 137, 61, , 18, 1, 5
2023/11/26, 99, 70, , 20, 1, 5
2023/11/27, 125, 86, , 22, 1, 7
2023/11/28, 164, 76, , 21, 2, 5
2023/11/29, 141, 49, , 7, , 3
2023/11/30, 79, 37, , 6, , 3
2023/12/1, 71, 52, , 10, , 4
2023/12/2, 106, 66, , 16, 1, 6
2023/12/3, 149, 75, , 15, 1, 7
2023/12/4, 162, 62, , 14, , 6
2023/12/5, 146, 86, , 21, 1, 8
2023/12/6, 155, 90, , 17, , 7
2023/12/7, 166, 113, , 23, 7, 9
2023/12/8, 199, 128, , 25, 1, 10
2023/12/9, 223, 137, , 29, 6, 10
2023/12/10, 246, 103, , 19, 1, 9
2023/12/11, 190, 81, , 17, 1, 8
2023/12/12, 157, 70, , 18, , 8
2023/12/13, 141, 64, , 14, 1, 7
2023/12/14, 126, 72, , 5, 1, 3
2023/12/15, 66, 71, , 8, , 3
2023/12/16, 64, 73, , 10, , 3
2023/12/17, 96, 74, , 14, 1, 5
2023/12/18, 132, 71, , 14, 1, 5
2023/12/19, 144, 57, , 14, , 4
2023/12/20, 134, 67, , 16, , 6
2023/12/21, 155, 78, , 20, , 8
2023/12/22, 167, 80, , 18, , 7
2023/12/23, 170, 71, , 20, 1, 9
2023/12/24, 159, 73, , 21, , 7
2023/12/25, 161, 93, , 27, 1, 10
2023/12/26, 183, 102, , 29, , 10
2023/12/27, 196, 108, , 32, 2, 11
2023/12/28, 200, 101, , 31, 1, 11
2023/12/29, 196, 96, , 17, , 9
2023/12/30, 202, 83, , 14, 1, 10
2023/12/31, 190, 106, , 24, , 11
2023/7/1, 93, 55, 73, 12, 2, 6
2023/7/2, 145, 28, 33, 6, 1, 4
2023/7/3, 80, 34, 90, 12, , 4
2023/7/4, 62, 43, 95, 10, 2, 4
2023/7/5, 84, 52, 91, 10, 8, 5
2023/7/6, 115, 49, 47, 10, 1, 6
2023/7/7, 93, 58, 108, 13, 2, 6
2023/7/8, 126, 53, 93, 10, 1, 6
2023/7/9, 115, 55, 95, 11, 1, 6
2023/7/10, 123, 37, 39, 8, 3, 6
2023/7/11, 98, 19, 37, 6, 1, 4
2023/7/12, 61, 16, 33, 3, , 3
2023/7/13, 45, 35, 73, 9, , 3
2023/7/14, 56, 61, 133, 15, 2, 5
2023/7/15, 95, 60, 137, 12, 2, 6
2023/7/16, 127, 50, 89, 9, 1, 5
2023/7/17, 91, 38, 76, 9, , 5
2023/7/18, 75, 51, 89, 12, 2, 6
2023/7/19, 100, 31, 68, 7, 1, 5
2023/7/20, 71, 23, 94, 4, , 4
2023/7/21, 60, 41, 84, 8, 1, 5
2023/7/22, 94, 38, 77, 5, , 4
2023/7/23, 89, 35, 54, 5, 1, 5
2023/7/24, 75, 36, 63, 8, 1, 5
2023/7/25, 83, 21, 35, 4, 1, 3
2023/7/26, 54, 15, 27, 2, 1, 3
2023/7/27, 35, 17, 44, 4, 1, 3
2023/7/28, 36, 25, 78, 4, , 4
2023/7/29, 54, 35, 75, 6, 5, 4
2023/7/30, 85, 24, 46, 4, , 4
2023/7/31, 66, 29, 53, 5, , 4
2023/8/1, 65, 25, 37, 6, , 4
2023/8/2, 60, 24, 33, 4, , 4
2023/8/3, 55, 26, 40, 5, , 4
2023/8/4, 59, 31, 49, 5, , 4
2023/8/5, 67, 22, 42, 3, , 3
2023/8/6, 50, 23, 43, 5, , 4
2023/8/7, 50, 32, 47, 7, 6, 4
2023/8/8, 67, 33, 50, 6, 4, 4
2023/8/9, 75, 25, 54, 3, , 3
2023/8/10, 56, 28, 43, 4, 1, 4
2023/8/11, 62, 25, 65, 6, , 4
2023/8/12, 52, 39, 99, 9, 1, 4
2023/8/13, 67, 52, 75, 12, 1, 5
2023/8/14, 90, 54, 53, 13, 3, 6
2023/8/15, 97, 52, 58, 11, 5, 6
2023/8/16, 95, 51, 44, 10, 3, 5
2023/8/17, 86, 63, 34, 12, 4, 6
2023/8/18, 92, 57, 30, 12, , 5
2023/8/19, 88, 42, 32, 7, , 4
2023/8/20, 67, 53, 88, 13, , 6
2023/8/21, 87, 64, 90, 13, 5, 7
2023/8/22, 115, 45, 39, 9, 2, 5
2023/8/23, 76, 53, 30, 15, 1, 5
2023/8/24, 83, 39, 30, 8, , 5
2023/8/25, 60, 25, 35, 5, , 3
2023/8/26, 34, 38, 88, 11, , 5
2023/8/27, 60, 47, 54, 12, 1, 6
2023/8/28, 75, 48, 31, 14, 1, 6
2023/8/29, 81, 44, 83, 14, 1, 6
2023/8/30, 75, 55, 85, 16, 1, 6
2023/8/31, 93, 50, 48, 12, 2, 6
