date, pm25, pm10, o3, no2, so2, co
2024/5/1, 80, 41, , 7, 2, 3
2024/5/2, 105, 27, , 7, 2, 3
2024/5/3, 70, 20, , 5, 2, 3
2024/5/4, 59, 29, , 10, 3, 3
2024/5/5, 69, 60, , 14, 4, 6
2024/5/6, 140, 62, , 11, 3, 5
2024/5/7, 138, 51, , 11, 2, 4
2024/5/8, 119, 46, , 8, 2, 4
2024/5/9, 104, 49, , 10, 2, 4
2024/5/10, 123, 39, , 10, 2, 2
2024/5/11, 84, 40, , 8, 2, 1
2024/5/12, 67, 42, , 10, 4, 2
2024/5/13, 72, 54, , 16, 9, 2
2024/5/14, 101, 54, , 11, 6, 2
2024/5/15, 92, , , , , 
2024/4/1, 122, 48, , 7, 6, 4
2024/4/2, 113, 45, , 8, 6, 3
2024/4/3, 92, 41, , 5, 4, 3
2024/4/4, 81, 30, , 6, 5, 3
2024/4/5, 69, 34, , 7, 5, 5
2024/4/6, 84, 21, , 6, 4, 3
2024/4/7, 52, 26, , 7, 5, 4
2024/4/8, 65, 55, , 13, 4, 5
2024/4/9, 108, 27, , 8, 3, 4
2024/4/10, 64, 40, , 9, 7, 4
2024/4/11, 82, 55, , 12, 5, 5
2024/4/12, 131, 58, , 17, 6, 6
2024/4/13, 133, 63, , 13, 4, 5
2024/4/14, 141, 68, , 13, 6, 6
2024/4/15, 152, 36, , 7, 4, 4
2024/4/16, 75, 33, , 9, 4, 3
2024/4/17, 78, 49, , 9, 5, 3
2024/4/18, 114, 27, , 5, 2, 3
2024/4/19, 58, 52, , 12, 3, 4
2024/4/20, 104, 53, , 4, 3, 2
2024/4/21, 88, 57, , 9, 5, 3
2024/4/22, 111, 54, , 8, 3, 3
2024/4/23, 113, 40, , 7, 2, 3
2024/4/24, 101, 34, , 7, 3, 3
2024/4/25, 80, 37, , 8, 5, 3
2024/4/26, 83, 41, , 8, 2, 3
2024/4/27, 93, 48, , 10, 5, 4
2024/4/28, 115, 22, , 5, 3, 2
2024/4/29, 56, 15, , 5, 2, 1
2024/4/30, 32, 33, , 8, 2, 2
2024/1/1, 187, 81, , 13, 2, 9
2024/1/2, 172, 68, , 13, 4, 9
2024/1/3, 159, 76, , 15, 2, 9
2024/1/4, 166, 86, , 15, 3, 10
2024/1/5, 175, 74, , 15, 4, 9
2024/1/6, 171, 106, , 18, 4, 10
2024/1/7, 199, 104, , 15, 4, 9
2024/1/8, 197, 79, , 15, 3, 8
2024/1/9, 172, 102, , 16, 8, 9
2024/1/10, 191, 108, , 14, 4, 9
2024/1/11, 197, 136, , 22, 5, 11
2024/1/12, 236, 127, , 22, 6, 12
2024/1/13, 240, 91, , 16, 3, 8
2024/1/14, 185, 108, , 20, 2, 8
2024/1/15, 197, 85, , 15, 3, 8
2024/1/16, 178, 57, , 13, 2, 8
2024/1/17, 142, 63, , 14, 5, 8
2024/1/18, 148, 67, , 17, 3, 8
2024/1/19, 158, 63, , 14, 3, 7
2024/1/20, 151, 33, , 10, 2, 7
2024/1/21, 93, 15, , 10, 1, 4
2024/1/22, 59, 32, , 11, 1, 5
2024/1/23, 85, 42, , 11, 2, 3
2024/1/24, 101, 58, , 14, 2, 5
2024/1/25, 143, 63, , 14, 2, 5
2024/1/26, 156, 64, , 15, 2, 6
2024/1/27, 160, 69, , 14, 2, 6
2024/1/28, 158, 79, , 18, 3, 7
2024/1/29, 171, 90, , 15, 3, 7
2024/1/30, 179, 88, , 13, 2, 7
2024/1/31, 177, 95, , 15, 5, 7
2024/2/1, 182, 88, , 15, 3, 8
2024/2/2, 175, 59, , 11, 1, 8
2024/2/3, 148, 34, , 8, 2, 7
2024/2/4, 98, 33, , 9, 2, 7
2024/2/5, 92, 47, , 10, 1, 7
2024/2/6, 121, 57, , 9, 1, 6
2024/2/7, 148, 59, , 8, 2, 7
2024/2/8, 151, 72, , 10, 2, 8
2024/2/9, 169, 111, , 8, 5, 8
2024/2/10, 199, 82, , 12, 4, 8
2024/2/11, 173, 88, , 14, 3, 8
2024/2/12, 175, 88, , 14, 2, 7
2024/2/13, 177, 96, , 15, 3, 10
2024/2/14, 183, 44, , 5, 2, 4
2024/2/15, 87, 53, , 7, 2, 5
2024/2/16, 118, 65, , 14, 3, 6
2024/2/17, 152, 77, , 16, 4, 8
2024/2/18, 167, 85, , 14, 5, 7
2024/2/19, 164, 232, , 13, 3, 5
2024/2/20, 188, 97, , 9, 2, 4
2024/2/21, 128, 17, , 7, 1, 3
2024/2/22, 45, 21, , 7, 1, 3
2024/2/23, 56, 21, , 8, 2, 3
2024/2/24, 55, 40, , 9, 2, 4
2024/2/25, 97, 51, , 12, 2, 5
