date, pm25, pm10, o3, no2, so2, co
2024/5/1, 61, 21, , 6, 5, 3
2024/5/2, 57, 15, , 7, 4, 4
2024/5/3, 44, 38, , 11, 5, 5
2024/5/4, 78, 81, , 13, 6, 7
2024/5/5, 154, 81, , 16, 7, 8
2024/5/6, 167, 76, , 21, 6, 6
2024/5/7, 157, 73, , 15, 6, 6
2024/5/8, 158, 68, , 11, 5, 5
2024/5/9, 137, 60, , 11, 4, 5
2024/5/10, 137, 61, , 22, 5, 5
2024/5/11, 94, 70, , 16, 4, 5
2024/5/12, 115, 67, , 12, 4, 5
2024/5/13, 119, 68, , 15, 4, 5
2024/5/14, 122, 59, , 17, 4, 5
2024/5/15, 118, , , , , 
2024/4/1, 104, 70, , 17, 5, 5
2024/4/2, 117, 84, , 16, 4, 3
2024/4/3, 143, 74, , 12, 4, 3
2024/4/4, 120, 40, , 8, 3, 3
2024/4/5, 83, 40, , 14, 3, 3
2024/4/6, 76, 40, , 12, 3, 4
2024/4/7, 86, 60, , 19, 4, 5
2024/4/8, 128, 48, , 15, 4, 4
2024/4/9, 102, 27, , 10, 4, 4
2024/4/10, 58, 32, , 12, 4, 4
2024/4/11, 91, 59, , 20, 4, 5
2024/4/12, 115, 62, , 22, 4, 6
2024/4/13, 125, 64, , 23, 4, 6
2024/4/14, 130, 72, , 28, 4, 6
2024/4/15, 132, 61, , 9, 4, 4
2024/4/16, 109, 50, , 12, 4, 5
2024/4/17, 101, 51, , 14, 6, 5
2024/4/18, 105, 25, , 12, 4, 5
2024/4/19, 58, 73, , 18, 4, 4
2024/4/20, 111, 87, , 12, 4, 4
2024/4/21, 127, 61, , 7, 4, 3
2024/4/22, 113, 45, , 15, 4, 4
2024/4/23, 71, 50, , 13, 5, 4
2024/4/24, 98, 50, , 14, 4, 5
2024/4/25, 87, 60, , 15, 5, 6
2024/4/26, 127, 68, , 19, 5, 6
2024/4/27, 126, 70, , 19, 5, 7
2024/4/28, 146, 42, , 7, 5, 4
2024/4/29, 83, 25, , 9, 5, 3
2024/4/30, 44, 25, , 8, 6, 4
2024/1/1, 209, 87, , 19, 3, 10
2024/1/2, 165, 74, , 18, 4, 9
2024/1/3, 157, 72, , 26, 3, 9
2024/1/4, 159, 92, , 25, 3, 11
2024/1/5, 170, 92, , 23, 3, 11
2024/1/6, 167, 91, , 25, 4, 10
2024/1/7, 165, 78, , 18, 2, 10
2024/1/8, 166, 102, , 27, 4, 11
2024/1/9, 177, 100, , 23, 3, 9
2024/1/10, 168, 92, , 22, 3, 10
2024/1/11, 171, 112, , 25, 3, 10
2024/1/12, 183, 132, , 28, 3, 11
2024/1/13, 212, 106, , 22, 3, 9
2024/1/14, 171, 80, , 20, 3, 9
2024/1/15, 153, 36, , 10, 3, 7
2024/1/16, 86, 47, , 17, 3, 6
2024/1/17, 101, 63, , 18, 3, 8
2024/1/18, 128, 40, , 14, 3, 6
2024/1/19, 85, 43, , 15, 2, 6
2024/1/20, 86, 39, , 7, 2, 5
2024/1/21, 89, 41, , 6, 3, 4
2024/1/22, 74, 40, , 7, 3, 4
2024/1/23, 88, 33, , 10, 3, 2
2024/1/24, 77, 44, , 16, 3, 4
2024/1/25, 97, 51, , 16, 3, 4
2024/1/26, 116, 52, , 19, 4, 4
2024/1/27, 122, 63, , 21, 4, 5
2024/1/28, 150, 79, , 22, 3, 7
2024/1/29, 164, 81, , 25, 2, 7
2024/1/30, 167, 83, , 26, 4, 8
2024/1/31, 169, 70, , 20, 4, 7
2024/2/1, 147, 44, , 13, 3, 6
2024/2/2, 110, 25, , 12, 3, 7
2024/2/3, 72, 31, , 11, 3, 7
2024/2/4, 80, 34, , 11, 3, 6
2024/2/5, 91, 48, , 14, 3, 8
2024/2/6, 123, 45, , 11, 2, 6
2024/2/7, 116, 56, , 12, 2, 6
2024/2/8, 144, 85, , 14, 3, 8
2024/2/9, 177, 126, , 17, 3, 11
2024/2/10, 248, 87, , 16, 3, 9
2024/2/11, 179, 71, , 16, 3, 8
2024/2/12, 161, 66, , 17, 3, 7
2024/2/13, 159, 69, , 14, 2, 6
2024/2/14, 138, 49, , 10, 3, 4
2024/2/15, 91, 43, , 9, 3, 5
2024/2/16, 94, 53, , 17, 4, 5
2024/2/17, 133, 57, , 17, 3, 8
2024/2/18, 125, 253, , 6, 2, 4
2024/2/19, 181, 355, , 6, 2, 4
2024/2/20, 206, 49, , 5, 2, 3
2024/2/21, 70, 53, , 4, 2, 4
2024/2/22, 96, 27, , 6, 3, 4
2024/2/23, 77, 47, , 11, 3, 5
2024/2/24, 111, 60, , 12, 3, 5
2024/2/25, 141, 66, , 14, 2, 5
2024/2/26, 142, 60, , 12, 3, 5
2024/2/27, 143, 56, , 13, 3, 5
2024/2/28, 136, 47, , 13, 4, 6
2024/2/29, 112, 57, , 15, 4, 6
2024/3/1, 151, 58, , 18, 3, 7
2024/3/2, 134, 71, , 19, 4, 7
2024/3/3, 156, 67, , 19, 5, 8
2024/3/4, 151, 76, , 22, 4, 8
2024/3/5, 144, 71, , 23, 3, 6
2024/3/6, 113, 76, , 24, 4, 6
2024/3/7, 128, 77, , 21, 5, 7
2024/3/8, 154, 56, , 15, 4, 6
2024/3/9, 133, 54, , 18, 4, 7
2024/3/10, 121, 66, , 21, 5, 8
2024/3/11, 149, 70, , 28, 4, 8
2024/3/12, 141, 29, , 13, 3, 5
2024/3/13, 67, 56, , 17, 4, 6
2024/3/14, 126, 57, , 15, 4, 7
2024/3/15, 134, 103, , 19, 4, 7
2024/3/16, 156, 92, , 7, 3, 4
2024/3/17, 118, 49, , 12, 3, 5
2024/3/18, 91, 67, , 12, 4, 4
2024/3/19, 103, 75, , 18, 4, 6
2024/3/20, 130, 80, , 25, 4, 7
2024/3/21, 139, 87, , 28, 4, 8
2024/3/22, 145, 79, , 26, 4, 7
2024/3/23, 141, 40, , 9, 3, 5
2024/3/24, 79, 32, , 16, 4, 5
2024/3/25, 72, 45, , 19, 4, 6
2024/3/26, 79, 42, , 17, 4, 6
2024/3/27, 80, 55, , 19, 4, 7
2024/3/28, 109, 64, , 25, 5, 7
2024/3/29, 116, 50, , 25, 3, 6
2024/3/30, 101, 54, , 21, 5, 6
2024/3/31, 93, 46, , 16, 4, 5
2023/10/1, 86, 31, 24, 10, 3, 6
2023/10/2, 72, 34, 31, 9, 4, 7
2023/10/3, 84, 27, 22, 10, 3, 6
2023/10/4, 70, 20, 26, 6, 2, 5
2023/10/5, 54, 15, 27, 10, 2, 5
2023/10/6, 36, 29, 37, 13, 3, 6
2023/10/7, 72, 37, 15, 16, 3, 6
2023/10/8, 89, 36, 18, 14, 3, 6
2023/10/9, 75, 30, 42, 9, 3, 5
2023/10/10, 70, 27, 29, 10, 2, 4
2023/10/11, 71, 17, 28, 9, 2, 5
2023/10/12, 56, 29, 32, 16, 5, 6
2023/10/13, 73, 45, 43, 17, 4, 7
2023/10/14, 95, 53, 42, 17, 3, 6
2023/10/15, 116, 59, 27, 18, 3, 7
2023/10/16, 138, 50, 30, 17, 3, 7
2023/10/17, 116, 24, 32, 9, 3, 5
2023/10/18, 66, 22, 27, 13, 3, 4
2023/10/19, 47, 44, 24, 15, 3, 5
2023/10/20, 86, 57, 46, 16, 4, 5
2023/10/21, 115, 68, 50, 21, 4, 6
2023/10/22, 144, 72, 40, 22, 4, 6
2023/10/23, 152, 73, 41, 22, 3, 7
2023/10/24, 156, 86, 8, 23, 5, 9
2023/10/25, 167, 71, 16, 18, 9, 8
2023/10/26, 161, 37, 34, 13, 5, 4
2023/10/27, 92, 38, 32, 11, 4, 4
2023/10/28, 87, 57, 24, 17, 3, 6
2023/10/29, 132, 70, 17, 17, 3, 7
2023/10/30, 158, 60, 34, 20, 3, 7
2023/10/31, 139, 75, 32, 20, 3, 8
2023/11/1, 159, 76, 31, 20, 4, 9
2023/11/2, 162, 61, 31, 17, 4, 6
2023/11/3, 120, 46, 34, 13, 4, 5
2023/11/4, 94, 50, 41, 12, 5, 5
2023/11/5, 89, 48, 38, 14, 3, 6
2023/11/6, 67, 56, 38, 16, 3, 6
2023/11/7, 103, 58, 20, 21, 3, 8
2023/11/8, 115, 66, 40, 17, 4, 9
2023/11/9, 119, , , , , 
2023/11/13, 61, 20, , 13, 2, 4
2023/11/14, 54, 39, , 13, 4, 4
2023/11/15, 75, 58, , 17, 3, 4
2023/11/16, 82, 67, , 20, 4, 5
2023/11/17, 117, 78, , 22, 4, 6
2023/11/18, 150, 94, , 23, 4, 7
2023/11/19, 165, 97, , 24, 3, 7
2023/11/20, 170, 101, , 25, 4, 9
2023/11/21, 175, 89, , 22, 4, 8
2023/11/22, 162, 75, , 22, 4, 8
2023/11/23, 153, 84, , 23, 4, 7
2023/11/24, 159, 68, , 16, 3, 7
2023/11/25, 128, 59, , 17, 4, 6
2023/11/26, 96, 66, , 23, 4, 8
2023/11/27, 118, 75, , 21, 5, 6
2023/11/28, 139, 75, , 24, 4, 7
2023/11/29, 135, 54, , 15, 4, 5
