date, pm25, pm10, o3, no2, so2, co
2024/5/1, 79, 30, , 7, 4, 4
2024/5/2, 82, 32, , 8, 2, 2
2024/5/3, 86, 34, , 7, 3, 3
2024/5/4, 78, 58, , 13, 4, 4
2024/5/5, 131, 87, , 21, 7, 7
2024/5/6, 165, 93, , 18, 8, 8
2024/5/7, 179, 82, , 13, 6, 6
2024/5/8, 169, 61, , 11, 4, 5
2024/5/9, 143, 47, , 9, 2, 4
2024/5/10, 108, 67, , 16, 4, 5
2024/5/11, 121, 68, , 8, 6, 4
2024/5/12, 112, 62, , 12, 3, 3
2024/5/13, 102, 71, , 15, 2, 4
2024/5/14, 132, 56, , 16, 3, 4
2024/5/15, 117, , , , , 
2024/4/1, 81, 21, , 2, 1, 3
2024/4/2, 56, 32, , 3, 1, 3
2024/4/3, 66, 35, , 3, 2, 3
2024/4/4, 70, 18, , 3, 3, 4
2024/4/5, 38, 21, , 3, 1, 2
2024/4/6, 50, 29, , 7, 3, 3
2024/4/7, 67, 46, , 11, 6, 4
2024/4/8, 95, 39, , 11, 7, 4
2024/4/9, 89, 34, , 7, 2, 3
2024/4/10, 76, 42, , 11, 3, 3
2024/4/11, 90, 42, , 14, 5, 4
2024/4/12, 85, 52, , 14, 4, 4
2024/4/13, 98, 52, , 13, 3, 4
2024/4/14, 103, 65, , 17, 5, 5
2024/4/15, 130, 36, , 7, 4, 2
2024/4/16, 78, 42, , 9, 5, 2
2024/4/17, 88, 48, , 10, 8, 3
2024/4/18, 100, 56, , 7, 2, 1
2024/4/19, 88, 74, , 11, 7, 2
2024/4/20, 120, 66, , 9, 4, 2
2024/4/21, 120, 41, , 8, 5, 1
2024/4/22, 81, 47, , 8, 5, 1
2024/4/23, 85, 44, , 8, 5, 1
2024/4/24, 91, 51, , 11, 5, 2
2024/4/25, 102, 57, , 13, 6, 3
2024/4/26, 122, 54, , 14, 3, 3
2024/4/27, 119, 38, , 6, 2, 3
2024/4/28, 86, 36, , 7, 3, 3
2024/4/29, 84, 24, , 5, 2, 1
2024/4/30, 50, 36, , 8, 3, 3
2024/1/1, 176, 63, , 12, 4, 8
2024/1/2, 149, 65, , 13, 2, 8
2024/1/3, 152, 72, , 19, 3, 8
2024/1/4, 159, 89, , 17, 8, 9
2024/1/5, 173, 84, , 16, 9, 8
2024/1/6, 175, 91, , 17, 3, 9
2024/1/7, 178, 87, , 14, 3, 8
2024/1/8, 170, 74, , 17, 3, 9
2024/1/9, 170, 79, , 15, 2, 9
2024/1/10, 163, 86, , 18, 3, 9
2024/1/11, 173, 81, , 20, 7, 9
2024/1/12, 164, 91, , 20, 2, 8
2024/1/13, 178, 92, , 23, 4, 8
2024/1/14, 181, 89, , 13, 2, 9
2024/1/15, 203, 35, , 8, 4, 6
2024/1/16, 91, 43, , 10, 2, 6
2024/1/17, 99, 55, , 11, 3, 8
2024/1/18, 123, 38, , 10, 2, 6
2024/1/19, 91, 42, , 11, 2, 6
2024/1/20, 86, 31, , 8, 1, 6
2024/1/21, 78, 35, , 7, 1, 3
2024/1/22, 75, 45, , 9, 2, 3
2024/1/23, 111, 39, , 9, 2, 3
2024/1/24, 98, 40, , 10, 3, 4
2024/1/25, 104, 49, , 12, 3, 5
2024/1/26, 124, 55, , 15, 3, 6
2024/1/27, 133, 69, , 17, 3, 7
2024/1/28, 149, 69, , 18, 2, 5
2024/1/29, 157, 82, , 16, 2, 7
2024/1/30, 170, 84, , 18, 4, 8
2024/1/31, 171, 82, , 18, 4, 7
2024/2/1, 169, 63, , 9, 2, 6
2024/2/2, 145, 51, , 8, 2, 6
2024/2/3, 86, 38, , 7, 2, 4
2024/2/4, 82, 45, , 8, 2, 5
2024/2/5, 101, 51, , 9, 2, 6
2024/2/6, 129, 48, , 8, 2, 5
2024/2/7, 115, 52, , 10, 2, 6
2024/2/8, 130, 68, , 13, 1, 8
2024/2/9, 158, 130, , 15, 3, 8
2024/2/10, 261, 78, , 15, 2, 7
2024/2/11, 169, 77, , 20, 3, 9
2024/2/12, 165, 82, , 20, 3, 10
2024/2/13, 168, 74, , 15, 3, 7
2024/2/14, 145, 39, , 10, 2, 3
2024/2/15, 76, 41, , 13, 2, 5
2024/2/16, 96, 47, , 15, 2, 4
2024/2/17, 111, 56, , 17, 2, 5
2024/2/18, 121, 356, , 7, 3, 3
2024/2/19, 201, 338, , 7, 5, 4
2024/2/20, 218, 27, , 4, 2, 3
2024/2/21, 56, 23, , 5, 1, 3
2024/2/22, 57, 34, , 6, 1, 3
2024/2/23, 74, 45, , 6, 1, 4
2024/2/24, 95, 46, , 10, 3, 4
2024/2/25, 109, 55, , 13, 2, 5
2024/2/26, 122, 61, , 13, 2, 6
2024/2/27, 146, 66, , 14, 3, 5
2024/2/28, 152, 61, , 12, 3, 5
2024/2/29, 140, 57, , 11, 2, 5
2024/3/1, 130, 56, , 14, 2, 6
2024/3/2, 125, 56, , 13, 2, 6
2024/3/3, 134, 57, , 6, 2, 6
2024/3/4, 141, 62, , 9, 4, 7
2024/3/5, 145, 48, , 6, 1, 5
2024/3/6, 112, 48, , 6, 2, 5
2024/3/7, 108, 66, , 12, 5, 7
2024/3/8, 154, 54, , 10, 2, 6
2024/3/9, 125, 65, , 18, 3, 6
2024/3/10, 141, 73, , 20, 13, 8
2024/3/11, 150, 67, , 22, 4, 5
2024/3/12, 138, 48, , 10, 4, 4
2024/3/13, 109, 59, , 19, 5, 6
2024/3/14, 129, 61, , 18, 7, 6
2024/3/15, 136, 57, , 12, 3, 4
2024/3/16, 116, 72, , 8, 2, 3
2024/3/17, 121, 23, , 6, 3, 3
2024/3/18, 59, 47, , 13, 15, 4
2024/3/19, 85, 68, , 21, 14, 5
2024/3/20, 132, 71, , 20, 6, 5
2024/3/21, 122, 74, , 22, 7, 5
2024/3/22, 132, 78, , 20, 5, 7
2024/3/23, 149, 55, , 7, 2, 4
2024/3/24, 91, 34, , 10, 5, 3
2024/3/25, 64, 48, , 14, 8, 4
2024/3/26, 90, 49, , 15, 6, 4
2024/3/27, 87, 57, , 12, 9, 4
2024/3/28, 112, 64, , 23, 7, 5
2024/3/29, 114, 51, , 20, 5, 4
2024/3/30, 105, 50, , 14, 13, 3
2024/3/31, 97, 35, , 6, 1, 3
2023/10/1, 76, 25, 16, 5, 1, 3
2023/10/2, 63, 25, 22, 6, 3, 3
