date, pm25, pm10, o3, no2, so2, co
2024/5/1, 82, 38, , 14, 3, 3
2024/5/2, 72, 39, , 9, 3, 3
2024/5/3, 75, 40, , 11, 3, 5
2024/5/4, 89, 32, , 11, 2, 5
2024/5/5, 91, 42, , 14, 4, 9
2024/5/6, 103, 58, , 16, 3, 6
2024/5/7, 122, 43, , 12, 3, 4
2024/5/8, 84, 35, , 9, 4, 4
2024/5/9, 77, 46, , 10, 3, 6
2024/5/10, 91, 42, , 7, 3, 8
2024/5/11, 102, 96, , 11, 2, 3
2024/5/12, 125, 76, , 18, 5, 6
2024/5/13, 93, 59, , 12, 3, 3
2024/5/14, 95, 63, , 16, 3, 3
2024/5/15, 89, 37, , 13, 3, 2
2024/5/16, 64, 51, , 13, 4, 5
2024/5/17, 91, 50, , 11, 4, 5
2024/5/18, 94, 33, , 5, 3, 3
2024/5/19, 62, 46, , 10, 4, 6
2024/5/20, 83, 39, , 8, 3, 5
2024/5/21, 80, 37, , 8, 5, 5
2024/5/22, 77, 44, , 10, 4, 5
2024/5/23, 89, 47, , 9, 4, 5
2024/5/24, 94, 38, , 7, 3, 5
2024/5/25, 82, 39, , 6, 4, 5
2024/5/26, 85, 27, , 10, 3, 5
2024/5/27, 64, 26, , 15, 3, 4
2024/5/28, 52, , , , , 
2024/4/1, 142, 28, , 15, 3, 7
2024/4/2, 80, 20, , 10, 2, 5
2024/4/3, 62, 50, , 12, 4, 4
2024/4/4, 101, 45, , 13, 4, 4
2024/4/5, 84, 49, , 15, 4, 6
2024/4/6, 102, 52, , 13, 3, 6
2024/4/7, 121, 34, , 13, 2, 5
2024/4/8, 82, 56, , 19, 3, 5
2024/4/9, 104, 62, , 12, 3, 3
2024/4/10, 110, 57, , 11, 3, 4
2024/4/11, 107, 65, , 17, 4, 7
2024/4/12, 147, 38, , 11, 1, 5
2024/4/13, 92, 42, , 13, 2, 5
2024/4/14, 100, 46, , 15, 4, 9
2024/4/15, 105, 60, , 18, 4, 6
2024/4/16, 119, 58, , 20, 3, 6
2024/4/17, 108, 64, , 18, 4, 5
2024/4/18, 93, 61, , 16, 3, 4
2024/4/19, 100, 43, , 10, 3, 4
2024/4/20, 93, 38, , 13, 4, 3
2024/4/21, 81, 51, , 13, 4, 5
2024/4/22, 98, 70, , 14, 5, 6
2024/4/23, 128, 67, , 13, 3, 2
2024/4/24, 93, 55, , 14, 3, 4
2024/4/25, 93, 51, , 12, 3, 4
2024/4/26, 91, 59, , 9, 2, 6
2024/4/27, 118, 29, , 9, 2, 4
2024/4/28, 80, 37, , 9, 3, 6
2024/4/29, 87, 47, , 10, 5, 3
2024/4/30, 92, 39, , 12, 3, 4
2024/1/1, 169, 81, , 31, 3, 10
2024/1/2, 158, 59, , 18, 2, 8
2024/1/3, 144, 64, , 31, 3, 11
2024/1/4, 138, 71, , 40, 6, 12
2024/1/5, 145, 106, , 41, 6, 15
2024/1/6, 184, 67, , 22, 4, 8
2024/1/7, 122, 41, , 21, 4, 6
2024/1/8, 74, 75, , 25, 5, 9
2024/1/9, 146, 78, , 23, 5, 9
2024/1/10, 152, 79, , 37, 5, 10
2024/1/11, 156, 75, , 43, 7, 12
2024/1/12, 151, 85, , 41, 5, 10
2024/1/13, 165, 96, , 35, 6, 9
2024/1/14, 177, 41, , 14, 3, 3
2024/1/15, 63, 37, , 13, 3, 4
2024/1/16, 55, 36, , 19, 2, 5
2024/1/17, 73, 18, , 15, 1, 6
2024/1/18, 64, 20, , 11, 1, 6
2024/1/19, 69, 56, , 15, 1, 7
2024/1/20, 139, 62, , 13, 1, 7
2024/1/21, 146, 37, , 7, 2, 5
2024/1/22, 83, 28, , 7, 8, 4
2024/1/23, 60, 41, , 14, 2, 5
2024/1/24, 85, 50, , 25, 3, 5
2024/1/25, 105, 65, , 32, 4, 7
2024/1/26, 143, 71, , 33, 4, 7
2024/1/27, 154, 79, , 32, 5, 8
2024/1/28, 160, 84, , 33, 4, 8
2024/1/29, 166, 71, , 17, 2, 6
2024/1/30, 161, 37, , 23, 2, 6
2024/1/31, 101, 14, , 8, , 5
2024/2/1, 48, 26, , 11, 1, 4
2024/2/2, 72, 23, , 9, 1, 3
2024/2/3, 71, 34, , 11, 1, 5
2024/2/4, 98, 46, , 7, 2, 5
2024/2/5, 129, 58, , 10, 3, 6
2024/2/6, 145, 63, , 11, 3, 7
2024/2/7, 143, 86, , 15, 5, 9
2024/2/8, 176, 83, , 14, 5, 9
2024/2/9, 175, 87, , 15, 7, 9
2024/2/10, 176, 82, , 14, 3, 7
2024/2/11, 158, 62, , 11, 3, 5
2024/2/12, 123, 44, , 12, 3, 5
2024/2/13, 97, 56, , 17, 5, 8
2024/2/14, 123, 41, , 14, 2, 7
2024/2/15, 94, 23, , 9, 2, 4
2024/2/16, 56, 27, , 9, 2, 4
2024/2/17, 65, 34, , 13, 3, 8
2024/2/18, 76, 39, , 10, 2, 7
2024/2/19, 91, 9, , 9, 2, 3
2024/2/20, 38, 12, , 8, 1, 5
2024/2/21, 48, 29, , 9, 2, 6
2024/2/22, 91, 38, , 7, 2, 5
2024/2/23, 97, 40, , 7, 2, 4
2024/2/24, 105, 57, , 9, 4, 7
2024/2/25, 143, 63, , 14, 4, 8
2024/2/26, 133, 50, , 14, 5, 6
2024/2/27, 99, 45, , 16, 3, 8
2024/2/28, 106, 24, , 9, 6, 7
2024/2/29, 73, 46, , 9, 3, 5
2024/3/1, 85, 56, , 20, 4, 7
2024/3/2, 101, 56, , 18, 4, 10
2024/3/3, 129, 49, , 18, 2, 9
2024/3/4, 116, 29, , 13, 3, 6
2024/3/5, 81, 66, , 15, 4, 8
2024/3/6, 150, 69, , 23, 3, 6
2024/3/7, 149, 69, , 15, 4, 5
2024/3/8, 136, 65, , 22, 3, 5
2024/3/9, 135, 68, , 14, 3, 5
2024/3/10, 149, 61, , 16, 4, 5
2024/3/11, 127, 75, , 24, 4, 6
2024/3/12, 153, 54, , 13, 3, 4
2024/3/13, 109, 64, , 29, 3, 6
2024/3/14, 134, 74, , 24, 3, 8
2024/3/15, 155, 67, , 17, 4, 7
2024/3/16, 139, 107, , 17, 3, 5
2024/3/17, 124, 61, , 18, 3, 5
2024/3/18, 79, 78, , 18, 4, 4
2024/3/19, 87, 95, , 25, 5, 6
2024/3/20, 89, 79, , 20, 3, 5
2024/3/21, 107, 64, , 25, 5, 7
2024/3/22, 98, 74, , 38, 4, 9
