date, pm25, pm10, o3, no2, so2, co
2021/10/1, 124, 55, 91, 8, 3, 5
2021/10/2, 117, 57, 81, 7, 4, 5
2021/10/3, 131, 58, 49, 7, 4, 6
2021/10/4, 134, 30, 23, 5, 2, 3
2021/10/5, 64, 23, 22, 5, 3, 3
2021/10/6, 60, 24, 23, 7, 3, 3
2021/10/7, 52, 21, 19, 6, 3, 4
2021/10/8, 54, 29, 20, 8, 3, 3
2021/10/9, 61, 20, 19, 6, 3, 2
2021/10/10, 47, 22, 20, 6, 3, 2
2021/10/11, 51, 22, 18, 6, 1, 2
2021/10/12, 47, 41, 26, 10, 2, 4
2021/10/13, 83, 51, 20, 12, 5, 5
2021/10/14, 114, 32, 30, 6, 2, 2
2021/10/15, 60, 17, 27, 5, 1, 1
2021/10/16, 39, 22, 21, 7, 2, 2
2021/10/17, 57, 23, 15, 8, 2, 3
2021/10/18, 61, 42, 19, 9, 2, 4
2021/10/19, 96, 30, 16, 9, 2, 3
2021/10/20, 66, 31, 24, 11, 2, 4
2021/10/21, 63, 30, 24, 9, 2, 3
2021/10/22, 72, 40, 33, 10, 3, 3
2021/10/23, 91, 58, 30, 14, 4, 5
2021/10/24, 123, 72, 13, 15, 4, 6
2021/10/25, 159, 56, 25, 11, 3, 4
2021/10/26, 119, 51, 15, 14, 3, 5
2021/10/27, 117, 41, 15, 11, 3, 5
2021/10/28, 93, 46, 25, 11, 3, 5
2021/10/29, 105, 67, 27, 17, 6, 7
2021/10/30, 145, 59, 22, 13, 4, 6
2021/10/31, 133, , , , , 
2021/9/30, 86, 54, 87, 12, 5, 6
2020/10/1, 118, 43, 23, 10, 2, 6
2020/10/2, 99, 33, 14, 9, 2, 4
2020/10/3, 80, 30, 20, 8, 2, 3
2020/10/4, 71, 24, 18, 8, 2, 3
2020/10/5, 61, 21, 15, 10, 2, 4
2020/10/6, 60, 30, 18, 14, 2, 4
2020/10/7, 70, 40, 10, 14, 2, 4
2020/10/8, 93, 46, 13, 14, 2, 5
2020/10/9, 98, 52, 14, 16, 2, 5
2020/10/10, 114, 54, 16, 15, 3, 5
2020/10/11, 126, 35, 16, 11, 2, 5
2020/10/12, 91, 30, 9, 8, 2, 5
2020/10/13, 82, 22, 19, 7, 2, 4
2020/10/14, 65, 25, 20, 9, 2, 3
2020/10/15, 70, 25, 20, 11, 3, 4
2020/10/16, 67, 32, 16, 16, 3, 3
2020/10/17, 76, 34, 16, 16, 2, 4
2020/10/18, 91, 44, 20, 20, 2, 5
2020/10/19, 107, 39, 22, 12, 2, 4
2020/10/20, 101, 38, 16, 16, 2, 5
2020/10/21, 88, 60, 38, 21, 2, 8
2020/10/22, 136, 75, 40, 21, 3, 6
2020/10/23, 162, 83, 37, 23, 5, 7
2020/10/24, 168, 97, 9, 27, 4, 9
2020/10/25, 175, 91, 20, 25, 4, 7
2020/10/26, 172, 79, 16, 18, 3, 7
2020/10/27, 162, 38, 17, 12, 2, 4
2020/10/28, 88, 53, 17, 18, 2, 5
2020/10/29, 131, 52, 18, 14, 2, 5
2020/10/30, 134, 46, 13, 16, 2, 6
2020/10/31, 111, 55, 19, 20, 2, 5
2020/11/1, 116, 62, 15, 21, 2, 6
2020/11/2, 139, 60, 19, 19, 2, 6
2020/11/3, 136, 66, 18, 20, 2, 6
2020/11/4, 155, 75, 20, 21, 3, 5
2020/11/5, 162, 68, 34, 22, 3, 6
2020/11/6, 154, 87, 43, 29, 3, 9
2020/11/7, 171, 100, 39, 33, 3, 10
2020/11/8, 187, 104, 45, 32, 3, 10
2020/11/9, 192, 104, 49, 31, 5, 12
2020/11/10, 189, 107, 62, 35, 7, 11
2020/11/11, 192, 113, 58, 42, 6, 14
2020/11/12, 196, 134, 41, 37, 5, 10
2020/11/13, 196, 122, 53, 36, 6, 11
2020/11/14, 191, 128, 55, 38, 6, 12
2020/11/15, 201, 113, 61, 37, 6, 11
2020/11/16, 216, 89, 56, 24, 7, 7
2020/11/17, 172, 83, 38, 22, 3, 6
2020/11/18, 145, 82, 38, 29, 5, 7
2020/11/19, 141, 86, 36, 22, 7, 7
2020/11/20, 162, 52, 18, 9, 4, 5
2020/11/21, 114, 27, 17, 8, 4, 3
2020/11/22, 72, 31, 12, 11, 4, 4
2020/11/23, 79, 49, 9, 15, 4, 4
2020/11/24, 103, 52, 16, 15, 6, 7
2020/11/25, 133, 60, 12, 17, 4, 6
2020/11/26, 149, 72, 8, 20, 4, 7
2020/11/27, 161, 52, 11, 13, 5, 6
2020/11/28, 130, 63, 10, 18, 3, 9
2020/11/29, 149, 66, 7, 19, 4, 7
2020/11/30, 160, 57, 14, 18, 3, 7
