date, pm25, pm10, o3, no2, so2, co
2024/5/1, 48, , , , , 
2024/5/2, 52, , , , , 
2024/5/3, 85, , , , , 
2024/5/4, 71, , , , , 
2024/5/5, 73, , , , , 
2024/5/6, 114, , , , , 
2024/5/7, 87, , , , , 
2024/5/8, 71, , , , , 
2024/5/9, 94, , , , , 
2024/5/10, 82, , , , , 
2024/5/11, 67, , , , , 
2024/5/12, 63, , , , , 
2024/5/13, 73, , , , , 
2024/5/14, 84, , , , , 
2024/5/15, 88, , , , , 
2024/4/1, 88, , , , , 
2024/4/2, 100, , , , , 
2024/4/3, 65, , , , , 
2024/4/4, 53, , , , , 
2024/4/5, 53, , , , , 
2024/4/6, 69, , , , , 
2024/4/7, 46, , , , , 
2024/4/8, 50, , , , , 
2024/4/9, 55, , , , , 
2024/4/10, 78, , , , , 
2024/4/11, 92, , , , , 
2024/4/12, 109, , , , , 
2024/4/13, 97, , , , , 
2024/4/14, 67, , , , , 
2024/4/15, 71, , , , , 
2024/4/16, 82, , , , , 
2024/4/17, 70, , , , , 
2024/4/18, 71, , , , , 
2024/4/19, 70, , , , , 
2024/4/20, 52, , , , , 
2024/4/21, 50, , , , , 
2024/4/22, 88, , , , , 
2024/4/23, 75, , , , , 
2024/4/24, 89, , , , , 
2024/4/25, 59, , , , , 
2024/4/26, 62, , , , , 
2024/4/27, 74, , , , , 
2024/4/28, 63, , , , , 
2024/4/29, 57, , , , , 
2024/4/30, 47, , , , , 
2024/1/1, 157, , , , , 
2024/1/2, 143, , , , , 
2024/1/3, 75, , , , , 
2024/1/4, 77, , , , , 
2024/1/5, 149, , , , , 
2024/1/6, 161, , , , , 
2024/1/7, 131, , , , , 
2024/1/8, 137, , , , , 
2024/1/9, 125, , , , , 
2024/1/10, 65, , , , , 
2024/1/11, 89, , , , , 
2024/1/12, 123, , , , , 
2024/1/13, 171, , , , , 
2024/1/14, 123, , , , , 
2024/1/15, 124, , , , , 
2024/1/16, 100, , , , , 
2024/1/17, 118, , , , , 
2024/1/18, 97, , , , , 
2024/1/19, 87, , , , , 
2024/1/20, 83, , , , , 
2024/1/21, 58, , , , , 
2024/1/22, 45, , , , , 
2024/1/23, 76, , , , , 
2024/1/24, 77, , , , , 
2024/1/25, 79, , , , , 
2024/1/26, 86, , , , , 
2024/1/27, 94, , , , , 
2024/1/28, 97, , , , , 
2024/1/29, 128, , , , , 
2024/1/30, 157, , , , , 
2024/1/31, 138, , , , , 
2024/2/1, 79, , , , , 
2024/2/2, 61, , , , , 
2024/2/3, 62, , , , , 
2024/2/4, 63, , , , , 
2024/2/5, 47, , , , , 
2024/2/6, 59, , , , , 
2024/2/7, 27, , , , , 
2024/2/8, 26, , , , , 
2024/2/9, 55, , , , , 
2024/2/10, 118, , , , , 
2024/2/11, 103, , , , , 
2024/2/12, 114, , , , , 
2024/2/13, 84, , , , , 
2024/2/14, 91, , , , , 
2024/2/15, 86, , , , , 
