date, pm25, pm10, o3, no2, so2, co
2024/5/1, 90, 29, , 8, 2, 5
2024/5/2, 79, 23, , 11, 2, 5
2024/5/3, 65, 20, , 9, 3, 7
2024/5/4, 57, 38, , 13, 3, 6
2024/5/5, 90, 56, , 16, 4, 8
2024/5/6, 139, 62, , 17, 6, 9
2024/5/7, 150, 38, , 12, 2, 7
2024/5/8, 100, 29, , 7, 2, 5
2024/5/9, 73, 36, , 8, 2, 4
2024/5/10, 93, 32, , 9, 2, 4
2024/5/11, 76, 45, , 12, 4, 5
2024/5/12, 77, 43, , 9, 3, 3
2024/5/13, 80, 56, , 15, 14, 12
2024/5/14, 101, 56, , 14, 4, 5
2024/5/15, 128, , , , , 
2024/4/1, 114, 46, , 12, 2, 7
2024/4/2, 100, 55, , 11, 2, 5
2024/4/3, 94, 52, , 11, 2, 6
2024/4/4, 93, 47, , 8, 1, 6
2024/4/5, 86, 20, , 9, 1, 4
2024/4/6, 50, 25, , 11, 2, 4
2024/4/7, 58, 27, , 13, 2, 6
2024/4/8, 63, 38, , 15, 3, 8
2024/4/9, 87, 37, , 12, 3, 5
2024/4/10, 91, 36, , 15, 3, 5
2024/4/11, 86, 43, , 17, 3, 6
2024/4/12, 100, 50, , 17, 3, 7
2024/4/13, 119, 53, , 18, 3, 7
2024/4/14, 131, 60, , 20, 4, 8
2024/4/15, 142, 38, , 9, 2, 5
2024/4/16, 87, 26, , 9, 2, 5
2024/4/17, 69, 19, , 10, 2, 4
2024/4/18, 55, 33, , 9, 3, 5
2024/4/19, 70, 51, , 13, 3, 4
2024/4/20, 80, 61, , 8, 3, 4
2024/4/21, 106, 74, , 10, 3, 4
2024/4/22, 144, 30, , 12, 2, 3
2024/4/23, 68, 33, , 8, 2, 3
2024/4/24, 76, 39, , 8, 3, 4
2024/4/25, 105, 66, , 11, 4, 7
2024/4/26, 157, 74, , 14, 4, 8
2024/4/27, 163, 83, , 12, 4, 9
2024/4/28, 187, 36, , 8, 2, 6
2024/4/29, 95, 18, , 8, 3, 3
2024/4/30, 49, 35, , 8, 2, 5
2024/1/1, 265, 80, , 18, 3, 12
2024/1/2, 170, 73, , 16, 3, 10
2024/1/3, 170, 77, , 13, 1, 7
2024/1/4, 164, 87, , 20, 2, 10
2024/1/5, 173, 81, , 19, 3, 9
2024/1/6, 168, 75, , 19, 2, 9
2024/1/7, 164, 88, , 14, 2, 9
2024/1/8, 174, 71, , 16, 2, 9
2024/1/9, 161, 77, , 18, 1, 10
2024/1/10, 167, 92, , 17, 2, 9
2024/1/11, 176, 84, , 19, 2, 8
2024/1/12, 172, 92, , 21, 3, 9
2024/1/13, 177, 101, , 23, 3, 11
2024/1/14, 184, 85, , 20, 3, 10
2024/1/15, 172, 69, , 13, 2, 8
2024/1/16, 156, 48, , 13, 4, 8
2024/1/17, 119, 60, , 18, 3, 8
2024/1/18, 133, 62, , 16, 3, 8
2024/1/19, 148, 36, , 12, 2, 7
2024/1/20, 89, 26, , 10, 1, 6
2024/1/21, 73, 28, , 8, 2, 4
2024/1/22, 76, 40, , 11, 2, 4
2024/1/23, 98, 37, , 13, 1, 4
2024/1/24, 105, 45, , 13, 2, 5
2024/1/25, 123, 64, , 13, 2, 6
2024/1/26, 157, 58, , 12, 3, 6
2024/1/27, 153, 62, , 14, 4, 6
2024/1/28, 156, 79, , 17, 4, 7
2024/1/29, 170, 87, , 19, 3, 8
2024/1/30, 177, 82, , 17, 4, 8
2024/1/31, 173, 77, , 15, 3, 8
2024/2/1, 171, 66, , 13, 2, 7
2024/2/2, 159, 39, , 12, 1, 9
2024/2/3, 99, 37, , 10, 1, 8
2024/2/4, 92, 36, , 8, 1, 8
2024/2/5, 97, 50, , 13, 2, 8
2024/2/6, 126, 55, , 12, 1, 8
2024/2/7, 150, 55, , 12, 4, 7
2024/2/8, 152, 63, , 10, 6, 8
2024/2/9, 141, 155, , 15, 4, 9
2024/2/10, 267, 82, , 17, 4, 10
2024/2/11, 177, 82, , 18, 3, 9
2024/2/12, 177, 74, , 18, 10, 10
2024/2/13, 168, 71, , 15, 3, 7
2024/2/14, 164, 42, , 8, 2, 3
2024/2/15, 88, 39, , 11, 3, 3
2024/2/16, 91, 53, , 15, 5, 6
2024/2/17, 132, 62, , 14, 8, 8
2024/2/18, 150, 95, , 13, 4, 4
2024/2/19, 156, 233, , 12, 3, 4
2024/2/20, 178, 70, , 9, 2, 4
2024/2/21, 88, 46, , 7, 1, 4
2024/2/22, 74, 37, , 9, 2, 5
2024/2/23, 87, 49, , 9, 2, 5
2024/2/24, 117, 55, , 10, 2, 6
2024/2/25, 138, 54, , 11, 2, 6
2024/2/26, 135, 63, , 11, 3, 6
2024/2/27, 156, 67, , 13, 2, 6
2024/2/28, 160, 50, , 10, 2, 7
2024/2/29, 140, 48, , 13, 2, 7
2024/3/1, 129, 47, , 13, 1, 9
2024/3/2, 124, 62, , 18, 2, 10
2024/3/3, 152, 78, , 18, 2, 10
2024/3/4, 168, 65, , 17, 2, 10
2024/3/5, 152, 59, , 17, 3, 7
2024/3/6, 132, 61, , 16, 2, 6
2024/3/7, 123, 67, , 16, 2, 6
2024/3/8, 141, 81, , 13, 3, 8
2024/3/9, 167, 79, , 17, 3, 9
2024/3/10, 168, 43, , 15, 1, 11
2024/3/11, 103, 68, , 28, 5, 9
2024/3/12, 145, 49, , 15, 3, 6
2024/3/13, 111, 42, , 12, 3, 6
2024/3/14, 102, 56, , 16, 2, 6
2024/3/15, 140, 54, , 12, 3, 5
2024/3/16, 139, 90, , 10, 2, 4
2024/3/17, 129, 52, , 10, 1, 3
2024/3/18, 89, 58, , 13, 3, 4
2024/3/19, 121, 60, , 14, 3, 5
2024/3/20, 130, 64, , 19, 5, 6
2024/3/21, 134, 73, , 22, 4, 8
2024/3/22, 152, 78, , 20, 5, 10
2024/3/23, 159, 55, , 11, 4, 5
2024/3/24, 113, 23, , 8, 2, 4
2024/3/25, 55, 40, , 14, 3, 4
2024/3/26, 85, 41, , 11, 2, 5
2024/3/27, 97, 30, , 13, 2, 7
2024/3/28, 80, 44, , 19, 3, 7
2024/3/29, 92, 55, , 23, 5, 6
2024/3/30, 121, 44, , 13, 3, 5
2024/3/31, 101, 44, , 9, 3, 6
2023/10/1, 82, 31, 19, 9, 4, 6
2023/10/2, 69, 31, 37, 8, 4, 8
2023/10/3, 75, 28, 20, 11, 4, 7
2023/10/4, 73, 23, 24, 9, 3, 5
2023/10/5, 56, 11, 23, 9, 4, 3
2023/10/6, 30, 20, 35, 8, 4, 5
2023/10/7, 51, 28, 20, 14, 4, 5
2023/10/8, 72, 20, 20, 12, 4, 5
2023/10/9, 52, 29, 35, 9, 4, 5
