date, pm25, pm10, o3, no2, so2, co
2024/5/1, 60, 68, 75, 13, 2, 5
2024/5/2, 97, 67, 74, 11, 1, 4
2024/5/3, 99, 78, 50, 22, 2, 7
2024/5/4, 143, 81, 47, 13, 1, 7
2024/5/5, 155, 61, 60, 12, , 4
2024/5/6, 110, 56, 59, 20, 1, 4
2024/5/7, 90, 73, 87, 18, 1, 4
2024/5/8, 110, 75, 102, 13, 2, 4
2024/5/9, 108, 109, 59, 11, 1, 5
2024/5/10, 118, 166, 37, 4, , 2
2024/5/11, 105, 40, 46, 10, , 3
2024/5/12, 56, 58, 77, 14, 1, 2
2024/5/13, 77, 65, 41, 9, , 2
2024/5/14, 86, 28, 45, 6, 1, 1
2024/5/15, 33, , , , , 
2024/4/1, 122, 84, 55, 14, 2, 5
2024/4/2, 134, 71, 48, 12, 1, 4
2024/4/3, 127, 68, 34, 16, 2, 4
2024/4/4, 118, 67, 49, 16, 2, 3
2024/4/5, 116, 86, 55, 19, 1, 4
2024/4/6, 150, 43, 39, 15, 1, 2
2024/4/7, 58, 90, 39, 17, 2, 4
2024/4/8, 102, 62, 35, 12, 1, 3
2024/4/9, 85, 62, 15, 24, 1, 5
2024/4/10, 124, 87, 59, 22, 1, 6
2024/4/11, 169, 119, 55, 27, 1, 9
2024/4/12, 200, 74, 58, 15, 1, 6
2024/4/13, 141, 60, 26, 14, 1, 6
2024/4/14, 118, 93, 33, 8, 1, 3
2024/4/15, 114, 57, 41, 13, , 2
2024/4/16, 71, 96, 78, 22, 1, 4
2024/4/17, 141, 94, 82, 20, 2, 6
2024/4/18, 134, 64, 32, 13, 3, 6
2024/4/19, 70, 49, 43, 10, 1, 3
2024/4/20, 64, 86, 88, 17, 3, 7
2024/4/21, 141, 83, 70, 16, 2, 7
2024/4/22, 156, 17, 28, 8, , 3
2024/4/23, 36, 57, 60, 16, , 5
2024/4/24, 80, 103, 86, 22, 2, 6
2024/4/25, 151, 132, 62, 26, 1, 7
2024/4/26, 168, 88, 42, 17, 2, 9
2024/4/27, 144, 27, 26, 9, , 3
2024/4/28, 50, 26, 20, 9, , 4
2024/4/29, 62, 27, 37, 11, , 4
2024/4/30, 49, 47, 45, 14, 1, 3
2024/1/1, 162, 83, 20, 32, 1, 11
2024/1/2, 158, 31, 19, 18, , 5
2024/1/3, 56, 62, 26, 25, 1, 9
2024/1/4, 118, 41, 20, 16, , 5
2024/1/5, 72, 14, 21, 6, , 3
2024/1/6, 25, 24, 16, 12, 1, 2
2024/1/7, 53, 63, 8, 28, 1, 6
2024/1/8, 128, 44, 22, 17, 1, 4
2024/1/9, 91, 44, 14, 21, 1, 5
2024/1/10, 88, 90, 8, 37, 2, 11
2024/1/11, 162, 104, 6, 38, 3, 15
2024/1/12, 174, 65, 16, 24, 2, 10
2024/1/13, 119, 24, 27, 7, , 2
2024/1/14, 29, 38, 15, 21, , 4
2024/1/15, 65, 75, 6, 31, 1, 8
2024/1/16, 139, 97, 5, 33, 1, 10
2024/1/17, 172, 76, 16, 27, 2, 11
2024/1/18, 158, 61, 7, 28, 3, 10
2024/1/19, 119, 56, 27, 22, 2, 9
2024/1/20, 101, 21, 25, 3, , 2
2024/1/21, 29, 16, 26, 4, , 1
2024/1/22, 32, 15, 26, 6, , 1
2024/1/23, 27, 29, 25, 13, , 1
2024/1/24, 48, 23, 28, 11, 1, 1
2024/1/25, 53, 36, 28, 10, 1, 1
2024/1/26, 61, 35, 26, 13, 1, 2
2024/1/27, 65, 46, 17, 24, 2, 5
2024/1/28, 89, 75, 13, 26, 3, 9
2024/1/29, 142, 91, 12, 20, 2, 11
2024/1/30, 175, 50, 27, 12, 1, 5
2024/1/31, 102, 34, 24, 11, 1, 4
2024/2/1, 64, 58, 15, 22, 1, 7
2024/2/2, 119, 71, 15, 23, 1, 8
2024/2/3, 150, 89, 14, 26, 2, 10
2024/2/4, 171, 74, 26, 18, 2, 8
2024/2/5, 159, 41, 31, 12, 1, 4
2024/2/6, 101, 23, 32, 5, , 2
2024/2/7, 61, 24, 30, 6, , 2
2024/2/8, 62, 42, 34, 10, 1, 4
2024/2/9, 106, 32, 29, 5, 1, 2
2024/2/10, 81, 66, 27, 12, 1, 5
2024/2/11, 152, 92, 38, 21, 3, 8
2024/2/12, 175, 113, 47, 26, 3, 11
2024/2/13, 188, 49, 30, 14, 1, 5
2024/2/14, 89, 17, 31, 5, 1, 1
2024/2/15, 34, 63, 29, 11, 1, 5
2024/2/16, 122, 77, 29, 20, 1, 6
2024/2/17, 159, 67, 31, 14, 2, 11
2024/2/18, 134, 28, 31, 3, , 1
2024/2/19, 29, 22, 25, 4, , 2
2024/2/20, 46, 22, 28, 6, 1, 3
2024/2/21, 45, 16, 29, 4, , 3
2024/2/22, 28, 42, 23, 19, 2, 6
2024/2/23, 84, 57, 27, 18, 1, 6
2024/2/24, 127, 42, 30, 7, 1, 2
2024/2/25, 75, 71, 28, 16, 3, 7
2024/2/26, 143, 70, 25, 14, 2, 5
2024/2/27, 120, 69, 26, 18, 2, 3
2024/2/28, 123, 25, 32, 2, , 1
2024/2/29, 36, 36, 27, 8, , 2
2024/3/1, 53, 80, 29, 14, , 4
2024/3/2, 100, 54, 30, 13, 2, 5
2024/3/3, 79, 53, 28, 15, 3, 7
2024/3/4, 101, 67, 24, 13, 2, 6
2024/3/5, 149, 41, 29, 14, 1, 4
2024/3/6, 90, 50, 31, 14, 1, 4
2024/3/7, 100, 22, 30, 8, , 1
2024/3/8, 41, 63, 32, 21, 2, 4
2024/3/9, 112, 99, 25, 33, 3, 7
2024/3/10, 170, 67, 35, 20, 1, 5
2024/3/11, 119, 39, 37, 11, 1, 3
2024/3/12, 76, 64, 33, 19, 1, 5
2024/3/13, 120, 56, 44, 21, 1, 6
2024/3/14, 98, 98, 63, 21, 1, 6
2024/3/15, 166, 98, 34, 12, 1, 6
2024/3/16, 128, 38, 32, 5, , 1
2024/3/17, 39, 113, 30, 16, 1, 3
2024/3/18, 122, 86, 30, 3, , 2
2024/3/19, 65, 53, 30, 9, , 2
2024/3/20, 52, 84, 26, 28, 2, 5
2024/3/21, 135, 66, 37, 19, 1, 6
2024/3/22, 111, 83, 46, 27, 3, 8
2024/3/23, 137, 72, 34, 16, 4, 10
2024/3/24, 145, 63, 39, 12, , 6
2024/3/25, 154, 80, 16, 21, , 8
2024/3/26, 167, 101, 11, 29, 1, 10
2024/3/27, 182, 309, 35, 7, , 5
2024/3/28, 114, 97, 36, 6, , 2
2024/3/29, 87, 44, 39, 9, , 2
2024/3/30, 58, 84, 42, 18, 3, 8
2024/3/31, 137, 78, 41, 13, 3, 6
2023/10/1, 39, 56, 38, 19, 2, 4
2023/10/2, 94, 58, 61, 14, 1, 5
2023/10/3, 106, 17, 27, 12, , 2
2023/10/4, 32, 23, 24, 14, , 1
2023/10/5, 35, 35, 25, 15, , 2
2023/10/6, 56, 61, 34, 21, 1, 4
2023/10/7, 104, 43, 31, 16, , 3
2023/10/8, 81, 17, 31, 9, 1, 2
2023/10/9, 31, 25, 38, 15, , 3
2023/10/10, 50, 54, 51, 20, , 5
2023/10/11, 93, 91, 11, 40, 1, 8
2023/10/12, 165, 45, 31, 19, , 5
2023/10/13, 97, 20, 33, 17, , 3
