date, pm25, pm10, o3, no2, so2, co
2024/5/1, 85, 30, 42, 10, 4, 3
2024/5/2, 71, 33, 53, 9, 3, 4
2024/5/3, 72, 37, 39, 10, 3, 3
2024/5/4, 85, 26, 32, 12, 2, 6
2024/5/5, 84, 44, 74, 14, 3, 7
2024/5/6, 123, 50, 78, 13, 3, 7
2024/5/7, 125, 34, 50, 12, 4, 5
2024/5/8, 88, 21, 39, 12, 3, 4
2024/5/9, 55, 28, 61, 9, 3, 3
2024/5/10, 58, 47, 34, 12, 3, 5
2024/5/11, 102, 57, 44, 9, 3, 5
2024/5/12, 95, 65, 61, 14, 4, 5
2024/5/13, 78, 40, 83, 12, 4, 3
2024/5/14, 64, 42, 57, 9, 4, 4
2024/5/15, 73, 32, 64, 14, 4, 3
2024/5/16, 58, 35, 79, 10, 5, 3
2024/5/17, 83, 34, 61, 6, 3, 3
2024/5/18, 62, 31, 39, 4, 3, 3
2024/5/19, 57, 26, 36, 4, 2, 3
2024/5/20, 54, 25, 35, 8, 5, 3
2024/5/21, 58, 35, 47, 9, 4, 3
2024/5/22, 75, 22, 42, 6, 3, 3
2024/5/23, 54, 19, 42, 4, 3, 3
2024/5/24, 61, 23, 35, 5, 3, 3
2024/5/25, 63, 29, 68, 7, 3, 5
2024/5/26, 72, 23, 44, 5, 3, 4
2024/5/27, 67, 17, 54, 5, 3, 3
2024/5/28, 57, , , , , 
2024/4/1, 118, 28, 38, 18, 4, 7
2024/4/2, 65, 26, 39, 12, 3, 7
2024/4/3, 72, 39, 48, 12, 4, 6
2024/4/4, 87, 51, 53, 11, 4, 6
2024/4/5, 104, 38, 39, 11, 3, 5
2024/4/6, 96, 37, 40, 16, 3, 5
2024/4/7, 95, 29, 38, 18, 3, 6
2024/4/8, 86, 51, 60, 24, 5, 7
2024/4/9, 119, 55, 56, 14, 4, 6
2024/4/10, 109, 45, 44, 13, 4, 5
2024/4/11, 78, 26, 24, 17, 3, 6
2024/4/12, 63, 18, 31, 12, 3, 6
2024/4/13, 65, 21, 33, 11, 3, 5
2024/4/14, 59, 46, 59, 14, 3, 7
2024/4/15, 119, 37, 44, 17, 3, 6
2024/4/16, 102, 16, 36, 14, 3, 5
2024/4/17, 49, 76, 34, 18, 5, 8
2024/4/18, 106, 106, 38, 13, 3, 4
2024/4/19, 115, 46, 53, 10, 4, 6
