date, pm25, pm10, o3, no2, so2, co
2024/5/1, 59, 104, , 13, 3, 2
2024/5/2, 90, 50, , 15, 3, 2
2024/5/3, 60, 57, , 17, 4, 3
2024/5/4, 71, 60, , 12, 3, 2
2024/5/5, 77, 70, , 9, 3, 2
2024/5/6, 78, 34, , 11, 4, 2
2024/5/7, 60, 32, , 14, 3, 2
2024/5/8, 47, 30, , 10, 3, 1
2024/5/9, 44, 41, , 11, 3, 1
2024/5/10, 44, 30, , 8, 3, 4
2024/5/11, 41, 151, , 12, 4, 3
2024/5/12, 142, 50, , 10, 3, 1
2024/5/13, 65, 52, , 13, 5, 2
2024/5/14, 72, 56, , 20, 4, 5
2024/5/15, 91, 74, , 21, 3, 3
2024/5/16, 102, 105, , 14, 4, 2
2024/5/17, 113, 48, , 11, 4, 2
2024/5/18, 63, 46, , 17, 4, 3
2024/5/19, 62, 45, , 12, 4, 3
2024/5/20, 63, 24, , 8, 3, 1
2024/5/21, 47, 25, , 11, 4, 2
2024/5/22, 42, 27, , 11, 4, 2
2024/5/23, 49, 18, , 9, 4, 2
2024/5/24, 34, 39, , 15, 4, 2
2024/5/25, 57, 34, , 13, 4, 1
2024/5/26, 53, 88, , 6, 3, 1
2024/5/27, 57, 29, , 12, 4, 2
2024/5/28, 42, , , , , 
2024/4/1, 57, 31, , 14, 3, 4
2024/4/2, 69, 39, , 15, 2, 3
2024/4/3, 64, 18, , 5, 3, 1
2024/4/4, 38, 31, , 13, 3, 3
2024/4/5, 55, 27, , 12, 5, 2
2024/4/6, 49, 33, , 14, 1, 2
2024/4/7, 53, 57, , 18, 1, 3
2024/4/8, 74, 47, , 10, 1, 3
2024/4/9, 66, 65, , 22, 1, 3
2024/4/10, 62, 22, , 14, 1, 3
2024/4/11, 38, 180, , 12, 1, 2
2024/4/12, 90, 733, , 11, 1, 2
2024/4/13, 229, 105, , 19, 2, 3
2024/4/14, 101, 83, , 25, 3, 5
2024/4/15, 105, 80, , 19, 2, 4
2024/4/16, 90, 49, , 11, 2, 2
2024/4/17, 70, 17, , 11, 2, 2
2024/4/18, 36, 33, , 15, 2, 3
2024/4/19, 55, 40, , 17, 2, 3
2024/4/20, 61, 51, , 17, 3, 3
2024/4/21, 64, 46, , 22, 2, 3
2024/4/22, 57, 56, , 18, 2, 3
2024/4/23, 63, 64, , 18, 2, 3
2024/4/24, 72, 51, , 15, 2, 2
2024/4/25, 63, 35, , 16, 2, 2
2024/4/26, 48, 33, , 11, 2, 2
2024/4/27, 43, 32, , 19, 2, 3
2024/4/28, 56, 44, , 22, 3, 3
2024/4/29, 61, 43, , 21, 3, 3
2024/4/30, 62, 46, , 17, 3, 3
2024/1/1, 78, 51, , 23, 2, 11
2024/1/2, 132, 40, , 18, 2, 7
2024/1/3, 97, 39, , 19, 2, 8
2024/1/4, 95, 66, , 23, 2, 13
2024/1/5, 153, 78, , 26, 3, 14
2024/1/6, 172, 71, , 30, 3, 12
2024/1/7, 154, 77, , 30, 3, 12
2024/1/8, 147, 95, , 32, 3, 12
2024/1/9, 180, 76, , 26, 3, 8
2024/1/10, 148, 84, , 18, 3, 7
2024/1/11, 139, 67, , 20, 2, 8
2024/1/12, 142, 51, , 20, , 7
2024/1/13, 131, 48, , 18, 2, 6
2024/1/14, 125, 44, , 26, 2, 7
2024/1/15, 106, 55, , 24, 2, 7
2024/1/16, 130, 73, , 22, 2, 9
2024/1/17, 166, 56, , 23, 3, 7
2024/1/18, 142, 57, , 26, 2, 7
2024/1/19, 117, 84, , 26, 2, 10
2024/1/20, 175, 52, , 15, 2, 6
2024/1/21, 138, 51, , 21, 2, 7
2024/1/22, 120, 81, , 28, 2, 8
2024/1/23, 165, 83, , 31, 3, 12
2024/1/24, 167, 101, , 36, 3, 17
2024/1/25, 188, 87, , 29, 3, 11
2024/1/26, 158, 100, , 35, 3, 16
2024/1/27, 173, 101, , 39, 3, 12
2024/1/28, 177, 115, , 45, 3, 18
2024/1/29, 194, 121, , 45, 3, 19
2024/1/30, 203, 133, , 46, 1, 19
2024/1/31, 225, 106, , 39, 1, 16
2024/2/1, 194, 115, , 35, 1, 15
2024/2/2, 211, 83, , 28, 1, 9
2024/2/3, 160, 150, , 32, 2, 16
2024/2/4, 248, 103, , 33, 2, 13
2024/2/5, 192, 151, , 36, 2, 18
2024/2/6, 258, 141, , 50, 2, 20
2024/2/7, 246, 101, , 34, 2, 14
2024/2/8, 191, 83, , 23, 3, 9
2024/2/9, 140, 380, , 37, 5, 20
2024/2/10, 421, 63, , 14, 2, 7
2024/2/11, 109, 54, , 8, 2, 4
2024/2/12, 89, 31, , 9, 2, 4
2024/2/13, 79, 47, , 17, 2, 4
2024/2/14, 116, 61, , 13, 2, 5
2024/2/15, 100, 59, , 6, 2, 2
2024/2/16, 72, 43, , 9, 3, 2
2024/2/17, 57, 53, , 23, 4, 6
2024/2/18, 100, 59, , 17, 3, 6
2024/2/19, 118, 59, , 23, 6, 7
2024/2/20, 121, 61, , 23, 2, 6
2024/2/21, 138, 57, , 26, 3, 7
2024/2/22, 131, 85, , 32, 3, 10
2024/2/23, 164, 99, , 27, 2, 9
2024/2/24, 173, 101, , 26, 1, 8
2024/2/25, 160, 83, , 28, 1, 9
2024/2/26, 163, 97, , 30, 2, 11
2024/2/27, 178, 57, , 27, 3, 6
2024/2/28, 116, 66, , 29, 3, 7
2024/2/29, 143, 98, , 28, 4, 9
2024/3/1, 184, 85, , 31, 3, 9
2024/3/2, 168, 64, , 24, 2, 7
2024/3/3, 127, 54, , 19, 2, 5
2024/3/4, 81, 68, , 29, 3, 7
2024/3/5, 148, 76, , 25, 2, 7
2024/3/6, 158, 80, , 25, 2, 9
2024/3/7, 172, 75, , 32, 2, 10
2024/3/8, 157, 66, , 28, 3, 7
2024/3/9, 103, 109, , 32, 2, 11
2024/3/10, 186, 82, , 31, 3, 9
2024/3/11, 140, 61, , 25, 3, 6
2024/3/12, 91, 75, , 14, 1, 4
2024/3/13, 111, 58, , 12, 4, 2
2024/3/14, 51, 35, , 13, 2, 3
2024/3/15, 56, 50, , 13, 1, 3
2024/3/16, 87, 38, , 16, 1, 3
2024/3/17, 73, 42, , 21, , 5
2024/3/18, 84, 65, , 22, , 5
2024/3/19, 107, 69, , 18, , 5
2024/3/20, 110, 58, , 20, 1, 4
2024/3/21, 100, 35, , 13, 1, 2
2024/3/22, 79, 24, , 12, 1, 2
2024/3/23, 69, 38, , 14, 2, 5
2024/3/24, 94, 44, , 17, 2, 5
2024/3/25, 94, 40, , 16, 3, 4
2024/3/26, 83, 42, , 19, 1, 5
2024/3/27, 78, 57, , 22, 1, 4
2024/3/28, 101, 57, , 23, 2, 4
2024/3/29, 85, 45, , 17, 3, 4
