date, pm25, pm10, o3, no2, so2, co
2024/5/1, 99, 29, , 9, 1, 3
2024/5/2, 74, 23, , 6, , 3
2024/5/3, 53, 27, , 11, 1, 4
2024/5/4, 57, 43, , 13, 2, 4
2024/5/5, 86, 58, , 20, 2, 6
2024/5/6, 119, 63, , 28, 1, 8
2024/5/7, 136, 46, , 19, 1, 6
2024/5/8, 103, 41, , 11, 2, 4
2024/5/9, 90, 51, , 13, 1, 5
2024/5/10, 127, 56, , 14, 1, 5
2024/5/11, 115, 55, , 13, 2, 4
2024/5/12, 81, 46, , 10, 2, 3
2024/5/13, 63, 53, , 14, 2, 4
2024/5/14, 83, 62, , 21, 2, 6
2024/5/15, 122, , , , , 
2024/4/1, 94, 59, , 13, 2, 3
2024/4/2, 106, 69, , 11, 1, 4
2024/4/3, 118, 55, , 9, 2, 4
2024/4/4, 87, 31, , 7, 1, 4
2024/4/5, 64, 33, , 7, 1, 4
2024/4/6, 61, 31, , 12, 1, 4
2024/4/7, 64, 38, , 15, 2, 5
2024/4/8, 73, 40, , 15, 2, 5
2024/4/9, 77, 31, , 7, 3, 2
2024/4/10, 64, 31, , 10, 1, 3
2024/4/11, 60, 38, , 17, 1, 3
2024/4/12, 78, 52, , 19, 2, 4
2024/4/13, 114, 60, , 20, 1, 5
2024/4/14, 133, 67, , 23, 3, 5
2024/4/15, 139, 51, , 10, 2, 3
2024/4/16, 102, 51, , 11, , 5
2024/4/17, 108, 28, , 11, , 5
2024/4/18, 64, 27, , 12, 1, 5
2024/4/19, 55, 55, , 10, , 5
2024/4/20, 95, 86, , 13, 1, 5
2024/4/21, 133, 57, , 7, , 4
2024/4/22, 103, 37, , 14, 1, 3
2024/4/23, 57, 30, , 9, 1, 2
2024/4/24, 54, 37, , 11, , 3
2024/4/25, 66, 59, , 18, 1, 5
2024/4/26, 134, 57, , 16, 1, 5
2024/4/27, 125, 79, , 15, 2, 7
2024/4/28, 170, 47, , 7, 1, 5
2024/4/29, 94, 20, , 7, 1, 2
2024/4/30, 34, 40, , 11, 1, 3
2024/1/1, 207, 84, , 19, 1, 8
2024/1/2, 173, 75, , 23, 1, 9
2024/1/3, 160, 68, , 14, 1, 7
2024/1/4, 156, 81, , 25, 1, 9
2024/1/5, 164, 81, , 29, 2, 9
2024/1/6, 167, 84, , 28, 1, 9
2024/1/7, 169, 103, , 31, 2, 11
2024/1/8, 187, 85, , 17, 1, 6
2024/1/9, 174, 86, , 29, 2, 12
2024/1/10, 173, 96, , 27, 1, 10
2024/1/11, 186, 110, , 28, 1, 12
2024/1/12, 205, 121, , 28, 2, 10
2024/1/13, 214, 95, , 21, 1, 9
2024/1/14, 183, 89, , 26, 1, 10
2024/1/15, 172, 50, , 13, , 6
2024/1/16, 97, 50, , 23, 1, 8
2024/1/17, 101, 71, , 28, , 9
2024/1/18, 147, 53, , 16, , 7
2024/1/19, 113, 38, , 13, 1, 5
2024/1/20, 73, 32, , 5, , 6
2024/1/21, 76, 40, , 8, 1, 5
2024/1/22, 70, 41, , 9, , 6
2024/1/23, 86, 28, , 9, , 3
2024/1/24, 82, 39, , 15, , 4
2024/1/25, 95, 56, , 17, 1, 5
2024/1/26, 133, 49, , 14, 1, 5
2024/1/27, 116, 55, , 18, 1, 6
2024/1/28, 126, 71, , 21, , 8
2024/1/29, 162, 77, , 19, 1, 8
2024/1/30, 164, 88, , 22, , 8
2024/1/31, 173, 65, , 19, 1, 7
2024/2/1, 149, 47, , 12, , 7
2024/2/2, 113, 28, , 11, 1, 7
2024/2/3, 72, 25, , 8, 1, 6
2024/2/4, 64, 33, , 11, , 6
2024/2/5, 81, 45, , 13, 1, 7
2024/2/6, 108, 39, , 12, 1, 6
2024/2/7, 97, 58, , 18, 1, 7
2024/2/8, 153, 50, , 10, 3, 5
2024/2/9, 130, 82, , 12, 3, 6
