date, pm25, pm10, o3, no2, so2, co
2024/5/1, 89, 54, 74, 19, 4, 
2024/5/2, 96, 29, 46, 8, 1, 
2024/5/3, 78, 23, 58, 6, 1, 
2024/5/4, 57, 14, 48, 6, 1, 
2024/5/5, 50, 41, 44, 10, 2, 
2024/5/6, 112, 65, 61, 16, 3, 
2024/5/7, 132, 60, 77, 16, 2, 
2024/5/8, 119, 48, 73, 14, 3, 
2024/5/9, 94, 34, 51, 7, 2, 
2024/5/10, 68, 122, 43, 11, 2, 
2024/5/11, 126, 87, 53, 20, 2, 
2024/5/12, 116, 79, 78, 20, 3, 
2024/5/13, 126, 81, 108, 9, 3, 
2024/5/14, 117, 54, 55, 10, 1, 
2024/5/15, 53, 49, 77, 19, 3, 
2024/5/16, 65, 51, 98, 10, 3, 
2024/5/17, 104, 35, 68, 6, 2, 
2024/5/18, 64, 22, 39, 4, 1, 
2024/5/19, 50, 18, 34, 8, 1, 
2024/5/20, 47, 16, 30, 5, 1, 
2024/5/21, 48, 15, 29, 4, 1, 
2024/5/22, 53, 24, 37, 5, 2, 
2024/5/23, 72, 10, 39, 4, 3, 
2024/5/24, 39, 17, 33, 4, 3, 
2024/5/25, 44, 29, 48, 7, 2, 
2024/5/26, 63, 36, 56, 18, 3, 
2024/5/27, 61, 35, 63, 19, 6, 
2024/5/28, 66, , , , , 
2024/4/1, 75, 14, 42, 7, 2, 
2024/4/2, 48, 36, 45, 9, 2, 
2024/4/3, 56, 52, 44, 10, 2, 
2024/4/4, 60, 43, 45, 14, 2, 
2024/4/5, 71, 48, 56, 15, 3, 
2024/4/6, 89, 48, 47, 13, 2, 
2024/4/7, 97, 46, 45, 21, 3, 
2024/4/8, 78, 68, 59, 18, 2, 
2024/4/9, 114, 53, 55, 11, 1, 
2024/4/10, 120, 46, 43, 7, 1, 
2024/4/11, 75, 26, 36, 8, 1, 
2024/4/12, 55, 11, 33, 7, 1, 
2024/4/13, 37, 19, 37, 7, 2, 
2024/4/14, 55, 50, 39, 17, 3, 
2024/4/15, 123, 113, 43, 22, 4, 
2024/4/16, 129, 89, 42, 10, 1, 
2024/4/17, 88, 87, 82, 21, 4, 
2024/4/18, 111, 89, 47, 11, 2, 
2024/4/19, 122, 36, 48, 6, 1, 
2024/4/20, 58, 39, 55, 11, 2, 
2024/4/21, 73, 31, 43, 10, 2, 
2024/4/22, 76, 20, 34, 8, 1, 
2024/4/23, 55, 30, 60, 10, 3, 
2024/4/24, 59, 50, 87, 10, 2, 
2024/4/25, 83, 33, 49, 9, 1, 
2024/4/26, 55, 11, 47, 4, 1, 
2024/4/27, 32, 15, 42, 9, 1, 
2024/4/28, 29, 53, 51, 13, 2, 
2024/4/29, 88, 42, 42, 9, 2, 
2024/4/30, 74, 49, 66, 16, 5, 
2024/1/1, 97, 103, 18, 35, 5, 
2024/1/2, 181, 101, 23, 32, 5, 
2024/1/3, 183, 87, 26, 24, 3, 
2024/1/4, 178, 97, 14, 37, 5, 
2024/1/5, 176, 82, 17, 31, 5, 
2024/1/6, 144, 38, 23, 16, 4, 
2024/1/7, 74, 44, 25, 21, 3, 
2024/1/8, 92, 65, 18, 24, 4, 
2024/1/9, 142, 39, 21, 17, 4, 
2024/1/10, 88, 82, 24, 30, 5, 
2024/1/11, 159, 123, 25, 36, 6, 
2024/1/12, 210, 89, 48, 17, 2, 
2024/1/13, 175, 65, 40, 12, 2, 
2024/1/14, 113, 47, 25, 22, 5, 
2024/1/15, 85, 52, 25, 23, 3, 
2024/1/16, 109, 25, 22, 18, 2, 
2024/1/17, 74, 39, 18, 15, 1, 
2024/1/18, 105, 59, 9, 21, 3, 
2024/1/19, 136, 59, 21, 15, 2, 
2024/1/20, 151, 33, 24, 5, 2, 
2024/1/21, 70, 25, 23, 7, 2, 
2024/1/22, 58, 30, 24, 11, 3, 
2024/1/23, 63, 46, 22, 17, 4, 
2024/1/24, 86, 47, 21, 27, 4, 
2024/1/25, 101, 67, 21, 32, 6, 
2024/1/26, 139, 61, 21, 25, 5, 
2024/1/27, 132, 71, 21, 28, 6, 
2024/1/28, 158, 69, 40, 18, 3, 
2024/1/29, 158, 37, 32, 16, 2, 
2024/1/30, 88, 42, 27, 18, 1, 
2024/1/31, 111, 29, 25, 8, 2, 
2024/2/1, 52, 31, 25, 10, 3, 
2024/2/2, 66, 37, 25, 11, 3, 
2024/2/3, 86, 43, 22, 15, 3, 
2024/2/4, 102, 24, 34, 7, 2, 
2024/2/5, 68, 46, 30, 12, 3, 
2024/2/6, 111, 56, 37, 14, 4, 
2024/2/7, 144, 73, 40, 18, 5, 
2024/2/8, 168, 147, 46, 29, 7, 
2024/2/9, 217, 212, 42, 19, 10, 
2024/2/10, 318, 125, 37, 16, 7, 
2024/2/11, 227, 101, 46, 13, 3, 
2024/2/12, 186, 66, 39, 13, 2, 
2024/2/13, 150, 62, 30, 18, 4, 
2024/2/14, 148, 26, 32, 3, 2, 
2024/2/15, 62, 31, 40, 8, 3, 
2024/2/16, 74, 31, 38, 4, 2, 
2024/2/17, 62, 23, 31, 7, 2, 
2024/2/18, 72, 38, 28, 5, 1, 
2024/2/19, 66, 27, 28, 5, 2, 
2024/2/20, 49, 21, 29, 6, 1, 
2024/2/21, 67, 24, 33, 5, 2, 
2024/2/22, 54, 33, 37, 9, 2, 
2024/2/23, 76, 53, 26, 12, 3, 
2024/2/24, 127, 68, 37, 15, 4, 
2024/2/25, 157, 49, 36, 12, 3, 
2024/2/26, 98, 51, 36, 14, 3, 
2024/2/27, 94, 49, 31, 17, 2, 
2024/2/28, 95, 60, 33, 10, 2, 
2024/2/29, 117, 39, 34, 8, 1, 
2024/3/1, 51, 63, 32, 14, 2, 
2024/3/2, 131, 80, 42, 22, 3, 
2024/3/3, 163, 56, 45, 11, 2, 
2024/3/4, 118, 49, 36, 14, 2, 
2024/3/5, 110, 52, 30, 16, 2, 
2024/3/6, 101, 55, 29, 21, 3, 
2024/3/7, 118, 74, 32, 16, 2, 
2024/3/8, 152, 38, 41, 16, 2, 
2024/3/9, 76, 25, 39, 8, 1, 
2024/3/10, 53, 43, 38, 14, 2, 
2024/3/11, 81, 63, 40, 15, 2, 
2024/3/12, 126, 54, 40, 20, 3, 
2024/3/13, 117, 63, 41, 20, 5, 
2024/3/14, 140, 51, 41, 14, 2, 
2024/3/15, 116, 27, 37, 9, 1, 
2024/3/16, 60, 105, 37, 11, 1, 
2024/3/17, 88, 66, 37, 20, 3, 
2024/3/18, 109, 104, 34, 15, 2, 
2024/3/19, 77, 37, 35, 10, 2, 
2024/3/20, 48, 33, 38, 7, 1, 
2024/3/21, 44, 78, 43, 17, 3, 
2024/3/22, 115, 60, 47, 17, 2, 
2024/3/23, 94, 51, 38, 21, 3, 
2024/3/24, 79, 43, 32, 13, 2, 
2024/3/25, 101, 50, 53, 13, 3, 
2024/3/26, 116, 48, 42, 10, 1, 
2024/3/27, 109, 125, 43, 14, 2, 
2024/3/28, 127, 118, 37, 13, 3, 
2024/3/29, 131, 123, 47, 13, 2, 
2024/3/30, 116, 51, 43, 11, 2, 
