,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,4109,3162,3829,77574,114192,7753,1330,59304,319
비산업 연소,1572,935,1374,20714,86803,2830,1429,62716,167
제조업 연소,95815,28501,55872,72327,169790,3199,688,18263,620
생산공정,12096,5186,6759,106730,53618,188324,42977,27750,17
에너지수송 및 저장,,,,,,30695,,,
유기용제 사용,,,,,,563648,,,
도로이동오염원,9473,8715,9473,277,434038,45920,4437,237152,5315
비도로이동오염원,16198,15002,16194,35710,309309,59407,120,176455,6749
폐기물처리,377,234,274,2120,12994,58405,22,2051,4
농업,,,,,,,244335,,
기타 면오염원,679,388,431,,214,901,12945,8656,24
비산먼지,422420,17690,109932,,,,,,120
생물성 연소,29843,11919,14338,77,8841,86500,15,225073,2221
합계,592582,91731,218476,315530,1189800,1047585,308298,817420,15555
