date, pm25, pm10, o3, no2, so2, co
2024/5/1, 52, 16, , 7, 3, 5
2024/5/2, 39, 14, , 4, 2, 5
2024/5/3, 36, 25, , 5, 5, 6
2024/5/4, 38, 38, , 10, 4, 7
2024/5/5, 76, 46, , 14, 3, 9
2024/5/6, 84, 50, , 15, 6, 10
2024/5/7, 97, 43, , 13, 3, 8
2024/5/8, 89, 37, , 14, 3, 7
2024/5/9, 76, 31, , 9, 2, 7
2024/5/10, 63, 64, , 8, 2, 4
2024/5/11, 76, 63, , 10, 4, 3
2024/5/12, 81, 63, , 7, 3, 5
2024/5/13, 110, 55, , 13, 4, 4
2024/5/14, 106, 52, , 13, 5, 5
2024/5/15, 109, , , , , 
2024/4/1, 69, 86, , 11, 2, 4
2024/4/2, 116, 84, , 10, 2, 4
2024/4/3, 115, 56, , 6, 2, 4
2024/4/4, 82, 31, , 7, 3, 6
2024/4/5, 60, 39, , 9, 2, 5
2024/4/6, 66, 30, , 12, 3, 5
2024/4/7, 60, 36, , 11, 6, 6
2024/4/8, 60, 26, , 13, 3, 6
2024/4/9, 64, 18, , 5, 3, 5
2024/4/10, 41, 26, , 5, 4, 6
2024/4/11, 48, 36, , 9, 3, 7
2024/4/12, 70, 32, , 13, 3, 6
2024/4/13, 66, 34, , 10, 1, 4
2024/4/14, 53, 55, , 11, 3, 6
2024/4/15, 76, 50, , 5, 2, 6
2024/4/16, 79, 36, , 6, 1, 5
2024/4/17, 60, 29, , 14, 3, 7
2024/4/18, 60, 68, , 7, 1, 4
2024/4/19, 83, 91, , 13, 2, 4
2024/4/20, 117, 74, , 9, 2, 3
2024/4/21, 93, 59, , 10, 3, 5
2024/4/22, 94, 43, , 10, 4, 4
2024/4/23, 54, 37, , 12, 2, 5
2024/4/24, 64, 28, , 9, 3, 6
2024/4/25, 56, 29, , 14, 3, 6
2024/4/26, 59, 29, , 12, 2, 4
2024/4/27, 55, 35, , 12, 4, 7
2024/4/28, 72, 24, , 5, 2, 5
2024/4/29, 48, 19, , 4, 2, 2
2024/4/30, 35, 21, , 7, 3, 5
2024/1/1, 144, 40, , 9, 1, 4
2024/1/2, 85, 58, , 18, 11, 9
2024/1/3, 114, 85, , 22, 21, 17
2024/1/4, 162, 69, , 24, 7, 11
2024/1/5, 139, 57, , 22, 3, 10
2024/1/6, 129, 67, , 23, 5, 15
2024/1/7, 145, 71, , 22, 5, 11
2024/1/8, 153, 65, , 22, 4, 9
2024/1/9, 137, 60, , 23, 3, 7
2024/1/10, 125, 71, , 25, 7, 11
2024/1/11, 157, 92, , 26, 14, 13
2024/1/12, 174, 105, , 29, 7, 16
2024/1/13, 180, 82, , 23, 3, 11
2024/1/14, 150, 49, , 12, 1, 6
2024/1/15, 114, 35, , 8, 1, 5
2024/1/16, 85, 29, , 9, 1, 5
2024/1/17, 80, 42, , 8, 1, 6
2024/1/18, 87, 25, , 6, 1, 5
2024/1/19, 71, 38, , 9, 1, 5
2024/1/20, 86, 42, , 5, 1, 4
2024/1/21, 104, 42, , 6, 1, 3
2024/1/22, 88, 46, , 7, , 2
2024/1/23, 112, 32, , 9, 1, 3
2024/1/24, 89, 38, , 15, 1, 5
2024/1/25, 104, 46, , 15, 2, 6
2024/1/26, 121, 52, , 16, 2, 7
2024/1/27, 124, 52, , 17, 4, 8
2024/1/28, 128, 65, , 20, 3, 12
2024/1/29, 147, 60, , 20, 2, 12
2024/1/30, 145, 52, , 16, 2, 8
2024/1/31, 127, 44, , 8, 2, 7
2024/2/1, 110, 30, , 7, 1, 8
2024/2/2, 83, 26, , 4, 1, 6
2024/2/3, 70, 31, , 5, 1, 6
2024/2/4, 89, 38, , 6, 1, 6
2024/2/5, 97, 39, , 5, 1, 7
2024/2/6, 99, 45, , 5, , 7
2024/2/7, 109, 52, , 10, 4, 9
2024/2/8, 138, 59, , 8, 2, 9
2024/2/9, 143, 93, , 9, 9, 11
2024/2/10, 185, 70, , 8, 4, 10
2024/2/11, 163, 66, , 11, 6, 11
2024/2/12, 152, 63, , 13, 6, 10
2024/2/13, 149, 60, , 7, 2, 7
2024/2/14, 125, 33, , 3, 1, 2
2024/2/15, 70, 41, , 6, 4, 4
2024/2/16, 89, 40, , 9, 4, 6
2024/2/17, 104, 126, , 10, 8, 6
2024/2/18, 135, 515, , 3, , 3
2024/2/19, 218, 260, , 4, 1, 4
2024/2/20, 164, 48, , 4, , 3
2024/2/21, 84, 38, , 4, , 4
2024/2/22, 96, 35, , 4, , 5
