date, pm25, pm10, o3, no2, so2, co
2021/10/1, 83, 45, , 12, 4, 7
2021/10/2, 91, 41, , 9, 3, 5
2021/10/3, 70, 42, , 8, 3, 4
2021/10/4, 66, 44, , 10, 4, 5
2021/10/5, 67, 40, , 13, 4, 6
2021/10/6, 68, 32, , 12, 3, 6
2021/10/7, 65, 42, , 17, 4, 9
2021/10/8, 91, 22, , 12, 3, 5
2021/10/9, 42, 34, , 10, 4, 6
2021/10/10, 60, 26, , 6, 3, 4
2021/10/11, 44, 29, , 7, 3, 4
2021/10/12, 46, 21, , 9, 3, 6
2021/10/13, 45, 25, , 16, 3, 7
2021/10/14, 54, 19, , 12, 3, 6
2021/10/15, 43, 23, , 6, 3, 4
2021/10/16, 47, 32, , 8, 3, 5
2021/10/17, 50, 31, , 17, 3, 6
2021/10/18, 55, 51, , 20, 5, 8
2021/10/19, 95, 30, , 12, 3, 5
2021/10/20, 60, 41, , 14, 4, 5
2021/10/21, 90, 71, , 17, 5, 7
2021/10/22, 160, 53, , 21, 6, 7
2021/10/23, 114, 33, , 19, 4, 5
2021/10/24, 66, 39, , 21, 4, 6
2021/10/25, 82, 44, , 25, 4, 6
2021/10/26, 92, 59, , 21, 5, 7
2021/10/27, 123, 30, , 17, 5, 6
2021/10/28, 52, 50, , 24, 6, 6
2021/10/29, 86, 55, , 24, 4, 5
2021/10/30, 111, 45, , 24, 5, 7
2021/10/31, 85, 62, , 19, 6, 7
2021/11/1, 123, 48, , 20, 5, 7
2021/11/2, 87, 56, , 20, 4, 5
2021/11/3, 101, 55, , 24, 3, 5
2021/11/4, 105, 25, , 14, 2, 5
2021/11/5, 59, 25, , 16, 2, 5
2021/11/6, 47, 29, , 13, 4, 4
2021/11/7, 55, 31, , 9, 4, 3
2021/11/8, 63, 48, , 18, 7, 4
2021/11/9, 81, 50, , 20, 7, 5
2021/11/10, 84, 56, , 24, 10, 6
2021/11/11, 104, 53, , 27, 7, 6
2021/11/12, 100, 70, , 34, 7, 8
2021/11/13, 149, 72, , 34, 6, 7
2021/11/14, 132, 73, , 38, 4, 8
