date, pm25, pm10, o3, no2, so2, co
2024/5/1, 55, 31, , 8, 3, 2
2024/5/2, 56, 26, , 10, 3, 2
2024/5/3, 46, 23, , 8, 4, 2
2024/5/4, 29, 38, , 11, 4, 3
2024/5/5, 62, 51, , 15, 6, 3
2024/5/6, 94, 54, , 20, 4, 4
2024/5/7, 99, 42, , 11, 4, 4
2024/5/8, 78, 34, , 7, 4, 3
2024/5/9, 42, 42, , 8, 4, 4
2024/5/10, 92, 39, , 9, 4, 2
2024/5/11, 86, 44, , 11, 5, 3
2024/5/12, 81, 43, , 10, 4, 2
2024/5/13, 71, 48, , 17, 5, 3
2024/5/14, 84, 54, , 19, 3, 3
2024/5/15, 111, , , , , 
2024/4/1, 70, 62, , 9, 5, 4
2024/4/2, 103, 53, , 7, 3, 2
2024/4/3, 72, 49, , 9, 3, 3
2024/4/4, 68, 34, , 6, 3, 2
2024/4/5, 41, 32, , 8, 3, 2
2024/4/6, 32, 36, , 12, 3, 2
2024/4/7, 38, 32, , 13, 4, 4
2024/4/8, 45, 35, , 12, 4, 4
2024/4/9, 58, 35, , 10, 4, 3
2024/4/10, 58, 33, , 10, 4, 3
2024/4/11, 46, 44, , 15, 4, 2
2024/4/12, 69, 47, , 17, 4, 2
2024/4/13, 82, 59, , 19, 4, 4
2024/4/14, 128, 61, , 21, 5, 4
2024/4/15, 121, 39, , 8, 4, 3
2024/4/16, 73, 34, , 7, 4, 2
2024/4/17, 52, 19, , 7, 4, 2
2024/4/18, 33, 28, , 8, 4, 2
2024/4/19, 34, 42, , 11, 4, 1
2024/4/20, 52, 64, , 10, 5, 2
2024/4/21, 88, 56, , 7, 4, 1
2024/4/22, 86, 33, , 10, 4, 1
2024/4/23, 39, 33, , 7, 3, 1
2024/4/24, 33, 36, , 10, 3, 2
2024/4/25, 59, 61, , 14, 4, 4
2024/4/26, 126, 66, , 14, 4, 4
2024/4/27, 137, 75, , 17, 4, 5
2024/4/28, 148, 46, , 8, 4, 3
2024/4/29, 117, 27, , 9, 4, 1
2024/4/30, 34, 36, , 8, 4, 1
2024/1/1, 223, 62, , 14, 5, 8
2024/1/2, 151, 64, , 14, 3, 7
2024/1/3, 163, 70, , 14, 2, 7
2024/1/4, 162, 73, , 23, 3, 9
2024/1/5, 164, 69, , 18, 3, 8
2024/1/6, 158, 81, , 25, 4, 8
2024/1/7, 172, 84, , 16, 3, 8
2024/1/8, 179, 75, , 16, 3, 8
2024/1/9, 168, 75, , 20, 3, 9
2024/1/10, 167, 77, , 17, 3, 9
